,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,ＤｅＮＡ,ウィーランド,右,4.14,巨人,重信 慎之介,左,.406,0,3,1,3,左安
1,0100,1回表,ＤｅＮＡ,ウィーランド,右,4.14,巨人,山本 泰寛,右,.500,0,0,0,0,投犠打
2,1010,1回表,ＤｅＮＡ,ウィーランド,右,4.14,巨人,マギー,右,.294,12,56,24,0,中２
3,1010,1回表,ＤｅＮＡ,ウィーランド,右,4.14,巨人,岡本 和真,右,.303,19,60,42,2,右飛
4,2010,1回表,ＤｅＮＡ,ウィーランド,右,4.14,巨人,亀井 善行,左,.299,11,39,31,4,中飛
5,3000,,,,,,,,,,,,,,
6,0000,1回裏,巨人,メルセデス,左,0.62,ＤｅＮＡ,桑原 将志,右,.294,7,17,13,14,遊ゴロ
7,1000,1回裏,巨人,メルセデス,左,0.62,ＤｅＮＡ,ソト,右,.300,16,41,10,0,遊ゴロ
8,2000,1回裏,巨人,メルセデス,左,0.62,ＤｅＮＡ,ロペス,右,.312,17,47,8,0,二飛
9,3000,,,,,,,,,,,,,,
10,0000,2回表,ＤｅＮＡ,ウィーランド,右,4.14,巨人,長野 久義,右,.259,8,37,33,3,遊ゴロ
11,1000,2回表,ＤｅＮＡ,ウィーランド,右,4.14,巨人,マルティネス,左,.217,1,1,0,0,一ゴロ
12,2000,2回表,ＤｅＮＡ,ウィーランド,右,4.14,巨人,宇佐見 真吾,左,.125,0,3,9,0,見三振
13,3000,,,,,,,,,,,,,,
14,0000,2回裏,巨人,メルセデス,左,0.62,ＤｅＮＡ,筒香 嘉智,左,.285,22,56,47,0,見三振
15,1000,2回裏,巨人,メルセデス,左,0.62,ＤｅＮＡ,宮崎 敏郎,右,.316,16,45,23,0,四球
16,1100,2回裏,巨人,メルセデス,左,0.62,ＤｅＮＡ,伊藤 光,右,.225,1,4,2,0,遊直
17,2100,2回裏,巨人,メルセデス,左,0.62,ＤｅＮＡ,石川 雄洋,左,.250,0,1,6,2,投ゴロ
18,3000,,,,,,,,,,,,,,
19,0000,3回表,ＤｅＮＡ,ウィーランド,右,4.14,巨人,メルセデス,左,.000,0,0,0,0,空三振
20,1000,3回表,ＤｅＮＡ,ウィーランド,右,4.14,巨人,重信 慎之介,左,.406,0,3,1,3,左飛
21,2000,3回表,ＤｅＮＡ,ウィーランド,右,4.14,巨人,山本 泰寛,右,.500,0,0,0,0,遊ゴロ
22,3000,,,,,,,,,,,,,,
23,0000,3回裏,巨人,メルセデス,左,0.62,ＤｅＮＡ,ウィーランド,右,.250,1,1,2,0,三直
24,1000,3回裏,巨人,メルセデス,左,0.62,ＤｅＮＡ,柴田 竜拓,左,.205,3,9,21,2,遊ゴロ
25,2000,3回裏,巨人,メルセデス,左,0.62,ＤｅＮＡ,桑原 将志,右,.294,7,17,13,14,右飛
26,3000,,,,,,,,,,,,,,
27,0000,4回表,ＤｅＮＡ,ウィーランド,右,4.14,巨人,マギー,右,.294,12,56,24,0,遊ゴロ
28,1000,4回表,ＤｅＮＡ,ウィーランド,右,4.14,巨人,岡本 和真,右,.303,19,60,42,2,四球
29,1100,4回表,ＤｅＮＡ,ウィーランド,右,4.14,巨人,亀井 善行,左,.299,11,39,31,4,右安
30,1101,4回表,ＤｅＮＡ,ウィーランド,右,4.14,巨人,長野 久義,右,.259,8,37,33,3,右安
31,1110,4回表,ＤｅＮＡ,ウィーランド,右,4.14,巨人,マルティネス,左,.217,1,1,0,0,見三振
32,2110,4回表,ＤｅＮＡ,ウィーランド,右,4.14,巨人,宇佐見 真吾,左,.125,0,3,9,0,左飛
33,3000,,,,,,,,,,,,,,
34,0000,4回裏,巨人,メルセデス,左,0.62,ＤｅＮＡ,ソト,右,.300,16,41,10,0,捕邪飛
