,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,全セ,,右,0.00,全パ,,左,.000,0,0,0,0,二ゴロ
1,1000,1回表,全セ,,右,0.00,全パ,,右,.250,0,0,0,0,空三振
2,2000,1回表,全セ,,右,0.00,全パ,,右,1.000,0,1,1,0,四球
3,2100,1回表,全セ,,右,0.00,全パ,,右,.400,0,1,1,0,四球
4,2110,1回表,全セ,,右,0.00,全パ,,右,.333,0,0,0,0,一邪飛
5,3000,,,,,,,,,,,,,,
6,0000,1回裏,全パ,,右,0.00,全セ,,右,.000,0,0,0,0,二ゴロ
7,1000,1回裏,全パ,,右,0.00,全セ,,左,.250,0,0,0,0,中２
8,1010,1回裏,全パ,,右,0.00,全セ,,右,-,0,0,0,0,空三振
9,2010,1回裏,全パ,,右,0.00,全セ,,左,.400,1,2,0,0,空三振
10,3000,,,,,,,,,,,,,,
11,0000,2回表,全セ,,右,0.00,全パ,,左,.250,0,0,0,0,左飛
12,1000,2回表,全セ,,右,0.00,全パ,,右,.250,0,0,0,0,空三振
13,2000,2回表,全セ,,右,0.00,全パ,,左,.500,0,1,1,0,遊ゴロ
14,3000,,,,,,,,,,,,,,
15,0000,2回裏,全パ,,右,0.00,全セ,,右,.600,1,1,0,0,見三振
16,1000,2回裏,全パ,,右,0.00,全セ,,右,.250,0,0,0,0,中飛
17,2000,2回裏,全パ,,右,0.00,全セ,,右,.750,1,2,0,0,中安
18,2100,2回裏,全パ,,右,0.00,全セ,,右,.000,0,0,0,0,遊ゴロ
19,3000,,,,,,,,,,,,,,
20,0000,3回表,全セ,,右,0.00,全パ,,右,.500,0,0,0,0,中飛
21,1000,3回表,全セ,,右,0.00,全パ,,左,.000,0,0,0,0,二ゴロ
22,2000,3回表,全セ,,右,0.00,全パ,,右,.250,0,0,0,0,空三振
23,3000,,,,,,,,,,,,,,
24,0000,3回裏,全パ,,左,0.00,全セ,,右,.500,0,0,0,0,三ゴロ
25,1000,3回裏,全パ,,左,0.00,全セ,,右,.000,0,0,0,0,右飛
26,2000,3回裏,全パ,,左,0.00,全セ,,左,.250,0,0,0,0,投ゴロ
27,3000,,,,,,,,,,,,,,
28,0000,4回表,全セ,,左,9.00,全パ,,右,1.000,0,1,1,0,一邪飛
29,1000,4回表,全セ,,左,9.00,全パ,,右,.400,0,1,1,0,左安
30,1100,4回表,全セ,,左,9.00,全パ,,右,.333,0,0,0,0,中安
31,1110,4回表,全セ,,左,9.00,全パ,,左,.250,0,0,0,0,投併打
32,3000,,,,,,,,,,,,,,
33,0000,4回裏,全パ,,左,0.00,全セ,,左,.000,0,0,0,0,中飛
34,1000,4回裏,全パ,,左,0.00,全セ,,左,.400,1,2,0,0,四球
35,1100,4回裏,全パ,,左,0.00,全セ,,右,.600,1,1,0,0,左安
36,1110,4回裏,全パ,,左,0.00,全セ,,右,.250,0,0,0,0,遊併打
37,3000,,,,,,,,,,,,,,
38,0000,5回表,全セ,,左,9.00,全パ,,右,.250,0,0,0,0,左２
39,0001,5回表,全セ,,左,9.00,全パ,,左,.500,0,1,1,0,中２
40,0010,5回表,全セ,,左,9.00,全パ,,右,.500,0,0,0,0,左安
41,0100,5回表,全セ,,左,9.00,全パ,,左,.000,0,0,0,0,二ゴロ
42,1100,5回表,全セ,,左,9.00,全パ,,右,.250,0,0,0,0,右飛
43,2100,5回表,全セ,,左,9.00,全パ,,左,.429,0,1,0,0,二ゴロ
