,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
75,0000,8回表,楽天,久保 裕也,右,1.75,ソフトバンク,明石 健志,左,.269,0,4,7,0,一ゴロ
76,1000,8回表,楽天,久保 裕也,右,1.75,ソフトバンク,甲斐 拓也,右,.210,6,28,23,2,左安
77,1100,8回表,楽天,久保 裕也,右,1.75,ソフトバンク,上林 誠知,左,.261,19,55,23,11,捕邪飛
78,2100,8回表,楽天,久保 裕也,右,1.75,ソフトバンク,牧原 大成,左,.350,3,24,7,7,一ゴロ
79,3000,,,,,,,,,,,,,,
80,0000,8回裏,ソフトバンク,加治屋 蓮,右,3.34,楽天,今江 年晶,右,.266,9,46,27,0,一ゴロ
81,1000,8回裏,ソフトバンク,加治屋 蓮,右,3.34,楽天,島内 宏明,左,.281,8,43,37,9,二ゴロ
82,2000,8回裏,ソフトバンク,加治屋 蓮,右,3.34,楽天,ウィーラー,右,.254,11,41,28,3,二飛
83,3000,,,,,,,,,,,,,,
84,0000,9回表,楽天,菅原 秀,右,6.10,ソフトバンク,今宮 健太,右,.265,11,44,24,4,三ゴロ
85,1000,9回表,楽天,菅原 秀,右,6.10,ソフトバンク,中村 晃,左,.288,13,51,53,1,右飛
86,2000,9回表,楽天,菅原 秀,右,6.10,ソフトバンク,柳田 悠岐,左,.351,32,91,58,20,右本
87,2000,9回表,楽天,菅原 秀,右,6.10,ソフトバンク,グラシアル,右,.300,5,18,7,1,空三振
88,3000,,,,,,,,,,,,,,
89,0000,9回裏,ソフトバンク,石川 柊太,右,3.77,楽天,内田 靖人,右,.218,6,10,10,0,空三振
90,1000,9回裏,ソフトバンク,石川 柊太,右,3.77,楽天,山下 斐紹,左,.197,2,8,4,0,空三振
91,2000,9回裏,ソフトバンク,石川 柊太,右,3.77,楽天,八百板 卓丸,左,.206,0,0,2,1,ゴロ
92,3000,,,,,,,,,,,,,,
