,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,広島,野村 祐輔,右,4.28,ヤクルト,坂口 智隆,左,.315,3,34,75,9,左飛
1,1000,1回表,広島,野村 祐輔,右,4.28,ヤクルト,青木 宣親,左,.326,10,66,51,3,中飛
2,2000,1回表,広島,野村 祐輔,右,4.28,ヤクルト,山田 哲人,右,.312,33,86,101,31,空三振
3,3000,,,,,,,,,,,,,,
4,0000,1回裏,ヤクルト,星 知弥,右,4.81,広島,田中 広輔,左,.264,9,56,69,27,遊飛
5,1000,1回裏,ヤクルト,星 知弥,右,4.81,広島,野間 峻祥,左,.296,5,44,29,17,中飛
6,2000,1回裏,ヤクルト,星 知弥,右,4.81,広島,丸 佳浩,左,.323,38,95,123,10,空三振
7,3000,,,,,,,,,,,,,,
8,0000,2回表,広島,野村 祐輔,右,4.28,ヤクルト,バレンティン,右,.268,34,122,81,1,四球
9,0100,2回表,広島,野村 祐輔,右,4.28,ヤクルト,雄平,左,.324,10,60,30,6,左飛
10,1100,2回表,広島,野村 祐輔,右,4.28,ヤクルト,川端 慎吾,左,.268,3,30,31,1,左安
11,1110,2回表,広島,野村 祐輔,右,4.28,ヤクルト,西浦 直亨,右,.251,10,54,37,1,捕邪飛
12,2110,2回表,広島,野村 祐輔,右,4.28,ヤクルト,井野 卓,右,.146,0,4,4,0,空三振
13,3000,,,,,,,,,,,,,,
14,0000,2回裏,ヤクルト,星 知弥,右,4.81,広島,松山 竜平,左,.301,12,72,41,2,左飛
15,1000,2回裏,ヤクルト,星 知弥,右,4.81,広島,安部 友裕,左,.234,4,22,19,7,四球
16,1100,2回裏,ヤクルト,星 知弥,右,4.81,広島,西川 龍馬,左,.311,6,44,26,4,右安
17,1101,2回裏,ヤクルト,星 知弥,右,4.81,広島,會澤 翼,右,.301,13,39,38,0,二飛
18,2101,2回裏,ヤクルト,星 知弥,右,4.81,広島,曽根 海成,左,.308,0,1,1,1,二ゴロ
19,3000,,,,,,,,,,,,,,
20,0000,3回表,広島,野村 祐輔,右,4.28,ヤクルト,星 知弥,右,.333,0,0,0,0,中安
21,0100,3回表,広島,野村 祐輔,右,4.28,ヤクルト,坂口 智隆,左,.315,3,34,75,9,投併打
22,2000,3回表,広島,野村 祐輔,右,4.28,ヤクルト,青木 宣親,左,.326,10,66,51,3,四球
23,2010,3回表,広島,野村 祐輔,右,4.28,ヤクルト,山田 哲人,右,.312,33,86,101,31,左２
24,2010,3回表,広島,野村 祐輔,右,4.28,ヤクルト,バレンティン,右,.268,34,122,81,1,右安
25,2100,3回表,広島,野村 祐輔,右,4.28,ヤクルト,雄平,左,.324,10,60,30,6,左安
26,2110,3回表,広島,野村 祐輔,右,4.28,ヤクルト,川端 慎吾,左,.268,3,30,31,1,三邪飛
27,3000,,,,,,,,,,,,,,
28,0000,3回裏,ヤクルト,星 知弥,右,4.81,広島,野村 祐輔,右,.083,0,1,2,0,空三振
29,1000,3回裏,ヤクルト,星 知弥,右,4.81,広島,田中 広輔,左,.264,9,56,69,27,四球
30,1010,3回裏,ヤクルト,星 知弥,右,4.81,広島,野間 峻祥,左,.296,5,44,29,17,中３
31,1001,3回裏,ヤクルト,星 知弥,右,4.81,広島,丸 佳浩,左,.323,38,95,123,10,四球
32,1101,3回裏,ヤクルト,星 知弥,右,4.81,広島,松山 竜平,左,.301,12,72,41,2,四球
33,1111,3回裏,ヤクルト,星 知弥,右,4.81,広島,安部 友裕,左,.234,4,22,19,7,左犠飛
34,2110,3回裏,ヤクルト,星 知弥,右,4.81,広島,西川 龍馬,左,.311,6,44,26,4,一ゴロ
35,3000,,,,,,,,,,,,,,
36,0000,4回表,広島,野村 祐輔,右,4.28,ヤクルト,西浦 直亨,右,.251,10,54,37,1,三ゴロ
37,1000,4回表,広島,野村 祐輔,右,4.28,ヤクルト,井野 卓,右,.146,0,4,4,0,遊ゴロ
38,2000,4回表,広島,野村 祐輔,右,4.28,ヤクルト,星 知弥,右,.333,0,0,0,0,見三振
39,3000,,,,,,,,,,,,,,
40,0000,4回裏,ヤクルト,星 知弥,右,4.81,広島,會澤 翼,右,.301,13,39,38,0,四球
41,0100,4回裏,ヤクルト,星 知弥,右,4.81,広島,曽根 海成,左,.308,0,1,1,1,右安
42,0110,4回裏,ヤクルト,星 知弥,右,4.81,広島,野村 祐輔,右,.083,0,1,2,0,左安
43,0111,4回裏,ヤクルト,星 知弥,右,4.81,広島,田中 広輔,左,.264,9,56,69,27,右犠飛
44,1101,4回裏,ヤクルト,ハフ,左,4.97,広島,野間 峻祥,左,.296,5,44,29,17,見三振
45,2101,4回裏,ヤクルト,ハフ,左,4.97,広島,丸 佳浩,左,.323,38,95,123,10,右飛
46,3000,,,,,,,,,,,,,,
