,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,広島,大瀬良 大地,右,3.38,中日,大島 洋平,左,.250,0,0,0,0,空三振
1,1000,1回表,広島,大瀬良 大地,右,3.38,中日,京田 陽太,左,.417,0,1,0,3,見三振
2,2000,1回表,広島,大瀬良 大地,右,3.38,中日,アルモンテ,左,.182,1,1,0,0,空三振
3,3000,,,,,,,,,,,,,,
4,0000,1回裏,中日,笠原 祥太郎,左,6.00,広島,田中 広輔,左,.455,0,4,1,0,空三振
5,1000,1回裏,中日,笠原 祥太郎,左,6.00,広島,菊池 涼介,右,.100,0,0,1,0,左安
6,1100,1回裏,中日,笠原 祥太郎,左,6.00,広島,丸 佳浩,左,.500,2,3,2,0,一直
7,3000,,,,,,,,,,,,,,
8,0000,2回表,広島,大瀬良 大地,右,3.38,中日,ビシエド,右,.364,1,1,0,0,捕邪飛
9,1000,2回表,広島,大瀬良 大地,右,3.38,中日,福田 永将,右,.182,1,1,0,0,空三振
10,2000,2回表,広島,大瀬良 大地,右,3.38,中日,高橋 周平,左,.125,0,0,3,0,右安
11,2100,2回表,広島,大瀬良 大地,右,3.38,中日,平田 良介,右,.200,1,1,1,1,空三振
12,3000,,,,,,,,,,,,,,
13,0000,2回裏,中日,笠原 祥太郎,左,6.00,広島,エルドレッド,右,.222,1,1,1,0,遊ゴロ
14,1000,2回裏,中日,笠原 祥太郎,左,6.00,広島,松山 竜平,左,.125,0,2,0,0,二ゴロ
15,2000,2回裏,中日,笠原 祥太郎,左,6.00,広島,下水流 昂,右,1.000,1,1,1,0,中本
16,2000,2回裏,中日,笠原 祥太郎,左,6.00,広島,安部 友裕,左,.333,0,1,1,0,空三振
17,3000,,,,,,,,,,,,,,
18,0000,3回表,広島,大瀬良 大地,右,3.38,中日,松井 雅人,左,.000,0,1,1,0,四球
19,0100,3回表,広島,大瀬良 大地,右,3.38,中日,笠原 祥太郎,左,-,0,0,0,0,三犠打
20,1010,3回表,広島,大瀬良 大地,右,3.38,中日,大島 洋平,左,.250,0,0,0,0,二安
21,1101,3回表,広島,大瀬良 大地,右,3.38,中日,京田 陽太,左,.417,0,1,0,3,空三振
22,2011,3回表,広島,大瀬良 大地,右,3.38,中日,アルモンテ,左,.182,1,1,0,0,中飛
23,3000,,,,,,,,,,,,,,
24,0000,3回裏,中日,笠原 祥太郎,左,6.00,広島,磯村 嘉孝,右,.500,0,0,0,0,中飛
25,1000,3回裏,中日,笠原 祥太郎,左,6.00,広島,大瀬良 大地,右,.000,0,0,0,0,一邪飛
26,2000,3回裏,中日,笠原 祥太郎,左,6.00,広島,田中 広輔,左,.455,0,4,1,0,四球
27,2100,3回裏,中日,笠原 祥太郎,左,6.00,広島,菊池 涼介,右,.100,0,0,1,0,見逃し
28,3000,,,,,,,,,,,,,,
29,0000,4回表,広島,大瀬良 大地,右,3.38,中日,ビシエド,右,.364,1,1,0,0,左本
30,0000,4回表,広島,大瀬良 大地,右,3.38,中日,福田 永将,右,.182,1,1,0,0,空三振
31,1000,4回表,広島,大瀬良 大地,右,3.38,中日,高橋 周平,左,.125,0,0,3,0,空三振
32,2000,4回表,広島,大瀬良 大地,右,3.38,中日,平田 良介,右,.200,1,1,1,1,左本
33,2000,4回表,広島,大瀬良 大地,右,3.38,中日,松井 雅人,左,.000,0,1,1,0,一ゴロ
34,3000,,,,,,,,,,,,,,
35,0000,4回裏,中日,笠原 祥太郎,左,6.00,広島,菊池 涼介,右,.100,0,0,1,0,右飛
36,1000,4回裏,中日,笠原 祥太郎,左,6.00,広島,丸 佳浩,左,.500,2,3,2,0,左本
37,1000,4回裏,中日,笠原 祥太郎,左,6.00,広島,エルドレッド,右,.222,1,1,1,0,左飛
38,2000,4回裏,中日,笠原 祥太郎,左,6.00,広島,松山 竜平,左,.125,0,2,0,0,右飛
39,3000,,,,,,,,,,,,,,
40,0000,5回表,広島,大瀬良 大地,右,3.38,中日,笠原 祥太郎,左,-,0,0,0,0,空三振
41,1000,5回表,広島,大瀬良 大地,右,3.38,中日,大島 洋平,左,.250,0,0,0,0,一ゴロ
42,2000,5回表,広島,大瀬良 大地,右,3.38,中日,京田 陽太,左,.417,0,1,0,3,二ゴロ
43,3000,,,,,,,,,,,,,,
44,0000,5回裏,中日,笠原 祥太郎,左,6.00,広島,下水流 昂,右,1.000,1,1,1,0,左安
45,0100,5回裏,中日,笠原 祥太郎,左,6.00,広島,安部 友裕,左,.333,0,1,1,0,投犠打
46,1010,5回裏,中日,笠原 祥太郎,左,6.00,広島,磯村 嘉孝,右,.500,0,0,0,0,中安
47,1101,5回裏,中日,笠原 祥太郎,左,6.00,広島,大瀬良 大地,右,.000,0,0,0,0,捕邪飛
