,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,ソフトバンク,ミランダ,左,2.27,日本ハム,西川 遥輝,左,.278,10,48,89,36,左飛
1,1000,1回表,ソフトバンク,ミランダ,左,2.27,日本ハム,大田 泰示,右,.270,14,55,33,3,左飛
2,2000,1回表,ソフトバンク,ミランダ,左,2.27,日本ハム,近藤 健介,左,.325,9,67,82,4,四球
3,2100,1回表,ソフトバンク,ミランダ,左,2.27,日本ハム,中田 翔,右,.268,25,102,38,0,二飛
4,3000,,,,,,,,,,,,,,
5,0000,1回裏,日本ハム,マルティネス,右,3.49,ソフトバンク,牧原 大成,左,.328,3,26,8,8,三ゴロ
6,1000,1回裏,日本ハム,マルティネス,右,3.49,ソフトバンク,上林 誠知,左,.275,21,60,29,12,三邪飛
7,2000,1回裏,日本ハム,マルティネス,右,3.49,ソフトバンク,グラシアル,右,.310,8,25,8,1,四球
8,2100,1回裏,日本ハム,マルティネス,右,3.49,ソフトバンク,柳田 悠岐,左,.360,34,95,59,20,左安
9,2110,1回裏,日本ハム,マルティネス,右,3.49,ソフトバンク,デスパイネ,右,.236,26,64,49,0,右飛
10,3000,,,,,,,,,,,,,,
11,0000,2回表,ソフトバンク,ミランダ,左,2.27,日本ハム,横尾 俊建,右,.220,9,23,7,0,空三振
12,1000,2回表,ソフトバンク,ミランダ,左,2.27,日本ハム,清宮 幸太郎,左,.203,5,14,15,0,空三振
13,2000,2回表,ソフトバンク,ミランダ,左,2.27,日本ハム,鶴岡 慎也,右,.248,2,22,12,1,見三振
14,3000,,,,,,,,,,,,,,
15,0000,2回裏,日本ハム,マルティネス,右,3.49,ソフトバンク,中村 晃,左,.288,13,52,56,1,右２
16,0010,2回裏,日本ハム,マルティネス,右,3.49,ソフトバンク,松田 宣浩,右,.251,27,72,48,3,二ゴロ
17,1001,2回裏,日本ハム,マルティネス,右,3.49,ソフトバンク,高田 知季,左,.211,2,8,8,2,死球
