,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,西武,多和田 真三郎,右,1.38,オリックス,宗 佑磨,左,.188,0,1,0,1,中飛
1,1000,1回表,西武,多和田 真三郎,右,1.38,オリックス,大城 滉二,右,.176,0,0,1,0,二ゴロ
2,2000,1回表,西武,多和田 真三郎,右,1.38,オリックス,吉田 正尚,左,.286,2,7,3,0,死球
3,2100,1回表,西武,多和田 真三郎,右,1.38,オリックス,ロメロ,右,.074,1,2,3,0,空三振
4,3000,,,,,,,,,,,,,,
5,0000,1回裏,オリックス,田嶋 大樹,左,7.56,西武,秋山 翔吾,左,.333,0,5,3,1,四球
6,0100,1回裏,オリックス,田嶋 大樹,左,7.56,西武,源田 壮亮,左,.300,0,9,0,0,左安
7,0110,1回裏,オリックス,田嶋 大樹,左,7.56,西武,浅村 栄斗,右,.321,2,4,2,1,見三振
8,1110,1回裏,オリックス,田嶋 大樹,左,7.56,西武,山川 穂高,右,.360,3,9,4,0,左安
9,1110,1回裏,オリックス,田嶋 大樹,左,7.56,西武,森 友哉,左,.304,1,3,0,1,二ゴロ
10,2101,1回裏,オリックス,田嶋 大樹,左,7.56,西武,中村 剛也,右,.217,0,2,4,0,空三振
11,3000,,,,,,,,,,,,,,
12,0000,2回表,西武,多和田 真三郎,右,1.38,オリックス,小谷野 栄一,右,.238,0,3,6,0,一直
13,1000,2回表,西武,多和田 真三郎,右,1.38,オリックス,マレーロ,右,.240,4,9,3,1,空三振
14,2000,2回表,西武,多和田 真三郎,右,1.38,オリックス,Ｔ－岡田,左,.318,0,2,4,0,空三振
15,3000,,,,,,,,,,,,,,
16,0000,2回裏,オリックス,田嶋 大樹,左,7.56,西武,外崎 修汰,右,.375,1,5,3,3,中安
17,0100,2回裏,オリックス,田嶋 大樹,左,7.56,西武,メヒア,右,.118,0,0,2,0,中飛
18,1100,2回裏,オリックス,田嶋 大樹,左,7.56,西武,金子 侑司,右,.105,0,2,2,3,左飛
19,2010,2回裏,オリックス,田嶋 大樹,左,7.56,西武,秋山 翔吾,左,.333,0,5,3,1,中飛
20,3000,,,,,,,,,,,,,,
21,0000,3回表,西武,多和田 真三郎,右,1.38,オリックス,小島 脩平,左,.000,0,0,0,1,二ゴロ
22,1000,3回表,西武,多和田 真三郎,右,1.38,オリックス,若月 健矢,右,.400,0,0,1,0,右飛
23,2000,3回表,西武,多和田 真三郎,右,1.38,オリックス,宗 佑磨,左,.188,0,1,0,1,二ゴロ
24,3000,,,,,,,,,,,,,,
25,0000,3回裏,オリックス,田嶋 大樹,左,7.56,西武,源田 壮亮,左,.300,0,9,0,0,空三振
26,1000,3回裏,オリックス,田嶋 大樹,左,7.56,西武,浅村 栄斗,右,.321,2,4,2,1,空三振
27,2000,3回裏,オリックス,田嶋 大樹,左,7.56,西武,山川 穂高,右,.360,3,9,4,0,空三振
28,3000,,,,,,,,,,,,,,
29,0000,4回表,西武,多和田 真三郎,右,1.38,オリックス,大城 滉二,右,.176,0,0,1,0,遊ゴロ
30,1000,4回表,西武,多和田 真三郎,右,1.38,オリックス,吉田 正尚,左,.286,2,7,3,0,中飛
31,2000,4回表,西武,多和田 真三郎,右,1.38,オリックス,ロメロ,右,.074,1,2,3,0,見三振
32,3000,,,,,,,,,,,,,,
33,0000,4回裏,オリックス,田嶋 大樹,左,7.56,西武,森 友哉,左,.304,1,3,0,1,中飛
34,1000,4回裏,オリックス,田嶋 大樹,左,7.56,西武,中村 剛也,右,.217,0,2,4,0,左２
35,1010,4回裏,オリックス,田嶋 大樹,左,7.56,西武,外崎 修汰,右,.375,1,5,3,3,右安
36,1010,4回裏,オリックス,田嶋 大樹,左,7.56,西武,メヒア,右,.118,0,0,2,0,四球
37,1110,4回裏,オリックス,田嶋 大樹,左,7.56,西武,金子 侑司,右,.105,0,2,2,3,左安
38,1110,4回裏,オリックス,田嶋 大樹,左,7.56,西武,秋山 翔吾,左,.333,0,5,3,1,遊安
39,1111,4回裏,オリックス,田嶋 大樹,左,7.56,西武,源田 壮亮,左,.300,0,9,0,0,中３
40,1001,4回裏,オリックス,吉田 一将,右,0.00,西武,浅村 栄斗,右,.321,2,4,2,1,一ゴロ
41,2001,4回裏,オリックス,吉田 一将,右,0.00,西武,山川 穂高,右,.360,3,9,4,0,四球
42,2101,4回裏,オリックス,吉田 一将,右,0.00,西武,森 友哉,左,.304,1,3,0,1,中飛
43,3000,,,,,,,,,,,,,,
44,0000,5回表,西武,多和田 真三郎,右,1.38,オリックス,小谷野 栄一,右,.238,0,3,6,0,三ゴロ
45,1000,5回表,西武,多和田 真三郎,右,1.38,オリックス,マレーロ,右,.240,4,9,3,1,左飛
46,2000,5回表,西武,多和田 真三郎,右,1.38,オリックス,Ｔ－岡田,左,.318,0,2,4,0,三ゴロ
47,3000,,,,,,,,,,,,,,
48,0000,5回裏,オリックス,吉田 一将,右,0.00,西武,中村 剛也,右,.217,0,2,4,0,右飛
49,1000,5回裏,オリックス,吉田 一将,右,0.00,西武,外崎 修汰,右,.375,1,5,3,3,遊飛
50,2000,5回裏,オリックス,吉田 一将,右,0.00,西武,メヒア,右,.118,0,0,2,0,遊安
51,2100,5回裏,オリックス,吉田 一将,右,0.00,西武,金子 侑司,左,.105,0,2,2,3,空三振
52,3000,,,,,,,,,,,,,,
53,0000,,,,,,,,,,,,,,
