,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,オリックス,アルバース,左,2.45,楽天,島内 宏明,左,.227,1,1,4,2,一ゴロ
1,1000,1回表,オリックス,アルバース,左,2.45,楽天,三好 匠,右,.400,0,0,1,0,二ゴロ
2,2000,1回表,オリックス,アルバース,左,2.45,楽天,ペゲーロ,左,.189,2,8,2,0,投ゴロ
3,3000,,,,,,,,,,,,,,
4,0000,1回裏,楽天,辛島 航,左,1.35,オリックス,大城 滉二,右,.185,0,0,1,0,左２
5,0010,1回裏,楽天,辛島 航,左,1.35,オリックス,安達 了一,右,.138,0,0,2,0,投ゴロ
6,1001,1回裏,楽天,辛島 航,左,1.35,オリックス,吉田 正尚,左,.300,3,9,3,0,空三振
7,2001,1回裏,楽天,辛島 航,左,1.35,オリックス,ロメロ,右,.211,1,3,4,0,二飛
8,3000,,,,,,,,,,,,,,
9,0000,2回表,オリックス,アルバース,左,2.45,楽天,ウィーラー,右,.268,0,1,4,0,見三振
10,1000,2回表,オリックス,アルバース,左,2.45,楽天,今江 年晶,右,.308,1,4,0,0,左安
11,1100,2回表,オリックス,アルバース,左,2.45,楽天,銀次,左,.171,0,5,2,0,左安
12,1110,2回表,オリックス,アルバース,左,2.45,楽天,アマダー,右,.226,0,1,6,1,見三振
13,2110,2回表,オリックス,アルバース,左,2.45,楽天,嶋 基宏,右,.167,0,2,3,0,右２
14,2011,2回表,オリックス,アルバース,左,2.45,楽天,オコエ 瑠偉,右,.188,1,1,1,0,遊ゴロ
15,3000,,,,,,,,,,,,,,
16,0000,2回裏,楽天,辛島 航,左,1.35,オリックス,小谷野 栄一,右,.250,0,4,7,0,右安
17,0100,2回裏,楽天,辛島 航,左,1.35,オリックス,マレーロ,右,.158,4,10,3,1,見三振
18,1100,2回裏,楽天,辛島 航,左,1.35,オリックス,Ｔ－岡田,左,.233,0,2,4,1,一ゴロ
19,2010,2回裏,楽天,辛島 航,左,1.35,オリックス,若月 健矢,右,.313,0,0,1,0,空三振
20,3000,,,,,,,,,,,,,,
21,0000,3回表,オリックス,アルバース,左,2.45,楽天,島内 宏明,左,.227,1,1,4,2,中飛
22,1000,3回表,オリックス,アルバース,左,2.45,楽天,三好 匠,右,.400,0,0,1,0,中安
23,1100,3回表,オリックス,アルバース,左,2.45,楽天,ペゲーロ,左,.189,2,8,2,0,空三振
24,2100,3回表,オリックス,アルバース,左,2.45,楽天,ウィーラー,右,.268,0,1,4,0,ボール
25,3000,,,,,,,,,,,,,,
26,0000,3回裏,楽天,辛島 航,左,1.35,オリックス,宗 佑磨,左,.195,0,1,2,1,一ゴロ
27,1000,3回裏,楽天,辛島 航,左,1.35,オリックス,大城 滉二,右,.185,0,0,1,0,見三振
28,2000,3回裏,楽天,辛島 航,左,1.35,オリックス,安達 了一,右,.138,0,0,2,0,空三振
29,3000,,,,,,,,,,,,,,
30,0000,4回表,オリックス,アルバース,左,2.45,楽天,ウィーラー,右,.268,0,1,4,0,遊安
31,0100,4回表,オリックス,アルバース,左,2.45,楽天,今江 年晶,右,.308,1,4,0,0,中安
32,0110,4回表,オリックス,アルバース,左,2.45,楽天,銀次,左,.171,0,5,2,0,投ゴロ
33,1110,4回表,オリックス,アルバース,左,2.45,楽天,アマダー,右,.226,0,1,6,1,左安
34,1110,4回表,オリックス,アルバース,左,2.45,楽天,嶋 基宏,右,.167,0,2,3,0,左安
35,1111,4回表,オリックス,アルバース,左,2.45,楽天,オコエ 瑠偉,右,.188,1,1,1,0,投併打
36,3000,,,,,,,,,,,,,,
37,0000,4回裏,楽天,辛島 航,左,1.35,オリックス,吉田 正尚,左,.300,3,9,3,0,右安
38,0100,4回裏,楽天,辛島 航,左,1.35,オリックス,ロメロ,右,.211,1,3,4,0,左２
39,0011,4回裏,楽天,辛島 航,左,1.35,オリックス,小谷野 栄一,右,.250,0,4,7,0,遊ゴロ
40,1010,4回裏,楽天,辛島 航,左,1.35,オリックス,マレーロ,右,.158,4,10,3,1,空三振
41,2010,4回裏,楽天,辛島 航,左,1.35,オリックス,Ｔ－岡田,左,.233,0,2,4,1,空三振
42,3000,,,,,,,,,,,,,,
43,0000,5回表,オリックス,アルバース,左,2.45,楽天,島内 宏明,左,.227,1,1,4,2,一ゴロ
44,1000,5回表,オリックス,アルバース,左,2.45,楽天,三好 匠,右,.400,0,0,1,0,四球
45,1100,5回表,オリックス,アルバース,左,2.45,楽天,ペゲーロ,左,.189,2,8,2,0,遊ゴロ
46,2100,5回表,オリックス,アルバース,左,2.45,楽天,ウィーラー,右,.268,0,1,4,0,三直
47,3000,,,,,,,,,,,,,,
48,0000,5回裏,楽天,辛島 航,左,1.35,オリックス,若月 健矢,右,.313,0,0,1,0,遊ゴロ
49,1000,5回裏,楽天,辛島 航,左,1.35,オリックス,宗 佑磨,左,.195,0,1,2,1,左飛
50,2000,5回裏,楽天,辛島 航,左,1.35,オリックス,大城 滉二,右,.185,0,0,1,0,遊ゴロ
51,3000,,,,,,,,,,,,,,
52,0000,6回表,オリックス,吉田 一将,右,1.80,楽天,今江 年晶,右,.308,1,4,0,0,三ゴロ
53,1000,6回表,オリックス,吉田 一将,右,1.80,楽天,銀次,左,.171,0,5,2,0,遊飛
54,2000,6回表,オリックス,吉田 一将,右,1.80,楽天,アマダー,右,.226,0,1,6,1,中飛
55,3000,,,,,,,,,,,,,,
56,0000,6回裏,楽天,辛島 航,左,1.35,オリックス,安達 了一,右,.138,0,0,2,0,四球
57,0100,6回裏,楽天,辛島 航,左,1.35,オリックス,吉田 正尚,左,.300,3,9,3,0,二併打
58,2000,6回裏,楽天,辛島 航,左,1.35,オリックス,ロメロ,右,.211,1,3,4,0,四球
59,2100,6回裏,楽天,辛島 航,左,1.35,オリックス,小谷野 栄一,右,.250,0,4,7,0,遊ゴロ
60,3000,,,,,,,,,,,,,,
61,0000,7回表,オリックス,近藤 大亮,右,3.86,楽天,嶋 基宏,右,.167,0,2,3,0,四球
62,0100,7回表,オリックス,近藤 大亮,右,3.86,楽天,オコエ 瑠偉,右,.188,1,1,1,0,三犠打
63,1010,7回表,オリックス,近藤 大亮,右,3.86,楽天,島内 宏明,左,.227,1,1,4,2,見三振
64,2010,7回表,オリックス,近藤 大亮,右,3.86,楽天,三好 匠,右,.400,0,0,1,0,空三振
65,3000,,,,,,,,,,,,,,
66,0000,7回裏,楽天,辛島 航,左,1.35,オリックス,マレーロ,右,.158,4,10,3,1,空三振
67,1000,7回裏,楽天,辛島 航,左,1.35,オリックス,Ｔ－岡田,左,.233,0,2,4,1,左安
68,1100,7回裏,楽天,辛島 航,左,1.35,オリックス,若月 健矢,右,.313,0,0,1,0,投犠打
69,2010,7回裏,楽天,福山 博之,右,5.00,オリックス,中島 宏之,右,.250,0,2,0,0,中飛
70,3000,,,,,,,,,,,,,,
71,0000,8回表,オリックス,黒木 優太,右,3.38,楽天,ペゲーロ,左,.189,2,8,2,0,空三振
72,1000,8回表,オリックス,黒木 優太,右,3.38,楽天,ウィーラー,右,.268,0,1,4,0,二ゴロ
73,2000,8回表,オリックス,黒木 優太,右,3.38,楽天,今江 年晶,右,.308,1,4,0,0,見三振
74,3000,,,,,,,,,,,,,,
75,0000,8回裏,楽天,福山 博之,右,5.00,オリックス,大城 滉二,右,.185,0,0,1,0,二ゴロ
76,1000,8回裏,楽天,福山 博之,右,5.00,オリックス,安達 了一,右,.138,0,0,2,0,二ゴロ
77,2000,8回裏,楽天,福山 博之,右,5.00,オリックス,吉田 正尚,左,.300,3,9,3,0,二ゴロ
78,3000,,,,,,,,,,,,,,
79,0000,9回表,オリックス,増井 浩俊,右,4.50,楽天,銀次,左,.171,0,5,2,0,中安
80,0010,9回表,オリックス,増井 浩俊,右,4.50,楽天,アマダー,右,.226,0,1,6,1,二ゴロ
81,1001,9回表,オリックス,増井 浩俊,右,4.50,楽天,嶋 基宏,右,.167,0,2,3,0,空三振
82,2001,9回表,オリックス,増井 浩俊,右,4.50,楽天,藤田 一也,左,.400,0,2,1,0,三直
83,3000,,,,,,,,,,,,,,
