,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,西武,多和田 真三郎,右,4.10,オリックス,宮崎 祐樹,右,.257,3,8,10,1,四球
1,0100,1回表,西武,多和田 真三郎,右,4.10,オリックス,小田 裕也,左,.318,2,8,9,8,中安
2,0011,1回表,西武,多和田 真三郎,右,4.10,オリックス,中島 宏之,右,.260,1,9,12,0,二失
3,0010,1回表,西武,多和田 真三郎,右,4.10,オリックス,吉田 正尚,左,.306,18,67,52,2,中安
4,0101,1回表,西武,多和田 真三郎,右,4.10,オリックス,伏見 寅威,右,.303,0,15,9,0,右安
5,0101,1回表,西武,多和田 真三郎,右,4.10,オリックス,白崎 浩之,右,.325,1,7,1,0,中安
6,0110,1回表,西武,多和田 真三郎,右,4.10,オリックス,大城 滉二,右,.242,4,22,24,10,投犠打
7,1011,1回表,西武,多和田 真三郎,右,4.10,オリックス,安達 了一,右,.210,3,33,15,12,左安
8,1100,1回表,西武,多和田 真三郎,右,4.10,オリックス,若月 健矢,右,.216,0,16,6,1,二併打
9,3000,,,,,,,,,,,,,,
10,0000,1回裏,オリックス,アルバース,左,3.08,西武,秋山 翔吾,左,.330,16,56,56,8,一ゴロ
11,1000,1回裏,オリックス,アルバース,左,3.08,西武,源田 壮亮,左,.275,1,40,33,29,二ゴロ
12,2000,1回裏,オリックス,アルバース,左,3.08,西武,浅村 栄斗,右,.315,23,87,48,3,遊ゴロ
13,3000,,,,,,,,,,,,,,
14,0000,2回表,西武,多和田 真三郎,右,4.10,オリックス,宮崎 祐樹,右,.257,3,8,10,1,三ゴロ
15,1000,2回表,西武,多和田 真三郎,右,4.10,オリックス,小田 裕也,左,.318,2,8,9,8,二ゴロ
16,2000,2回表,西武,多和田 真三郎,右,4.10,オリックス,中島 宏之,右,.260,1,9,12,0,右飛
17,3000,,,,,,,,,,,,,,
18,0000,2回裏,オリックス,アルバース,左,3.08,西武,山川 穂高,右,.281,32,88,63,0,見三振
19,1000,2回裏,オリックス,アルバース,左,3.08,西武,森 友哉,左,.296,14,66,48,5,右飛
20,2000,2回裏,オリックス,アルバース,左,3.08,西武,外崎 修汰,右,.283,15,60,44,24,右本
21,2000,2回裏,オリックス,アルバース,左,3.08,西武,中村 剛也,右,.225,18,40,20,0,四球
22,2100,2回裏,オリックス,アルバース,左,3.08,西武,愛斗,右,.000,0,0,0,0,二ゴロ
23,3000,,,,,,,,,,,,,,
24,0000,3回表,西武,多和田 真三郎,右,4.10,オリックス,吉田 正尚,左,.306,18,67,52,2,二ゴロ
25,1000,3回表,西武,多和田 真三郎,右,4.10,オリックス,伏見 寅威,右,.303,0,15,9,0,遊ゴロ
26,2000,3回表,西武,多和田 真三郎,右,4.10,オリックス,白崎 浩之,右,.325,1,7,1,0,空三振
27,3000,,,,,,,,,,,,,,
28,0000,3回裏,オリックス,アルバース,左,3.08,西武,メヒア,右,.225,9,18,14,0,左本
29,0000,3回裏,オリックス,アルバース,左,3.08,西武,秋山 翔吾,左,.330,16,56,56,8,空三振
30,1000,3回裏,オリックス,アルバース,左,3.08,西武,源田 壮亮,左,.275,1,40,33,29,遊ゴロ
31,2000,3回裏,オリックス,アルバース,左,3.08,西武,浅村 栄斗,右,.315,23,87,48,3,一ゴロ
32,3000,,,,,,,,,,,,,,
33,0000,4回表,西武,多和田 真三郎,右,4.10,オリックス,大城 滉二,右,.242,4,22,24,10,遊ゴロ
34,1000,4回表,西武,多和田 真三郎,右,4.10,オリックス,安達 了一,右,.210,3,33,15,12,遊ゴロ
35,2000,4回表,西武,多和田 真三郎,右,4.10,オリックス,若月 健矢,右,.216,0,16,6,1,遊ゴロ
36,3000,,,,,,,,,,,,,,
37,0000,4回裏,オリックス,アルバース,左,3.08,西武,山川 穂高,右,.281,32,88,63,0,空三振
38,1000,4回裏,オリックス,アルバース,左,3.08,西武,森 友哉,左,.296,14,66,48,5,四球
39,1100,4回裏,オリックス,アルバース,左,3.08,西武,外崎 修汰,右,.283,15,60,44,24,三失
40,1110,4回裏,オリックス,アルバース,左,3.08,西武,中村 剛也,右,.225,18,40,20,0,空三振
41,2110,4回裏,オリックス,アルバース,左,3.08,西武,愛斗,右,.000,0,0,0,0,遊ゴロ
42,3000,,,,,,,,,,,,,,
43,0000,5回表,西武,多和田 真三郎,右,4.10,オリックス,宮崎 祐樹,右,.257,3,8,10,1,右飛
44,1000,5回表,西武,多和田 真三郎,右,4.10,オリックス,小田 裕也,左,.318,2,8,9,8,空三振
45,2000,5回表,西武,多和田 真三郎,右,4.10,オリックス,中島 宏之,右,.260,1,9,12,0,遊ゴロ
46,3000,,,,,,,,,,,,,,
47,0000,5回裏,オリックス,アルバース,左,3.08,西武,メヒア,右,.225,9,18,14,0,二飛
48,1000,5回裏,オリックス,アルバース,左,3.08,西武,秋山 翔吾,左,.330,16,56,56,8,空三振
49,2000,5回裏,オリックス,アルバース,左,3.08,西武,源田 壮亮,左,.275,1,40,33,29,投直
50,3000,,,,,,,,,,,,,,
51,0000,6回表,西武,多和田 真三郎,右,4.10,オリックス,吉田 正尚,左,.306,18,67,52,2,中安
52,0100,6回表,西武,多和田 真三郎,右,4.10,オリックス,伏見 寅威,右,.303,0,15,9,0,右飛
53,1100,6回表,西武,多和田 真三郎,右,4.10,オリックス,白崎 浩之,右,.325,1,7,1,0,中飛
54,2100,6回表,西武,多和田 真三郎,右,4.10,オリックス,大城 滉二,右,.242,4,22,24,10,投ゴロ
55,3000,,,,,,,,,,,,,,
56,0000,6回裏,オリックス,アルバース,左,3.08,西武,浅村 栄斗,右,.315,23,87,48,3,右安
57,0100,6回裏,オリックス,アルバース,左,3.08,西武,山川 穂高,右,.281,32,88,63,0,中本
58,0000,6回裏,オリックス,アルバース,左,3.08,西武,森 友哉,左,.296,14,66,48,5,右邪飛
59,1000,6回裏,オリックス,比嘉 幹貴,右,0.73,西武,外崎 修汰,右,.283,15,60,44,24,遊ゴロ
60,2000,6回裏,オリックス,比嘉 幹貴,右,0.73,西武,中村 剛也,右,.225,18,40,20,0,遊ゴロ
61,3000,,,,,,,,,,,,,,
62,0000,7回表,西武,多和田 真三郎,右,4.10,オリックス,安達 了一,右,.210,3,33,15,12,三ゴロ
63,1000,7回表,西武,多和田 真三郎,右,4.10,オリックス,若月 健矢,右,.216,0,16,6,1,中安
64,1100,7回表,西武,多和田 真三郎,右,4.10,オリックス,宮崎 祐樹,右,.257,3,8,10,1,三併打
65,3000,,,,,,,,,,,,,,
66,0000,7回裏,オリックス,山田 修義,左,0.00,西武,栗山 巧,左,.228,5,36,37,1,投安
67,0100,7回裏,オリックス,山田 修義,左,0.00,西武,メヒア,右,.225,9,18,14,0,空三振
68,1100,7回裏,オリックス,山田 修義,左,0.00,西武,秋山 翔吾,左,.330,16,56,56,8,見三振
69,2100,7回裏,オリックス,山田 修義,左,0.00,西武,源田 壮亮,左,.275,1,40,33,29,空三振
70,3000,,,,,,,,,,,,,,
71,0000,8回表,西武,多和田 真三郎,右,4.10,オリックス,小田 裕也,左,.318,2,8,9,8,死球
72,0100,8回表,西武,多和田 真三郎,右,4.10,オリックス,中島 宏之,右,.260,1,9,12,0,三ゴロ
73,1010,8回表,西武,多和田 真三郎,右,4.10,オリックス,吉田 正尚,左,.306,18,67,52,2,一ゴロ
74,2001,8回表,西武,多和田 真三郎,右,4.10,オリックス,伏見 寅威,右,.303,0,15,9,0,四球
75,2101,8回表,西武,多和田 真三郎,右,4.10,オリックス,白崎 浩之,右,.325,1,7,1,0,捕邪飛
76,3000,,,,,,,,,,,,,,
77,0000,8回裏,オリックス,山本 由伸,右,2.34,西武,浅村 栄斗,右,.315,23,87,48,3,捕邪飛
78,1000,8回裏,オリックス,山本 由伸,右,2.34,西武,山川 穂高,右,.281,32,88,63,0,三失
79,1010,8回裏,オリックス,山本 由伸,右,2.34,西武,森 友哉,左,.296,14,66,48,5,左２
80,1010,8回裏,オリックス,山本 由伸,右,2.34,西武,外崎 修汰,右,.283,15,60,44,24,三ゴロ
81,2010,8回裏,オリックス,山本 由伸,右,2.34,西武,中村 剛也,右,.225,18,40,20,0,右２
82,2010,8回裏,オリックス,山本 由伸,右,2.34,西武,栗山 巧,左,.228,5,36,37,1,見三振
83,3000,,,,,,,,,,,,,,
84,0000,9回表,西武,ヒース,右,1.99,オリックス,大城 滉二,右,.242,4,22,24,10,空三振
85,1000,9回表,西武,ヒース,右,1.99,オリックス,安達 了一,右,.210,3,33,15,12,二飛
86,2000,9回表,西武,ヒース,右,1.99,オリックス,若月 健矢,右,.216,0,16,6,1,空三振
