,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,ロッテ,ボルシンガー,右,2.36,広島,田中 広輔,左,.262,3,21,34,12,遊ゴロ
1,1000,1回表,ロッテ,ボルシンガー,右,2.36,広島,菊池 涼介,右,.268,7,25,14,3,遊ゴロ
2,2000,1回表,ロッテ,ボルシンガー,右,2.36,広島,丸 佳浩,左,.323,6,19,39,3,二飛
3,3000,,,,,,,,,,,,,,
4,0000,1回裏,広島,高橋 昂也,左,11.05,ロッテ,荻野 貴司,右,.292,2,16,7,13,三安
5,0100,1回裏,広島,高橋 昂也,左,11.05,ロッテ,藤岡 裕大,左,.257,3,21,20,5,中安
6,0110,1回裏,広島,高橋 昂也,左,11.05,ロッテ,中村 奨吾,右,.295,2,25,20,14,左飛
7,1110,1回裏,広島,高橋 昂也,左,11.05,ロッテ,角中 勝也,左,.275,1,13,6,1,左安
8,1110,1回裏,広島,高橋 昂也,左,11.05,ロッテ,ドミンゲス,右,.239,6,13,3,0,一直
9,2110,1回裏,広島,高橋 昂也,左,11.05,ロッテ,清田 育宏,右,.255,1,16,17,2,遊ゴロ
10,3000,,,,,,,,,,,,,,
11,0000,2回表,ロッテ,ボルシンガー,右,2.36,広島,鈴木 誠也,右,.305,6,20,24,0,左２
12,0010,2回表,ロッテ,ボルシンガー,右,2.36,広島,松山 竜平,左,.304,4,29,20,0,四球
13,0110,2回表,ロッテ,ボルシンガー,右,2.36,広島,野間 峻祥,左,.358,2,15,7,6,空三振
14,1110,2回表,ロッテ,ボルシンガー,右,2.36,広島,西川 龍馬,左,.282,0,7,5,0,一ゴロ
15,2011,2回表,ロッテ,ボルシンガー,右,2.36,広島,安部 友裕,左,.187,1,11,13,3,遊ゴロ
16,3000,,,,,,,,,,,,,,
17,0000,2回裏,広島,高橋 昂也,左,11.05,ロッテ,井上 晴哉,右,.234,6,30,17,1,見三振
18,1000,2回裏,広島,高橋 昂也,左,11.05,ロッテ,鈴木 大地,左,.234,1,14,19,4,左飛
19,2000,2回裏,広島,高橋 昂也,左,11.05,ロッテ,田村 龍弘,右,.233,0,10,17,2,三失
20,2100,2回裏,広島,高橋 昂也,左,11.05,ロッテ,荻野 貴司,右,.292,2,16,7,13,三安
21,2110,2回裏,広島,高橋 昂也,左,11.05,ロッテ,藤岡 裕大,左,.257,3,21,20,5,左飛
22,3000,,,,,,,,,,,,,,
23,0000,3回表,ロッテ,ボルシンガー,右,2.36,広島,石原 慶幸,右,.200,1,4,2,0,遊ゴロ
24,1000,3回表,ロッテ,ボルシンガー,右,2.36,広島,田中 広輔,左,.262,3,21,34,12,左飛
25,2000,3回表,ロッテ,ボルシンガー,右,2.36,広島,菊池 涼介,右,.268,7,25,14,3,二ゴロ
26,3000,,,,,,,,,,,,,,
27,0000,3回裏,広島,高橋 昂也,左,11.05,ロッテ,中村 奨吾,右,.295,2,25,20,14,中飛
28,1000,3回裏,広島,高橋 昂也,左,11.05,ロッテ,角中 勝也,左,.275,1,13,6,1,四球
29,1100,3回裏,広島,高橋 昂也,左,11.05,ロッテ,ドミンゲス,右,.239,6,13,3,0,中飛
30,2010,3回裏,広島,高橋 昂也,左,11.05,ロッテ,清田 育宏,右,.255,1,16,17,2,一ゴロ
31,3000,,,,,,,,,,,,,,
32,0000,4回表,ロッテ,ボルシンガー,右,2.36,広島,丸 佳浩,左,.323,6,19,39,3,遊ゴロ
