,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,広島,九里 亜蓮,右,4.26,阪神,糸原 健斗,左,.292,1,35,84,6,四球
1,0100,1回表,広島,九里 亜蓮,右,4.26,阪神,島田 海吏,左,.125,0,0,1,0,右安
2,0110,1回表,広島,九里 亜蓮,右,4.26,阪神,福留 孝介,左,.282,14,70,68,2,空三振
3,1011,1回表,広島,九里 亜蓮,右,4.26,阪神,大山 悠輔,右,.277,11,44,25,4,右飛
4,2011,1回表,広島,九里 亜蓮,右,4.26,阪神,ナバーロ,左,.289,3,25,18,0,中安
5,2100,1回表,広島,九里 亜蓮,右,4.26,阪神,伊藤 隼太,左,.270,1,13,20,0,見三振
6,3000,,,,,,,,,,,,,,
7,0000,1回裏,阪神,メッセンジャー,右,3.52,広島,田中 広輔,左,.262,10,60,75,29,四球
8,0000,1回裏,阪神,メッセンジャー,右,3.52,広島,野間 峻祥,左,.289,5,46,30,17,一ゴロ
9,2000,1回裏,阪神,メッセンジャー,右,3.52,広島,丸 佳浩,左,.310,39,97,126,10,空三振
10,3000,,,,,,,,,,,,,,
11,0000,2回表,広島,九里 亜蓮,右,4.26,阪神,梅野 隆太郎,右,.248,8,46,38,4,見三振
12,1000,2回表,広島,九里 亜蓮,右,4.26,阪神,森越 祐人,右,.111,0,1,4,0,遊飛
13,2000,2回表,広島,九里 亜蓮,右,4.26,阪神,メッセンジャー,右,.157,0,3,3,0,空三振
14,3000,,,,,,,,,,,,,,
15,0000,2回裏,阪神,メッセンジャー,右,3.52,広島,鈴木 誠也,右,.324,30,93,87,4,空三振
16,1000,2回裏,阪神,メッセンジャー,右,3.52,広島,メヒア,右,.294,3,7,1,1,中飛
17,2000,2回裏,阪神,メッセンジャー,右,3.52,広島,安部 友裕,左,.229,4,23,19,7,一ゴロ
18,3000,,,,,,,,,,,,,,
19,0000,3回表,広島,九里 亜蓮,右,4.26,阪神,糸原 健斗,左,.292,1,35,84,6,四球
20,0100,3回表,広島,九里 亜蓮,右,4.26,阪神,島田 海吏,左,.125,0,0,1,0,遊ゴロ
21,1000,3回表,広島,九里 亜蓮,右,4.26,阪神,福留 孝介,左,.282,14,70,68,2,右２
22,2010,3回表,広島,九里 亜蓮,右,4.26,阪神,大山 悠輔,右,.277,11,44,25,4,四球
23,2110,3回表,広島,九里 亜蓮,右,4.26,阪神,ナバーロ,左,.289,3,25,18,0,左飛
24,3000,,,,,,,,,,,,,,
25,0000,3回裏,阪神,メッセンジャー,右,3.52,広島,會澤 翼,右,.305,13,42,39,0,中飛
26,1000,3回裏,阪神,メッセンジャー,右,3.52,広島,曽根 海成,左,.294,0,2,2,1,空三振
27,2000,3回裏,阪神,メッセンジャー,右,3.52,広島,九里 亜蓮,右,.069,0,1,2,0,見三振
28,3000,,,,,,,,,,,,,,
29,0000,4回表,広島,九里 亜蓮,右,4.26,阪神,伊藤 隼太,左,.270,1,13,20,0,二飛
30,1000,4回表,広島,九里 亜蓮,右,4.26,阪神,梅野 隆太郎,右,.248,8,46,38,4,遊直
31,2000,4回表,広島,九里 亜蓮,右,4.26,阪神,森越 祐人,右,.111,0,1,4,0,空三振
32,3000,,,,,,,,,,,,,,
33,0000,4回裏,阪神,メッセンジャー,右,3.52,広島,田中 広輔,左,.262,10,60,75,29,二ゴロ
34,1000,4回裏,阪神,メッセンジャー,右,3.52,広島,野間 峻祥,左,.289,5,46,30,17,二ゴロ
35,2000,4回裏,阪神,メッセンジャー,右,3.52,広島,丸 佳浩,左,.310,39,97,126,10,右飛
36,3000,,,,,,,,,,,,,,
37,0000,5回表,広島,九里 亜蓮,右,4.26,阪神,メッセンジャー,右,.157,0,3,3,0,三ゴロ
38,1000,5回表,広島,九里 亜蓮,右,4.26,阪神,糸原 健斗,左,.292,1,35,84,6,右安
39,1100,5回表,広島,九里 亜蓮,右,4.26,阪神,島田 海吏,左,.125,0,0,1,0,見三振
40,2100,5回表,広島,九里 亜蓮,右,4.26,阪神,福留 孝介,左,.282,14,70,68,2,左邪飛
41,3000,,,,,,,,,,,,,,
42,0000,5回裏,阪神,メッセンジャー,右,3.52,広島,鈴木 誠也,右,.324,30,93,87,4,左安
43,0100,5回裏,阪神,メッセンジャー,右,3.52,広島,メヒア,右,.294,3,7,1,1,左本
44,0000,5回裏,阪神,メッセンジャー,右,3.52,広島,安部 友裕,左,.229,4,23,19,7,左安
45,0100,5回裏,阪神,メッセンジャー,右,3.52,広島,會澤 翼,右,.305,13,42,39,0,左２
46,0010,5回裏,阪神,メッセンジャー,右,3.52,広島,曽根 海成,左,.294,0,2,2,1,投犠打
47,1001,5回裏,阪神,メッセンジャー,右,3.52,広島,西川 龍馬,左,.311,6,46,27,5,投ゴロ
48,2001,5回裏,阪神,メッセンジャー,右,3.52,広島,田中 広輔,左,.262,10,60,75,29,二邪飛
49,3000,,,,,,,,,,,,,,
50,0000,6回表,広島,岡田 明丈,右,5.10,阪神,大山 悠輔,右,.277,11,44,25,4,一ゴロ
51,1000,6回表,広島,岡田 明丈,右,5.10,阪神,ナバーロ,左,.289,3,25,18,0,投ゴロ
52,2000,6回表,広島,岡田 明丈,右,5.10,阪神,伊藤 隼太,左,.270,1,13,20,0,三邪飛
53,3000,,,,,,,,,,,,,,
54,0000,6回裏,阪神,メッセンジャー,右,3.52,広島,野間 峻祥,左,.289,5,46,30,17,見三振
55,1000,6回裏,阪神,メッセンジャー,右,3.52,広島,丸 佳浩,左,.310,39,97,126,10,四球
56,1100,6回裏,阪神,メッセンジャー,右,3.52,広島,鈴木 誠也,右,.324,30,93,87,4,空三振
57,2100,6回裏,阪神,メッセンジャー,右,3.52,広島,メヒア,右,.294,3,7,1,1,二飛
58,3000,,,,,,,,,,,,,,
59,0000,7回表,広島,永川 勝浩,右,5.09,阪神,梅野 隆太郎,右,.248,8,46,38,4,四球
60,0100,7回表,広島,永川 勝浩,右,5.09,阪神,森越 祐人,右,.111,0,1,4,0,投犠打
61,1010,7回表,広島,ヘルウェグ,右,1.13,阪神,鳥谷 敬,左,.228,1,20,32,1,見三振
62,2010,7回表,広島,ヘルウェグ,右,1.13,阪神,糸原 健斗,左,.292,1,35,84,6,遊安
63,2101,7回表,広島,ヘルウェグ,右,1.13,阪神,島田 海吏,左,.125,0,0,1,0,四球
64,2111,7回表,広島,ヘルウェグ,右,1.13,阪神,福留 孝介,左,.282,14,70,68,2,四球
65,2111,7回表,広島,ヘルウェグ,右,1.13,阪神,大山 悠輔,右,.277,11,44,25,4,三ゴロ
66,3000,,,,,,,,,,,,,,
67,0000,7回裏,阪神,能見 篤史,左,2.75,広島,安部 友裕,左,.229,4,23,19,7,見三振
68,1000,7回裏,阪神,能見 篤史,左,2.75,広島,會澤 翼,右,.305,13,42,39,0,左飛
69,2000,7回裏,阪神,能見 篤史,左,2.75,広島,曽根 海成,左,.294,0,2,2,1,空三振
70,3000,,,,,,,,,,,,,,
71,0000,8回表,広島,ジャクソン,右,2.76,阪神,ナバーロ,左,.289,3,25,18,0,空三振
72,1000,8回表,広島,ジャクソン,右,2.76,阪神,伊藤 隼太,左,.270,1,13,20,0,遊飛
73,2000,8回表,広島,ジャクソン,右,2.76,阪神,梅野 隆太郎,右,.248,8,46,38,4,右飛
74,3000,,,,,,,,,,,,,,
75,0000,8回裏,阪神,能見 篤史,左,2.75,広島,新井 貴浩,右,.221,4,24,14,0,二ゴロ
76,1000,8回裏,阪神,能見 篤史,左,2.75,広島,田中 広輔,左,.262,10,60,75,29,二ゴロ
77,2000,8回裏,阪神,能見 篤史,左,2.75,広島,野間 峻祥,左,.289,5,46,30,17,遊ゴロ
78,3000,,,,,,,,,,,,,,
79,0000,9回表,広島,今村 猛,右,4.82,阪神,西岡 剛,左,.132,0,1,3,0,見三振
80,1000,9回表,広島,今村 猛,右,4.82,阪神,陽川 尚将,右,.251,6,44,15,5,四球
