,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,西武,榎田 大樹,左,2.94,中日,大島 洋平,左,.271,5,23,22,11,左安
1,0100,1回表,西武,榎田 大樹,左,2.94,中日,荒木 雅博,右,.267,0,0,0,0,遊ゴロ
2,0011,1回表,西武,榎田 大樹,左,2.94,中日,アルモンテ,右,.321,10,42,28,0,遊ゴロ
3,1010,1回表,西武,榎田 大樹,左,2.94,中日,ビシエド,右,.288,9,39,19,1,中安
4,1100,1回表,西武,榎田 大樹,左,2.94,中日,平田 良介,右,.330,4,20,25,7,右飛
5,2100,1回表,西武,榎田 大樹,左,2.94,中日,高橋 周平,左,.271,4,27,14,0,見三振
6,3000,,,,,,,,,,,,,,
7,0000,1回裏,中日,藤嶋 健人,右,1.91,西武,秋山 翔吾,左,.363,10,44,35,6,左安
8,0100,1回裏,中日,藤嶋 健人,右,1.91,西武,源田 壮亮,左,.286,0,30,15,21,右安
9,0110,1回裏,中日,藤嶋 健人,右,1.91,西武,浅村 栄斗,右,.296,14,50,33,3,見三振
10,1110,1回裏,中日,藤嶋 健人,右,1.91,西武,山川 穂高,右,.283,18,60,49,0,空三振
11,2110,1回裏,中日,藤嶋 健人,右,1.91,西武,栗山 巧,左,.263,3,25,27,0,空三振
12,3000,,,,,,,,,,,,,,
13,0000,2回表,西武,榎田 大樹,左,2.94,中日,福田 永将,右,.268,6,26,17,0,空三振
14,1000,2回表,西武,榎田 大樹,左,2.94,中日,大野 奨太,右,.223,2,8,15,0,二飛
15,2000,2回表,西武,榎田 大樹,左,2.94,中日,京田 陽太,左,.240,1,18,7,13,空三振
16,3000,,,,,,,,,,,,,,
17,0000,2回裏,中日,藤嶋 健人,右,1.91,西武,外崎 修汰,右,.282,9,33,30,16,中飛
18,1000,2回裏,中日,藤嶋 健人,右,1.91,西武,森 友哉,左,.283,6,36,28,5,空三振
19,2000,2回裏,中日,藤嶋 健人,右,1.91,西武,炭谷 銀仁朗,右,.296,0,7,2,0,右安
20,2100,2回裏,中日,藤嶋 健人,右,1.91,西武,金子 侑司,左,.211,1,18,17,20,一直
21,3000,,,,,,,,,,,,,,
22,0000,3回表,西武,榎田 大樹,左,2.94,中日,大島 洋平,左,.271,5,23,22,11,四球
23,0100,3回表,西武,榎田 大樹,左,2.94,中日,荒木 雅博,右,.267,0,0,0,0,三安
24,0110,3回表,西武,榎田 大樹,左,2.94,中日,アルモンテ,右,.321,10,42,28,0,左飛
25,1110,3回表,西武,榎田 大樹,左,2.94,中日,ビシエド,右,.288,9,39,19,1,四球
26,1111,3回表,西武,榎田 大樹,左,2.94,中日,平田 良介,右,.330,4,20,25,7,四球
27,1111,3回表,西武,榎田 大樹,左,2.94,中日,高橋 周平,左,.271,4,27,14,0,左犠飛
28,2110,3回表,西武,榎田 大樹,左,2.94,中日,福田 永将,右,.268,6,26,17,0,左安
29,2011,3回表,西武,榎田 大樹,左,2.94,中日,大野 奨太,右,.223,2,8,15,0,遊飛
30,3000,,,,,,,,,,,,,,
31,0000,3回裏,中日,藤嶋 健人,右,1.91,西武,秋山 翔吾,左,.363,10,44,35,6,二ゴロ
32,1000,3回裏,中日,藤嶋 健人,右,1.91,西武,源田 壮亮,左,.286,0,30,15,21,左飛
33,2000,3回裏,中日,藤嶋 健人,右,1.91,西武,浅村 栄斗,右,.296,14,50,33,3,中安
34,2100,3回裏,中日,藤嶋 健人,右,1.91,西武,山川 穂高,右,.283,18,60,49,0,三飛
35,3000,,,,,,,,,,,,,,
36,0000,4回表,西武,榎田 大樹,左,2.94,中日,京田 陽太,左,.240,1,18,7,13,遊飛
37,1000,4回表,西武,榎田 大樹,左,2.94,中日,大島 洋平,左,.271,5,23,22,11,四球
38,1000,4回表,西武,南川 忠亮,右,13.50,中日,荒木 雅博,右,.267,0,0,0,0,中安
39,2100,4回表,西武,南川 忠亮,右,13.50,中日,アルモンテ,左,.321,10,42,28,0,中安
40,2101,4回表,西武,南川 忠亮,右,13.50,中日,ビシエド,右,.288,9,39,19,1,左本
41,2000,4回表,西武,南川 忠亮,右,13.50,中日,平田 良介,右,.330,4,20,25,7,左２
42,2010,4回表,西武,南川 忠亮,右,13.50,中日,高橋 周平,左,.271,4,27,14,0,中２
43,2010,4回表,西武,南川 忠亮,右,13.50,中日,福田 永将,右,.268,6,26,17,0,右飛
44,3000,,,,,,,,,,,,,,
45,0000,4回裏,中日,藤嶋 健人,右,1.91,西武,栗山 巧,左,.263,3,25,27,0,右安
46,0100,4回裏,中日,藤嶋 健人,右,1.91,西武,外崎 修汰,右,.282,9,33,30,16,右飛
47,1100,4回裏,中日,藤嶋 健人,右,1.91,西武,森 友哉,左,.283,6,36,28,5,中本
48,1000,4回裏,中日,藤嶋 健人,右,1.91,西武,炭谷 銀仁朗,右,.296,0,7,2,0,一飛
49,2000,4回裏,中日,藤嶋 健人,右,1.91,西武,金子 侑司,左,.211,1,18,17,20,二ゴロ
50,3000,,,,,,,,,,,,,,
51,0000,5回表,西武,田村 伊知郎,右,0.00,中日,大野 奨太,右,.223,2,8,15,0,左飛
52,1000,5回表,西武,田村 伊知郎,右,0.00,中日,京田 陽太,左,.240,1,18,7,13,右安
53,1100,5回表,西武,田村 伊知郎,右,0.00,中日,大島 洋平,左,.271,5,23,22,11,一ゴロ
54,2010,5回表,西武,田村 伊知郎,右,0.00,中日,荒木 雅博,右,.267,0,0,0,0,一邪飛
55,3000,,,,,,,,,,,,,,
56,0000,5回裏,中日,藤嶋 健人,右,1.91,西武,秋山 翔吾,左,.363,10,44,35,6,中安
57,0100,5回裏,中日,藤嶋 健人,右,1.91,西武,源田 壮亮,左,.286,0,30,15,21,遊安
58,0110,5回裏,中日,藤嶋 健人,右,1.91,西武,浅村 栄斗,右,.296,14,50,33,3,遊併打
59,2001,5回裏,中日,藤嶋 健人,右,1.91,西武,山川 穂高,右,.283,18,60,49,0,四球
60,2101,5回裏,中日,藤嶋 健人,右,1.91,西武,栗山 巧,左,.263,3,25,27,0,三邪飛
61,3000,,,,,,,,,,,,,,
62,0000,6回表,西武,田村 伊知郎,右,0.00,中日,アルモンテ,左,.321,10,42,28,0,右安
63,0100,6回表,西武,田村 伊知郎,右,0.00,中日,ビシエド,右,.288,9,39,19,1,一邪飛
64,1100,6回表,西武,田村 伊知郎,右,0.00,中日,平田 良介,右,.330,4,20,25,7,左安
65,1110,6回表,西武,田村 伊知郎,右,0.00,中日,高橋 周平,左,.271,4,27,14,0,右飛
66,2110,6回表,西武,田村 伊知郎,右,0.00,中日,福田 永将,右,.268,6,26,17,0,空三振
67,3000,,,,,,,,,,,,,,
68,0000,6回裏,中日,藤嶋 健人,右,1.91,西武,外崎 修汰,右,.282,9,33,30,16,中飛
69,1000,6回裏,中日,藤嶋 健人,右,1.91,西武,森 友哉,左,.283,6,36,28,5,中飛
70,2000,6回裏,中日,藤嶋 健人,右,1.91,西武,岡田 雅利,右,.333,2,5,2,0,中安
71,2100,6回裏,中日,藤嶋 健人,右,1.91,西武,金子 侑司,左,.211,1,18,17,20,空三振
72,3000,,,,,,,,,,,,,,
73,0000,7回表,西武,小石 博孝,左,3.52,中日,大野 奨太,右,.223,2,8,15,0,四球
74,0100,7回表,西武,小石 博孝,左,3.52,中日,京田 陽太,左,.240,1,18,7,13,左飛
75,1100,7回表,西武,小石 博孝,左,3.52,中日,大島 洋平,左,.271,5,23,22,11,遊ゴロ
76,2100,7回表,西武,小石 博孝,左,3.52,中日,荒木 雅博,右,.267,0,0,0,0,遊ゴロ
77,3000,,,,,,,,,,,,,,
78,0000,7回裏,中日,鈴木 博志,右,4.40,西武,秋山 翔吾,左,.363,10,44,35,6,右飛
79,1000,7回裏,中日,鈴木 博志,右,4.40,西武,源田 壮亮,左,.286,0,30,15,21,空三振
80,2000,7回裏,中日,鈴木 博志,右,4.40,西武,浅村 栄斗,右,.296,14,50,33,3,左本
81,2000,7回裏,中日,鈴木 博志,右,4.40,西武,山川 穂高,右,.283,18,60,49,0,四球
82,2100,7回裏,中日,鈴木 博志,右,4.40,西武,栗山 巧,左,.263,3,25,27,0,中飛
83,3000,,,,,,,,,,,,,,
