,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,ＤｅＮＡ,東 克樹,左,2.72,阪神,糸原 健斗,左,.287,1,20,44,2,中飛
1,1000,1回表,ＤｅＮＡ,東 克樹,左,2.72,阪神,北條 史也,右,.339,1,7,3,0,左本
2,1000,1回表,ＤｅＮＡ,東 克樹,左,2.72,阪神,ナバーロ,左,.323,0,5,4,0,一ゴロ
3,2000,1回表,ＤｅＮＡ,東 克樹,左,2.72,阪神,陽川 尚将,右,.299,3,23,8,1,四球
4,2100,1回表,ＤｅＮＡ,東 克樹,左,2.72,阪神,福留 孝介,左,.251,7,34,39,0,一ゴロ
5,3000,,,,,,,,,,,,,,
6,0000,1回裏,阪神,秋山 拓巳,右,3.91,ＤｅＮＡ,桑原 将志,右,.295,6,14,12,13,左本
7,0000,1回裏,阪神,秋山 拓巳,右,3.91,ＤｅＮＡ,ソト,右,.315,10,29,7,0,中飛
8,1000,1回裏,阪神,秋山 拓巳,右,3.91,ＤｅＮＡ,宮崎 敏郎,右,.315,16,43,22,0,中安
9,1100,1回裏,阪神,秋山 拓巳,右,3.91,ＤｅＮＡ,筒香 嘉智,左,.302,21,53,46,0,左２
10,1011,1回裏,阪神,秋山 拓巳,右,3.91,ＤｅＮＡ,ロペス,右,.321,16,42,8,0,空三振
11,2011,1回裏,阪神,秋山 拓巳,右,3.91,ＤｅＮＡ,倉本 寿彦,左,.223,1,10,3,1,右飛
12,3000,,,,,,,,,,,,,,
13,0000,2回表,ＤｅＮＡ,東 克樹,左,2.72,阪神,ロサリオ,右,.228,4,22,11,0,空三振
14,1000,2回表,ＤｅＮＡ,東 克樹,左,2.72,阪神,俊介,右,.218,2,10,3,1,右飛
15,2000,2回表,ＤｅＮＡ,東 克樹,左,2.72,阪神,梅野 隆太郎,右,.213,4,21,17,2,三ゴロ
16,3000,,,,,,,,,,,,,,
17,0000,2回裏,阪神,秋山 拓巳,右,3.91,ＤｅＮＡ,伊藤 光,右,.250,0,2,0,0,死球
18,0100,2回裏,阪神,秋山 拓巳,右,3.91,ＤｅＮＡ,東 克樹,左,.040,0,1,0,0,三犠打
19,1010,2回裏,阪神,秋山 拓巳,右,3.91,ＤｅＮＡ,柴田 竜拓,左,.202,3,7,15,2,中２
20,1010,2回裏,阪神,秋山 拓巳,右,3.91,ＤｅＮＡ,桑原 将志,右,.295,6,14,12,13,左安
21,1100,2回裏,阪神,秋山 拓巳,右,3.91,ＤｅＮＡ,ソト,右,.315,10,29,7,0,空三振
22,2010,2回裏,阪神,秋山 拓巳,右,3.91,ＤｅＮＡ,宮崎 敏郎,右,.315,16,43,22,0,中安
23,2100,2回裏,阪神,秋山 拓巳,右,3.91,ＤｅＮＡ,筒香 嘉智,左,.302,21,53,46,0,左２
24,2010,2回裏,阪神,秋山 拓巳,右,3.91,ＤｅＮＡ,ロペス,右,.321,16,42,8,0,左飛
25,3000,,,,,,,,,,,,,,
26,0000,3回表,ＤｅＮＡ,東 克樹,左,2.72,阪神,秋山 拓巳,左,.174,1,3,0,0,空三振
27,1000,3回表,ＤｅＮＡ,東 克樹,左,2.72,阪神,糸原 健斗,左,.287,1,20,44,2,二失
28,1100,3回表,ＤｅＮＡ,東 克樹,左,2.72,阪神,北條 史也,右,.339,1,7,3,0,一ゴロ
29,2010,3回表,ＤｅＮＡ,東 克樹,左,2.72,阪神,ナバーロ,左,.323,0,5,4,0,右飛
30,3000,,,,,,,,,,,,,,
31,0000,3回裏,阪神,秋山 拓巳,右,3.91,ＤｅＮＡ,倉本 寿彦,左,.223,1,10,3,1,空三振
32,1000,3回裏,阪神,秋山 拓巳,右,3.91,ＤｅＮＡ,伊藤 光,右,.250,0,2,0,0,空三振
