,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,中日,松坂 大輔,右,2.55,阪神,糸原 健斗,左,.292,1,22,55,3,二安
1,0100,1回表,中日,松坂 大輔,右,2.55,阪神,北條 史也,右,.365,1,12,11,0,空三振
2,1100,1回表,中日,松坂 大輔,右,2.55,阪神,ナバーロ,左,.279,1,10,6,0,二飛
3,2100,1回表,中日,松坂 大輔,右,2.55,阪神,福留 孝介,左,.275,8,44,46,0,四球
4,2110,1回表,中日,松坂 大輔,右,2.55,阪神,中谷 将大,右,.248,3,17,11,0,遊飛
5,3000,,,,,,,,,,,,,,
6,0000,1回裏,阪神,才木 浩人,右,4.34,中日,京田 陽太,左,.243,3,31,10,17,二飛
7,1000,1回裏,阪神,才木 浩人,右,4.34,中日,亀澤 恭平,左,.287,0,6,11,4,左飛
8,2000,1回裏,阪神,才木 浩人,右,4.34,中日,大島 洋平,左,.265,5,31,28,13,二ゴロ
9,3000,,,,,,,,,,,,,,
10,0000,2回表,中日,松坂 大輔,右,2.55,阪神,陽川 尚将,右,.265,4,26,11,1,遊ゴロ
11,1000,2回表,中日,松坂 大輔,右,2.55,阪神,ロサリオ,右,.241,7,30,13,0,投ゴロ
12,2000,2回表,中日,松坂 大輔,右,2.55,阪神,梅野 隆太郎,右,.221,4,22,20,2,左２
13,2010,2回表,中日,松坂 大輔,右,2.55,阪神,才木 浩人,右,.125,0,0,0,0,右安
14,2101,2回表,中日,松坂 大輔,右,2.55,阪神,糸原 健斗,左,.292,1,22,55,3,四球
15,2111,2回表,中日,松坂 大輔,右,2.55,阪神,北條 史也,右,.365,1,12,11,0,四球
16,2111,2回表,中日,松坂 大輔,右,2.55,阪神,ナバーロ,左,.279,1,10,6,0,右飛
17,3000,,,,,,,,,,,,,,
18,0000,2回裏,阪神,才木 浩人,右,4.34,中日,ビシエド,右,.310,15,61,34,1,四球
19,0100,2回裏,阪神,才木 浩人,右,4.34,中日,平田 良介,右,.330,5,35,39,8,空三振
20,1100,2回裏,阪神,才木 浩人,右,4.34,中日,藤井 淳志,左,.263,2,25,6,0,四球
21,1110,2回裏,阪神,才木 浩人,右,4.34,中日,高橋 周平,左,.257,6,41,21,0,右本
22,1000,2回裏,阪神,才木 浩人,右,4.34,中日,松井 雅人,左,.225,2,13,18,0,空三振
23,2000,2回裏,阪神,才木 浩人,右,4.34,中日,松坂 大輔,右,.154,0,0,0,0,空三振
24,3000,,,,,,,,,,,,,,
25,0000,3回表,中日,松坂 大輔,右,2.55,阪神,福留 孝介,左,.275,8,44,46,0,中２
26,0010,3回表,中日,松坂 大輔,右,2.55,阪神,中谷 将大,右,.248,3,17,11,0,死球
27,0110,3回表,中日,松坂 大輔,右,2.55,阪神,陽川 尚将,右,.265,4,26,11,1,左２
28,0011,3回表,中日,松坂 大輔,右,2.55,阪神,ロサリオ,右,.241,7,30,13,0,二飛
29,1011,3回表,中日,松坂 大輔,右,2.55,阪神,梅野 隆太郎,右,.221,4,22,20,2,四球
30,1111,3回表,中日,松坂 大輔,右,2.55,阪神,才木 浩人,右,.125,0,0,0,0,見三振
31,2111,3回表,中日,松坂 大輔,右,2.55,阪神,糸原 健斗,左,.292,1,22,55,3,見三振
32,3000,,,,,,,,,,,,,,
33,0000,3回裏,阪神,才木 浩人,右,4.34,中日,京田 陽太,左,.243,3,31,10,17,空三振
34,1000,3回裏,阪神,才木 浩人,右,4.34,中日,亀澤 恭平,左,.287,0,6,11,4,四球
35,1010,3回裏,阪神,才木 浩人,右,4.34,中日,大島 洋平,左,.265,5,31,28,13,二ゴロ
36,2001,3回裏,阪神,才木 浩人,右,4.34,中日,ビシエド,右,.310,15,61,34,1,左飛
37,3000,,,,,,,,,,,,,,
38,0000,4回表,中日,松坂 大輔,右,2.55,阪神,北條 史也,右,.365,1,12,11,0,二ゴロ
39,1000,4回表,中日,松坂 大輔,右,2.55,阪神,ナバーロ,左,.279,1,10,6,0,四球
40,1100,4回表,中日,松坂 大輔,右,2.55,阪神,福留 孝介,左,.275,8,44,46,0,左飛
41,3000,,,,,,,,,,,,,,
42,0000,4回裏,阪神,才木 浩人,右,4.34,中日,平田 良介,右,.330,5,35,39,8,遊ゴロ
43,1000,4回裏,阪神,才木 浩人,右,4.34,中日,藤井 淳志,左,.263,2,25,6,0,左飛
44,2000,4回裏,阪神,才木 浩人,右,4.34,中日,高橋 周平,左,.257,6,41,21,0,左本
45,2000,4回裏,阪神,才木 浩人,右,4.34,中日,松井 雅人,左,.225,2,13,18,0,見三振
46,3000,,,,,,,,,,,,,,
47,0000,5回表,中日,松坂 大輔,右,2.55,阪神,中谷 将大,右,.248,3,17,11,0,空三振
48,1000,5回表,中日,松坂 大輔,右,2.55,阪神,陽川 尚将,右,.265,4,26,11,1,空三振
49,2000,5回表,中日,松坂 大輔,右,2.55,阪神,ロサリオ,右,.241,7,30,13,0,遊ゴロ
50,3000,,,,,,,,,,,,,,
51,0000,5回裏,阪神,才木 浩人,右,4.34,中日,松坂 大輔,右,.154,0,0,0,0,一飛
52,1000,5回裏,阪神,才木 浩人,右,4.34,中日,京田 陽太,左,.243,3,31,10,17,空三振
53,2000,5回裏,阪神,才木 浩人,右,4.34,中日,亀澤 恭平,左,.287,0,6,11,4,投安
54,2100,5回裏,阪神,才木 浩人,右,4.34,中日,大島 洋平,左,.265,5,31,28,13,ボール
55,3000,,,,,,,,,,,,,,
56,0000,6回表,中日,佐藤 優,右,3.12,阪神,梅野 隆太郎,右,.221,4,22,20,2,中飛
57,1000,6回表,中日,佐藤 優,右,3.12,阪神,鳥谷 敬,左,.212,0,13,26,0,二ゴロ
58,2000,6回表,中日,佐藤 優,右,3.12,阪神,糸原 健斗,左,.292,1,22,55,3,四球
59,2100,6回表,中日,佐藤 優,右,3.12,阪神,北條 史也,右,.365,1,12,11,0,三ゴロ
60,3000,,,,,,,,,,,,,,
61,0000,6回裏,阪神,望月 惇志,右,4.76,中日,大島 洋平,左,.265,5,31,28,13,中安
62,0010,6回裏,阪神,望月 惇志,右,4.76,中日,ビシエド,右,.310,15,61,34,1,四球
