,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,ロッテ,涌井 秀章,右,3.82,楽天,田中 和基,左,.284,17,39,29,21,四球
1,0000,1回表,ロッテ,涌井 秀章,右,3.82,楽天,オコエ 瑠偉,右,.217,1,5,2,1,空三振
2,2000,1回表,ロッテ,涌井 秀章,右,3.82,楽天,島内 宏明,左,.287,10,50,40,9,二ゴロ
3,3000,,,,,,,,,,,,,,
4,0000,1回裏,楽天,岸 孝之,右,2.63,ロッテ,岡 大海,右,.190,0,12,13,9,遊ゴロ
5,1000,1回裏,楽天,岸 孝之,右,2.63,ロッテ,平沢 大河,左,.231,3,28,43,6,空三振
6,2000,1回裏,楽天,岸 孝之,右,2.63,ロッテ,中村 奨吾,右,.283,5,51,54,34,右安
7,2010,1回裏,楽天,岸 孝之,右,2.63,ロッテ,井上 晴哉,右,.293,20,84,52,1,四球
8,2110,1回裏,楽天,岸 孝之,右,2.63,ロッテ,角中 勝也,左,.281,7,50,36,3,死球
9,2111,1回裏,楽天,岸 孝之,右,2.63,ロッテ,藤岡 裕大,左,.241,5,40,41,14,見三振
10,3000,,,,,,,,,,,,,,
11,0000,2回表,ロッテ,涌井 秀章,右,3.82,楽天,ウィーラー,右,.258,11,44,29,3,中安
12,0100,2回表,ロッテ,涌井 秀章,右,3.82,楽天,銀次,左,.272,4,42,46,1,左飛
13,1100,2回表,ロッテ,涌井 秀章,右,3.82,楽天,藤田 一也,左,.269,4,16,18,0,中安
14,1110,2回表,ロッテ,涌井 秀章,右,3.82,楽天,内田 靖人,右,.209,7,13,11,0,空三振
15,2110,2回表,ロッテ,涌井 秀章,右,3.82,楽天,嶋 基宏,右,.206,0,21,30,1,遊ゴロ
16,3000,,,,,,,,,,,,,,
17,0000,2回裏,楽天,岸 孝之,右,2.63,ロッテ,鈴木 大地,左,.267,6,40,39,8,中２
18,0010,2回裏,楽天,岸 孝之,右,2.63,ロッテ,福浦 和也,左,.215,1,11,9,0,右安
19,0100,2回裏,楽天,岸 孝之,右,2.63,ロッテ,田村 龍弘,右,.245,3,33,38,3,投犠打
20,1010,2回裏,楽天,岸 孝之,右,2.63,ロッテ,岡 大海,右,.190,0,12,13,9,見三振
21,2010,2回裏,楽天,岸 孝之,右,2.63,ロッテ,平沢 大河,左,.231,3,28,43,6,空三振
22,3000,,,,,,,,,,,,,,
23,0000,3回表,ロッテ,涌井 秀章,右,3.82,楽天,村林 一輝,右,.154,0,1,1,0,二ゴロ
24,1000,3回表,ロッテ,涌井 秀章,右,3.82,楽天,田中 和基,左,.284,17,39,29,21,二ゴロ
25,2000,3回表,ロッテ,涌井 秀章,右,3.82,楽天,オコエ 瑠偉,右,.217,1,5,2,1,遊直
26,3000,,,,,,,,,,,,,,
27,0000,3回裏,楽天,岸 孝之,右,2.63,ロッテ,中村 奨吾,右,.283,5,51,54,34,中飛
28,1000,3回裏,楽天,岸 孝之,右,2.63,ロッテ,井上 晴哉,右,.293,20,84,52,1,空三振
29,2000,3回裏,楽天,岸 孝之,右,2.63,ロッテ,角中 勝也,左,.281,7,50,36,3,左飛
30,3000,,,,,,,,,,,,,,
31,0000,4回表,ロッテ,涌井 秀章,右,3.82,楽天,島内 宏明,左,.287,10,50,40,9,右安
32,0100,4回表,ロッテ,涌井 秀章,右,3.82,楽天,ウィーラー,右,.258,11,44,29,3,中安
33,0101,4回表,ロッテ,涌井 秀章,右,3.82,楽天,銀次,左,.272,4,42,46,1,右犠飛
34,1100,4回表,ロッテ,涌井 秀章,右,3.82,楽天,藤田 一也,左,.269,4,16,18,0,右飛
35,2100,4回表,ロッテ,涌井 秀章,右,3.82,楽天,内田 靖人,右,.209,7,13,11,0,左本
36,2000,4回表,ロッテ,涌井 秀章,右,3.82,楽天,嶋 基宏,右,.206,0,21,30,1,右安
37,2100,4回表,ロッテ,涌井 秀章,右,3.82,楽天,村林 一輝,右,.154,0,1,1,0,遊ゴロ
38,3000,,,,,,,,,,,,,,
39,0000,4回裏,楽天,岸 孝之,右,2.63,ロッテ,藤岡 裕大,左,.241,5,40,41,14,空三振
40,1000,4回裏,楽天,岸 孝之,右,2.63,ロッテ,鈴木 大地,左,.267,6,40,39,8,遊飛
41,2000,4回裏,楽天,岸 孝之,右,2.63,ロッテ,福浦 和也,左,.215,1,11,9,0,遊ゴロ
42,3000,,,,,,,,,,,,,,
43,0000,5回表,ロッテ,涌井 秀章,右,3.82,楽天,田中 和基,左,.284,17,39,29,21,右安
44,0100,5回表,ロッテ,涌井 秀章,右,3.82,楽天,オコエ 瑠偉,右,.217,1,5,2,1,左飛
