,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,西川 遥輝,左,.246,4,21,47,21,空三振
1,1000,1回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,大田 泰示,右,.261,11,33,20,2,遊ゴロ
2,2000,1回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,近藤 健介,左,.342,6,27,31,3,四球
3,2100,1回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,中田 翔,右,.246,14,42,13,0,左飛
4,3000,,,,,,,,,,,,,,
5,0000,1回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,桑原 将志,右,.255,2,6,5,6,見三振
6,1000,1回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,神里 和毅,左,.266,3,9,13,13,左安
7,1100,1回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,ソト,右,.314,6,17,2,0,空三振
8,2010,1回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,筒香 嘉智,左,.298,15,40,35,0,一ゴロ
9,3000,,,,,,,,,,,,,,
10,0000,2回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,レアード,右,.234,12,29,17,0,空三振
11,1000,2回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,横尾 俊建,右,.200,5,14,6,0,左本
12,1000,2回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,鶴岡 慎也,右,.284,0,9,5,1,空三振
13,2000,2回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,中島 卓也,左,.221,1,8,18,9,中安
14,2100,2回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,村田 透,左,.000,0,0,0,0,空三振
15,3000,,,,,,,,,,,,,,
16,0000,2回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,宮崎 敏郎,右,.322,11,31,14,0,右安
17,0100,2回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,山下 幸輝,左,.217,0,1,0,0,右飛
18,1100,2回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,高城 俊人,右,.176,0,2,1,0,遊併打
19,3000,,,,,,,,,,,,,,
20,0000,3回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,西川 遥輝,左,.246,4,21,47,21,左安
21,0100,3回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,大田 泰示,右,.261,11,33,20,2,三併打
22,2000,3回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,近藤 健介,左,.342,6,27,31,3,遊直
23,3000,,,,,,,,,,,,,,
24,0000,3回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,濱口 遥大,左,.000,0,0,0,0,遊ゴロ
25,1000,3回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,大和,右,.225,0,12,13,3,右２
26,1010,3回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,桑原 将志,右,.255,2,6,5,6,中飛
27,2010,3回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,神里 和毅,左,.266,3,9,13,13,左安
28,2101,3回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,ソト,右,.314,6,17,2,0,中安
29,2101,3回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,筒香 嘉智,左,.298,15,40,35,0,三ゴロ
30,3000,,,,,,,,,,,,,,
31,0000,4回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,中田 翔,右,.246,14,42,13,0,三ゴロ
32,1000,4回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,レアード,右,.234,12,29,17,0,空三振
33,2000,4回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,横尾 俊建,右,.200,5,14,6,0,空三振
34,3000,,,,,,,,,,,,,,
35,0000,4回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,宮崎 敏郎,右,.322,11,31,14,0,遊ゴロ
36,1000,4回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,山下 幸輝,左,.217,0,1,0,0,二ゴロ
37,2000,4回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,高城 俊人,右,.176,0,2,1,0,中安
38,2100,4回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,濱口 遥大,左,.000,0,0,0,0,中飛
39,3000,,,,,,,,,,,,,,
40,0000,5回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,鶴岡 慎也,右,.284,0,9,5,1,三安
41,0100,5回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,中島 卓也,左,.221,1,8,18,9,投犠打
42,1010,5回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,村田 透,左,.000,0,0,0,0,左安
43,1101,5回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,西川 遥輝,左,.246,4,21,47,21,見三振
44,2101,5回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,大田 泰示,右,.261,11,33,20,2,空三振
45,3000,,,,,,,,,,,,,,
46,0000,5回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,大和,右,.225,0,12,13,3,三安
47,0100,5回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,桑原 将志,右,.255,2,6,5,6,三邪飛
48,1100,5回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,神里 和毅,左,.266,3,9,13,13,右２
49,1011,5回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,ソト,右,.314,6,17,2,0,三ゴロ
50,2011,5回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,筒香 嘉智,左,.298,15,40,35,0,二安
51,2100,5回裏,日本ハム,村田 透,右,3.38,ＤｅＮＡ,宮崎 敏郎,右,.322,11,31,14,0,四球
52,2110,5回裏,日本ハム,公文 克彦,左,0.50,ＤｅＮＡ,山下 幸輝,左,.217,0,1,0,0,投ゴロ
53,3000,,,,,,,,,,,,,,
54,0000,6回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,近藤 健介,左,.342,6,27,31,3,右本
55,0000,6回表,ＤｅＮＡ,濱口 遥大,左,4.07,日本ハム,中田 翔,右,.246,14,42,13,0,左本
56,0000,6回表,ＤｅＮＡ,三嶋 一輝,右,2.48,日本ハム,レアード,右,.234,12,29,17,0,空三振
57,1000,6回表,ＤｅＮＡ,三嶋 一輝,右,2.48,日本ハム,横尾 俊建,右,.200,5,14,6,0,一飛
58,2000,6回表,ＤｅＮＡ,三嶋 一輝,右,2.48,日本ハム,鶴岡 慎也,右,.284,0,9,5,1,三ゴロ
59,3000,,,,,,,,,,,,,,
60,0000,6回裏,日本ハム,公文 克彦,左,0.50,ＤｅＮＡ,高城 俊人,右,.176,0,2,1,0,投ゴロ
61,1000,6回裏,日本ハム,公文 克彦,左,0.50,ＤｅＮＡ,中川 大志,右,.400,0,3,1,0,空三振
62,2000,6回裏,日本ハム,公文 克彦,左,0.50,ＤｅＮＡ,大和,右,.225,0,12,13,3,遊飛
63,3000,,,,,,,,,,,,,,
64,0000,7回表,ＤｅＮＡ,エスコバー,左,1.93,日本ハム,中島 卓也,左,.221,1,8,18,9,遊安
65,0100,7回表,ＤｅＮＡ,エスコバー,左,1.93,日本ハム,杉谷 拳士,右,.262,1,4,4,1,投犠打
66,1010,7回表,ＤｅＮＡ,エスコバー,左,1.93,日本ハム,西川 遥輝,左,.246,4,21,47,21,遊飛
67,2010,7回表,ＤｅＮＡ,エスコバー,左,1.93,日本ハム,大田 泰示,右,.261,11,33,20,2,空三振
68,3000,,,,,,,,,,,,,,
69,0000,7回裏,日本ハム,西村 天裕,右,2.75,ＤｅＮＡ,桑原 将志,右,.255,2,6,5,6,四球
70,0100,7回裏,日本ハム,西村 天裕,右,2.75,ＤｅＮＡ,神里 和毅,左,.266,3,9,13,13,左２
71,0010,7回裏,日本ハム,西村 天裕,右,2.75,ＤｅＮＡ,ソト,右,.314,6,17,2,0,空三振
72,1010,7回裏,日本ハム,西村 天裕,右,2.75,ＤｅＮＡ,筒香 嘉智,左,.298,15,40,35,0,二ゴロ
73,2001,7回裏,日本ハム,西村 天裕,右,2.75,ＤｅＮＡ,宮崎 敏郎,右,.322,11,31,14,0,
74,2011,7回裏,日本ハム,西村 天裕,右,2.75,ＤｅＮＡ,山下 幸輝,左,.217,0,1,0,0,遊ゴロ
75,3000,,,,,,,,,,,,,,
76,0000,8回表,ＤｅＮＡ,パットン,右,4.41,日本ハム,近藤 健介,左,.342,6,27,31,3,左安
77,0100,8回表,ＤｅＮＡ,パットン,右,4.41,日本ハム,中田 翔,右,.246,14,42,13,0,空三振
78,1010,8回表,ＤｅＮＡ,パットン,右,4.41,日本ハム,レアード,右,.234,12,29,17,0,空三振
79,2010,8回表,ＤｅＮＡ,パットン,右,4.41,日本ハム,矢野 謙次,右,.000,0,1,1,0,左飛
80,3000,,,,,,,,,,,,,,
81,0000,8回裏,日本ハム,石川 直也,右,3.32,ＤｅＮＡ,高城 俊人,右,.176,0,2,1,0,右飛
