,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,坂口 智隆,左,.327,2,20,44,6,左安
1,0100,1回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,青木 宣親,左,.307,6,40,30,1,中安
2,0110,1回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,山田 哲人,右,.300,18,41,59,17,三ゴロ
3,1101,1回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,バレンティン,右,.257,19,68,51,0,左安
4,1101,1回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,畠山 和洋,右,.260,4,18,17,0,右安
5,1101,1回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,川端 慎吾,左,.257,1,12,23,0,左犠飛
6,2100,1回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,西浦 直亨,右,.260,6,33,20,1,右飛
7,3000,,,,,,,,,,,,,,
8,0000,1回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,桑原 将志,右,.286,5,12,11,12,二ゴロ
9,1000,1回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,佐野 恵太,左,.231,4,8,0,1,遊ゴロ
10,2000,1回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,ソト,右,.312,9,26,7,0,四球
11,2100,1回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,筒香 嘉智,左,.296,19,50,46,0,二ゴロ
12,3000,,,,,,,,,,,,,,
13,0000,2回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,中村 悠平,右,.190,2,17,21,2,遊ゴロ
14,1000,2回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,ブキャナン,右,.129,0,3,0,0,見三振
15,2000,2回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,坂口 智隆,左,.327,2,20,44,6,ボール
16,2100,2回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,青木 宣親,左,.307,6,40,30,1,四球
17,2110,2回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,山田 哲人,右,.300,18,41,59,17,三ゴロ
18,3000,,,,,,,,,,,,,,
19,0000,2回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,宮崎 敏郎,右,.311,16,42,20,0,三ゴロ
20,1000,2回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,倉本 寿彦,左,.221,1,10,3,1,投ゴロ
21,2000,2回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,伊藤 光,右,.400,0,0,0,0,中安
22,2100,2回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,濱口 遥大,左,.000,0,0,0,0,捕ゴロ
23,3000,,,,,,,,,,,,,,
24,0000,3回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,バレンティン,右,.257,19,68,51,0,空三振
25,1000,3回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,畠山 和洋,右,.260,4,18,17,0,二飛
26,2000,3回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,川端 慎吾,左,.257,1,12,23,0,左安
27,2100,3回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,西浦 直亨,右,.260,6,33,20,1,右飛
28,3000,,,,,,,,,,,,,,
29,0000,3回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,柴田 竜拓,左,.198,3,6,14,2,三ゴロ
30,1000,3回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,桑原 将志,右,.286,5,12,11,12,遊安
31,1100,3回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,佐野 恵太,左,.231,4,8,0,1,空三振
32,2100,3回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,ソト,右,.312,9,26,7,0,左安
33,2110,3回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,筒香 嘉智,左,.296,19,50,46,0,左飛
34,3000,,,,,,,,,,,,,,
35,0000,4回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,中村 悠平,右,.190,2,17,21,2,中飛
36,1000,4回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,ブキャナン,右,.129,0,3,0,0,空三振
37,2000,4回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,坂口 智隆,左,.327,2,20,44,6,中飛
38,3000,,,,,,,,,,,,,,
39,0000,4回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,宮崎 敏郎,右,.311,16,42,20,0,二ゴロ
40,1000,4回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,倉本 寿彦,左,.221,1,10,3,1,一ゴロ
41,2000,4回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,伊藤 光,右,.400,0,0,0,0,遊ゴロ
42,3000,,,,,,,,,,,,,,
43,0000,5回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,青木 宣親,左,.307,6,40,30,1,右飛
44,1000,5回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,山田 哲人,右,.300,18,41,59,17,中飛
45,2000,5回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,バレンティン,右,.257,19,68,51,0,空三振
46,3000,,,,,,,,,,,,,,
47,0000,5回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,濱口 遥大,左,.000,0,0,0,0,空三振
48,1000,5回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,柴田 竜拓,左,.198,3,6,14,2,投ゴロ
49,2000,5回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,桑原 将志,右,.286,5,12,11,12,中安
50,2100,5回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,佐野 恵太,左,.231,4,8,0,1,三ゴロ
51,3000,,,,,,,,,,,,,,
52,0000,6回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,畠山 和洋,右,.260,4,18,17,0,四球
53,0100,6回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,川端 慎吾,左,.257,1,12,23,0,見逃し
54,0100,6回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,西浦 直亨,右,.260,6,33,20,1,空三振
55,2100,6回表,ＤｅＮＡ,濱口 遥大,左,3.91,ヤクルト,中村 悠平,右,.190,2,17,21,2,中飛
56,3000,,,,,,,,,,,,,,
57,0000,6回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,ソト,右,.312,9,26,7,0,空三振
58,1000,6回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,筒香 嘉智,左,.296,19,50,46,0,空三振
59,2000,6回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,宮崎 敏郎,右,.311,16,42,20,0,二ゴロ
60,3000,,,,,,,,,,,,,,
61,0000,7回表,ＤｅＮＡ,砂田 毅樹,左,2.61,ヤクルト,ブキャナン,右,.129,0,3,0,0,見三振
62,1000,7回表,ＤｅＮＡ,砂田 毅樹,左,2.61,ヤクルト,坂口 智隆,左,.327,2,20,44,6,空三振
63,2000,7回表,ＤｅＮＡ,砂田 毅樹,左,2.61,ヤクルト,青木 宣親,左,.307,6,40,30,1,四球
64,2100,7回表,ＤｅＮＡ,砂田 毅樹,左,2.61,ヤクルト,山田 哲人,右,.300,18,41,59,17,左飛
65,3000,,,,,,,,,,,,,,
66,0000,7回裏,ヤクルト,ブキャナン,右,3.12,ＤｅＮＡ,倉本 寿彦,左,.221,1,10,3,1,空三振
