,表チーム,裏チーム,表得点,裏得点
2218,レイズ,ブレーブス,8,5
2219,アスレチックス,Rソックス,5,3
2220,マーリンズ,ナショナルズ,2,3
2221,パイレーツ,ブレーブス,3,2
2222,マーリンズ,ナショナルズ,4,18
2223,パイレーツ,ブレーブス,3,5
2224,パイレーツ,ブレーブス,1,5
2225,Rソックス,ブレーブス,8,2
2226,オリオールズ,Rソックス,7,4
2227,Rソックス,ブレーブス,5,1
2228,Rソックス,ブレーブス,9,8
2229,オリオールズ,Rソックス,3,6
2230,ナショナルズ,ブレーブス,5,10
2231,ナショナルズ,ブレーブス,7,1
2232,オリオールズ,Rソックス,0,5
2233,ナショナルズ,ブレーブス,6,4
2234,メッツ,ナショナルズ,4,25
2235,カージナルス,ブレーブス,11,6
2236,カージナルス,ブレーブス,8,1
2237,ブレーブス,Rソックス,2,6
2238,カージナルス,ブレーブス,3,7
2239,フィリーズ,ブレーブス,3,8
2240,ブレーブス,Rソックス,6,8
2241,フィリーズ,ブレーブス,5,6
2242,メッツ,ナショナルズ,3,5
2243,フィリーズ,ブレーブス,3,5
2244,フィリーズ,ブレーブス,1,2
2245,レッズ,ナショナルズ,4,10
2246,ブレーブス,Rソックス,7,1
2247,ブルージェイズ,Rソックス,3,8
2248,ブルージェイズ,Rソックス,3,8
2249,レッズ,ナショナルズ,1,2
2250,ブルージェイズ,Rソックス,4,6
2251,ブレーブス,ナショナルズ,3,1
2252,タイガース,Rソックス,0,6
2253,マーリンズ,ナショナルズ,2,8
2254,タイガース,Rソックス,1,7
2255,タイガース,Rソックス,7,2
2256,マーリンズ,ナショナルズ,7,5
2257,マーリンズ,ナショナルズ,12,1
2258,Wソックス,Rソックス,1,0
2259,フィリーズ,ナショナルズ,4,10
2260,フィリーズ,ナショナルズ,7,8
2261,Wソックス,Rソックス,2,4
2262,フィリーズ,ナショナルズ,2,0
2263,ブリュワーズ,ナショナルズ,4,1
2264,Wソックス,Rソックス,5,2
2265,ブリュワーズ,ナショナルズ,4,5
2266,ブリュワーズ,ナショナルズ,9,4
2267,マリナーズ,Rソックス,10,14
2268,カージナルス,ナショナルズ,3,4
2269,カージナルス,ナショナルズ,11,8
2270,マリナーズ,Rソックス,7,2
2271,カージナルス,ナショナルズ,7,6
2272,マリナーズ,Rソックス,0,5
2273,カブス,ナショナルズ,6,4
2274,エンゼルス,Rソックス,1,9
2275,エンゼルス,Rソックス,2,4
2276,メッツ,ナショナルズ,5,4
2277,メッツ,ナショナルズ,4,2
2278,メッツ,ナショナルズ,0,6
