,表チーム,裏チーム,表得点,裏得点
2731,ロイヤルズ,インディアンス,3,9
2732,ロイヤルズ,インディアンス,1,3
2733,タイガース,インディアンス,5,4
2734,タイガース,インディアンス,0,15
2735,タイガース,インディアンス,6,4
2736,Wソックス,インディアンス,3,5
2737,Wソックス,インディアンス,1,4
2738,Wソックス,インディアンス,5,4
2739,Dバックス,レッズ,0,3
2740,Rソックス,インディアンス,7,5
2741,Rソックス,インディアンス,4,5
2742,Dバックス,レッズ,3,6
2743,Rソックス,インディアンス,3,4
2744,Dバックス,レッズ,9,2
2745,インディアンス,レッズ,10,3
2746,インディアンス,レッズ,8,1
2747,インディアンス,レッズ,4,3
2748,ジャイアンツ,レッズ,1,2
2749,ジャイアンツ,レッズ,1,7
2750,オリオールズ,アストロズ,1,6
2751,ジャイアンツ,レッズ,4,11
2752,オリオールズ,アストロズ,6,10
2753,オリオールズ,アストロズ,2,3
2754,ブリュワーズ,レッズ,7,9
2755,パドレス,アストロズ,0,1
2756,ブリュワーズ,レッズ,13,12
2757,パドレス,アストロズ,1,4
2758,レンジャーズ,アストロズ,2,3
2759,レンジャーズ,アストロズ,6,5
2760,Dバックス,カージナルス,3,5
2761,ブリュワーズ,レッズ,2,1
2762,レンジャーズ,アストロズ,3,1
2763,Dバックス,カージナルス,4,1
2764,ブリュワーズ,カージナルス,5,4
2765,パドレス,レッズ,6,2
2766,パドレス,レッズ,6,12
2767,エンゼルス,アストロズ,2,5
2768,ブリュワーズ,カージナルス,3,2
2769,アスレチックス,アストロズ,8,1
2770,レッズ,カージナルス,2,9
2771,ヤンキース,アストロズ,4,0
2772,ヤンキース,アストロズ,6,5
2773,ドジャース,レッズ,6,10
2774,メッツ,カージナルス,3,4
2775,レンジャーズ,アストロズ,1,0
2776,レンジャーズ,アストロズ,1,6
2777,ドジャース,レッズ,1,3
2778,インディアンス,アストロズ,1,4
2779,インディアンス,アストロズ,5,4
2780,インディアンス,アストロズ,1,3
2781,ジャイアンツ,アストロズ,2,11
2782,ジャイアンツ,アストロズ,1,4
2783,Rソックス,アストロズ,2,4
2784,Wソックス,カージナルス,2,3
2785,Rソックス,アストロズ,3,7
2786,Rソックス,アストロズ,5,4
2787,ドジャース,レッズ,8,1
2788,レイズ,アストロズ,4,5
2789,Wソックス,カージナルス,2,3
2790,レイズ,アストロズ,2,1
2791,レイズ,アストロズ,1,5
2792,ロイヤルズ,レッズ,4,3
2793,ロイヤルズ,アストロズ,1,0
2794,ロイヤルズ,アストロズ,3,4
2795,ロイヤルズ,レッズ,6,1
2796,ロイヤルズ,アストロズ,3,11
2797,パイレーツ,レッズ,8,4
2798,ブルージェイズ,アストロズ,6,3
2799,ブルージェイズ,アストロズ,0,7
2800,ツインズ,カージナルス,6,0
2801,パイレーツ,レッズ,0,3
2802,ツインズ,カージナルス,7,1
2803,Wソックス,アストロズ,4,11
2804,Wソックス,アストロズ,6,12
2805,パイレーツ,レッズ,6,5
2806,フィリーズ,カージナルス,4,12
2807,フィリーズ,カージナルス,1,5
2808,ロイヤルズ,カージナルス,0,6
2809,アスレチックス,アストロズ,8,3
2810,ロイヤルズ,カージナルス,5,1
2811,アスレチックス,アストロズ,6,4
2812,ロイヤルズ,カージナルス,5,2
2813,ブレーブス,ロッキーズ,4,0
2814,パドレス,ロッキーズ,7,6
2815,パイレーツ,カージナルス,2,3
2816,パドレス,ロッキーズ,4,6
2817,パドレス,カージナルス,2,5
2818,パドレス,カージナルス,4,2
2819,パドレス,カージナルス,4,2
2820,インディアンス,カージナルス,0,4
2821,インディアンス,カージナルス,2,11
2822,マリナーズ,アストロズ,5,2
2823,マリナーズ,アストロズ,3,2
2824,ブレーブス,カージナルス,5,1
2825,マリナーズ,アストロズ,4,3
2826,ブレーブス,カージナルス,11,4
2827,ロッキーズ,アストロズ,5,1
2828,ロッキーズ,アストロズ,1,12
2829,アスレチックス,アストロズ,4,11
2830,ブレーブス,カージナルス,6,5
2831,アスレチックス,アストロズ,4,3
2832,アスレチックス,アストロズ,4,5
2833,エンゼルス,ロッキーズ,2,4
2834,エンゼルス,アストロズ,5,2
2835,エンゼルス,アストロズ,3,0
2836,エンゼルス,ロッキーズ,8,0
2837,エンゼルス,アストロズ,3,7
2838,エンゼルス,アストロズ,2,4
2839,ブリュワーズ,ロッキーズ,5,2
2840,ツインズ,アストロズ,1,4
2841,ブリュワーズ,ロッキーズ,11,10
2842,ツインズ,アストロズ,2,5
2843,ロッキーズ,カージナルス,4,5
2844,ブリュワーズ,ロッキーズ,0,4
2845,ロッキーズ,カージナルス,6,3
2846,ツインズ,アストロズ,1,9
2847,ロッキーズ,カージナルス,3,6
2848,Dバックス,アストロズ,4,2
2849,ロッキーズ,カージナルス,2,3
2850,Dバックス,アストロズ,4,10
2851,ナショナルズ,カージナルス,6,7
2852,Dバックス,アストロズ,4,5
2853,ナショナルズ,カージナルス,4,6
2854,マリナーズ,アストロズ,4,1
2855,ナショナルズ,カージナルス,2,4
2856,マリナーズ,アストロズ,0,7
2857,マリナーズ,アストロズ,9,0
2858,ナショナルズ,カージナルス,5,4
2859,エンゼルス,アストロズ,3,11
2860,ブリュワーズ,カージナルス,2,5
2861,エンゼルス,アストロズ,5,10
2862,ブリュワーズ,カージナルス,2,7
2863,エンゼルス,アストロズ,2,6
2864,ブリュワーズ,カージナルス,2,1
2865,パイレーツ,カージナルス,2,5
2866,パイレーツ,カージナルス,2,0
2867,パイレーツ,カージナルス,0,5
2868,レッズ,カージナルス,5,12
2869,レッズ,カージナルス,4,0
2870,レッズ,カージナルス,6,4
2871,ドジャース,ロッキーズ,12,4
2872,パイレーツ,カージナルス,7,8
2873,パイレーツ,カージナルス,5,11
2874,パイレーツ,カージナルス,4,3
2875,ドジャース,カージナルス,9,7
2876,ドジャース,カージナルス,3,0
2877,ドジャース,カージナルス,17,4
2878,ドジャース,カージナルス,0,5
2879,ジャイアンツ,カージナルス,3,5
2880,ジャイアンツ,カージナルス,4,5
2881,メッツ,ロッキーズ,12,2
2882,ジャイアンツ,カージナルス,2,9
2883,ブリュワーズ,カージナルス,6,4
2884,メッツ,ロッキーズ,8,10
2885,ブリュワーズ,カージナルス,12,4
2886,ブリュワーズ,カージナルス,2,1
2887,メッツ,ロッキーズ,4,6
2888,マーリンズ,ロッキーズ,3,11
2889,マーリンズ,ロッキーズ,6,2
2890,マーリンズ,ロッキーズ,8,5
2891,ジャイアンツ,ロッキーズ,2,5
2892,ジャイアンツ,ロッキーズ,1,8
2893,ジャイアンツ,ロッキーズ,0,1
2894,インディアンス,マリナーズ,1,2
2895,Dバックス,ロッキーズ,2,19
2896,Dバックス,ロッキーズ,1,5
2897,インディアンス,マリナーズ,6,5
2898,マリナーズ,ロッキーズ,7,10
2899,インディアンス,マリナーズ,4,5
2900,アスレチックス,マリナーズ,4,7
2901,マリナーズ,ロッキーズ,1,4
2902,アスレチックス,マリナーズ,8,10
2903,アスレチックス,マリナーズ,2,1
2904,マリナーズ,ロッキーズ,3,4
2905,アストロズ,マリナーズ,1,2
2906,アストロズ,マリナーズ,9,2
2907,アストロズ,ロッキーズ,8,2
2908,アスレチックス,マリナーズ,3,6
2909,アストロズ,ロッキーズ,2,3
2910,アスレチックス,ロッキーズ,1,3
2911,アスレチックス,ロッキーズ,1,4
2912,マリナーズ,オリオールズ,5,3
2913,アスレチックス,ロッキーズ,2,3
2914,マリナーズ,オリオールズ,3,2
2915,パイレーツ,ロッキーズ,0,2
2916,マリナーズ,オリオールズ,4,2
2917,タイガース,マリナーズ,4,5
2918,パイレーツ,ロッキーズ,10,2
2919,エンゼルス,オリオールズ,7,1
2920,タイガース,マリナーズ,2,3
2921,エンゼルス,オリオールズ,6,2
2922,エンゼルス,オリオールズ,2,8
2923,ヤンキース,オリオールズ,4,5
2924,ヤンキース,オリオールズ,5,6
2925,ヤンキース,オリオールズ,9,0
2926,ドジャース,ロッキーズ,4,5
2927,ドジャース,ロッキーズ,2,3
2928,ドジャース,ロッキーズ,3,4
2929,Wソックス,ロイヤルズ,14,7
2930,パドレス,ロッキーズ,4,3
2931,Wソックス,ロイヤルズ,4,3
2932,パドレス,ロッキーズ,2,6
2933,パドレス,ロッキーズ,3,4
2934,レイズ,マリナーズ,1,3
2935,マリナーズ,ロイヤルズ,0,10
2936,カージナルス,ロッキーズ,7,5
2937,マリナーズ,ロイヤルズ,4,2
2938,エンゼルス,マリナーズ,3,5
2939,Rソックス,オリオールズ,5,3
2940,エンゼルス,ロイヤルズ,7,1
2941,カージナルス,ロッキーズ,1,9
2942,エンゼルス,マリナーズ,3,6
2943,Rソックス,オリオールズ,6,7
2944,エンゼルス,ロイヤルズ,5,4
2945,エンゼルス,ロイヤルズ,5,3
2946,エンゼルス,マリナーズ,6,8
2947,カージナルス,ロッキーズ,12,3
2948,レイズ,オリオールズ,4,3
2949,ブリュワーズ,ロイヤルズ,5,2
2950,ブリュワーズ,ロイヤルズ,6,2
2951,レイズ,オリオールズ,5,15
2952,Wソックス,ロイヤルズ,6,3
2953,レイズ,オリオールズ,2,11
2954,Wソックス,ロイヤルズ,7,4
2955,ジャイアンツ,ロッキーズ,8,9
2956,レイズ,オリオールズ,5,11
2957,タイガース,ロイヤルズ,6,10
2958,ロイヤルズ,マリナーズ,1,4
2959,ジャイアンツ,ロッキーズ,2,6
2960,Rソックス,オリオールズ,19,12
2961,Rソックス,オリオールズ,6,4
2962,ロイヤルズ,マリナーズ,4,6
2963,タイガース,ロイヤルズ,3,2
2964,Rソックス,オリオールズ,4,1
2965,タイガース,ロイヤルズ,2,4
2966,ジャイアンツ,ロッキーズ,3,5
2967,レイズ,ロイヤルズ,2,1
2968,メッツ,オリオールズ,3,6
2969,レイズ,ロイヤルズ,6,5
2970,メッツ,オリオールズ,16,5
2971,レイズ,ロイヤルズ,5,3
2972,ドジャース,ロッキーズ,4,2
2973,ヤンキース,ロイヤルズ,2,5
2974,ヤンキース,オリオールズ,7,5
2975,ロイヤルズ,マリナーズ,0,1
2976,ヤンキース,ロイヤルズ,10,1
2977,ヤンキース,オリオールズ,5,1
2978,エンゼルス,マリナーズ,1,4
2979,ツインズ,ロイヤルズ,1,2
2980,エンゼルス,マリナーズ,7,4
2981,ツインズ,ロイヤルズ,8,11
2982,ロッキーズ,マリナーズ,7,1
2983,Dバックス,ロッキーズ,2,13
2984,アスレチックス,ロイヤルズ,16,0
2985,アスレチックス,ロイヤルズ,4,5
2986,ロッキーズ,マリナーズ,5,1
2987,アスレチックス,ロイヤルズ,5,1
2988,ロッキーズ,マリナーズ,4,6
2989,Dバックス,ロッキーズ,6,3
2990,レッズ,ロイヤルズ,5,1
2991,レッズ,ロイヤルズ,7,0
2992,Dバックス,ロッキーズ,4,5
2993,レンジャーズ,ロイヤルズ,6,3
2994,ジャイアンツ,マリナーズ,4,3
2995,Dバックス,ロッキーズ,3,10
2996,レンジャーズ,ロイヤルズ,4,1
2997,ジャイアンツ,マリナーズ,2,3
2998,フィリーズ,ロッキーズ,1,10
2999,インディアンス,ロイヤルズ,9,3
3000,アストロズ,マリナーズ,0,2
3001,フィリーズ,ロッキーズ,3,10
3002,インディアンス,ロイヤルズ,6,4
3003,インディアンス,ロイヤルズ,3,2
3004,アストロズ,マリナーズ,5,2
3005,フィリーズ,ロッキーズ,0,14
3006,Rソックス,ロイヤルズ,10,5
3007,Rソックス,ロイヤルズ,15,4
3008,アストロズ,マリナーズ,8,3
3009,フィリーズ,ロッキーズ,3,5
3010,ブルージェイズ,マリナーズ,7,3
3011,ブルージェイズ,マリナーズ,7,2
3012,ツインズ,ロイヤルズ,2,4
3013,ナショナルズ,ロッキーズ,2,5
3014,ツインズ,ロイヤルズ,3,5
3015,ブルージェイズ,マリナーズ,3,6
3016,タイガース,ロイヤルズ,5,4
3017,ナショナルズ,ロッキーズ,12,2
3018,ドジャース,マリナーズ,11,1
3019,タイガース,ロイヤルズ,8,4
3020,ナショナルズ,ロッキーズ,0,12
3021,ドジャース,マリナーズ,4,4
3022,カブス,ロイヤルズ,3,1
3023,カブス,ロイヤルズ,5,0
3024,ドジャース,マリナーズ,12,1
3025,カブス,ロイヤルズ,0,9
3026,カージナルス,ロイヤルズ,7,0
3027,アストロズ,マリナーズ,4,7
3028,カージナルス,ロイヤルズ,8,3
3029,カージナルス,ロイヤルズ,8,2
3030,アストロズ,マリナーズ,3,2
3031,ブルージェイズ,ロイヤルズ,1,3
3032,アストロズ,マリナーズ,10,7
3033,ブルージェイズ,ロイヤルズ,6,5
3034,ブルージェイズ,ロイヤルズ,6,5
3035,ブルージェイズ,ロイヤルズ,2,6
3036,ヤンキース,オリオールズ,5,3
3037,インディアンス,ロイヤルズ,4,5
3038,オリオールズ,マリナーズ,1,2
3039,インディアンス,ロイヤルズ,1,7
3040,オリオールズ,マリナーズ,5,3
3041,インディアンス,ロイヤルズ,12,5
3042,タイガース,ロイヤルズ,2,6
3043,オリオールズ,マリナーズ,2,5
3044,タイガース,ロイヤルズ,2,9
3045,オリオールズ,ロイヤルズ,2,9
3046,ヤンキース,マリナーズ,4,0
3047,パドレス,マリナーズ,2,1
3048,パドレス,マリナーズ,5,4
3049,アスレチックス,マリナーズ,7,3
3050,パイレーツ,タイガース,1,0
3051,アスレチックス,マリナーズ,8,10
3052,アスレチックス,マリナーズ,9,3
3053,レンジャーズ,マリナーズ,2,0
3054,ロイヤルズ,タイガース,1,6
3055,レンジャーズ,マリナーズ,6,12
3056,レンジャーズ,マリナーズ,1,4
3057,ロイヤルズ,タイガース,1,0
3058,レンジャーズ,マリナーズ,1,3
3059,ヤンキース,タイガース,8,6
3060,マリナーズ,ジャイアンツ,6,4
3061,オリオールズ,タイガース,2,4
3062,マリナーズ,ジャイアンツ,1,10
3063,オリオールズ,タイガース,8,13
3064,ブルージェイズ,オリオールズ,0,7
3065,ドジャース,ジャイアンツ,5,7
3066,ブルージェイズ,オリオールズ,5,12
3067,ロイヤルズ,タイガース,3,2
3068,ブルージェイズ,オリオールズ,5,10
3069,ドジャース,ジャイアンツ,2,1
3070,Dバックス,ジャイアンツ,2,1
3071,ロイヤルズ,タイガース,4,12
3072,アスレチックス,オリオールズ,3,2
3073,アスレチックス,オリオールズ,10,0
3074,ロイヤルズ,タイガース,8,5
3075,Dバックス,ジャイアンツ,7,3
3076,アスレチックス,オリオールズ,3,5
3077,レイズ,タイガース,1,2
3078,ドジャース,ジャイアンツ,4,6
3079,カージナルス,ブリュワーズ,8,4
3080,オリオールズ,ロイヤルズ,4,5
3081,マリナーズ,タイガース,3,4
3082,オリオールズ,ロイヤルズ,1,9
3083,マリナーズ,タイガース,4,5
3084,カージナルス,ブリュワーズ,4,5
3085,Wソックス,ロイヤルズ,3,3
3086,Wソックス,ロイヤルズ,3,6
3087,カージナルス,ブリュワーズ,6,0
3088,Wソックス,ロイヤルズ,4,2
3089,インディアンス,タイガース,3,6
3090,ツインズ,ロイヤルズ,4,6
3091,ツインズ,ロイヤルズ,4,8
3092,Wソックス,オリオールズ,8,6
3093,ツインズ,ロイヤルズ,3,10
3094,Wソックス,オリオールズ,2,0
3095,インディアンス,タイガース,8,9
3096,ツインズ,ロイヤルズ,9,6
3097,Wソックス,オリオールズ,4,8
3098,パドレス,ジャイアンツ,3,2
3099,インディアンス,ロイヤルズ,1,2
3100,ブルージェイズ,オリオールズ,5,0
3101,インディアンス,ロイヤルズ,14,6
3102,インディアンス,タイガース,6,0
3103,インディアンス,ロイヤルズ,4,9
3104,ブルージェイズ,オリオールズ,6,4
3105,インディアンス,ロイヤルズ,2,1
3106,ブルージェイズ,オリオールズ,1,2
3107,レッズ,ジャイアンツ,7,10
3108,Wソックス,タイガース,4,5
3109,カブス,ブリュワーズ,5,2
3110,アストロズ,オリオールズ,2,1
3111,カブス,ブリュワーズ,3,0
3112,アストロズ,オリオールズ,4,3
3113,Wソックス,タイガース,2,3
3114,レッズ,ブリュワーズ,10,4
3115,ロッキーズ,ジャイアンツ,6,1
3116,アストロズ,オリオールズ,0,4
3117,エンゼルス,タイガース,3,9
3118,ロッキーズ,ジャイアンツ,5,9
3119,エンゼルス,タイガース,9,2
3120,エンゼルス,タイガース,1,6
3121,マーリンズ,ブリュワーズ,3,12
3122,エンゼルス,タイガース,2,6
3123,ブルージェイズ,タイガース,2,5
3124,フィリーズ,ジャイアンツ,0,2
3125,マーリンズ,ブリュワーズ,2,4
3126,ブルージェイズ,タイガース,4,7
3127,Dバックス,ジャイアンツ,3,10
3128,ブルージェイズ,タイガース,8,4
3129,インディアンス,タイガース,4,1
3130,マーリンズ,ジャイアンツ,5,4
3131,インディアンス,ブリュワーズ,2,3
3132,インディアンス,タイガース,2,4
3133,マーリンズ,ジャイアンツ,3,6
3134,インディアンス,ブリュワーズ,6,2
3135,Dバックス,ブリュワーズ,2,4
3136,インディアンス,タイガース,9,2
3137,パドレス,ジャイアンツ,0,3
3138,ツインズ,タイガース,6,4
3139,パドレス,ジャイアンツ,6,2
3140,Dバックス,ブリュワーズ,2,9
3141,パドレス,ジャイアンツ,3,5
3142,パドレス,ジャイアンツ,2,3
3143,ツインズ,タイガース,2,5
3144,ロッキーズ,ジャイアンツ,2,3
3145,ロッキーズ,ジャイアンツ,9,8
3146,アスレチックス,タイガース,5,4
3147,アスレチックス,タイガース,9,7
3148,カージナルス,ジャイアンツ,2,3
3149,カージナルス,ジャイアンツ,3,2
3150,アスレチックス,タイガース,4,2
3151,カブス,ブリュワーズ,7,2
3152,カブス,ブリュワーズ,0,1
3153,レンジャーズ,タイガース,1,3
3154,カブス,ジャイアンツ,4,5
3155,レンジャーズ,タイガース,2,7
3156,アスレチックス,ジャイアンツ,6,2
3157,ブリュワーズ,ジャイアンツ,7,5
3158,Rソックス,タイガース,0,5
3159,インディアンス,エンゼルス,6,0
3160,Rソックス,タイガース,9,1
3161,アストロズ,ジャイアンツ,3,1
3162,アストロズ,ジャイアンツ,2,1
3163,インディアンス,タイガース,1,2
3164,パイレーツ,ジャイアンツ,10,13
3165,インディアンス,タイガース,8,1
3166,パイレーツ,ジャイアンツ,4,0
3167,パイレーツ,ジャイアンツ,3,4
3168,レッズ,タイガース,1,2
3169,レンジャーズ,ジャイアンツ,7,6
3170,レンジャーズ,ジャイアンツ,3,5
3171,レンジャーズ,ジャイアンツ,1,3
3172,レッズ,タイガース,4,7
3173,Dバックス,ジャイアンツ,0,2
3174,Dバックス,ジャイアンツ,0,1
3175,ツインズ,タイガース,3,5
3176,Dバックス,ジャイアンツ,3,1
3177,ツインズ,タイガース,4,3
3178,メッツ,ジャイアンツ,0,7
3179,ツインズ,タイガース,2,4
3180,Wソックス,タイガース,5,9
3181,Wソックス,タイガース,6,3
3182,メッツ,ジャイアンツ,2,1
3183,メッツ,ジャイアンツ,4,1
3184,Wソックス,タイガース,6,5
3185,ブレーブス,ジャイアンツ,4,1
3186,カブス,タイガース,1,2
3187,ブレーブス,ジャイアンツ,4,1
3188,カブス,タイガース,8,2
3189,ブレーブス,ジャイアンツ,2,1
3190,ロッキーズ,ジャイアンツ,0,2
3191,Wソックス,タイガース,2,7
3192,ロッキーズ,ジャイアンツ,0,3
3193,ロッキーズ,ジャイアンツ,3,2
3194,Wソックス,タイガース,6,3
3195,パドレス,ジャイアンツ,5,0
3196,パドレス,ジャイアンツ,4,5
3197,Wソックス,タイガース,6,1
3198,パドレス,ジャイアンツ,3,2
3199,ドジャース,ジャイアンツ,3,1
3200,Wソックス,タイガース,7,2
3201,ドジャース,ジャイアンツ,10,6
3202,カージナルス,タイガース,3,5
3203,ドジャース,ジャイアンツ,15,0
3204,カージナルス,タイガース,5,2
3205,アストロズ,タイガース,3,2
3206,アストロズ,タイガース,5,4
3207,アストロズ,タイガース,5,4
3208,ツインズ,タイガース,6,1
3209,ツインズ,タイガース,5,3
3210,ツインズ,タイガース,8,2
3211,ロイヤルズ,タイガース,8,11
3212,ロイヤルズ,タイガース,4,3
3213,ブリュワーズ,パドレス,2,1
3214,ジャイアンツ,ドジャース,1,0
3215,ロイヤルズ,タイガース,4,5
3216,ブリュワーズ,パドレス,8,6
3217,ロイヤルズ,タイガース,3,2
3218,ジャイアンツ,ドジャース,1,0
3219,ブリュワーズ,パドレス,7,3
3220,カージナルス,ブリュワーズ,3,11
3221,カージナルス,ブリュワーズ,1,2
3222,ジャイアンツ,ドジャース,0,5
3223,ロッキーズ,パドレス,7,4
3224,カージナルス,ブリュワーズ,3,2
3225,ロッキーズ,パドレス,4,8
3226,カージナルス,ブリュワーズ,8,2
3227,ロッキーズ,パドレス,5,2
3228,レンジャーズ,エンゼルス,5,2
3229,ロイヤルズ,ブリュワーズ,1,5
3230,ジャイアンツ,ドジャース,0,9
3231,ロイヤルズ,ブリュワーズ,5,4
3232,ジャイアンツ,パドレス,7,0
3233,レンジャーズ,エンゼルス,0,1
3234,アスレチックス,ドジャース,0,4
3235,ジャイアンツ,パドレス,1,5
3236,ツインズ,ブリュワーズ,5,6
3237,レンジャーズ,エンゼルス,1,8
3238,ジャイアンツ,パドレス,4,5
3239,ツインズ,ブリュワーズ,0,2
3240,アスレチックス,ドジャース,16,6
3241,ジャイアンツ,パドレス,1,10
3242,マリナーズ,エンゼルス,8,2
3243,ツインズ,ブリュワーズ,2,3
3244,ドジャース,パドレス,10,3
3245,マリナーズ,エンゼルス,5,0
3246,Dバックス,ドジャース,8,7
3247,マリナーズ,エンゼルス,6,5
3248,ブレーブス,ブリュワーズ,4,5
3249,マリナーズ,エンゼルス,3,4
3250,ブレーブス,ブリュワーズ,5,1
3251,Dバックス,ドジャース,9,1
3252,メッツ,パドレス,5,1
3253,レンジャーズ,エンゼルス,4,5
3254,レンジャーズ,エンゼルス,1,4
3255,レンジャーズ,エンゼルス,2,3
3256,アスレチックス,エンゼルス,5,8
3257,アスレチックス,エンゼルス,5,2
3258,アスレチックス,エンゼルス,4,5
3259,タイガース,エンゼルス,2,6
3260,タイガース,エンゼルス,5,11
3261,アスレチックス,エンゼルス,3,4
3262,アスレチックス,エンゼルス,7,0
3263,アスレチックス,エンゼルス,8,7
3264,アストロズ,エンゼルス,9,3
3265,カージナルス,パドレス,2,1
3266,アストロズ,エンゼルス,8,3
3267,カージナルス,パドレス,9,5
3268,ナショナルズ,ブリュワーズ,1,6
3269,カージナルス,パドレス,1,2
3270,アストロズ,エンゼルス,3,1
3271,ナショナルズ,ブリュワーズ,7,3
3272,レイズ,ヤンキース,2,7
3273,ロッキーズ,パドレス,6,4
3274,ロッキーズ,エンゼルス,7,10
3275,ロッキーズ,ブリュワーズ,3,5
3276,ロッキーズ,エンゼルス,3,2
3277,オリオールズ,ヤンキース,3,8
3278,カージナルス,メッツ,4,9
3279,オリオールズ,ヤンキース,8,7
3280,ロッキーズ,ブリュワーズ,5,4
3281,ドジャース,エンゼルス,2,2
3282,パドレス,ブリュワーズ,11,5
3283,ドジャース,エンゼルス,3,1
3284,ドジャース,エンゼルス,3,4
3285,レッズ,ブリュワーズ,2,5
3286,レッズ,ブリュワーズ,9,7
3287,マリナーズ,エンゼルス,3,0
3288,レッズ,ブリュワーズ,0,4
3289,パイレーツ,ブリュワーズ,6,7
3290,マリナーズ,エンゼルス,2,11
3291,レッズ,パドレス,2,8
3292,パイレーツ,ブリュワーズ,9,1
3293,アストロズ,エンゼルス,7,0
3294,ブレーブス,パドレス,4,11
3295,パイレーツ,ブリュワーズ,4,7
3296,カブス,ブリュワーズ,3,4
3297,Wソックス,エンゼルス,5,3
3298,カージナルス,メッツ,2,6
3299,カブス,ブリュワーズ,1,11
3300,アスレチックス,パドレス,4,2
3301,Dバックス,ドジャース,2,7
3302,アスレチックス,パドレス,12,4
3303,カブス,ブリュワーズ,6,4
3304,パイレーツ,パドレス,6,3
3305,Wソックス,エンゼルス,3,11
3306,パイレーツ,パドレス,3,4
3307,Wソックス,エンゼルス,8,12
3308,ジャイアンツ,ブリュワーズ,2,4
3309,マーリンズ,ヤンキース,1,12
3310,マーリンズ,ヤンキース,9,1
3311,パイレーツ,パドレス,7,5
3312,ブルージェイズ,ヤンキース,3,4
3313,ブルージェイズ,ヤンキース,8,5
3314,ナショナルズ,ドジャース,3,4
3315,ブルージェイズ,ヤンキース,1,9
3316,パイレーツ,ブリュワーズ,4,7
3317,ブルージェイズ,ヤンキース,1,5
3318,ドジャース,パドレス,4,2
3319,パイレーツ,ブリュワーズ,3,1
3320,カージナルス,メッツ,5,1
3321,ツインズ,ヤンキース,1,14
3322,ドジャース,パドレス,3,2
3323,パイレーツ,ブリュワーズ,3,2
3324,ツインズ,ヤンキース,3,8
3325,レンジャーズ,エンゼルス,3,2
3326,レッズ,ブリュワーズ,0,8
3327,ツインズ,ヤンキース,4,7
3328,レッズ,ブリュワーズ,3,1
3329,フィリーズ,メッツ,0,2
3330,レッズ,ブリュワーズ,0,7
3331,ロイヤルズ,エンゼルス,6,9
3332,タイガース,ブリュワーズ,5,6
3333,フィリーズ,メッツ,2,4
3334,タイガース,ブリュワーズ,5,6
3335,タイガース,ブリュワーズ,0,11
3336,ジャイアンツ,パドレス,5,3
3337,Dバックス,エンゼルス,7,4
3338,ジャイアンツ,パドレス,3,2
3339,ブリュワーズ,メッツ,5,6
3340,Dバックス,エンゼルス,4,5
3341,ブルージェイズ,エンゼルス,5,8
3342,ブリュワーズ,メッツ,5,1
3343,ツインズ,ヤンキース,3,4
3344,ブルージェイズ,エンゼルス,1,2
3345,フィリーズ,パドレス,0,2
3346,フィリーズ,パドレス,5,1
3347,ブリュワーズ,メッツ,2,3
3348,インディアンス,ヤンキース,6,7
3349,ブルージェイズ,エンゼルス,4,1
3350,フィリーズ,パドレス,3,9
3351,レッズ,ドジャース,4,1
3352,インディアンス,ヤンキース,2,5
3353,エンゼルス,パドレス,6,3
3354,インディアンス,ヤンキース,4,7
3355,ブルージェイズ,エンゼルス,7,6
3356,レッズ,ドジャース,6,2
3357,ナショナルズ,メッツ,8,6
3358,エンゼルス,パドレス,7,3
3359,Rソックス,ヤンキース,2,3
3360,オリオールズ,エンゼルス,2,3
3361,エンゼルス,パドレス,3,2
3362,レッズ,ドジャース,5,3
3363,Rソックス,ヤンキース,5,4
3364,Dバックス,パドレス,5,1
3365,ツインズ,エンゼルス,4,7
3366,ブレーブス,メッツ,3,2
3367,ロッキーズ,ドジャース,2,1
3368,マリナーズ,ツインズ,11,4
3369,ツインズ,エンゼルス,5,4
3370,Dバックス,パドレス,9,4
3371,Dバックス,パドレス,6,7
3372,ツインズ,エンゼルス,5,3
3373,アストロズ,ツインズ,2,0
3374,ロッキーズ,ドジャース,0,3
3375,Dバックス,パドレス,4,3
3376,マリナーズ,パドレス,1,2
3377,マリナーズ,パドレス,3,8
3378,アストロズ,エンゼルス,1,2
3379,アストロズ,ツインズ,8,9
3380,ロッキーズ,パドレス,2,3
3381,ロッキーズ,パドレス,0,7
3382,アストロズ,エンゼルス,5,3
3383,Wソックス,ツインズ,0,4
3384,レイズ,エンゼルス,8,3
3385,ロッキーズ,パドレス,4,2
3386,ロッキーズ,パドレス,7,3
3387,レンジャーズ,パドレス,4,0
3388,レイズ,エンゼルス,2,5
3389,レンジャーズ,パドレス,6,3
3390,レンジャーズ,パドレス,3,7
3391,ジャイアンツ,パドレス,4,2
3392,ジャイアンツ,パドレス,5,4
3393,ブルージェイズ,メッツ,2,12
3394,ジャイアンツ,パドレス,4,8
3395,Dバックス,パドレス,2,3
3396,ブルージェイズ,メッツ,12,1
3397,Dバックス,パドレス,5,4
3398,Dバックス,パドレス,3,4
3399,Dバックス,メッツ,1,3
3400,インディアンス,エンゼルス,2,13
3401,インディアンス,エンゼルス,2,3
3402,アスレチックス,エンゼルス,7,3
3403,ツインズ,パイレーツ,4,5
3404,アスレチックス,エンゼルス,1,6
3405,ツインズ,パイレーツ,7,3
3406,Dバックス,メッツ,1,4
