,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,フレージャー,一ゴロ,1,0,0,1,表,パイレーツ
1,1000,2,ハリソン,右フライ,2,0,0,1,表,パイレーツ
2,2000,3,ポランコ,一邪飛,3,0,0,1,表,パイレーツ
3,0000,1,カーペンター,空振り三振,1,0,0,1,裏,カージナルス
4,1000,2,パーム,三ゴロ,2,0,0,1,裏,カージナルス
5,2000,3,ピスコティ,二ゴロ,3,0,0,1,裏,カージナルス
6,0000,4,フリース,遊ゴロ,1,0,0,2,表,パイレーツ
7,1000,5,ベル,右本塁打,1,0,1,2,表,パイレーツ
8,1000,6,マカチェン,遊ゴロ,2,0,1,2,表,パイレーツ
9,2000,7,マーサー,中ライナー,3,0,1,2,表,パイレーツ
10,0000,4,ジャーコ,四球,0,0,1,2,裏,カージナルス
11,0100,5,Jマルティネス,左本塁打,0,2,1,2,裏,カージナルス
12,0000,6,ディアス,空振り三振,1,2,1,2,裏,カージナルス
13,1000,7,デヨング,中フライ,2,2,1,2,裏,カージナルス
14,2000,8,フライヤー,三ゴロ,3,2,1,2,裏,カージナルス
15,0000,8,スチュワート,右安打,0,2,1,3,表,パイレーツ
16,0100,9,タイヨン,三振,1,2,1,3,表,パイレーツ
17,1100,1,フレージャー,三フライ,2,2,1,3,表,パイレーツ
18,2100,2,ハリソン,三ゴロ,3,2,1,3,表,パイレーツ
19,0000,9,ウェインライト,空振り三振,1,2,1,3,裏,カージナルス
20,1000,1,カーペンター,遊フライ,2,2,1,3,裏,カージナルス
21,2000,2,パーム,二安打,2,2,1,3,裏,カージナルス
22,2100,3,ピスコティ,右フライ,3,2,1,3,裏,カージナルス
23,0000,3,ポランコ,右ライナー,1,2,1,4,表,パイレーツ
24,1000,4,フリース,四球,1,2,1,4,表,パイレーツ
25,1100,5,ベル,二失策,1,2,1,4,表,パイレーツ
26,1011,6,マカチェン,二ゴロ,2,2,2,4,表,パイレーツ
27,2001,7,マーサー,見逃し三振,3,2,2,4,表,パイレーツ
28,0000,4,ジャーコ,空振り三振,1,2,2,4,裏,カージナルス
29,1000,5,Jマルティネス,空振り三振,2,2,2,4,裏,カージナルス
30,2000,6,ディアス,遊安打,2,2,2,4,裏,カージナルス
31,2100,7,デヨング,空振り三振,3,2,2,4,裏,カージナルス
32,0000,8,スチュワート,見逃し三振,1,2,2,5,表,パイレーツ
33,1000,9,タイヨン,二ライナー,2,2,2,5,表,パイレーツ
34,2000,1,フレージャー,見逃し三振,3,2,2,5,表,パイレーツ
35,0000,8,フライヤー,四球,0,2,2,5,裏,カージナルス
36,0100,9,ウェインライト,捕犠打,1,2,2,5,裏,カージナルス
37,1010,1,カーペンター,中フライ,2,2,2,5,裏,カージナルス
38,2010,2,パーム,空振り三振,3,2,2,5,裏,カージナルス
39,0000,2,ハリソン,空振り三振,1,2,2,6,表,パイレーツ
40,1000,3,ポランコ,三ゴロ,2,2,2,6,表,パイレーツ
41,2000,4,フリース,三ゴロ,3,2,2,6,表,パイレーツ
42,0000,3,ピスコティ,三安打,0,2,2,6,裏,カージナルス
43,0100,4,ジャーコ,二フライ,1,2,2,6,裏,カージナルス
44,1100,5,Jマルティネス,右併殺,3,2,2,6,裏,カージナルス
45,0000,5,ベル,中フライ,1,2,2,7,表,パイレーツ
46,1000,6,マカチェン,四球,1,2,2,7,表,パイレーツ
47,1100,7,マーサー,右フライ,2,2,2,7,表,パイレーツ
48,2100,8,スチュワート,投ゴロ,3,2,2,7,表,パイレーツ
49,0000,6,ディアス,中フライ,1,2,2,7,裏,カージナルス
50,1000,7,デヨング,右本塁打,1,3,2,7,裏,カージナルス
51,1000,8,フライヤー,四球,1,3,2,7,裏,カージナルス
52,1100,9,ガルシア,一ゴロ,2,3,2,7,裏,カージナルス
53,2010,1,カーペンター,敬遠,2,3,2,7,裏,カージナルス
54,2110,2,パーム,右ライナー,3,3,2,7,裏,カージナルス
55,0000,9,ディアス,見逃し三振,1,3,2,8,表,パイレーツ
56,1000,1,フレージャー,中安打,1,3,2,8,表,パイレーツ
57,1100,2,ハリソン,四球,1,3,2,8,表,パイレーツ
58,1110,3,ポランコ,遊ゴロ,2,3,2,8,表,パイレーツ
59,2101,4,フリース,右安打,2,3,3,8,表,パイレーツ
60,2101,5,ベル,中ライナー,3,3,3,8,表,パイレーツ
61,0000,3,ピスコティ,空振り三振,1,3,3,8,裏,カージナルス
62,1000,4,ジャーコ,四球,1,3,3,8,裏,カージナルス
63,1100,5,Jマルティネス,右安打,1,3,3,8,裏,カージナルス
64,1101,6,ディアス,三ライナー,2,3,3,8,裏,カージナルス
65,2101,7,デヨング,右フライ,3,3,3,8,裏,カージナルス
66,0000,6,マカチェン,二フライ,1,3,3,9,表,パイレーツ
67,1000,7,マーサー,中フライ,2,3,3,9,表,パイレーツ
68,2000,8,ジェイソ,中本塁打,2,3,4,9,表,パイレーツ
69,2000,9,ディアス,中フライ,3,3,4,9,表,パイレーツ
70,0000,8,フライヤー,四球,0,3,4,9,裏,カージナルス
71,0100,9,ハフマン,空振り三振,1,3,4,9,裏,カージナルス
72,1100,1,カーペンター,二フライ,2,3,4,9,裏,カージナルス
73,2100,2,パーム,空振り三振,3,3,4,9,裏,カージナルス
