,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,グラニット,二ゴロ,1,0,0,1,表,ツインズ
1,1000,2,アドリアンサ,左ライナー,2,0,0,1,表,ツインズ
2,2000,3,ポランコ,四球,2,0,0,1,表,ツインズ
3,2010,4,バルガス,空振り三振,3,0,0,1,表,ツインズ
4,0000,1,リンドア,左ライナー,1,0,0,1,裏,インディアンス
5,1000,2,キプニス,左フライ,2,0,0,1,裏,インディアンス
6,2000,3,ラミレス,一ゴロ,3,0,0,1,裏,インディアンス
7,0000,5,キャプラー,右安打,0,0,0,2,表,ツインズ
8,0100,6,グロスマン,遊ゴロ,1,0,0,2,表,ツインズ
9,1100,7,カストロ,空振り三振,2,0,0,2,表,ツインズ
10,2100,8,ガーバー,空振り三振,3,0,0,2,表,ツインズ
11,0000,4,エンカーナシオン,左安打,0,0,0,2,裏,インディアンス
12,0100,5,ブルース,中フライ,1,0,0,2,裏,インディアンス
13,1100,6,サンタナ,右安打,1,0,0,2,裏,インディアンス
14,1110,7,チゼンホール,空振り三振,2,0,0,2,裏,インディアンス
15,2110,8,ペレス,走塁死,3,0,0,2,裏,インディアンス
16,0000,9,グッドラム,空振り三振,1,0,0,3,表,ツインズ
17,1000,1,グラニット,二ゴロ,2,0,0,3,表,ツインズ
18,2000,2,アドリアンサ,右安打,2,0,0,3,表,ツインズ
19,2100,3,ポランコ,一ゴロ,3,0,0,3,表,ツインズ
20,0000,8,ペレス,中フライ,1,0,0,3,裏,インディアンス
21,1000,9,アーシェラ,中安打,1,0,0,3,裏,インディアンス
22,1100,1,リンドア,三ゴロ,2,0,0,3,裏,インディアンス
23,2100,2,キプニス,遊フライ,3,0,0,3,裏,インディアンス
24,0000,4,バルガス,遊ゴロ,1,0,0,4,表,ツインズ
25,1000,5,キャプラー,三ゴロ,2,0,0,4,表,ツインズ
26,2000,6,グロスマン,投ゴロ,3,0,0,4,表,ツインズ
27,0000,3,ラミレス,右フライ,1,0,0,4,裏,インディアンス
28,1000,4,エンカーナシオン,中フライ,2,0,0,4,裏,インディアンス
29,2000,5,ブルース,二ゴロ,3,0,0,4,裏,インディアンス
30,0000,7,カストロ,中安打,0,0,0,5,表,ツインズ
31,0100,8,ガーバー,空振り三振,1,0,0,5,表,ツインズ
32,1100,9,グッドラム,空振り三振,2,0,0,5,表,ツインズ
33,2100,1,グラニット,中安打,2,0,0,5,表,ツインズ
34,2101,2,アドリアンサ,空振り三振,3,0,0,5,表,ツインズ
35,0000,6,サンタナ,一ゴロ,1,0,0,5,裏,インディアンス
36,1000,7,チゼンホール,中二塁打,1,0,0,5,裏,インディアンス
37,1010,8,ペレス,三ゴロ,2,0,0,5,裏,インディアンス
38,2010,9,アーシェラ,遊フライ,3,0,0,5,裏,インディアンス
39,0000,3,ポランコ,左安打,0,0,0,6,表,ツインズ
40,0100,4,バルガス,一ゴロ併殺,2,0,0,6,表,ツインズ
41,2000,5,キャプラー,空振り三振,3,0,0,6,表,ツインズ
42,0000,1,リンドア,左二塁打,0,0,0,6,裏,インディアンス
43,0010,2,キプニス,右本塁打,0,2,0,6,裏,インディアンス
44,0000,3,ラミレス,左フライ,1,2,0,6,裏,インディアンス
45,1000,4,エンカーナシオン,三ゴロ,2,2,0,6,裏,インディアンス
46,2000,5,ブルース,空振り三振,3,2,0,6,裏,インディアンス
47,0000,6,グロスマン,右安打,0,2,0,7,表,ツインズ
48,0100,7,ジメネス,見逃し三振,1,2,0,7,表,ツインズ
49,1010,8,ガーバー,空振り三振,2,2,0,7,表,ツインズ
50,2010,9,グッドラム,空振り三振,3,2,0,7,表,ツインズ
51,0000,6,サンタナ,右フライ,1,2,0,7,裏,インディアンス
52,1000,7,アレン,三安打,1,2,0,7,裏,インディアンス
53,1100,8,ペレス,右本塁打,1,4,0,7,裏,インディアンス
54,1000,9,アーシェラ,空振り三振,2,4,0,7,裏,インディアンス
55,2000,1,リンドア,左二塁打,2,4,0,7,裏,インディアンス
56,2001,2,キプニス,空振り三振,3,4,0,7,裏,インディアンス
57,0000,1,グラニット,見逃し三振,1,4,0,8,表,ツインズ
58,1000,2,アドリアンサ,見逃し三振,2,4,0,8,表,ツインズ
59,2000,3,ポランコ,左フライ,3,4,0,8,表,ツインズ
60,0000,3,ラミレス,一フライ,1,4,0,8,裏,インディアンス
61,1000,4,エンカーナシオン,見逃し三振,2,4,0,8,裏,インディアンス
62,2000,5,ブルース,右本塁打,2,5,0,8,裏,インディアンス
63,2000,6,サンタナ,遊ゴロ,3,5,0,8,裏,インディアンス
64,0000,4,バルガス,見逃し三振,1,5,0,9,表,ツインズ
65,1000,5,キャプラー,右安打,1,5,0,9,表,ツインズ
66,1100,6,グロスマン,空振り三振,2,5,0,9,表,ツインズ
67,2100,7,ジメネス,死球,2,5,0,9,表,ツインズ
68,2110,8,ガーバー,右三塁打,2,5,2,9,表,ツインズ
69,2001,9,グッドラム,中フライ,3,5,2,9,表,ツインズ
