,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ペダーソン,中フライ,1,0,0,1,表,ドジャース
1,1000,2,ターナー,右二塁打,1,0,0,1,表,ドジャース
2,1010,3,マチャド,左フライ,2,0,0,1,表,ドジャース
3,2010,4,マンシー,見逃し三振,3,0,0,1,表,ドジャース
4,0000,1,カーペンター,左フライ,1,0,0,1,裏,カージナルス
5,1000,2,ムニョス,空振り三振,2,0,0,1,裏,カージナルス
6,2000,3,デヨング,空振り三振,3,0,0,1,裏,カージナルス
7,0000,5,グランダル,三ゴロ,1,0,0,2,表,ドジャース
8,1000,6,ベリンジャー,中フライ,2,0,0,2,表,ドジャース
9,2000,7,プイグ,四球,2,0,0,2,表,ドジャース
10,2100,8,アットリー,空振り三振,3,0,0,2,表,ドジャース
11,0000,4,オズナ,右本塁打,0,1,0,2,裏,カージナルス
12,0000,5,ジャーコ,空振り三振,1,1,0,2,裏,カージナルス
13,1000,6,モリーナ,二ライナー,2,1,0,2,裏,カージナルス
14,2000,7,ウォン,中ライナー,3,1,0,2,裏,カージナルス
15,0000,9,ストリップリング,見逃し三振,1,1,0,3,表,ドジャース
16,1000,1,ペダーソン,中安打,1,1,0,3,表,ドジャース
17,1100,2,ターナー,空振り三振,2,1,0,3,表,ドジャース
18,2000,8,ベーダー,二フライ,1,1,0,3,表,ドジャース
19,1000,9,ウェインライト,空振り三振,2,1,0,3,表,ドジャース
20,2000,1,カーペンター,投ゴロ,3,1,0,3,表,ドジャース
21,0000,3,マチャド,三ゴロ,1,1,0,3,裏,カージナルス
22,1000,4,マンシー,空振り三振,2,1,0,3,裏,カージナルス
23,2000,5,グランダル,四球,2,1,0,3,裏,カージナルス
24,2100,6,ベリンジャー,空振り三振,3,1,0,3,裏,カージナルス
25,0000,2,ムニョス,振り逃げ,0,1,0,4,表,ドジャース
26,0100,3,デヨング,左安打,0,1,0,4,表,ドジャース
27,0110,4,オズナ,左フライ,1,1,0,4,表,ドジャース
28,1110,5,ジャーコ,右安打,1,2,0,4,表,ドジャース
29,1101,6,モリーナ,左安打,1,3,0,4,表,ドジャース
30,1110,7,ウォン,三邪飛,2,3,0,4,表,ドジャース
31,2110,8,ベーダー,三ゴロ,3,3,0,4,表,ドジャース
32,0000,7,プイグ,三ゴロ,1,3,0,4,裏,カージナルス
33,1000,8,アットリー,空振り三振,2,3,0,4,裏,カージナルス
34,2000,9,トールス,四球,2,3,0,4,裏,カージナルス
35,2100,1,ペダーソン,空振り三振,3,3,0,4,裏,カージナルス
36,0000,9,ウェインライト,見逃し三振,1,3,0,5,表,ドジャース
37,1000,1,カーペンター,空振り三振,2,3,0,5,表,ドジャース
38,2000,2,ムニョス,遊ゴロ,3,3,0,5,表,ドジャース
39,0000,2,ターナー,中フライ,1,3,0,5,裏,カージナルス
40,1000,3,マチャド,空振り三振,2,3,0,5,裏,カージナルス
41,2000,4,マンシー,三ゴロ,3,3,0,5,裏,カージナルス
42,0000,3,デヨング,投ゴロ,1,3,0,6,表,ドジャース
43,1000,4,オズナ,左安打,1,3,0,6,表,ドジャース
44,1100,5,ジャーコ,左安打,1,3,0,6,表,ドジャース
45,1110,6,モリーナ,三失策,1,4,0,6,表,ドジャース
46,1101,7,ウォン,投ゴロ併殺,3,4,0,6,表,ドジャース
47,0000,5,グランダル,四球,0,4,0,6,裏,カージナルス
48,0100,6,ベリンジャー,四球,0,4,0,6,裏,カージナルス
49,0110,7,プイグ,空振り三振,1,4,0,6,裏,カージナルス
50,1110,8,アットリー,左フライ,2,4,0,6,裏,カージナルス
51,2110,9,ベルドゥーゴ,二ゴロ,3,4,0,6,裏,カージナルス
52,0000,8,ベーダー,空振り三振,1,4,0,7,表,ドジャース
53,1000,9,オニール,空振り三振,2,4,0,7,表,ドジャース
54,2000,1,カーペンター,空振り三振,3,4,0,7,表,ドジャース
55,0000,1,ペダーソン,空振り三振,1,4,0,7,裏,カージナルス
56,1000,2,ターナー,中安打,1,4,0,7,裏,カージナルス
57,1100,3,マチャド,見逃し三振,2,4,0,7,裏,カージナルス
58,2100,4,マンシー,投ゴロ,3,4,0,7,裏,カージナルス
59,0000,2,ムニョス,右ライナー,1,4,0,8,表,ドジャース
60,1000,3,デヨング,四球,1,4,0,8,表,ドジャース
61,1100,4,オズナ,中安打,1,4,0,8,表,ドジャース
62,1110,5,アダムズ,空振り三振,2,4,0,8,表,ドジャース
63,2110,6,モリーナ,左安打,2,5,0,8,表,ドジャース
64,2000,5,グランダル,左フライ,1,5,0,8,表,ドジャース
65,1000,6,ベリンジャー,中安打,1,5,0,8,表,ドジャース
66,1100,7,プイグ,三ゴロ併殺,3,5,0,8,表,ドジャース
