,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ハリソン,左二塁打,0,0,0,1,表,パイレーツ
1,0010,2,ベル,右本塁打,0,0,2,1,表,パイレーツ
2,0000,3,マカチェン,中フライ,1,0,2,1,表,パイレーツ
3,1000,4,ポランコ,中二塁打,1,0,2,1,表,パイレーツ
4,1010,5,ジェイソ,右安打,1,0,3,1,表,パイレーツ
5,1100,6,マーサー,空振り三振,2,0,3,1,表,パイレーツ
6,2100,7,ハンソン,左フライ,3,0,3,1,表,パイレーツ
7,0000,1,ゴードン,左安打,0,0,3,1,裏,マーリンズ
8,0100,2,プラード,遊ゴロ併殺,2,0,3,1,裏,マーリンズ
9,2000,3,イエリチ,右安打,2,0,3,1,裏,マーリンズ
10,2010,4,スタントン,見逃し三振,3,0,3,1,裏,マーリンズ
11,0000,8,スチュワート,中安打,0,0,3,2,表,パイレーツ
12,0100,9,クール,一ゴロ,1,0,3,2,表,パイレーツ
13,1100,1,ハリソン,空振り三振,2,0,3,2,表,パイレーツ
14,2100,2,ベル,四球,2,0,3,2,表,パイレーツ
15,2110,3,マカチェン,三ゴロ,3,0,3,2,表,パイレーツ
16,0000,5,オズナ,左二塁打,0,0,3,2,裏,マーリンズ
17,0010,6,ボア,中二塁打,0,1,3,2,裏,マーリンズ
18,0010,7,エリス,三安打,0,1,3,2,裏,マーリンズ
19,0110,8,ロハス,遊ゴロ併殺,2,1,3,2,裏,マーリンズ
20,2001,9,コーラー,空振り三振,3,1,3,2,裏,マーリンズ
21,0000,4,ポランコ,中フライ,1,1,3,3,表,パイレーツ
22,1000,5,ジェイソ,見逃し三振,2,1,3,3,表,パイレーツ
23,2000,6,マーサー,二ゴロ,3,1,3,3,表,パイレーツ
24,0000,1,ゴードン,空振り三振,1,1,3,3,裏,マーリンズ
25,1000,2,プラード,二ゴロ,2,1,3,3,裏,マーリンズ
26,2000,3,イエリチ,空振り三振,3,1,3,3,裏,マーリンズ
27,0000,7,ハンソン,右安打,0,1,3,4,表,パイレーツ
28,0100,8,スチュワート,二ゴロ併殺,2,1,3,4,表,パイレーツ
29,2000,9,クール,左フライ,3,1,3,4,表,パイレーツ
30,0000,4,スタントン,四球,0,1,3,4,裏,マーリンズ
31,0100,5,オズナ,三失策,0,1,3,4,裏,マーリンズ
32,0101,6,ボア,右安打,0,2,3,4,裏,マーリンズ
33,0101,7,エリス,捕ゴロ,1,2,3,4,裏,マーリンズ
34,1110,8,ロハス,右フライ,2,2,3,4,裏,マーリンズ
35,2110,9,ディートリッチ,三邪飛,3,2,3,4,裏,マーリンズ
36,0000,1,ハリソン,右フライ,1,2,3,5,表,パイレーツ
37,1000,2,ベル,右安打,1,2,3,5,表,パイレーツ
38,1100,3,マカチェン,空振り三振,2,2,3,5,表,パイレーツ
39,2010,4,ポランコ,敬遠,2,2,3,5,表,パイレーツ
40,2110,5,ジェイソ,四球,2,2,3,5,表,パイレーツ
41,2111,6,マーサー,三邪飛,3,2,3,5,表,パイレーツ
42,0000,1,ゴードン,遊安打,0,2,3,5,裏,マーリンズ
43,0100,2,プラード,中フライ,1,2,3,5,裏,マーリンズ
44,1100,3,イエリチ,左ライナー,2,2,3,5,裏,マーリンズ
45,2100,4,スタントン,四球,2,2,3,5,裏,マーリンズ
46,2110,5,オズナ,四球,2,2,3,5,裏,マーリンズ
47,2111,6,ボア,右安打,2,4,3,5,裏,マーリンズ
48,2101,7,エリス,空振り三振,3,4,3,5,裏,マーリンズ
49,0000,7,ハンソン,左フライ,1,4,3,6,表,パイレーツ
50,1000,8,スチュワート,四球,1,4,3,6,表,パイレーツ
51,1100,9,ゴスリン,遊ゴロ併殺,3,4,3,6,表,パイレーツ
52,0000,8,ロハス,投ゴロ,1,4,3,6,裏,マーリンズ
53,1000,9,イチロー,四球,1,4,3,6,裏,マーリンズ
54,1100,1,ゴードン,左安打,1,4,3,6,裏,マーリンズ
55,1110,2,プラード,空振り三振,2,4,3,6,裏,マーリンズ
56,2110,3,イエリチ,二ゴロ,3,4,3,6,裏,マーリンズ
57,0000,1,ハリソン,中フライ,1,4,3,7,表,パイレーツ
58,1000,2,ベル,一ゴロ,2,4,3,7,表,パイレーツ
59,2000,3,マカチェン,四球,2,4,3,7,表,パイレーツ
60,2010,4,ポランコ,中フライ,3,4,3,7,表,パイレーツ
61,0000,4,スタントン,三ライナー,1,4,3,7,裏,マーリンズ
62,1000,5,オズナ,三安打,1,4,3,7,裏,マーリンズ
63,1100,6,ボア,右本塁打,1,6,3,7,裏,マーリンズ
64,1000,7,エリス,死球,1,6,3,7,裏,マーリンズ
65,1100,8,ロハス,右二塁打,1,6,3,7,裏,マーリンズ
66,1001,9,エチャバリア,右安打,1,8,3,7,裏,マーリンズ
67,1100,1,ゴードン,四球,1,8,3,7,裏,マーリンズ
68,1110,2,プラード,中安打,1,9,3,7,裏,マーリンズ
69,1101,3,イエリチ,投ゴロ,2,10,3,7,裏,マーリンズ
70,2010,4,スタントン,空振り三振,3,10,3,7,裏,マーリンズ
71,0000,5,ジェイソ,空振り三振,1,10,3,8,表,パイレーツ
72,1000,6,マーサー,三ゴロ,2,10,3,8,表,パイレーツ
73,2000,7,ハンソン,二ゴロ,3,10,3,8,表,パイレーツ
74,0000,5,オズナ,中安打,0,10,3,8,裏,マーリンズ
75,0100,6,ボア,右フライ,1,10,3,8,裏,マーリンズ
76,1100,7,エリス,三ゴロ併殺,3,10,3,8,裏,マーリンズ
77,0000,8,スチュワート,見逃し三振,1,10,3,9,表,パイレーツ
78,1000,9,オズナ,左二塁打,1,10,3,9,表,パイレーツ
79,1010,1,ボーマン,空振り三振,2,10,3,9,表,パイレーツ
80,2010,2,ベル,三ゴロ,3,10,3,9,表,パイレーツ
