,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ブラックモン,空振り三振,1,0,0,1,表,ロッキーズ
1,1000,2,ルメーヒュー,二ゴロ,2,0,0,1,表,ロッキーズ
2,2000,3,ゴンザレス,左フライ,3,0,0,1,表,ロッキーズ
3,0000,1,ビラー,一ゴロ,1,0,0,1,裏,ブリュワーズ
4,1000,2,テムズ,左安打,1,0,0,1,裏,ブリュワーズ
5,1100,3,アギュラー,左二塁打,1,0,0,1,裏,ブリュワーズ
6,1011,4,ショー,四球,1,0,0,1,裏,ブリュワーズ
7,1111,5,サンタナ,二ゴロ併殺,3,0,0,1,裏,ブリュワーズ
8,0000,4,アレナド,中フライ,1,0,0,2,表,ロッキーズ
9,1000,5,ストーリー,空振り三振,2,0,0,2,表,ロッキーズ
10,2000,6,パーラ,空振り三振,3,0,0,2,表,ロッキーズ
11,0000,6,ペレス,右ライナー,1,0,0,2,裏,ブリュワーズ
12,1000,7,ブロクストン,死球,1,0,0,2,裏,ブリュワーズ
13,1100,8,バンディ,右ライナー,2,0,0,2,裏,ブリュワーズ
14,2100,9,アンダーソン,空振り三振,3,0,0,2,裏,ブリュワーズ
15,0000,7,レイノルズ,中本塁打,0,0,1,3,表,ロッキーズ
16,0000,8,ガーノー,四球,0,0,1,3,表,ロッキーズ
17,0100,9,センザテラ,三犠打,1,0,1,3,表,ロッキーズ
18,1010,1,ブラックモン,一ゴロ,2,0,1,3,表,ロッキーズ
19,2001,2,ルメーヒュー,投ゴロ,3,0,1,3,表,ロッキーズ
20,0000,1,ビラー,空振り三振,1,0,1,3,裏,ブリュワーズ
21,1000,2,テムズ,四球,1,0,1,3,裏,ブリュワーズ
22,1100,3,アギュラー,右フライ,2,0,1,3,裏,ブリュワーズ
23,2100,4,ショー,見逃し三振,3,0,1,3,裏,ブリュワーズ
24,0000,3,ゴンザレス,中二塁打,0,0,1,4,表,ロッキーズ
25,0010,4,アレナド,四球,0,0,1,4,表,ロッキーズ
26,0110,5,ストーリー,空振り三振,1,0,1,4,表,ロッキーズ
27,1110,6,パーラ,中ライナー,2,0,1,4,表,ロッキーズ
28,2110,7,レイノルズ,二ゴロ,3,0,1,4,表,ロッキーズ
29,0000,5,サンタナ,右フライ,1,0,1,4,裏,ブリュワーズ
30,1000,6,ペレス,四球,1,0,1,4,裏,ブリュワーズ
31,1100,7,ニューエンハイス,空振り三振,2,0,1,4,裏,ブリュワーズ
32,2100,8,バンディ,中フライ,3,0,1,4,裏,ブリュワーズ
33,0000,8,ガーノー,左安打,0,0,1,5,表,ロッキーズ
34,0100,9,センザテラ,捕犠打,1,0,1,5,表,ロッキーズ
35,1010,1,ブラックモン,左フライ,2,0,1,5,表,ロッキーズ
36,2001,2,ルメーヒュー,遊フライ,3,0,1,5,表,ロッキーズ
37,0000,9,アンダーソン,空振り三振,1,0,1,5,裏,ブリュワーズ
38,1000,1,ビラー,二ゴロ,2,0,1,5,裏,ブリュワーズ
39,2000,2,テムズ,空振り三振,3,0,1,5,裏,ブリュワーズ
40,0000,3,ゴンザレス,投ゴロ,1,0,1,6,表,ロッキーズ
41,1000,4,アレナド,一邪飛,2,0,1,6,表,ロッキーズ
42,2000,5,ストーリー,中フライ,3,0,1,6,表,ロッキーズ
43,0000,3,アギュラー,四球,0,0,1,6,裏,ブリュワーズ
44,0100,4,ショー,一ゴロ併殺,2,0,1,6,裏,ブリュワーズ
45,2000,5,サンタナ,空振り三振,3,0,1,6,裏,ブリュワーズ
46,0000,6,パーラ,空振り三振,1,0,1,7,表,ロッキーズ
47,1000,7,レイノルズ,投ゴロ,2,0,1,7,表,ロッキーズ
48,2000,8,ガーノー,左二塁打,2,0,1,7,表,ロッキーズ
49,2001,9,アマリスタ,二ゴロ,3,0,1,7,表,ロッキーズ
50,0000,6,ペレス,投ゴロ,1,0,1,7,裏,ブリュワーズ
51,1000,7,ニューエンハイス,右本塁打,1,1,1,7,裏,ブリュワーズ
52,1000,8,バンディ,一ライナー,2,1,1,7,裏,ブリュワーズ
53,2000,9,ピーナ,中安打,2,1,1,7,裏,ブリュワーズ
54,2100,1,ビラー,空振り三振,3,1,1,7,裏,ブリュワーズ
55,0000,1,ブラックモン,遊フライ,1,1,1,8,表,ロッキーズ
56,1000,2,ルメーヒュー,空振り三振,2,1,1,8,表,ロッキーズ
57,2000,3,ゴンザレス,遊ゴロ,3,1,1,8,表,ロッキーズ
58,0000,2,テムズ,二ゴロ,1,1,1,8,裏,ブリュワーズ
59,1000,3,アギュラー,中安打,1,1,1,8,裏,ブリュワーズ
60,1100,4,ショー,四球,1,1,1,8,裏,ブリュワーズ
61,1110,5,サンタナ,二ライナー,2,1,1,8,裏,ブリュワーズ
62,2110,6,ペレス,中フライ,3,1,1,8,裏,ブリュワーズ
63,0000,4,アレナド,中本塁打,0,1,2,9,表,ロッキーズ
64,0000,5,ストーリー,遊ゴロ,1,1,2,9,表,ロッキーズ
65,1000,6,パーラ,空振り三振,2,1,2,9,表,ロッキーズ
66,2000,7,レイノルズ,一ゴロ,3,1,2,9,表,ロッキーズ
67,0000,7,ニューエンハイス,見逃し三振,1,1,2,9,裏,ブリュワーズ
68,1000,8,バンディ,見逃し三振,2,1,2,9,裏,ブリュワーズ
69,2000,9,ブラウン,右フライ,3,1,2,9,裏,ブリュワーズ
