,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ゴードン,中安打,0,0,0,1,表,マーリンズ
1,0100,2,イエリチ,四球,0,0,0,1,表,マーリンズ
2,0011,3,オズナ,四球,0,0,0,1,表,マーリンズ
3,0111,4,スタントン,遊ゴロ,1,0,1,1,表,マーリンズ
4,1101,5,ボア,二ゴロ併殺,3,0,1,1,表,マーリンズ
5,0000,1,アットリー,一ゴロ,1,0,1,1,裏,ドジャース
6,1000,2,シーガー,空振り三振,2,0,1,1,裏,ドジャース
7,2000,3,ベリンジャー,空振り三振,3,0,1,1,裏,ドジャース
8,0000,6,リアルミュート,三ゴロ,1,0,1,2,表,マーリンズ
9,1000,7,ディートリッチ,右三塁打,1,0,1,2,表,マーリンズ
10,1001,8,リドル,左安打,1,0,2,2,表,マーリンズ
11,1100,9,ストレイリー,捕犠打,2,0,2,2,表,マーリンズ
12,2010,1,ゴードン,中安打,2,0,3,2,表,マーリンズ
13,2010,2,イエリチ,三ライナー,3,0,3,2,表,マーリンズ
14,0000,4,グランダル,二ゴロ,1,0,3,2,裏,ドジャース
15,1000,5,ゴンザレス,一ゴロ,2,0,3,2,裏,ドジャース
16,2000,6,テイラー,四球,2,0,3,2,裏,ドジャース
17,2100,7,ペダーソン,空振り三振,3,0,3,2,裏,ドジャース
18,0000,3,オズナ,三失策,0,0,3,3,表,マーリンズ
19,0010,4,スタントン,右二塁打,0,0,4,3,表,マーリンズ
20,0010,5,ボア,右安打,0,0,5,3,表,マーリンズ
21,0010,6,リアルミュート,四球,0,0,5,3,表,マーリンズ
22,0110,7,ディートリッチ,中フライ,1,0,5,3,表,マーリンズ
23,1110,8,リドル,右二塁打,1,0,7,3,表,マーリンズ
24,1000,9,ストレイリー,空振り三振,3,0,7,3,表,マーリンズ
25,0000,8,ヘルナンデス,空振り三振,1,0,7,3,裏,ドジャース
26,1000,9,アビラン,中フライ,2,0,7,3,裏,ドジャース
27,2000,1,アットリー,見逃し三振,3,0,7,3,裏,ドジャース
28,0000,1,ゴードン,空振り三振,1,0,7,4,表,マーリンズ
29,1000,2,イエリチ,四球,1,0,7,4,表,マーリンズ
30,1100,3,オズナ,左安打,1,0,7,4,表,マーリンズ
31,1110,4,スタントン,左二塁打,1,0,8,4,表,マーリンズ
32,1011,5,ボア,空振り三振,2,0,8,4,表,マーリンズ
33,2011,6,リアルミュート,右安打,2,0,9,4,表,マーリンズ
34,2101,7,ディートリッチ,捕邪飛,3,0,9,4,表,マーリンズ
35,0000,2,シーガー,四球,0,0,9,4,裏,ドジャース
