,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ジョイス,空振り三振,1,0,0,1,表,アスレチックス
1,1000,2,ローリー,右フライ,2,0,0,1,表,アスレチックス
2,2000,3,デービス,遊ゴロ,3,0,0,1,表,アスレチックス
3,0000,1,セグラ,左フライ,1,0,0,1,裏,マリナーズ
4,1000,2,ギャメル,遊フライ,2,0,0,1,裏,マリナーズ
5,2000,3,クルーズ,右本塁打,2,1,0,1,裏,マリナーズ
6,2000,4,シーガー,空振り三振,3,1,0,1,裏,マリナーズ
7,0000,4,アロンソ,四球,0,1,0,2,表,アスレチックス
8,0100,5,ヒーリー,左本塁打,0,1,2,2,表,アスレチックス
9,0000,6,キャンハ,左安打,0,1,2,2,表,アスレチックス
10,0100,7,ボート,一邪飛,1,1,2,2,表,アスレチックス
11,1100,8,ロサレス,左フライ,2,1,2,2,表,アスレチックス
12,2010,9,フェグリー,三ゴロ,3,1,2,2,表,アスレチックス
13,0000,5,バレンシア,中安打,0,1,2,2,裏,マリナーズ
14,0100,6,モター,空振り三振,1,1,2,2,裏,マリナーズ
15,1000,7,エレディア,中フライ,3,1,2,2,裏,マリナーズ
16,0000,1,ジョイス,遊ライナー,1,1,2,3,表,アスレチックス
17,1000,2,ローリー,遊フライ,2,1,2,3,表,アスレチックス
18,2000,3,デービス,四球,2,1,2,3,表,アスレチックス
19,2100,4,アロンソ,四球,2,1,2,3,表,アスレチックス
20,2110,5,ヒーリー,中フライ,3,1,2,3,表,アスレチックス
21,0000,8,ダイソン,三ゴロ,1,1,2,3,裏,マリナーズ
22,1000,9,ルイーズ,空振り三振,2,1,2,3,裏,マリナーズ
23,2000,1,セグラ,二安打,2,1,2,3,裏,マリナーズ
24,2100,2,ギャメル,盗塁死,3,1,2,3,裏,マリナーズ
25,0000,6,キャンハ,左二塁打,0,1,2,4,表,アスレチックス
26,0010,7,ボート,右二塁打,0,1,3,4,表,アスレチックス
27,0010,8,ロサレス,三犠打,1,1,3,4,表,アスレチックス
28,1001,9,フェグリー,中安打,1,1,4,4,表,アスレチックス
29,1100,1,ジョイス,三ゴロ,2,1,4,4,表,アスレチックス
30,2010,2,ローリー,空振り三振,3,1,4,4,表,アスレチックス
31,0000,2,ギャメル,左ライナー,1,1,4,4,裏,マリナーズ
32,1000,3,クルーズ,右安打,1,1,4,4,裏,マリナーズ
33,1100,4,シーガー,中フライ,2,1,4,4,裏,マリナーズ
34,2100,5,バレンシア,四球,2,1,4,4,裏,マリナーズ
35,2110,6,モター,中フライ,3,1,4,4,裏,マリナーズ
36,0000,3,デービス,空振り三振,1,1,4,5,表,アスレチックス
37,1000,4,アロンソ,一ゴロ,2,1,4,5,表,アスレチックス
38,2000,5,ヒーリー,見逃し三振,3,1,4,5,表,アスレチックス
39,0000,7,エレディア,捕ゴロ,1,1,4,5,裏,マリナーズ
40,1000,8,ダイソン,死球,1,1,4,5,裏,マリナーズ
