,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ガードナー,空振り三振,1,0,0,1,表,ヤンキース
1,1000,2,ジャッジ,三ゴロ,2,0,0,1,表,ヤンキース
2,2000,3,グレゴリアス,空振り三振,3,0,0,1,表,ヤンキース
3,0000,1,スプリンガー,中安打,0,0,0,1,裏,アストロズ
4,0100,2,ブレグマン,投ゴロ,1,0,0,1,裏,アストロズ
5,1010,3,アルテューベ,三ゴロ,2,0,0,1,裏,アストロズ
6,2010,4,コレア,二ゴロ,3,0,0,1,裏,アストロズ
7,0000,4,サンチェス,中安打,0,0,0,2,表,ヤンキース
8,0100,5,バード,中フライ,1,0,0,2,表,ヤンキース
9,1100,6,カストロ,三ゴロ,2,0,0,2,表,ヤンキース
10,2100,7,ヒックス,空振り三振,3,0,0,2,表,ヤンキース
11,0000,5,グリエル,右ライナー,1,0,0,2,裏,アストロズ
12,1000,6,ギャティス,三ゴロ,2,0,0,2,裏,アストロズ
13,2000,7,マキャン,四球,2,0,0,2,裏,アストロズ
14,2100,8,ゴンザレス,中安打,2,0,0,2,裏,アストロズ
15,2110,9,レディック,右フライ,3,0,0,2,裏,アストロズ
16,0000,8,Tフレージャー,右フライ,1,0,0,3,表,ヤンキース
17,1000,9,ヘドリー,二ゴロ,2,0,0,3,表,ヤンキース
18,2000,1,ガードナー,二ゴロ,3,0,0,3,表,ヤンキース
19,0000,1,スプリンガー,三ゴロ,1,0,0,3,裏,アストロズ
20,1000,2,ブレグマン,二安打,1,0,0,3,裏,アストロズ
21,1100,3,アルテューベ,四球,1,0,0,3,裏,アストロズ
22,1110,4,コレア,遊ゴロ,2,0,0,3,裏,アストロズ
23,2101,5,グリエル,三ゴロ,3,0,0,3,裏,アストロズ
24,0000,2,ジャッジ,遊ゴロ,1,0,0,4,表,ヤンキース
25,1000,3,グレゴリアス,空振り三振,2,0,0,4,表,ヤンキース
26,2000,4,サンチェス,遊ライナー,3,0,0,4,表,ヤンキース
27,0000,6,ギャティス,左本塁打,0,1,0,4,裏,アストロズ
28,0000,7,マキャン,四球,0,1,0,4,裏,アストロズ
29,0100,8,ゴンザレス,遊ゴロ,1,1,0,4,裏,アストロズ
30,1100,9,レディック,左安打,1,1,0,4,裏,アストロズ
31,1110,1,スプリンガー,遊ゴロ併殺,3,1,0,4,裏,アストロズ
32,0000,5,バード,右二塁打,0,1,0,5,表,ヤンキース
33,0010,6,カストロ,空振り三振,1,1,0,5,表,ヤンキース
34,1010,7,ヒックス,四球,1,1,0,5,表,ヤンキース
35,1101,8,Tフレージャー,三ゴロ,2,1,0,5,表,ヤンキース
36,2110,9,ヘドリー,二ゴロ,3,1,0,5,表,ヤンキース
37,0000,2,ブレグマン,中フライ,1,1,0,5,裏,アストロズ
38,1000,3,アルテューベ,右本塁打,1,2,0,5,裏,アストロズ
39,1000,4,コレア,中安打,1,2,0,5,裏,アストロズ
40,1100,5,グリエル,右安打,1,2,0,5,裏,アストロズ
41,1101,6,ギャティス,見逃し三振,2,2,0,5,裏,アストロズ
42,2101,7,マキャン,右二塁打,2,4,0,5,裏,アストロズ
43,2010,8,ゴンザレス,一ゴロ,3,4,0,5,裏,アストロズ
44,0000,1,ガードナー,左安打,0,4,0,6,表,ヤンキース
45,0100,2,ジャッジ,三邪飛,1,4,0,6,表,ヤンキース
46,1100,3,グレゴリアス,空振り三振,2,4,0,6,表,ヤンキース
47,2100,4,サンチェス,三ゴロ,3,4,0,6,表,ヤンキース
48,0000,9,レディック,三ゴロ,1,4,0,6,裏,アストロズ
49,1000,1,スプリンガー,三邪飛,2,4,0,6,裏,アストロズ
50,2000,2,ブレグマン,中フライ,3,4,0,6,裏,アストロズ
51,0000,5,バード,中フライ,1,4,0,7,表,ヤンキース
52,1000,6,カストロ,空振り三振,2,4,0,7,表,ヤンキース
53,2000,7,ヒックス,一ゴロ,3,4,0,7,表,ヤンキース
54,0000,3,アルテューベ,空振り三振,1,4,0,7,裏,アストロズ
55,1000,4,コレア,左安打,1,4,0,7,裏,アストロズ
56,1100,5,グリエル,二ゴロ,2,4,0,7,裏,アストロズ
57,2100,6,ギャティス,遊フライ,3,4,0,7,裏,アストロズ
58,0000,8,Tフレージャー,四球,0,4,0,8,表,ヤンキース
59,0100,9,ヘドリー,空振り三振,1,4,0,8,表,ヤンキース
60,1100,1,ガードナー,中フライ,2,4,0,8,表,ヤンキース
61,2100,2,ジャッジ,空振り三振,3,4,0,8,表,ヤンキース
62,0000,7,マキャン,空振り三振,1,4,0,8,裏,アストロズ
63,1000,8,ゴンザレス,二ゴロ,2,4,0,8,裏,アストロズ
64,2000,9,レディック,空振り三振,3,4,0,8,裏,アストロズ
65,0000,3,グレゴリアス,空振り三振,1,4,0,9,表,ヤンキース
66,1000,4,サンチェス,空振り三振,2,4,0,9,表,ヤンキース
67,2000,5,バード,中フライ,3,4,0,9,表,ヤンキース
