,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,セグラ,左二塁打,0,0,0,1,表,マリナーズ
1,0010,2,ギャメル,中フライ,1,0,0,1,表,マリナーズ
2,1001,3,カノ,左フライ,2,0,0,1,表,マリナーズ
3,2001,4,モター,二フライ,3,0,0,1,表,マリナーズ
4,0000,1,サンタナ,二フライ,1,0,0,1,裏,インディアンス
5,1000,2,リンドア,四球,1,0,0,1,裏,インディアンス
6,1100,3,ガイヤー,空振り三振,2,0,0,1,裏,インディアンス
7,2010,4,エンカーナシオン,四球,2,0,0,1,裏,インディアンス
8,2110,5,ラミレス,空振り三振,3,0,0,1,裏,インディアンス
9,0000,5,シーガー,空振り三振,1,0,0,2,表,マリナーズ
10,1000,6,エレディア,三ゴロ,2,0,0,2,表,マリナーズ
11,2000,7,ボグルバック,空振り三振,3,0,0,2,表,マリナーズ
12,0000,6,キプニス,遊フライ,1,0,0,2,裏,インディアンス
13,1000,7,ジャクソン,右フライ,2,0,0,2,裏,インディアンス
14,2000,8,アルモンテ,三失策,2,0,0,2,裏,インディアンス
15,2100,9,ゴームズ,空振り三振,3,0,0,2,裏,インディアンス
16,0000,8,ズニーノ,投ゴロ,1,0,0,3,表,マリナーズ
17,1000,9,ダイソン,中フライ,2,0,0,3,表,マリナーズ
18,2000,1,セグラ,遊ゴロ,3,0,0,3,表,マリナーズ
19,0000,1,サンタナ,二フライ,1,0,0,3,裏,インディアンス
20,1000,2,リンドア,三ゴロ,2,0,0,3,裏,インディアンス
21,2000,3,ガイヤー,中フライ,3,0,0,3,裏,インディアンス
22,0000,2,ギャメル,中二塁打,0,0,0,4,表,マリナーズ
23,0010,3,カノ,中本塁打,0,0,2,4,表,マリナーズ
24,0000,4,モター,中ライナー,1,0,2,4,表,マリナーズ
25,1000,5,シーガー,左フライ,2,0,2,4,表,マリナーズ
26,2000,6,エレディア,三ゴロ,3,0,2,4,表,マリナーズ
27,0000,4,エンカーナシオン,空振り三振,1,0,2,4,裏,インディアンス
28,1000,5,ラミレス,左本塁打,1,1,2,4,裏,インディアンス
29,1000,6,キプニス,空振り三振,2,1,2,4,裏,インディアンス
30,2000,7,ジャクソン,空振り三振,3,1,2,4,裏,インディアンス
31,0000,7,ボグルバック,空振り三振,1,1,2,5,表,マリナーズ
32,1000,8,ズニーノ,空振り三振,2,1,2,5,表,マリナーズ
33,2000,9,ダイソン,遊安打,2,1,2,5,表,マリナーズ
34,2100,1,セグラ,盗塁死,3,1,2,5,表,マリナーズ
35,0000,8,アルモンテ,空振り三振,1,1,2,5,裏,インディアンス
36,1000,9,ゴームズ,左フライ,2,1,2,5,裏,インディアンス
37,2000,1,サンタナ,中フライ,3,1,2,5,裏,インディアンス
38,0000,1,セグラ,右フライ,1,1,2,6,表,マリナーズ
39,1000,2,ギャメル,右本塁打,1,1,3,6,表,マリナーズ
40,1000,3,カノ,空振り三振,2,1,3,6,表,マリナーズ
41,2000,4,モター,空振り三振,3,1,3,6,表,マリナーズ
42,0000,2,リンドア,中安打,0,1,3,6,裏,インディアンス
43,0100,3,ガイヤー,遊ライナー,1,1,3,6,裏,インディアンス
44,1100,4,エンカーナシオン,空振り三振,2,1,3,6,裏,インディアンス
45,2100,5,ラミレス,空振り三振,3,1,3,6,裏,インディアンス
46,0000,5,シーガー,遊ゴロ,1,1,3,7,表,マリナーズ
47,1000,6,エレディア,中安打,1,1,3,7,表,マリナーズ
48,1100,7,ボグルバック,一ゴロ併殺,3,1,3,7,表,マリナーズ
49,0000,6,キプニス,空振り三振,1,1,3,7,裏,インディアンス
50,1000,7,ジャクソン,見逃し三振,2,1,3,7,裏,インディアンス
51,2000,8,アルモンテ,右安打,2,1,3,7,裏,インディアンス
52,2100,9,ゴームズ,二ゴロ,3,1,3,7,裏,インディアンス
53,0000,8,ズニーノ,左フライ,1,1,3,8,表,マリナーズ
54,1000,9,ダイソン,二ゴロ,2,1,3,8,表,マリナーズ
55,2000,1,セグラ,空振り三振,3,1,3,8,表,マリナーズ
56,0000,1,サンタナ,遊ゴロ,1,1,3,8,裏,インディアンス
57,1000,2,リンドア,左二塁打,1,1,3,8,裏,インディアンス
58,1010,3,ガイヤー,右ライナー,2,1,3,8,裏,インディアンス
59,2010,4,エンカーナシオン,空振り三振,3,1,3,8,裏,インディアンス
60,0000,2,ギャメル,一ライナー,1,1,3,9,表,マリナーズ
61,1000,3,カノ,遊ゴロ,2,1,3,9,表,マリナーズ
62,2000,4,モター,空振り三振,3,1,3,9,表,マリナーズ
63,0000,5,ラミレス,空振り三振,1,1,3,9,裏,インディアンス
64,1000,6,キプニス,三フライ,2,1,3,9,裏,インディアンス
65,2000,7,チゼンホール,空振り三振,3,1,3,9,裏,インディアンス
