,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ブラックモン,見逃し三振,1,0,0,1,表,ロッキーズ
1,1000,2,ルメーヒュー,中安打,1,0,0,1,表,ロッキーズ
2,1100,3,アレナド,空振り三振,2,0,0,1,表,ロッキーズ
3,2100,4,レイノルズ,盗塁死,3,0,0,1,表,ロッキーズ
4,0000,1,ハミルトン,三安打,0,0,0,1,裏,レッズ
5,0001,2,ペラザ,四球,0,0,0,1,裏,レッズ
6,0011,3,ボット,遊ゴロ,1,1,0,1,裏,レッズ
7,1010,4,デュバル,死球,1,1,0,1,裏,レッズ
8,1100,5,スアレス,三ゴロ,3,1,0,1,裏,レッズ
9,0000,4,レイノルズ,死球,0,1,0,2,表,ロッキーズ
10,0100,5,ゴンザレス,右ライナー,1,1,0,2,表,ロッキーズ
11,1100,6,デスモンド,中フライ,2,1,0,2,表,ロッキーズ
12,2100,7,バライカ,空振り三振,3,1,0,2,表,ロッキーズ
13,0000,6,シェブラー,中フライ,1,1,0,2,裏,レッズ
14,1000,7,アルカンタラ,右フライ,2,1,0,2,裏,レッズ
15,2000,8,メゾラコ,中安打,2,1,0,2,裏,レッズ
16,2100,9,アローヨ,中ライナー,3,1,0,2,裏,レッズ
17,0000,8,ハニガン,右安打,0,1,0,3,表,ロッキーズ
18,0100,9,フリーランド,左二塁打,0,1,0,3,表,ロッキーズ
19,0011,1,ブラックモン,右犠飛,1,1,1,3,表,ロッキーズ
20,1001,2,ルメーヒュー,中安打,1,1,2,3,表,ロッキーズ
21,1100,3,アレナド,左ライナー,2,1,2,3,表,ロッキーズ
22,2100,4,レイノルズ,中フライ,3,1,2,3,表,ロッキーズ
23,0000,1,ハミルトン,投ゴロ,1,1,2,3,裏,レッズ
24,1000,2,ペラザ,三ゴロ,2,1,2,3,裏,レッズ
25,2000,3,ボット,二ゴロ,3,1,2,3,裏,レッズ
26,0000,5,ゴンザレス,右本塁打,0,1,3,4,表,ロッキーズ
27,0000,6,デスモンド,左フライ,1,1,3,4,表,ロッキーズ
28,1000,7,バライカ,左フライ,2,1,3,4,表,ロッキーズ
29,2000,8,ハニガン,三ゴロ,3,1,3,4,表,ロッキーズ
30,0000,4,デュバル,三ゴロ,1,1,3,4,裏,レッズ
31,1000,5,スアレス,四球,1,1,3,4,裏,レッズ
32,1100,6,シェブラー,中安打,1,1,3,4,裏,レッズ
33,1110,7,アルカンタラ,三ゴロ併殺,3,1,3,4,裏,レッズ
34,0000,9,フリーランド,右本塁打,0,1,4,5,表,ロッキーズ
35,0000,1,ブラックモン,左フライ,1,1,4,5,表,ロッキーズ
36,1000,2,ルメーヒュー,左本塁打,1,1,5,5,表,ロッキーズ
37,1000,3,アレナド,左二塁打,1,1,5,5,表,ロッキーズ
38,1010,4,レイノルズ,空振り三振,2,1,5,5,表,ロッキーズ
39,2010,5,ゴンザレス,敬遠,2,1,5,5,表,ロッキーズ
40,2110,6,デスモンド,三ゴロ,3,1,5,5,表,ロッキーズ
41,0000,8,メゾラコ,左フライ,1,1,5,5,裏,レッズ
42,1000,9,アローヨ,空振り三振,2,1,5,5,裏,レッズ
43,2000,1,ハミルトン,空振り三振,3,1,5,5,裏,レッズ
44,0000,7,バライカ,左本塁打,0,1,6,6,表,ロッキーズ
45,0000,8,ハニガン,三ゴロ,1,1,6,6,表,ロッキーズ
46,1000,9,フリーランド,四球,1,1,6,6,表,ロッキーズ
47,1100,1,ブラックモン,中フライ,2,1,6,6,表,ロッキーズ
48,2100,2,ルメーヒュー,右二塁打,2,1,6,6,表,ロッキーズ
49,2011,3,アレナド,空振り三振,3,1,6,6,表,ロッキーズ
50,0000,2,ペラザ,左三塁打,0,1,6,6,裏,レッズ
51,0001,3,ボット,左本塁打,0,3,6,6,裏,レッズ
52,0000,4,デュバル,空振り三振,1,3,6,6,裏,レッズ
53,1000,5,スアレス,中フライ,2,3,6,6,裏,レッズ
54,2000,6,シェブラー,右本塁打,2,4,6,6,裏,レッズ
55,2000,7,アルカンタラ,三ゴロ,3,4,6,6,裏,レッズ
56,0000,4,レイノルズ,一邪飛,1,4,6,7,表,ロッキーズ
57,1000,5,ゴンザレス,四球,1,4,6,7,表,ロッキーズ
58,1100,6,デスモンド,右フライ,2,4,6,7,表,ロッキーズ
59,2100,7,バライカ,見逃し三振,3,4,6,7,表,ロッキーズ
60,0000,8,メゾラコ,中二塁打,0,4,6,7,裏,レッズ
61,0010,9,キブルハン,空振り三振,1,4,6,7,裏,レッズ
62,1010,1,ハミルトン,右フライ,2,4,6,7,裏,レッズ
63,2010,2,ペラザ,二ゴロ,3,4,6,7,裏,レッズ
64,0000,8,ハニガン,一ゴロ,1,4,6,8,表,ロッキーズ
65,1000,9,アマリスタ,一ゴロ,2,4,6,8,表,ロッキーズ
66,2000,1,ブラックモン,右安打,2,4,6,8,表,ロッキーズ
67,2100,2,ルメーヒュー,一ゴロ,3,4,6,8,表,ロッキーズ
68,0000,3,ボット,左安打,0,4,6,8,裏,レッズ
69,0100,4,デュバル,空振り三振,1,4,6,8,裏,レッズ
70,1100,5,スアレス,中安打,1,4,6,8,裏,レッズ
71,1110,6,シェブラー,空振り三振,2,4,6,8,裏,レッズ
72,2110,7,アルカンタラ,空振り三振,3,4,6,8,裏,レッズ
73,0000,3,アレナド,遊ゴロ,1,4,6,9,表,ロッキーズ
74,1000,4,レイノルズ,三ゴロ,2,4,6,9,表,ロッキーズ
75,2000,5,ゴンザレス,二失策,2,4,6,9,表,ロッキーズ
76,2100,6,デスモンド,見逃し三振,3,4,6,9,表,ロッキーズ
77,0000,8,メゾラコ,四球,0,4,6,9,裏,レッズ
78,0100,9,ジェネット,空振り三振,1,4,6,9,裏,レッズ
79,1100,1,ハミルトン,中フライ,2,4,6,9,裏,レッズ
80,2100,2,ペラザ,空振り三振,3,4,6,9,裏,レッズ
