,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,レイエス,三ゴロ,1,0,0,1,表,メッツ
1,1000,2,レガレス,右フライ,2,0,0,1,表,メッツ
2,2000,3,カブレラ,四球,2,0,0,1,表,メッツ
3,2010,4,フローレス,中安打,2,0,0,1,表,メッツ
4,2000,1,ケンドリック,三ゴロ,1,0,0,1,表,メッツ
5,1000,2,ディフォ,一失策,1,0,0,1,表,メッツ
6,1100,3,レンドン,左二塁打,1,0,0,1,表,メッツ
7,1001,4,リンド,遊野選,1,2,0,1,表,メッツ
8,1100,5,ウィータース,空振り三振,2,2,0,1,表,メッツ
9,2100,6,テイラー,左安打,2,2,0,1,表,メッツ
10,2110,7,スティーブンソン,四球,2,2,0,1,表,メッツ
11,2111,8,サンチェス,左安打,2,4,0,1,表,メッツ
12,2110,9,ゴンザレス,三ゴロ,3,4,0,1,表,メッツ
13,0000,5,ロサリオ,遊ゴロ,1,4,0,1,裏,ナショナルズ
14,1000,6,プラウェッキ,遊フライ,2,4,0,1,裏,ナショナルズ
15,2000,7,タイロン,遊ゴロ,3,4,0,1,裏,ナショナルズ
16,0000,1,ケンドリック,四球,0,4,0,2,表,メッツ
17,0100,2,ディフォ,中安打,0,4,0,2,表,メッツ
18,0110,3,レンドン,三ゴロ併殺,2,4,0,2,表,メッツ
19,2010,4,リンド,右安打,2,5,0,2,表,メッツ
20,2100,5,ウィータース,一ゴロ,3,5,0,2,表,メッツ
21,0000,8,ニモー,空振り三振,1,5,0,2,裏,ナショナルズ
22,1000,9,グセルマン,遊ゴロ,2,5,0,2,裏,ナショナルズ
23,2000,1,レイエス,中二塁打,2,5,0,2,裏,ナショナルズ
24,2010,2,レガレス,左安打,2,5,1,2,裏,ナショナルズ
25,2100,3,カブレラ,二フライ,3,5,1,2,裏,ナショナルズ
26,0000,6,テイラー,左安打,0,5,1,3,表,メッツ
27,0100,7,スティーブンソン,遊フライ,1,5,1,3,表,メッツ
28,1100,8,サンチェス,遊ゴロ併殺,3,5,1,3,表,メッツ
29,0000,4,フローレス,中安打,0,5,1,3,裏,ナショナルズ
