,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ピレラ,遊ゴロ,1,0,0,1,表,パドレス
1,1000,2,アスアヘ,空振り三振,2,0,0,1,表,パドレス
2,2000,3,マイヤーズ,遊ゴロ,3,0,0,1,表,パドレス
3,0000,1,スパン,右二塁打,0,0,0,1,裏,ジャイアンツ
4,0010,2,ヌネス,二フライ,1,0,0,1,裏,ジャイアンツ
5,1001,3,ベルト,中安打,1,1,0,1,裏,ジャイアンツ
6,1100,4,ポージー,四球,1,1,0,1,裏,ジャイアンツ
7,1110,5,クロフォード,右安打,1,2,0,1,裏,ジャイアンツ
8,1001,6,ペンス,左二塁打,1,4,0,1,裏,ジャイアンツ
9,1010,7,パニック,一ゴロ,2,4,0,1,裏,ジャイアンツ
10,2001,8,ヘルナンデス,二ゴロ,3,4,0,1,裏,ジャイアンツ
11,0000,4,サンチェス,中フライ,1,4,0,2,表,パドレス
12,1000,5,スパンゲンバーグ,右安打,1,4,0,2,表,パドレス
13,1100,6,レンフロー,右フライ,2,4,0,2,表,パドレス
14,2100,7,アイバー,空振り三振,3,4,0,2,表,パドレス
15,0000,9,サマージャ,左安打,0,4,0,2,裏,ジャイアンツ
16,0100,1,スパン,空振り三振,1,4,0,2,裏,ジャイアンツ
17,1100,2,ヌネス,投ゴロ併殺,3,4,0,2,裏,ジャイアンツ
18,0000,8,コルデロ,中三塁打,0,4,0,3,表,パドレス
19,0001,9,ケーヒル,遊ゴロ,1,4,1,3,表,パドレス
20,1000,1,ピレラ,左二塁打,1,4,1,3,表,パドレス
21,1010,2,アスアヘ,一ゴロ,2,4,1,3,表,パドレス
22,2001,3,マイヤーズ,左ライナー,3,4,1,3,表,パドレス
23,0000,3,ベルト,四球,0,4,1,3,裏,ジャイアンツ
24,0100,4,ポージー,左フライ,1,4,1,3,裏,ジャイアンツ
25,1100,5,クロフォード,三ゴロ,2,4,1,3,裏,ジャイアンツ
26,2010,6,ペンス,中安打,2,5,1,3,裏,ジャイアンツ
27,2010,7,パニック,二ゴロ,3,5,1,3,裏,ジャイアンツ
28,0000,4,サンチェス,中本塁打,0,5,2,4,表,パドレス
29,0000,5,スパンゲンバーグ,四球,0,5,2,4,表,パドレス
30,0100,6,レンフロー,左フライ,1,5,2,4,表,パドレス
31,1100,7,アイバー,二失策,1,5,2,4,表,パドレス
32,1001,8,コルデロ,空振り三振,3,5,2,4,表,パドレス
33,0000,8,ヘルナンデス,二安打,0,5,2,4,裏,ジャイアンツ
34,0100,9,サマージャ,投犠打,1,5,2,4,裏,ジャイアンツ
35,1010,1,スパン,投失策,1,5,2,4,裏,ジャイアンツ
36,1101,2,ヌネス,投ライナー,2,5,2,4,裏,ジャイアンツ
37,2101,3,ベルト,四球,2,5,2,4,裏,ジャイアンツ
38,2011,4,ポージー,四球,2,6,2,4,裏,ジャイアンツ
39,2111,5,クロフォード,右ライナー,3,6,2,4,裏,ジャイアンツ
40,0000,9,シーザー,中二塁打,0,6,2,5,表,パドレス
41,0010,1,ピレラ,中安打,0,6,3,5,表,パドレス
42,0100,2,アスアヘ,中安打,0,6,3,5,表,パドレス
43,0101,3,マイヤーズ,投ゴロ,1,6,3,5,表,パドレス
44,1110,4,サンチェス,左二塁打,1,6,4,5,表,パドレス
45,1011,5,スパンゲンバーグ,二ゴロ,2,6,5,5,表,パドレス
46,2001,6,レンフロー,見逃し三振,3,6,5,5,表,パドレス
47,0000,6,ペンス,右安打,0,6,5,5,裏,ジャイアンツ
48,0100,7,パニック,中フライ,1,6,5,5,裏,ジャイアンツ
49,1100,8,ヘルナンデス,空振り三振,2,6,5,5,裏,ジャイアンツ
50,2100,9,ゲアリン,空振り三振,3,6,5,5,裏,ジャイアンツ
51,0000,7,アイバー,中フライ,1,6,5,6,表,パドレス
52,1000,8,スタメン,四球,1,6,5,6,表,パドレス
53,1100,9,シーザー,中安打,1,6,5,6,表,パドレス
54,1101,1,ピレラ,空振り三振,2,6,5,6,表,パドレス
55,2101,2,アスアヘ,右安打,2,6,6,6,表,パドレス
56,2000,1,スパン,左ライナー,1,6,6,6,表,パドレス
57,1000,2,ヌネス,空振り三振,2,6,6,6,表,パドレス
58,2000,3,ベルト,左フライ,3,6,6,6,表,パドレス
59,0000,3,マイヤーズ,左本塁打,0,6,7,6,裏,ジャイアンツ
60,0000,4,サンチェス,中安打,0,6,7,6,裏,ジャイアンツ
61,0100,5,スパンゲンバーグ,右安打,0,6,7,6,裏,ジャイアンツ
62,0110,6,レンフロー,中ライナー,1,6,7,6,裏,ジャイアンツ
63,1110,7,アイバー,左フライ,2,6,7,6,裏,ジャイアンツ
64,2110,8,ブラッシュ,遊フライ,3,6,7,6,裏,ジャイアンツ
65,0000,4,ポージー,右フライ,1,6,7,7,表,パドレス
66,1000,5,クロフォード,右フライ,2,6,7,7,表,パドレス
67,2000,6,ペンス,空振り三振,3,6,7,7,表,パドレス
68,0000,9,シーザー,中三塁打,0,6,7,7,裏,ジャイアンツ
69,0001,1,ピレラ,右三塁打,0,6,8,7,裏,ジャイアンツ
70,0001,2,アスアヘ,右安打,0,6,9,7,裏,ジャイアンツ
71,0100,3,マイヤーズ,三邪飛,1,6,9,7,裏,ジャイアンツ
72,1100,4,サンチェス,左フライ,2,6,9,7,裏,ジャイアンツ
73,2100,5,スパンゲンバーグ,空振り三振,3,6,9,7,裏,ジャイアンツ
74,0000,7,パニック,空振り三振,1,6,9,8,表,パドレス
75,1000,8,ヘルナンデス,左安打,1,6,9,8,表,パドレス
76,1100,9,トムリンソン,空振り三振,2,6,9,8,表,パドレス
77,2100,1,スパン,見逃し三振,3,6,9,8,表,パドレス
78,0000,6,レンフロー,左ライナー,1,6,9,8,裏,ジャイアンツ
79,1000,7,アイバー,右ライナー,2,6,9,8,裏,ジャイアンツ
80,2000,8,コルドバ,四球,2,6,9,8,裏,ジャイアンツ
81,2100,9,シーザー,空振り三振,3,6,9,8,裏,ジャイアンツ
82,0000,2,ヌネス,二ゴロ,1,6,9,9,表,パドレス
83,1000,3,ベルト,中フライ,2,6,9,9,表,パドレス
84,2000,4,ポージー,四球,2,6,9,9,表,パドレス
85,2010,5,クロフォード,左安打,2,7,9,9,表,パドレス
86,2100,6,ギラスピー,右本塁打,2,9,9,9,表,パドレス
87,2000,7,パニック,一ゴロ,3,9,9,9,表,パドレス
88,0000,1,ピレラ,四球,0,9,9,9,裏,ジャイアンツ
89,0100,2,アスアヘ,二ゴロ,1,9,9,9,裏,ジャイアンツ
90,1010,3,マイヤーズ,四球,1,9,9,9,裏,ジャイアンツ
91,1110,4,サンチェス,空振り三振,2,9,9,9,裏,ジャイアンツ
92,2110,5,スパンゲンバーグ,遊ゴロ,3,9,9,9,裏,ジャイアンツ
93,0000,8,ヘルナンデス,右フライ,1,9,9,10,表,パドレス
94,1000,9,トムリンソン,右ライナー,2,9,9,10,表,パドレス
95,2000,1,スパン,投ライナー,3,9,9,10,表,パドレス
96,0000,6,レンフロー,左安打,0,9,9,10,裏,ジャイアンツ
97,0100,7,アイバー,四球,0,9,9,10,裏,ジャイアンツ
98,0110,8,トーレンス,投犠打,1,9,9,10,裏,ジャイアンツ
99,1011,9,シーザー,左安打,1,9,10,10,裏,ジャイアンツ
100,1101,1,ピレラ,中安打,1,9,11,10,裏,ジャイアンツ
101,1101,2,アスアヘ,右安打,1,9,12,10,裏,ジャイアンツ
102,1110,3,マイヤーズ,遊ゴロ併殺,3,9,12,10,裏,ジャイアンツ
103,0000,2,ヌネス,一ゴロ,1,9,12,11,表,パドレス
104,1000,3,ベルト,中フライ,2,9,12,11,表,パドレス
105,2000,4,ポージー,三ゴロ,3,9,12,11,表,パドレス
