,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ウィンカー,遊安打,0,0,0,1,表,レッズ
1,0100,2,スアレス,見逃し三振,1,0,0,1,表,レッズ
2,1100,3,ボット,中安打,1,0,0,1,表,レッズ
3,1110,4,ジェネット,左併殺,3,0,0,1,表,レッズ
4,0000,1,ハリソン,中フライ,1,0,0,1,裏,パイレーツ
5,1000,2,ポランコ,左フライ,2,0,0,1,裏,パイレーツ
6,2000,3,マルテ,左安打,2,0,0,1,裏,パイレーツ
7,2010,4,ベル,空振り三振,3,0,0,1,裏,パイレーツ
8,0000,5,デュバル,一邪飛,1,0,0,2,表,レッズ
9,1000,6,メゾラコ,一ゴロ,2,0,0,2,表,レッズ
10,2000,7,ペラザ,空振り三振,3,0,0,2,表,レッズ
11,0000,5,ディカーソン,中二塁打,0,0,0,2,裏,パイレーツ
12,0010,6,セルベリ,一ゴロ,1,0,0,2,裏,パイレーツ
13,1001,7,モーラン,右二塁打,1,1,0,2,裏,パイレーツ
14,1010,8,マーサー,左二塁打,1,2,0,2,裏,パイレーツ
15,1010,9,ウィリアムズ,投ゴロ,2,2,0,2,裏,パイレーツ
16,2001,1,ハリソン,空振り三振,3,2,0,2,裏,パイレーツ
17,0000,8,カスティーヨ,中二塁打,0,2,0,3,表,レッズ
18,0001,9,ハミルトン,四球,0,2,0,3,表,レッズ
19,0101,1,ウィンカー,一安打,0,2,1,3,表,レッズ
20,0110,2,スアレス,見逃し三振,1,2,1,3,表,レッズ
21,1110,3,ボット,中安打,1,2,2,3,表,レッズ
22,1101,4,ジェネット,三ライナー,2,2,2,3,表,レッズ
23,2101,5,デュバル,空振り三振,3,2,2,3,表,レッズ
24,0000,2,ポランコ,一ゴロ,1,2,2,3,裏,パイレーツ
25,1000,3,マルテ,遊ゴロ,2,2,2,3,裏,パイレーツ
26,2000,4,ベル,四球,2,2,2,3,裏,パイレーツ
27,2100,5,ディカーソン,右安打,2,2,2,3,裏,パイレーツ
28,2110,6,セルベリ,四球,2,2,2,3,裏,パイレーツ
29,2111,7,モーラン,中安打,2,4,2,3,裏,パイレーツ
30,2101,8,マーサー,三ゴロ,3,4,2,3,裏,パイレーツ
31,0000,6,メゾラコ,中フライ,1,4,2,4,表,レッズ
32,1000,7,ペラザ,右フライ,2,4,2,4,表,レッズ
33,2000,8,カスティーヨ,左安打,2,4,2,4,表,レッズ
34,2100,9,ハミルトン,遊安打,2,4,2,4,表,レッズ
35,2110,1,ウィンカー,左安打,2,4,2,4,表,レッズ
36,2111,2,スアレス,右フライ,3,4,2,4,表,レッズ
37,0000,9,ウィリアムズ,投ゴロ,1,4,2,4,裏,パイレーツ
38,1000,1,ハリソン,中フライ,2,4,2,4,裏,パイレーツ
39,2000,2,ポランコ,二ゴロ,3,4,2,4,裏,パイレーツ
40,0000,3,ボット,中フライ,1,4,2,5,表,レッズ
41,1000,4,ジェネット,左ライナー,2,4,2,5,表,レッズ
42,2000,5,デュバル,二ゴロ,3,4,2,5,表,レッズ
43,0000,3,マルテ,空振り三振,1,4,2,5,裏,パイレーツ
44,1000,4,ベル,四球,1,4,2,5,裏,パイレーツ
45,1100,5,ディカーソン,中フライ,2,4,2,5,裏,パイレーツ
46,2100,6,セルベリ,遊フライ,3,4,2,5,裏,パイレーツ
47,0000,6,メゾラコ,二フライ,1,4,2,6,表,レッズ
48,1000,7,ペラザ,遊安打,1,4,2,6,表,レッズ
49,1100,8,ペニントン,中安打,1,4,2,6,表,レッズ
50,1110,9,ハミルトン,捕ゴロ,2,4,2,6,表,レッズ
51,2011,1,ウィンカー,二ゴロ,3,4,2,6,表,レッズ
52,0000,7,モーラン,左安打,0,4,2,6,裏,パイレーツ
53,0100,8,マーサー,右二塁打,0,4,2,6,裏,パイレーツ
54,0011,9,フレージャー,一ゴロ,1,4,2,6,裏,パイレーツ
55,1011,1,ハリソン,中安打,1,5,2,6,裏,パイレーツ
56,1011,2,ポランコ,四球,1,5,2,6,裏,パイレーツ
57,1111,3,マルテ,中三塁打,1,8,2,6,裏,パイレーツ
58,1001,4,ベル,四球,1,8,2,6,裏,パイレーツ
59,1101,5,ディカーソン,右二塁打,1,10,2,6,裏,パイレーツ
60,1000,6,セルベリ,左フライ,3,10,2,6,裏,パイレーツ
61,0000,2,スアレス,左安打,0,10,2,7,表,レッズ
62,0100,3,ボット,二ゴロ,1,10,2,7,表,レッズ
63,1100,4,ジェネット,遊ゴロ併殺,3,10,2,7,表,レッズ
64,0000,7,モーラン,中安打,0,10,2,7,裏,パイレーツ
65,0100,8,マーサー,左安打,0,10,2,7,裏,パイレーツ
66,0110,9,フリース,右ゴロ,1,10,2,7,裏,パイレーツ
67,1101,1,ハリソン,中安打,1,11,2,7,裏,パイレーツ
68,1101,2,ポランコ,中二塁打,1,13,2,7,裏,パイレーツ
69,1010,3,マルテ,一失策,1,14,2,7,裏,パイレーツ
70,1010,4,ベル,中併殺,3,14,2,7,裏,パイレーツ
71,0000,5,デュバル,四球,0,14,2,8,表,レッズ
72,0100,6,メゾラコ,投ゴロ併殺,2,14,2,8,表,レッズ
73,2000,7,ペラザ,遊安打,2,14,2,8,表,レッズ
74,2100,8,ゴスリン,見逃し三振,3,14,2,8,表,レッズ
75,0000,5,ディカーソン,死球,0,14,2,8,裏,パイレーツ
76,0100,6,セルベリ,四球,0,14,2,8,裏,パイレーツ
77,0110,7,モーラン,一ゴロ,1,14,2,8,裏,パイレーツ
78,1101,8,マーサー,空振り三振,2,14,2,8,裏,パイレーツ
79,2101,9,ホームズ,空振り三振,3,14,2,8,裏,パイレーツ
80,0000,9,ハミルトン,四球,0,14,2,9,表,レッズ
81,0100,1,ウィンカー,一ゴロ,1,14,2,9,表,レッズ
82,1010,2,スアレス,右ライナー,2,14,2,9,表,レッズ
83,2010,3,アービン,左安打,2,14,3,9,表,レッズ
84,2010,4,ジェネット,見逃し三振,3,14,3,9,表,レッズ
