,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ゾブリスト,四球,0,0,0,1,表,カブス
1,0100,2,ヘイワード,中フライ,1,0,0,1,表,カブス
2,1100,3,ブライアント,右安打,1,0,0,1,表,カブス
3,1110,4,リゾ,一ゴロ併殺,3,0,0,1,表,カブス
4,0000,1,ニモー,四球,0,0,0,1,裏,メッツ
5,0000,2,カブレラ,中安打,1,0,0,1,裏,メッツ
6,1100,3,コンフォート,見逃し三振,2,0,0,1,裏,メッツ
7,2100,4,メゾラコ,左安打,2,0,0,1,裏,メッツ
8,2110,5,ブルース,中フライ,3,0,0,1,裏,メッツ
9,0000,5,アルモラ,一ゴロ,1,0,0,2,表,カブス
10,1000,6,バエス,空振り三振,2,0,0,2,表,カブス
11,2000,7,ラッセル,中安打,2,0,0,2,表,カブス
12,2100,8,ジメネス,二ゴロ,3,0,0,2,表,カブス
13,0000,6,ゴンザレス,二ゴロ,1,0,0,2,裏,メッツ
14,1000,7,ギローム,三ゴロ,2,0,0,2,裏,メッツ
15,2000,8,ウィーラー,三ゴロ,3,0,0,2,裏,メッツ
16,0000,9,チャットウッド,投ゴロ,1,0,0,3,表,カブス
17,1000,1,ゾブリスト,中安打,1,0,0,3,表,カブス
18,1100,2,ヘイワード,二ゴロ,2,0,0,3,表,カブス
19,2010,3,ブライアント,四球,2,0,0,3,表,カブス
20,2110,4,リゾ,遊フライ,3,0,0,3,表,カブス
21,0000,9,ロサリオ,四球,0,0,0,3,裏,メッツ
22,0100,1,ニモー,左本塁打,0,2,0,3,裏,メッツ
23,0000,2,カブレラ,中フライ,1,2,0,3,裏,メッツ
24,1000,3,コンフォート,空振り三振,2,2,0,3,裏,メッツ
25,2000,4,メゾラコ,遊ゴロ,3,2,0,3,裏,メッツ
26,0000,5,アルモラ,遊安打,0,2,0,4,表,カブス
27,0100,6,バエス,空振り三振,1,2,0,4,表,カブス
28,1100,7,ラッセル,三ゴロ,2,2,0,4,表,カブス
29,2100,8,ジメネス,二フライ,3,2,0,4,表,カブス
30,0000,5,ブルース,遊フライ,1,2,0,4,裏,メッツ
31,1000,6,ゴンザレス,遊ゴロ,2,2,0,4,裏,メッツ
32,2000,7,ギローム,遊ゴロ,3,2,0,4,裏,メッツ
33,0000,9,チャットウッド,空振り三振,1,2,0,5,表,カブス
34,1000,1,ゾブリスト,右フライ,2,2,0,5,表,カブス
35,2000,2,ヘイワード,見逃し三振,3,2,0,5,表,カブス
36,0000,8,ウィーラー,左フライ,1,2,0,5,裏,メッツ
37,1000,9,ロサリオ,空振り三振,2,2,0,5,裏,メッツ
38,2000,1,ニモー,右安打,2,2,0,5,裏,メッツ
