,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,インシアルテ,中フライ,1,0,0,1,表,ブレーブス
1,1000,2,アルビース,一安打,1,0,0,1,表,ブレーブス
2,1100,3,Fフリーマン,右安打,1,0,0,1,表,ブレーブス
3,1101,4,マーケーキス,四球,1,0,0,1,表,ブレーブス
4,1111,5,カマルゴ,中安打,1,0,2,1,表,ブレーブス
5,1110,6,カルバーソン,四球,1,0,2,1,表,ブレーブス
6,1111,7,フラワーズ,空振り三振,2,0,2,1,表,ブレーブス
7,2111,8,スワンソン,右フライ,3,0,2,1,表,ブレーブス
8,0000,1,テムズ,中安打,0,0,2,1,裏,ブリュワーズ
9,0100,2,イエリチ,投ゴロ,1,0,2,1,裏,ブリュワーズ
10,1010,3,アギュラー,死球,1,0,2,1,裏,ブリュワーズ
11,1110,4,ショー,右ゴロ,2,0,2,1,裏,ブリュワーズ
12,2101,5,ペレス,見逃し三振,3,0,2,1,裏,ブリュワーズ
13,0000,9,Aサンチェス,空振り三振,1,0,2,2,表,ブレーブス
14,1000,1,インシアルテ,遊フライ,2,0,2,2,表,ブレーブス
15,2000,2,アルビース,投ゴロ,3,0,2,2,表,ブレーブス
16,0000,6,ミラー,一ゴロ,1,0,2,2,裏,ブリュワーズ
17,1000,7,サラディノ,見逃し三振,2,0,2,2,裏,ブリュワーズ
18,2000,8,クラツ,空振り三振,3,0,2,2,裏,ブリュワーズ
19,0000,3,Fフリーマン,右二塁打,0,0,2,3,表,ブレーブス
20,0010,4,マーケーキス,四球,0,0,2,3,表,ブレーブス
21,0110,5,カマルゴ,中フライ,1,0,2,3,表,ブレーブス
22,1110,6,カルバーソン,見逃し三振,2,0,2,3,表,ブレーブス
23,2110,7,フラワーズ,右フライ,3,0,2,3,表,ブレーブス
24,0000,9,ウィルカーソン,空振り三振,1,0,2,3,裏,ブリュワーズ
25,1000,1,テムズ,見逃し三振,2,0,2,3,裏,ブリュワーズ
26,2000,2,イエリチ,見逃し三振,3,0,2,3,裏,ブリュワーズ
27,0000,8,スワンソン,空振り三振,1,0,2,4,表,ブレーブス
28,1000,9,Aサンチェス,空振り三振,2,0,2,4,表,ブレーブス
29,2000,1,インシアルテ,一ゴロ,3,0,2,4,表,ブレーブス
30,0000,3,アギュラー,空振り三振,1,0,2,4,裏,ブリュワーズ
31,1000,4,ショー,左フライ,2,0,2,4,裏,ブリュワーズ
32,2000,5,ペレス,遊ゴロ,3,0,2,4,裏,ブリュワーズ
33,0000,2,アルビース,右フライ,1,0,2,5,表,ブレーブス
34,1000,3,Fフリーマン,中フライ,2,0,2,5,表,ブレーブス
35,2000,4,マーケーキス,遊ライナー,3,0,2,5,表,ブレーブス
36,0000,6,ミラー,空振り三振,1,0,2,5,裏,ブリュワーズ
37,1000,7,サラディノ,三ゴロ,2,0,2,5,裏,ブリュワーズ
38,2000,8,クラツ,中フライ,3,0,2,5,裏,ブリュワーズ
39,0000,5,カマルゴ,空振り三振,1,0,2,6,表,ブレーブス
40,1000,6,カルバーソン,空振り三振,2,0,2,6,表,ブレーブス
41,2000,7,フラワーズ,遊ライナー,3,0,2,6,表,ブレーブス
42,0000,9,ブロクストン,左ライナー,1,0,2,6,裏,ブリュワーズ
43,1000,1,テムズ,中フライ,2,0,2,6,裏,ブリュワーズ
44,2000,2,イエリチ,三ゴロ,3,0,2,6,裏,ブリュワーズ
45,0000,8,スワンソン,二ゴロ,1,0,2,7,表,ブレーブス
46,1000,9,Aサンチェス,空振り三振,2,0,2,7,表,ブレーブス
47,2000,1,インシアルテ,空振り三振,3,0,2,7,表,ブレーブス
48,0000,3,アギュラー,中フライ,1,0,2,7,裏,ブリュワーズ
49,1000,4,ショー,一ゴロ,2,0,2,7,裏,ブリュワーズ
50,2000,5,ペレス,四球,2,0,2,7,裏,ブリュワーズ
51,2010,6,ミラー,中安打,2,1,2,7,裏,ブリュワーズ
52,2100,7,サラディノ,投ゴロ,3,1,2,7,裏,ブリュワーズ
53,0000,2,アルビース,左安打,0,1,2,8,表,ブレーブス
54,0100,3,Fフリーマン,中三塁打,0,1,3,8,表,ブレーブス
55,0001,4,マーケーキス,右三塁打,0,1,4,8,表,ブレーブス
56,0001,5,カマルゴ,投ゴロ,1,1,4,8,表,ブレーブス
57,1001,6,カルバーソン,遊ゴロ,2,1,4,8,表,ブレーブス
58,2001,7,フラワーズ,四球,2,1,4,8,表,ブレーブス
59,2101,8,スワンソン,四球,2,1,4,8,表,ブレーブス
60,2111,9,フラーティ,左安打,2,1,5,8,表,ブレーブス
61,2111,1,インシアルテ,二ゴロ,3,1,5,8,表,ブレーブス
62,0000,8,クラツ,遊ゴロ,1,1,5,8,裏,ブリュワーズ
63,1000,9,ビラー,右安打,1,1,5,8,裏,ブリュワーズ
64,1100,1,テムズ,中フライ,2,1,5,8,裏,ブリュワーズ
65,2010,2,イエリチ,三ゴロ,3,1,5,8,裏,ブリュワーズ
66,0000,2,アルビース,二ゴロ,1,1,5,9,表,ブレーブス
67,1000,3,Fフリーマン,四球,1,1,5,9,表,ブレーブス
68,1100,4,マーケーキス,投ゴロ併殺,3,1,5,9,表,ブレーブス
69,0000,3,アギュラー,空振り三振,1,1,5,9,裏,ブリュワーズ
70,1000,4,ショー,遊安打,1,1,5,9,裏,ブリュワーズ
71,1100,5,ペレス,空振り三振,2,1,5,9,裏,ブリュワーズ
72,2010,6,ブラウン,見逃し三振,3,1,5,9,裏,ブリュワーズ
