,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,テムズ,空振り三振,1,0,0,1,表,ブリュワーズ
1,1000,2,ウォーカー,中フライ,2,0,0,1,表,ブリュワーズ
2,2000,3,ブラウン,遊ゴロ,3,0,0,1,表,ブリュワーズ
3,0000,1,スパン,四球,0,0,0,1,裏,ジャイアンツ
4,0100,2,トムリンソン,空振り三振,1,0,0,1,裏,ジャイアンツ
5,1000,3,パーカー,遊ゴロ,3,0,0,1,裏,ジャイアンツ
6,0000,4,ショー,右フライ,1,0,0,2,表,ブリュワーズ
7,1000,5,サンタナ,中安打,1,0,0,2,表,ブリュワーズ
8,1100,6,ピーナ,右フライ,2,0,0,2,表,ブリュワーズ
9,2100,7,ソガード,右安打,2,0,0,2,表,ブリュワーズ
10,2101,8,ブロクストン,中安打,2,0,1,2,表,ブリュワーズ
11,2110,9,ネルソン,空振り三振,3,0,1,2,表,ブリュワーズ
12,0000,4,ポージー,右安打,0,0,1,2,裏,ジャイアンツ
13,0100,5,クロフォード,四球,0,0,1,2,裏,ジャイアンツ
14,0110,6,サンドバル,空振り三振,1,0,1,2,裏,ジャイアンツ
15,1110,7,ジョーンズ,右安打,1,0,1,2,裏,ジャイアンツ
16,1111,8,ヘルナンデス,遊安打,1,1,1,2,裏,ジャイアンツ
17,1111,9,サマージャ,空振り三振,2,1,1,2,裏,ジャイアンツ
18,2111,1,スパン,二ゴロ,3,1,1,2,裏,ジャイアンツ
19,0000,1,テムズ,右三塁打,0,1,1,3,表,ブリュワーズ
20,0001,2,ウォーカー,左フライ,1,1,1,3,表,ブリュワーズ
21,1001,3,ブラウン,遊フライ,2,1,1,3,表,ブリュワーズ
22,2001,4,ショー,三ゴロ,3,1,1,3,表,ブリュワーズ
23,0000,2,トムリンソン,見逃し三振,1,1,1,3,裏,ジャイアンツ
24,1000,3,パーカー,一ゴロ,2,1,1,3,裏,ジャイアンツ
25,2000,4,ポージー,中フライ,3,1,1,3,裏,ジャイアンツ
26,0000,5,サンタナ,三ゴロ,1,1,1,4,表,ブリュワーズ
27,1000,6,ピーナ,見逃し三振,2,1,1,4,表,ブリュワーズ
28,2000,7,ソガード,右安打,2,1,1,4,表,ブリュワーズ
29,2100,8,ブロクストン,右失策,2,1,2,4,表,ブリュワーズ
30,2001,9,ネルソン,遊ゴロ,3,1,2,4,表,ブリュワーズ
31,0000,5,クロフォード,空振り三振,1,1,2,4,裏,ジャイアンツ
32,1000,6,サンドバル,右安打,1,1,2,4,裏,ジャイアンツ
33,1100,7,ジョーンズ,死球,1,1,2,4,裏,ジャイアンツ
34,1110,8,ヘルナンデス,中安打,1,1,2,4,裏,ジャイアンツ
35,1111,9,サマージャ,見逃し三振,2,1,2,4,裏,ジャイアンツ
36,2111,1,スパン,一ライナー,3,1,2,4,裏,ジャイアンツ
37,0000,1,テムズ,中フライ,1,1,2,5,表,ブリュワーズ
38,1000,2,ウォーカー,四球,1,1,2,5,表,ブリュワーズ
39,1100,3,ブラウン,二ゴロ併殺,3,1,2,5,表,ブリュワーズ
40,0000,2,トムリンソン,遊ゴロ,1,1,2,5,裏,ジャイアンツ
41,1000,3,パーカー,遊ゴロ,2,1,2,5,裏,ジャイアンツ
42,2000,4,ポージー,四球,2,1,2,5,裏,ジャイアンツ
43,2100,5,クロフォード,右本塁打,2,3,2,5,裏,ジャイアンツ
44,2000,6,サンドバル,中安打,2,3,2,5,裏,ジャイアンツ
45,2100,7,ジョーンズ,右フライ,3,3,2,5,裏,ジャイアンツ
46,0000,4,ショー,左フライ,1,3,2,6,表,ブリュワーズ
47,1000,5,サンタナ,遊ゴロ,2,3,2,6,表,ブリュワーズ
48,2000,6,ピーナ,右安打,2,3,2,6,表,ブリュワーズ
49,2100,7,ソガード,四球,2,3,2,6,表,ブリュワーズ
50,2110,8,ブロクストン,空振り三振,3,3,2,6,表,ブリュワーズ
51,0000,8,ヘルナンデス,捕邪飛,1,3,2,6,裏,ジャイアンツ
52,1000,9,モンクリーフ,四球,1,3,2,6,裏,ジャイアンツ
53,1100,1,スパン,左フライ,2,3,2,6,裏,ジャイアンツ
54,2100,2,トムリンソン,二ゴロ,3,3,2,6,裏,ジャイアンツ
55,0000,9,アギュラー,遊ライナー,1,3,2,7,表,ブリュワーズ
56,1000,1,テムズ,四球,1,3,2,7,表,ブリュワーズ
57,1100,2,ウォーカー,右二塁打,1,3,2,7,表,ブリュワーズ
58,1011,3,ブラウン,中犠飛,2,3,3,7,表,ブリュワーズ
59,2001,4,ショー,右二塁打,2,3,4,7,表,ブリュワーズ
60,2010,5,サンタナ,見逃し三振,3,3,4,7,表,ブリュワーズ
61,0000,3,パーカー,空振り三振,1,3,4,7,裏,ジャイアンツ
62,1000,4,ポージー,三ゴロ,2,3,4,7,裏,ジャイアンツ
63,2000,5,クロフォード,空振り三振,3,3,4,7,裏,ジャイアンツ
64,0000,6,ピーナ,空振り三振,1,3,4,8,表,ブリュワーズ
65,1000,7,ソガード,三フライ,2,3,4,8,表,ブリュワーズ
66,2000,8,ブロクストン,空振り三振,3,3,4,8,表,ブリュワーズ
67,0000,6,サンドバル,空振り三振,1,3,4,8,裏,ジャイアンツ
68,1000,7,ハンドリー,右安打,1,3,4,8,裏,ジャイアンツ
69,1100,8,ヘルナンデス,空振り三振,2,3,4,8,裏,ジャイアンツ
70,2100,9,ペンス,四球,2,3,4,8,裏,ジャイアンツ
71,2110,1,スパン,右安打,2,3,4,8,裏,ジャイアンツ
72,2000,9,ペレス,空振り三振,1,3,4,8,裏,ジャイアンツ
73,1000,1,テムズ,一ゴロ,2,3,4,8,裏,ジャイアンツ
74,2000,2,ウォーカー,左安打,2,3,4,8,裏,ジャイアンツ
75,2100,3,ブラウン,三安打,2,3,4,8,裏,ジャイアンツ
76,2110,4,ショー,左ライナー,3,3,4,8,裏,ジャイアンツ
77,0000,2,トムリンソン,遊安打,0,3,4,9,表,ブリュワーズ
78,0000,3,パーカー,遊フライ,2,3,4,9,表,ブリュワーズ
79,2000,4,ポージー,空振り三振,3,3,4,9,表,ブリュワーズ
