,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ディカーソン,左二塁打,0,0,0,1,表,パイレーツ
1,0010,2,マルテ,左本塁打,0,0,2,1,表,パイレーツ
2,0000,3,ポランコ,中フライ,1,0,2,1,表,パイレーツ
3,1000,4,ディアス,中フライ,2,0,2,1,表,パイレーツ
4,2000,5,モーラン,空振り三振,3,0,2,1,表,パイレーツ
5,0000,1,リンドア,右二塁打,0,0,2,1,裏,インディアンス
6,0010,2,ブラントリー,投犠打,1,0,2,1,裏,インディアンス
7,1001,3,Jラミレス,二ゴロ,2,1,2,1,裏,インディアンス
8,2000,4,エンカーナシオン,左安打,2,1,2,1,裏,インディアンス
9,2100,5,アロンソ,遊ゴロ,3,1,2,1,裏,インディアンス
10,0000,6,ベル,左安打,0,1,2,2,表,パイレーツ
11,0100,7,フリース,三ゴロ,1,1,2,2,表,パイレーツ
12,1100,8,ハリソン,左安打,1,1,2,2,表,パイレーツ
13,1110,9,マーサー,空振り三振,2,1,2,2,表,パイレーツ
14,2110,1,ディカーソン,中三塁打,2,1,4,2,表,パイレーツ
15,2001,2,マルテ,遊安打,2,1,5,2,表,パイレーツ
16,2010,3,ポランコ,右本塁打,2,1,7,2,表,パイレーツ
17,2000,4,ディアス,三ゴロ,3,1,7,2,表,パイレーツ
18,0000,6,カブレラ,二安打,0,1,7,2,裏,インディアンス
19,0100,7,キプニス,左フライ,1,1,7,2,裏,インディアンス
20,1100,8,ゴームズ,一邪飛,2,1,7,2,裏,インディアンス
21,2100,9,ネークイン,空振り三振,3,1,7,2,裏,インディアンス
22,0000,5,モーラン,右安打,0,1,7,3,表,パイレーツ
23,0100,6,ベル,空振り三振,1,1,7,3,表,パイレーツ
24,1100,7,フリース,右安打,1,1,7,3,表,パイレーツ
25,1110,8,ハリソン,空振り三振,2,1,7,3,表,パイレーツ
26,2110,9,マーサー,三ゴロ,3,1,7,3,表,パイレーツ
27,0000,1,リンドア,二ゴロ,1,1,7,3,裏,インディアンス
28,1000,2,ブラントリー,遊ゴロ,2,1,7,3,裏,インディアンス
29,2000,3,Jラミレス,一ゴロ,3,1,7,3,裏,インディアンス
30,0000,1,ディカーソン,二ゴロ,1,1,7,4,表,パイレーツ
31,1000,2,マルテ,空振り三振,2,1,7,4,表,パイレーツ
32,2000,3,ポランコ,空振り三振,3,1,7,4,表,パイレーツ
33,0000,4,エンカーナシオン,左本塁打,0,2,7,4,裏,インディアンス
34,0000,5,アロンソ,一ゴロ,1,2,7,4,裏,インディアンス
35,1000,6,カブレラ,一ゴロ,2,2,7,4,裏,インディアンス
36,2000,7,キプニス,中安打,2,2,7,4,裏,インディアンス
37,2100,8,ゴームズ,投ゴロ,3,2,7,4,裏,インディアンス
38,0000,4,ディアス,右安打,0,2,7,5,表,パイレーツ
39,0100,5,モーラン,空振り三振,1,2,7,5,表,パイレーツ
40,1100,6,ベル,右本塁打,1,2,9,5,表,パイレーツ
41,1000,7,フリース,右フライ,2,2,9,5,表,パイレーツ
42,2000,8,ハリソン,遊ゴロ,3,2,9,5,表,パイレーツ
43,0000,9,ネークイン,一ゴロ,1,2,9,5,裏,インディアンス
44,1000,1,リンドア,中フライ,2,2,9,5,裏,インディアンス
45,2000,2,ブラントリー,一ゴロ,3,2,9,5,裏,インディアンス
46,0000,9,マーサー,左安打,0,2,9,6,表,パイレーツ
47,0100,1,ラップロー,四球,0,2,9,6,表,パイレーツ
48,0110,2,マルテ,遊ゴロ併殺,2,2,9,6,表,パイレーツ
49,2001,3,ポランコ,空振り三振,3,2,9,6,表,パイレーツ
50,0000,3,Jラミレス,四球,0,2,9,6,裏,インディアンス
51,0100,4,エンカーナシオン,捕邪飛,1,2,9,6,裏,インディアンス
52,1100,5,アロンソ,遊ゴロ,2,2,9,6,裏,インディアンス
53,2100,6,カブレラ,左ライナー,3,2,9,6,裏,インディアンス
54,0000,4,ディアス,右安打,0,2,9,7,表,パイレーツ
55,0100,5,モーラン,遊フライ,1,2,9,7,表,パイレーツ
56,1100,6,ベル,遊ゴロ併殺,3,2,9,7,表,パイレーツ
57,0000,7,キプニス,見逃し三振,1,2,9,7,裏,インディアンス
58,1000,8,ゴームズ,一ライナー,2,2,9,7,裏,インディアンス
59,2000,9,ネークイン,中フライ,3,2,9,7,裏,インディアンス
60,0000,7,フリース,二ゴロ,1,2,9,8,表,パイレーツ
61,1000,8,ハリソン,三ゴロ,2,2,9,8,表,パイレーツ
62,2000,9,マーサー,中フライ,3,2,9,8,表,パイレーツ
63,0000,1,ゴンザレス,投ライナー,1,2,9,8,裏,インディアンス
64,1000,2,ガイヤー,左本塁打,1,3,9,8,裏,インディアンス
65,1000,3,Jラミレス,投ゴロ,2,3,9,8,裏,インディアンス
66,2000,4,エンカーナシオン,四球,2,3,9,8,裏,インディアンス
67,2100,5,アロンソ,右安打,2,3,9,8,裏,インディアンス
68,2101,6,カブレラ,三ゴロ,3,3,9,8,裏,インディアンス
69,0000,1,ラップロー,左安打,0,3,9,9,表,パイレーツ
70,0100,2,マルテ,中ライナー,1,3,9,9,表,パイレーツ
71,1100,3,ポランコ,中フライ,2,3,9,9,表,パイレーツ
72,2100,4,ディアス,中フライ,3,3,9,9,表,パイレーツ
73,0000,7,キプニス,投ゴロ,1,3,9,9,裏,インディアンス
74,1000,8,Rペレス,三ゴロ,2,3,9,9,裏,インディアンス
75,2000,9,ネークイン,中安打,2,3,9,9,裏,インディアンス
76,2100,1,ゴンザレス,中二塁打,2,4,9,9,裏,インディアンス
77,2010,2,ガイヤー,空振り三振,3,4,9,9,裏,インディアンス
