,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,カーペンター,空振り三振,1,0,0,1,表,カージナルス
1,1000,2,モリーナ,空振り三振,2,0,0,1,表,カージナルス
2,2000,3,Jマルティネス,遊ゴロ,3,0,0,1,表,カージナルス
3,0000,1,ペダーソン,空振り三振,1,0,0,1,裏,ドジャース
4,1000,2,ターナー,空振り三振,2,0,0,1,裏,ドジャース
5,2000,3,マチャド,四球,2,0,0,1,裏,ドジャース
6,2100,4,ベリンジャー,空振り三振,3,0,0,1,裏,ドジャース
7,0000,4,ジャーコ,三ゴロ,1,0,0,2,表,カージナルス
8,1000,5,デヨング,見逃し三振,2,0,0,2,表,カージナルス
9,2000,6,ウォン,見逃し三振,3,0,0,2,表,カージナルス
10,0000,5,ドジャー,二ゴロ,1,0,0,2,裏,ドジャース
11,1000,6,マンシー,空振り三振,2,0,0,2,裏,ドジャース
12,2000,7,グランダル,一ゴロ,3,0,0,2,裏,ドジャース
13,0000,7,ベーダー,四球,0,0,0,3,表,カージナルス
14,0100,8,ムニョス,右安打,0,0,0,3,表,カージナルス
15,0001,9,フラーティ,空振り三振,2,0,0,3,表,カージナルス
16,2001,1,カーペンター,見逃し三振,3,0,0,3,表,カージナルス
17,0000,8,プイグ,捕邪飛,1,0,0,3,裏,ドジャース
18,1000,9,ビューラー,空振り三振,2,0,0,3,裏,ドジャース
19,2000,1,ペダーソン,中フライ,3,0,0,3,裏,ドジャース
20,0000,2,モリーナ,右フライ,1,0,0,4,表,カージナルス
21,1000,3,Jマルティネス,二ゴロ,2,0,0,4,表,カージナルス
22,2000,4,ジャーコ,二安打,2,0,0,4,表,カージナルス
23,2100,5,デヨング,遊フライ,3,0,0,4,表,カージナルス
24,0000,2,ターナー,中ライナー,1,0,0,4,裏,ドジャース
25,1000,3,マチャド,空振り三振,2,0,0,4,裏,ドジャース
26,2000,4,ベリンジャー,中ライナー,3,0,0,4,裏,ドジャース
27,0000,6,ウォン,三ゴロ,1,0,0,5,表,カージナルス
28,1000,7,ベーダー,中ライナー,2,0,0,5,表,カージナルス
29,2000,8,ムニョス,三ゴロ,3,0,0,5,表,カージナルス
30,0000,5,ドジャー,見逃し三振,1,0,0,5,裏,ドジャース
31,1000,6,マンシー,空振り三振,2,0,0,5,裏,ドジャース
32,2000,7,グランダル,四球,2,0,0,5,裏,ドジャース
33,2100,8,プイグ,空振り三振,3,0,0,5,裏,ドジャース
34,0000,9,フラーティ,右フライ,1,0,0,6,表,カージナルス
35,1000,1,カーペンター,空振り三振,2,0,0,6,表,カージナルス
36,2000,2,モリーナ,四球,2,0,0,6,表,カージナルス
37,2100,3,Jマルティネス,見逃し三振,3,0,0,6,表,カージナルス
38,0000,9,ビューラー,空振り三振,1,0,0,6,裏,ドジャース
39,1000,1,ペダーソン,右本塁打,1,1,0,6,裏,ドジャース
40,1000,2,ターナー,左フライ,2,1,0,6,裏,ドジャース
41,2000,3,マチャド,遊ゴロ,3,1,0,6,裏,ドジャース
42,0000,4,ジャーコ,左二塁打,0,1,0,7,表,カージナルス
43,0010,5,デヨング,空振り三振,1,1,0,7,表,カージナルス
44,1010,6,ウォン,二ゴロ,2,1,0,7,表,カージナルス
45,2001,7,ベーダー,遊ライナー,3,1,0,7,表,カージナルス
46,0000,4,ベリンジャー,二ゴロ,1,1,0,7,裏,ドジャース
47,1000,5,ドジャー,中フライ,2,1,0,7,裏,ドジャース
48,2000,6,テイラー,右フライ,3,1,0,7,裏,ドジャース
49,0000,8,ムニョス,三ゴロ,1,1,0,8,表,カージナルス
50,1000,9,オニール,中本塁打,1,1,1,8,表,カージナルス
51,1000,1,カーペンター,空振り三振,2,1,1,8,表,カージナルス
52,2000,2,モリーナ,右フライ,3,1,1,8,表,カージナルス
53,0000,7,グランダル,二ゴロ,1,1,1,8,裏,ドジャース
54,1000,8,プイグ,中安打,1,1,1,8,裏,ドジャース
55,1100,9,ケンプ,三失策,1,1,1,8,裏,ドジャース
56,1110,1,ペダーソン,一ゴロ,2,1,1,8,裏,ドジャース
57,2011,2,ターナー,四球,2,1,1,8,裏,ドジャース
58,2111,3,マチャド,遊ゴロ,3,1,1,8,裏,ドジャース
59,0000,3,Jマルティネス,右ライナー,1,1,1,9,表,カージナルス
60,1000,4,ジャーコ,左安打,1,1,1,9,表,カージナルス
61,1100,5,デヨング,左本塁打,1,1,3,9,表,カージナルス
62,1000,6,ウォン,遊安打,1,1,3,9,表,カージナルス
63,1010,7,ベーダー,遊ゴロ,2,1,3,9,表,カージナルス
64,2010,8,ムニョス,遊ゴロ,3,1,3,9,表,カージナルス
65,0000,4,ベリンジャー,見逃し三振,1,1,3,9,裏,ドジャース
66,1000,5,ドジャー,見逃し三振,2,1,3,9,裏,ドジャース
67,2000,6,テイラー,見逃し三振,3,1,3,9,裏,ドジャース
