,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,リンドア,四球,0,0,0,1,表,インディアンス
1,0000,2,ブラントリー,中安打,1,0,0,1,表,インディアンス
2,1100,3,Jラミレス,遊邪飛,2,0,0,1,表,インディアンス
3,2100,4,エンカーナシオン,右フライ,3,0,0,1,表,インディアンス
4,0000,1,マーティン,右ライナー,1,0,0,1,裏,タイガース
5,1000,2,カンデラリオ,空振り三振,2,0,0,1,裏,タイガース
6,2000,3,カステラノス,遊ゴロ,3,0,0,1,裏,タイガース
7,0000,5,ガイヤー,右フライ,1,0,0,2,表,インディアンス
8,1000,6,アロンソ,左安打,1,0,0,2,表,インディアンス
9,1100,7,デービス,中安打,1,0,0,2,表,インディアンス
10,1101,8,キプニス,右安打,1,0,1,2,表,インディアンス
11,1110,9,Rペレス,遊ゴロ併殺,3,0,1,2,表,インディアンス
12,0000,4,グッドラム,左フライ,1,0,1,2,裏,タイガース
13,1000,5,マルティネス,捕邪飛,2,0,1,2,裏,タイガース
14,2000,6,ヒックス,一邪飛,3,0,1,2,裏,タイガース
15,0000,1,リンドア,右フライ,1,0,1,3,表,インディアンス
16,1000,2,ブラントリー,中フライ,2,0,1,3,表,インディアンス
17,2000,3,Jラミレス,二ゴロ,3,0,1,3,表,インディアンス
18,0000,7,アドゥチ,空振り三振,1,0,1,3,裏,タイガース
19,1000,8,イグレシアス,左二塁打,1,0,1,3,裏,タイガース
20,1010,9,ジョーンズ,左本塁打,1,2,1,3,裏,タイガース
21,1000,1,マーティン,右安打,1,2,1,3,裏,タイガース
22,1100,2,カンデラリオ,中ライナー,2,2,1,3,裏,タイガース
23,2001,3,カステラノス,空振り三振,3,2,1,3,裏,タイガース
24,0000,4,エンカーナシオン,中フライ,1,2,1,4,表,インディアンス
25,1000,5,ガイヤー,右フライ,2,2,1,4,表,インディアンス
26,2000,6,アロンソ,中フライ,3,2,1,4,表,インディアンス
27,0000,4,グッドラム,空振り三振,1,2,1,4,裏,タイガース
28,1000,5,マルティネス,中安打,1,2,1,4,裏,タイガース
29,1100,6,ヒックス,左安打,1,2,1,4,裏,タイガース
30,1110,7,アドゥチ,空振り三振,2,2,1,4,裏,タイガース
31,2110,8,イグレシアス,空振り三振,3,2,1,4,裏,タイガース
32,0000,7,デービス,空振り三振,1,2,1,5,表,インディアンス
33,1000,8,キプニス,遊フライ,2,2,1,5,表,インディアンス
34,2000,9,Rペレス,四球,2,2,1,5,表,インディアンス
35,2100,1,リンドア,三ゴロ,3,2,1,5,表,インディアンス
36,0000,9,ジョーンズ,四球,0,2,1,5,裏,タイガース
37,0010,1,マーティン,右フライ,1,2,1,5,裏,タイガース
38,1001,2,カンデラリオ,空振り三振,2,2,1,5,裏,タイガース
39,2001,3,カステラノス,空振り三振,3,2,1,5,裏,タイガース
40,0000,2,ブラントリー,右安打,0,2,1,6,表,インディアンス
41,0100,3,Jラミレス,遊フライ,1,2,1,6,表,インディアンス
42,1100,4,エンカーナシオン,空振り三振,2,2,1,6,表,インディアンス
43,2100,5,ガイヤー,右邪飛,3,2,1,6,表,インディアンス
44,0000,4,グッドラム,見逃し三振,1,2,1,6,裏,タイガース
45,1000,5,マルティネス,中フライ,2,2,1,6,裏,タイガース
46,2000,6,ヒックス,遊ゴロ,3,2,1,6,裏,タイガース
47,0000,6,アロンソ,右フライ,1,2,1,7,表,インディアンス
48,1000,7,デービス,遊フライ,2,2,1,7,表,インディアンス
49,2000,8,キプニス,二失策,2,2,1,7,表,インディアンス
50,2100,9,Rペレス,二ゴロ,3,2,1,7,表,インディアンス
51,0000,7,アドゥチ,右安打,0,2,1,7,裏,タイガース
52,0010,8,イグレシアス,一失策,0,2,1,7,裏,タイガース
53,0011,9,レイエス,四球,0,2,1,7,裏,タイガース
54,0111,1,マーティン,一フライ,1,2,1,7,裏,タイガース
55,1111,2,カンデラリオ,右フライ,2,2,1,7,裏,タイガース
56,2111,3,カステラノス,空振り三振,3,2,1,7,裏,タイガース
57,0000,1,リンドア,二ゴロ,1,2,1,8,表,インディアンス
58,1000,2,ブラントリー,中ライナー,2,2,1,8,表,インディアンス
59,2000,3,Jラミレス,四球,2,2,1,8,表,インディアンス
60,2100,4,エンカーナシオン,中フライ,3,2,1,8,表,インディアンス
61,0000,4,グッドラム,遊フライ,1,2,1,8,裏,タイガース
62,1000,5,マルティネス,右フライ,2,2,1,8,裏,タイガース
63,2000,6,ヒックス,空振り三振,3,2,1,8,裏,タイガース
64,0000,5,ガイヤー,中フライ,1,2,1,9,表,インディアンス
65,1000,6,アロンソ,遊ゴロ,2,2,1,9,表,インディアンス
66,2000,7,カブレラ,三邪飛,3,2,1,9,表,インディアンス
