,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ヘルナンデス,投ゴロ,1,0,0,1,表,フィリーズ
1,1000,2,ガルビス,空振り三振,2,0,0,1,表,フィリーズ
2,2000,3,アルテール,遊ゴロ,3,0,0,1,表,フィリーズ
3,0000,1,フレージャー,見逃し三振,1,0,0,1,裏,パイレーツ
4,1000,2,ハリソン,三ゴロ,2,0,0,1,裏,パイレーツ
5,2000,3,マカチェン,遊ゴロ,3,0,0,1,裏,パイレーツ
6,0000,4,ソーンダース,二ゴロ,1,0,0,2,表,フィリーズ
7,1000,5,ヘレラ,空振り三振,2,0,0,2,表,フィリーズ
8,2000,6,フランコ,三ゴロ,3,0,0,2,表,フィリーズ
9,0000,4,ベル,投ゴロ,1,0,0,2,裏,パイレーツ
10,1000,5,フリース,見逃し三振,2,0,0,2,裏,パイレーツ
11,2000,6,ジェイソ,右安打,2,0,0,2,裏,パイレーツ
12,2100,7,スチュワート,遊フライ,3,0,0,2,裏,パイレーツ
13,0000,7,スタッシ,二ゴロ,1,0,0,3,表,フィリーズ
14,1000,8,ナップ,遊ゴロ,2,0,0,3,表,フィリーズ
15,2000,9,ノラ,四球,2,0,0,3,表,フィリーズ
16,2100,1,ヘルナンデス,一ゴロ,3,0,0,3,表,フィリーズ
17,0000,8,ンゴエペ,見逃し三振,1,0,0,3,裏,パイレーツ
18,1000,9,クール,左フライ,2,0,0,3,裏,パイレーツ
19,2000,1,フレージャー,中安打,2,0,0,3,裏,パイレーツ
20,2100,2,ハリソン,空振り三振,3,0,0,3,裏,パイレーツ
21,0000,2,ガルビス,遊フライ,1,0,0,4,表,フィリーズ
22,1000,3,アルテール,空振り三振,2,0,0,4,表,フィリーズ
23,2000,4,ソーンダース,左フライ,3,0,0,4,表,フィリーズ
24,0000,3,マカチェン,投ゴロ,1,0,0,4,裏,パイレーツ
25,1000,4,ベル,一ゴロ,2,0,0,4,裏,パイレーツ
26,2000,5,フリース,右ライナー,3,0,0,4,裏,パイレーツ
27,0000,5,ヘレラ,遊フライ,1,0,0,5,表,フィリーズ
28,1000,6,フランコ,左二塁打,1,0,0,5,表,フィリーズ
29,1010,7,スタッシ,四球,1,0,0,5,表,フィリーズ
30,1110,8,ナップ,見逃し三振,2,0,0,5,表,フィリーズ
31,2110,9,ノラ,見逃し三振,3,0,0,5,表,フィリーズ
32,0000,6,ジェイソ,四球,0,0,0,5,裏,パイレーツ
33,0100,7,スチュワート,三ゴロ,1,0,0,5,裏,パイレーツ
34,1010,8,ンゴエペ,遊ゴロ,2,0,0,5,裏,パイレーツ
35,2001,9,オズナ,中ライナー,3,0,0,5,裏,パイレーツ
36,0000,1,ヘルナンデス,中フライ,1,0,0,6,表,フィリーズ
37,1000,2,ガルビス,三ゴロ,2,0,0,6,表,フィリーズ
38,2000,3,アルテール,見逃し三振,3,0,0,6,表,フィリーズ
39,0000,1,フレージャー,中安打,0,0,0,6,裏,パイレーツ
40,0100,2,ハリソン,左安打,0,0,0,6,裏,パイレーツ
41,0011,3,マカチェン,三ゴロ,1,0,0,6,裏,パイレーツ
42,1011,4,ベル,敬遠,1,0,0,6,裏,パイレーツ
43,1111,5,フリース,死球,1,1,0,6,裏,パイレーツ
44,1111,6,ジェイソ,二ゴロ併殺,3,1,0,6,裏,パイレーツ
45,0000,4,ソーンダース,中フライ,1,1,0,7,表,フィリーズ
46,1000,5,ヘレラ,中安打,1,1,0,7,表,フィリーズ
47,1100,6,フランコ,遊フライ,2,1,0,7,表,フィリーズ
48,2100,7,スタッシ,中フライ,3,1,0,7,表,フィリーズ
49,0000,7,スチュワート,一邪飛,1,1,0,7,裏,パイレーツ
50,1000,8,ンゴエペ,空振り三振,2,1,0,7,裏,パイレーツ
51,2000,9,オルティス,左フライ,3,1,0,7,裏,パイレーツ
52,0000,8,ナップ,空振り三振,1,1,0,8,表,フィリーズ
53,1000,9,ジョセフ,三ゴロ,2,1,0,8,表,フィリーズ
54,2000,1,ヘルナンデス,投失策,2,1,0,8,表,フィリーズ
55,2100,2,ガルビス,中安打,2,1,0,8,表,フィリーズ
56,2110,3,アルテール,空振り三振,3,1,0,8,表,フィリーズ
57,0000,1,フレージャー,四球,0,1,0,8,裏,パイレーツ
58,0100,2,ハリソン,中フライ,1,1,0,8,裏,パイレーツ
59,1000,3,マカチェン,四球,2,1,0,8,裏,パイレーツ
60,2100,4,ハンソン,中安打,2,1,0,8,裏,パイレーツ
61,2110,5,フリース,投ゴロ,3,1,0,8,裏,パイレーツ
62,0000,4,ソーンダース,空振り三振,1,1,0,9,表,フィリーズ
63,1000,5,ヘレラ,捕ゴロ,2,1,0,9,表,フィリーズ
64,2000,6,フランコ,三ゴロ,3,1,0,9,表,フィリーズ
