,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ヌネス,一邪飛,1,0,0,1,表,Rソックス
1,1000,2,ベッツ,四球,1,0,0,1,表,Rソックス
2,1100,3,ベニンテンディ,遊フライ,2,0,0,1,表,Rソックス
3,2100,4,ラミレス,左本塁打,2,0,2,1,表,Rソックス
4,2000,5,ヤング,右ライナー,3,0,2,1,表,Rソックス
5,0000,1,ヒックス,中フライ,1,0,2,1,裏,ヤンキース
6,1000,2,サンチェス,四球,1,0,2,1,裏,ヤンキース
7,1100,3,ジャッジ,四球,1,0,2,1,裏,ヤンキース
8,1110,4,グレゴリアス,右ライナー,2,0,2,1,裏,ヤンキース
9,2110,5,Tフレージャー,中フライ,3,0,2,1,裏,ヤンキース
10,0000,6,ボガーツ,三ゴロ,1,0,2,2,表,Rソックス
11,1000,7,デバース,三安打,1,0,2,2,表,Rソックス
12,1100,8,バスケス,空振り三振,2,0,2,2,表,Rソックス
13,2010,9,ブラッドリー,投ゴロ,3,0,2,2,表,Rソックス
14,0000,6,クーパー,遊ゴロ,1,0,2,2,裏,ヤンキース
15,1000,7,エルズベリー,右フライ,2,0,2,2,裏,ヤンキース
16,2000,8,トレイエス,空振り三振,3,0,2,2,裏,ヤンキース
17,0000,1,ヌネス,遊ライナー,1,0,2,3,表,Rソックス
18,1000,2,ベッツ,左安打,1,0,2,3,表,Rソックス
19,1100,3,ベニンテンディ,中安打,1,0,2,3,表,Rソックス
20,1011,4,ラミレス,敬遠,1,0,2,3,表,Rソックス
21,1111,5,ヤング,空振り三振,2,0,2,3,表,Rソックス
22,2111,6,ボガーツ,投ゴロ,3,0,2,3,表,Rソックス
23,0000,9,ロマイン,三ゴロ,1,0,2,3,裏,ヤンキース
24,1000,1,ヒックス,中二塁打,1,0,2,3,裏,ヤンキース
25,1010,2,サンチェス,右フライ,2,0,2,3,裏,ヤンキース
26,2010,3,ジャッジ,空振り三振,3,0,2,3,裏,ヤンキース
27,0000,7,デバース,二ゴロ,1,0,2,4,表,Rソックス
28,1000,8,バスケス,空振り三振,2,0,2,4,表,Rソックス
29,2000,9,ブラッドリー,空振り三振,3,0,2,4,表,Rソックス
30,0000,4,グレゴリアス,二フライ,1,0,2,4,裏,ヤンキース
31,1000,5,Tフレージャー,空振り三振,2,0,2,4,裏,ヤンキース
32,2000,6,クーパー,空振り三振,3,0,2,4,裏,ヤンキース
33,0000,1,ヌネス,空振り三振,1,0,2,5,表,Rソックス
34,1000,2,ベッツ,左ライナー,2,0,2,5,表,Rソックス
35,2000,3,ベニンテンディ,右本塁打,2,0,3,5,表,Rソックス
36,2000,4,ラミレス,中二塁打,2,0,3,5,表,Rソックス
37,2010,5,ヤング,四球,2,0,3,5,表,Rソックス
38,2110,6,ボガーツ,右フライ,3,0,3,5,表,Rソックス
39,0000,7,エルズベリー,見逃し三振,1,0,3,5,裏,ヤンキース
40,1000,8,トレイエス,左二塁打,1,0,3,5,裏,ヤンキース
41,1010,9,ロマイン,中フライ,2,0,3,5,裏,ヤンキース
42,2001,1,ヒックス,見逃し三振,3,0,3,5,裏,ヤンキース
43,0000,7,デバース,空振り三振,1,0,3,6,表,Rソックス
44,1000,8,バスケス,中安打,1,0,3,6,表,Rソックス
45,1100,9,ブラッドリー,遊ゴロ,2,0,3,6,表,Rソックス
46,2100,1,ヌネス,右安打,2,0,3,6,表,Rソックス
47,2110,2,ベッツ,右フライ,3,0,3,6,表,Rソックス
48,0000,2,サンチェス,見逃し三振,1,0,3,6,裏,ヤンキース
49,1000,3,ジャッジ,中フライ,2,0,3,6,裏,ヤンキース
50,2000,4,グレゴリアス,左フライ,3,0,3,6,裏,ヤンキース
51,0000,3,ベニンテンディ,見逃し三振,1,0,3,7,表,Rソックス
52,1000,4,ラミレス,投ゴロ,2,0,3,7,表,Rソックス
53,2000,5,ヤング,三ゴロ,3,0,3,7,表,Rソックス
54,0000,5,Tフレージャー,四球,0,0,3,7,裏,ヤンキース
55,0100,6,ヘドリー,左フライ,1,0,3,7,裏,ヤンキース
56,1100,7,エルズベリー,左ライナー,2,0,3,7,裏,ヤンキース
57,2100,8,トレイエス,投ゴロ,3,0,3,7,裏,ヤンキース
58,0000,6,ボガーツ,遊ゴロ,1,0,3,8,表,Rソックス
59,1000,7,デバース,見逃し三振,2,0,3,8,表,Rソックス
60,2000,8,バスケス,投ゴロ,3,0,3,8,表,Rソックス
61,0000,9,ガードナー,死球,0,0,3,8,裏,ヤンキース
62,0100,1,ヒックス,右本塁打,0,2,3,8,裏,ヤンキース
63,0000,2,サンチェス,中安打,0,2,3,8,裏,ヤンキース
64,0010,3,ジャッジ,四球,0,2,3,8,裏,ヤンキース
65,0110,4,グレゴリアス,左安打,0,3,3,8,裏,ヤンキース
66,0101,5,Tフレージャー,中安打,0,4,3,8,裏,ヤンキース
67,0110,6,ヘドリー,空振り三振,1,4,3,8,裏,ヤンキース
68,1110,7,エルズベリー,右安打,1,4,3,8,裏,ヤンキース
69,1111,8,トレイエス,左犠飛,2,5,3,8,裏,ヤンキース
70,2110,9,ガードナー,四球,2,5,3,8,裏,ヤンキース
71,2111,1,ヒックス,二フライ,3,5,3,8,裏,ヤンキース
72,0000,9,ブラッドリー,四球,0,5,3,9,表,Rソックス
73,0100,1,ヌネス,四球,0,5,3,9,表,Rソックス
74,0110,2,ベッツ,四球,0,5,3,9,表,Rソックス
75,0111,3,ベニンテンディ,左犠飛,1,5,4,9,表,Rソックス
76,1010,4,モアランド,中フライ,3,5,4,9,表,Rソックス
