,試合ID,表チーム,裏チーム,表得点,裏得点
0,1702819.csv,Rソックス,タイガース,5,6
1,1702820.csv,Rソックス,タイガース,1,4
2,1702821.csv,Rソックス,タイガース,7,5
3,1702822.csv,Rソックス,タイガース,1,2
4,1702823.csv,ツインズ,タイガース,1,2
5,1702824.csv,ツインズ,タイガース,3,5
6,1702825.csv,ツインズ,タイガース,11,5
7,1702827.csv,マリナーズ,タイガース,8,0
8,1702828.csv,マリナーズ,タイガース,2,1
9,1702829.csv,Wソックス,タイガース,7,3
10,1702830.csv,Wソックス,タイガース,6,4
11,1702831.csv,Wソックス,タイガース,3,7
12,1702832.csv,インディアンス,タイガース,1,7
13,1702833.csv,インディアンス,タイガース,2,5
14,1702834.csv,インディアンス,タイガース,3,2
15,1702836.csv,オリオールズ,タイガース,13,11
16,1702837.csv,オリオールズ,タイガース,4,5
17,1702838.csv,オリオールズ,タイガース,5,6
18,1702839.csv,レンジャーズ,タイガース,5,3
19,1702840.csv,レンジャーズ,タイガース,3,9
20,1702843.csv,Wソックス,タイガース,1,10
21,1702844.csv,Wソックス,タイガース,4,7
22,1702845.csv,エンゼルス,タイガース,5,3
23,1702846.csv,エンゼルス,タイガース,0,4
24,1702847.csv,エンゼルス,タイガース,11,4
25,1702849.csv,Dバックス,タイガース,2,1
26,1702850.csv,レイズ,タイガース,3,5
27,1702851.csv,レイズ,タイガース,4,13
28,1702854.csv,ロイヤルズ,タイガース,3,5
29,1702855.csv,ロイヤルズ,タイガース,8,2
30,1702858.csv,インディアンス,タイガース,4,1
31,1702859.csv,インディアンス,タイガース,11,8
32,1702860.csv,ジャイアンツ,タイガース,3,5
33,1702862.csv,ジャイアンツ,タイガース,2,6
34,1702863.csv,ア・リーグ,ナ・リーグ,2,1
35,1702867.csv,ロイヤルズ,タイガース,5,3
36,1702868.csv,ロイヤルズ,タイガース,3,1
37,1702869.csv,ロイヤルズ,タイガース,16,2
38,1702870.csv,アストロズ,タイガース,6,5
39,1702871.csv,アストロズ,タイガース,3,5
40,1702872.csv,アストロズ,タイガース,1,13
41,1702873.csv,パイレーツ,タイガース,0,10
42,1702874.csv,パイレーツ,タイガース,7,5
43,1702875.csv,ツインズ,タイガース,9,4
44,1702876.csv,ツインズ,タイガース,11,12
45,1702877.csv,ツインズ,タイガース,6,4
46,1702878.csv,ドジャース,タイガース,8,5
47,1702879.csv,ドジャース,タイガース,3,0
48,1702881.csv,ヤンキース,タイガース,13,4
49,1702882.csv,ヤンキース,タイガース,10,2
50,1702883.csv,ヤンキース,タイガース,6,10
51,1702884.csv,インディアンス,タイガース,10,0
52,1702885.csv,インディアンス,タイガース,5,2
53,1702888.csv,ロイヤルズ,タイガース,2,13
54,1702889.csv,ロイヤルズ,タイガース,13,2
55,1702890.csv,Wソックス,タイガース,17,7
56,1702891.csv,Wソックス,タイガース,2,3
57,1702892.csv,Wソックス,タイガース,10,4
58,1702893.csv,Wソックス,タイガース,0,12
59,1702894.csv,アスレチックス,タイガース,8,3
60,1702895.csv,アスレチックス,タイガース,9,8
61,1702896.csv,アスレチックス,タイガース,3,2
62,1702899.csv,ツインズ,タイガース,10,4
63,1702900.csv,ツインズ,タイガース,10,4
64,1702901.csv,Wソックス,インディアンス,1,2
65,1702902.csv,Wソックス,インディアンス,2,1
66,1702903.csv,Wソックス,インディアンス,10,4
67,1702904.csv,タイガース,インディアンス,7,6
68,1702905.csv,タイガース,インディアンス,6,13
69,1702906.csv,タイガース,インディアンス,4,1
70,1702908.csv,アストロズ,インディアンス,6,7
71,1702909.csv,アストロズ,インディアンス,3,4
72,1702910.csv,マリナーズ,インディアンス,3,1
73,1702911.csv,マリナーズ,インディアンス,3,4
74,1702912.csv,マリナーズ,インディアンス,4,12
75,1702913.csv,ツインズ,インディアンス,1,0
76,1702914.csv,ツインズ,インディアンス,4,1
77,1702915.csv,ツインズ,インディアンス,3,8
78,1702916.csv,レイズ,インディアンス,7,8
79,1702917.csv,レイズ,インディアンス,6,4
80,1702918.csv,レイズ,インディアンス,7,4
81,1702919.csv,レッズ,インディアンス,4,3
82,1702922.csv,ロイヤルズ,インディアンス,5,2
83,1702923.csv,ロイヤルズ,インディアンス,1,10
84,1702924.csv,アスレチックス,インディアンス,3,5
85,1702925.csv,アスレチックス,インディアンス,4,9
86,1702926.csv,アスレチックス,インディアンス,3,1
87,1702927.csv,アスレチックス,インディアンス,0,8
88,1702928.csv,Wソックス,インディアンス,3,7
89,1702929.csv,Wソックス,インディアンス,5,3
90,1702930.csv,Wソックス,インディアンス,2,4
91,1702932.csv,ドジャース,インディアンス,6,4
92,1702933.csv,ドジャース,インディアンス,5,12
93,1702934.csv,ツインズ,インディアンス,5,0
94,1702935.csv,ツインズ,インディアンス,4,2
95,1702936.csv,ツインズ,インディアンス,4,0
96,1702937.csv,レンジャーズ,インディアンス,9,15
97,1702938.csv,レンジャーズ,インディアンス,2,1
98,1702939.csv,レンジャーズ,インディアンス,3,5
99,1702941.csv,パドレス,インディアンス,1,0
100,1702943.csv,パドレス,インディアンス,2,11
101,1702944.csv,タイガース,インディアンス,2,11
102,1702945.csv,タイガース,インディアンス,0,4
103,1702946.csv,タイガース,インディアンス,5,3
104,1702947.csv,ブルージェイズ,インディアンス,3,13
105,1702949.csv,ブルージェイズ,インディアンス,1,8
106,1702950.csv,エンゼルス,インディアンス,7,11
107,1702951.csv,エンゼルス,インディアンス,4,10
108,1702952.csv,エンゼルス,インディアンス,1,2
109,1702953.csv,ヤンキース,インディアンス,1,5
110,1702954.csv,ヤンキース,インディアンス,2,7
111,1702955.csv,ヤンキース,インディアンス,2,1
112,1702956.csv,ヤンキース,インディアンス,8,1
113,1702957.csv,ロッキーズ,インディアンス,1,4
114,1702958.csv,ロッキーズ,インディアンス,3,2
115,1702960.csv,Rソックス,インディアンス,9,1
116,1702961.csv,Rソックス,インディアンス,6,1
117,1702962.csv,Rソックス,インディアンス,6,13
118,1702963.csv,ロイヤルズ,インディアンス,0,4
119,1702964.csv,ロイヤルズ,インディアンス,0,4
120,1702965.csv,ロイヤルズ,インディアンス,0,12
121,1702966.csv,オリオールズ,インディアンス,0,5
122,1702967.csv,オリオールズ,インディアンス,2,4
123,1702968.csv,オリオールズ,インディアンス,2,3
124,1702969.csv,タイガース,インディアンス,0,11
125,1702970.csv,タイガース,インディアンス,0,2
126,1702971.csv,タイガース,インディアンス,3,5
127,1702972.csv,ロイヤルズ,インディアンス,2,3
128,1702973.csv,ロイヤルズ,インディアンス,4,3
129,1702974.csv,ロイヤルズ,インディアンス,4,8
130,1702975.csv,ロイヤルズ,インディアンス,2,3
131,1702976.csv,ツインズ,インディアンス,8,6
132,1702977.csv,ツインズ,インディアンス,2,4
133,1702978.csv,ツインズ,インディアンス,2,5
134,1702979.csv,Wソックス,インディアンス,1,10
135,1702980.csv,Wソックス,インディアンス,2,1
136,1702981.csv,Wソックス,インディアンス,1,3
137,1702982.csv,アスレチックス,ロイヤルズ,2,0
138,1702983.csv,アスレチックス,ロイヤルズ,8,3
139,1702984.csv,アスレチックス,ロイヤルズ,1,3
140,1702985.csv,エンゼルス,ロイヤルズ,1,7
141,1702986.csv,エンゼルス,ロイヤルズ,2,3
142,1702987.csv,エンゼルス,ロイヤルズ,0,1
143,1702988.csv,ジャイアンツ,ロイヤルズ,2,1
144,1702989.csv,ジャイアンツ,ロイヤルズ,0,2
145,1702990.csv,ツインズ,ロイヤルズ,6,4
146,1702992.csv,ツインズ,ロイヤルズ,7,5
147,1702993.csv,Wソックス,ロイヤルズ,1,6
148,1702994.csv,Wソックス,ロイヤルズ,6,0
149,1702995.csv,Wソックス,ロイヤルズ,1,6
150,1702996.csv,Wソックス,ロイヤルズ,8,3
151,1702997.csv,インディアンス,ロイヤルズ,1,3
152,1702998.csv,インディアンス,ロイヤルズ,3,1
153,1702999.csv,インディアンス,ロイヤルズ,1,0
154,1703000.csv,オリオールズ,ロイヤルズ,2,3
155,1703001.csv,オリオールズ,ロイヤルズ,3,4
156,1703002.csv,オリオールズ,ロイヤルズ,8,9
157,1703003.csv,ヤンキース,ロイヤルズ,7,1
158,1703004.csv,ヤンキース,ロイヤルズ,11,7
159,1703005.csv,ヤンキース,ロイヤルズ,1,5
160,1703006.csv,タイガース,ロイヤルズ,10,7
161,1703007.csv,タイガース,ロイヤルズ,0,1
162,1703008.csv,タイガース,ロイヤルズ,6,5
163,1703010.csv,インディアンス,ロイヤルズ,5,12
164,1703011.csv,インディアンス,ロイヤルズ,8,0
165,1703012.csv,アストロズ,ロイヤルズ,7,3
166,1703013.csv,アストロズ,ロイヤルズ,7,9
167,1703014.csv,アストロズ,ロイヤルズ,5,7
168,1703015.csv,アストロズ,ロイヤルズ,6,1
169,1703016.csv,Rソックス,ロイヤルズ,2,4
170,1703017.csv,Rソックス,ロイヤルズ,8,3
171,1703018.csv,Rソックス,ロイヤルズ,4,6
172,1703019.csv,ブルージェイズ,ロイヤルズ,4,5
173,1703020.csv,ブルージェイズ,ロイヤルズ,2,3
174,1703021.csv,ブルージェイズ,ロイヤルズ,8,2
175,1703024.csv,ツインズ,ロイヤルズ,6,11
176,1703025.csv,ツインズ,ロイヤルズ,2,6
177,1703029.csv,タイガース,ロイヤルズ,10,2
178,1703030.csv,タイガース,ロイヤルズ,9,3
179,1703031.csv,タイガース,ロイヤルズ,3,4
180,1703032.csv,タイガース,ロイヤルズ,4,16
181,1703033.csv,Wソックス,ロイヤルズ,6,7
182,1703035.csv,Wソックス,ロイヤルズ,4,5
183,1703036.csv,マリナーズ,ロイヤルズ,4,6
184,1703037.csv,マリナーズ,ロイヤルズ,5,2
185,1703039.csv,マリナーズ,ロイヤルズ,8,7
186,1703040.csv,カージナルス,ロイヤルズ,11,3
187,1703041.csv,カージナルス,ロイヤルズ,10,3
188,1703042.csv,インディアンス,ロイヤルズ,10,1
189,1703043.csv,インディアンス,ロイヤルズ,5,0
190,1703045.csv,ロッキーズ,ロイヤルズ,2,3
191,1703046.csv,ロッキーズ,ロイヤルズ,4,6
192,1703047.csv,ロッキーズ,ロイヤルズ,3,2
193,1703048.csv,レイズ,ロイヤルズ,12,0
194,1703049.csv,レイズ,ロイヤルズ,2,6
195,1703050.csv,レイズ,ロイヤルズ,5,3
196,1703051.csv,ツインズ,ロイヤルズ,4,2
197,1703052.csv,ツインズ,ロイヤルズ,8,5
198,1703054.csv,ツインズ,ロイヤルズ,3,11
199,1703055.csv,Wソックス,ロイヤルズ,11,3
200,1703056.csv,Wソックス,ロイヤルズ,3,4
201,1703057.csv,Wソックス,ロイヤルズ,5,3
202,1703058.csv,タイガース,ロイヤルズ,1,2
203,1703059.csv,タイガース,ロイヤルズ,4,7
204,1703060.csv,タイガース,ロイヤルズ,4,1
205,1703061.csv,Dバックス,ロイヤルズ,1,2
206,1703062.csv,Dバックス,ロイヤルズ,3,4
207,1703063.csv,Dバックス,ロイヤルズ,14,2
208,1703064.csv,ロイヤルズ,ツインズ,1,7
209,1703065.csv,ロイヤルズ,ツインズ,1,9
210,1703066.csv,ロイヤルズ,ツインズ,3,5
211,1703067.csv,Wソックス,ツインズ,2,1
212,1703068.csv,Wソックス,ツインズ,0,6
213,1703069.csv,Wソックス,ツインズ,3,1
214,1703070.csv,インディアンス,ツインズ,3,1
215,1703072.csv,インディアンス,ツインズ,11,4
216,1703074.csv,インディアンス,ツインズ,6,2
217,1703075.csv,タイガース,ツインズ,3,6
218,1703076.csv,タイガース,ツインズ,5,4
219,1703077.csv,タイガース,ツインズ,13,4
220,1703078.csv,アスレチックス,ツインズ,1,9
221,1703079.csv,アスレチックス,ツインズ,4,7
222,1703080.csv,アスレチックス,ツインズ,8,5
223,1703081.csv,Rソックス,ツインズ,3,4
224,1703082.csv,Rソックス,ツインズ,11,1
225,1703083.csv,Rソックス,ツインズ,17,6
226,1703084.csv,ロッキーズ,ツインズ,7,3
227,1703086.csv,ロッキーズ,ツインズ,5,1
228,1703087.csv,ロイヤルズ,ツインズ,3,4
229,1703091.csv,レイズ,ツインズ,3,5
230,1703092.csv,レイズ,ツインズ,8,6
231,1703093.csv,アストロズ,ツインズ,16,8
232,1703094.csv,アストロズ,ツインズ,7,2
233,1703095.csv,アストロズ,ツインズ,17,6
234,1703096.csv,マリナーズ,ツインズ,14,3
235,1703099.csv,マリナーズ,ツインズ,2,6
236,1703100.csv,インディアンス,ツインズ,8,1
237,1703103.csv,Wソックス,ツインズ,7,9
238,1703104.csv,Wソックス,ツインズ,2,4
239,1703105.csv,Wソックス,ツインズ,9,0
240,1703106.csv,エンゼルス,ツインズ,5,9
241,1703107.csv,エンゼルス,ツインズ,4,5
242,1703109.csv,オリオールズ,ツインズ,4,6
243,1703110.csv,オリオールズ,ツインズ,6,9
244,1703111.csv,オリオールズ,ツインズ,5,1
245,1703112.csv,オリオールズ,ツインズ,11,5
246,1703113.csv,ヤンキース,ツインズ,2,4
247,1703114.csv,ヤンキース,ツインズ,6,3
248,1703115.csv,ヤンキース,ツインズ,1,6
249,1703116.csv,タイガース,ツインズ,6,3
250,1703118.csv,タイガース,ツインズ,9,6
251,1703119.csv,レンジャーズ,ツインズ,4,1
252,1703120.csv,レンジャーズ,ツインズ,4,8
253,1703121.csv,レンジャーズ,ツインズ,4,1
254,1703122.csv,レンジャーズ,ツインズ,5,6
255,1703123.csv,ブリュワーズ,ツインズ,4,5
256,1703124.csv,ブリュワーズ,ツインズ,4,11
257,1703125.csv,インディアンス,ツインズ,8,1
258,1703127.csv,インディアンス,ツインズ,9,3
259,1703128.csv,Dバックス,ツインズ,3,10
260,1703129.csv,Dバックス,ツインズ,0,5
261,1703131.csv,Wソックス,ツインズ,4,6
262,1703132.csv,Wソックス,ツインズ,1,11
263,1703133.csv,Wソックス,ツインズ,4,5
264,1703134.csv,ロイヤルズ,ツインズ,7,6
265,1703135.csv,ロイヤルズ,ツインズ,0,17
266,1703137.csv,パドレス,ツインズ,0,16
267,1703138.csv,パドレス,ツインズ,1,3
268,1703139.csv,ブルージェイズ,ツインズ,2,3
269,1703140.csv,ブルージェイズ,ツインズ,4,3
270,1703141.csv,ブルージェイズ,ツインズ,7,2
271,1703142.csv,ブルージェイズ,ツインズ,7,13
272,1703143.csv,タイガース,ツインズ,3,6
273,1703144.csv,タイガース,ツインズ,3,2
274,1703145.csv,タイガース,ツインズ,1,5
275,1703149.csv,タイガース,Wソックス,2,11
276,1703150.csv,ツインズ,Wソックス,3,1
277,1703151.csv,ツインズ,Wソックス,2,6
278,1703152.csv,ツインズ,Wソックス,4,1
279,1703153.csv,インディアンス,Wソックス,3,0
280,1703154.csv,ドジャース,カブス,2,3
281,1703155.csv,インディアンス,Wソックス,7,0
282,1703156.csv,インディアンス,Wソックス,2,6
283,1703157.csv,ロイヤルズ,Wソックス,1,12
284,1703159.csv,ロイヤルズ,Wソックス,2,5
285,1703160.csv,ツインズ,Wソックス,7,2
286,1703162.csv,ツインズ,Wソックス,7,6
287,1703163.csv,パドレス,Wソックス,6,3
288,1703164.csv,ドジャース,カブス,2,0
289,1703165.csv,パドレス,Wソックス,4,5
290,1703166.csv,パドレス,Wソックス,3,9
291,1703168.csv,タイガース,Wソックス,0,3
292,1703169.csv,タイガース,Wソックス,3,7
293,1703170.csv,Rソックス,Wソックス,4,5
294,1703171.csv,ドジャース,カブス,0,4
295,1703172.csv,Rソックス,Wソックス,13,7
296,1703173.csv,Rソックス,Wソックス,4,1
297,1703174.csv,パイレーツ,カブス,4,2
298,1703175.csv,オリオールズ,Wソックス,7,10
299,1703176.csv,パイレーツ,カブス,8,7
300,1703179.csv,オリオールズ,Wソックス,2,5
301,1703180.csv,パイレーツ,カブス,6,1
302,1703181.csv,アスレチックス,Wソックス,3,0
303,1703182.csv,アスレチックス,Wソックス,10,2
304,1703183.csv,ブリュワーズ,カブス,6,3
305,1703184.csv,アスレチックス,Wソックス,5,3
306,1703185.csv,ブリュワーズ,カブス,7,9
307,1703186.csv,ヤンキース,Wソックス,6,5
308,1703187.csv,ブリュワーズ,カブス,4,7
309,1703189.csv,ヤンキース,Wソックス,3,4
310,1703190.csv,ヤンキース,Wソックス,12,3
311,1703192.csv,フィリーズ,カブス,10,2
312,1703193.csv,フィリーズ,カブス,3,8
313,1703194.csv,フィリーズ,カブス,4,5
314,1703195.csv,フィリーズ,カブス,4,4
315,1703196.csv,ヤンキース,カブス,3,2
316,1703197.csv,ヤンキース,カブス,11,6
317,1703198.csv,ヤンキース,カブス,5,4
318,1703199.csv,レッズ,カブス,5,9
319,1703201.csv,レッズ,カブス,5,7
320,1703202.csv,レッズ,カブス,5,9
321,1703203.csv,レンジャーズ,Wソックス,10,4
322,1703204.csv,ブリュワーズ,カブス,6,3
323,1703205.csv,レンジャーズ,Wソックス,5,6
324,1703211.csv,ジャイアンツ,カブス,6,4
325,1703212.csv,ドジャース,Wソックス,1,0
326,1703213.csv,ドジャース,Wソックス,9,1
327,1703214.csv,ジャイアンツ,カブス,1,4
328,1703215.csv,カブス,Wソックス,8,3
329,1703216.csv,ジャイアンツ,カブス,4,5
330,1703217.csv,ジャイアンツ,カブス,1,5
331,1703218.csv,カブス,Wソックス,6,3
332,1703219.csv,インディアンス,Wソックス,9,3
333,1703220.csv,インディアンス,Wソックス,5,4
334,1703221.csv,インディアンス,Wソックス,1,3
335,1703223.csv,ブルージェイズ,Wソックス,6,7
336,1703224.csv,カージナルス,カブス,3,5
337,1703225.csv,カージナルス,カブス,6,7
338,1703226.csv,ブルージェイズ,Wソックス,8,4
339,1703227.csv,マーリンズ,カブス,1,3
340,1703228.csv,ブルージェイズ,Wソックス,5,1
341,1703229.csv,アストロズ,Wソックス,5,8
342,1703230.csv,アストロズ,Wソックス,1,7
343,1703232.csv,アストロズ,Wソックス,2,3
344,1703233.csv,マーリンズ,カブス,2,10
345,1703234.csv,ロイヤルズ,Wソックス,3,6
346,1703235.csv,ロイヤルズ,Wソックス,5,4
347,1703236.csv,マーリンズ,カブス,6,5
348,1703237.csv,ロイヤルズ,Wソックス,14,6
349,1703239.csv,ツインズ,Wソックス,4,1
350,1703240.csv,ロッキーズ,カブス,4,1
351,1703241.csv,ツインズ,Wソックス,3,4
352,1703242.csv,ツインズ,Wソックス,1,5
353,1703243.csv,ロッキーズ,カブス,5,3
354,1703244.csv,タイガース,Wソックス,2,3
355,1703245.csv,タイガース,Wソックス,6,3
356,1703246.csv,タイガース,Wソックス,1,7
357,1703247.csv,ロッキーズ,カブス,9,1
358,1703248.csv,レイズ,Wソックス,3,1
359,1703249.csv,レイズ,Wソックス,4,5
360,1703250.csv,ロッキーズ,カブス,5,7
361,1703253.csv,インディアンス,Wソックス,9,4
362,1703255.csv,インディアンス,Wソックス,5,1
363,1703256.csv,インディアンス,Wソックス,11,2
364,1703257.csv,ジャイアンツ,Wソックス,9,2
365,1703258.csv,パドレス,カブス,0,4
366,1703259.csv,ジャイアンツ,Wソックス,1,13
367,1703260.csv,ジャイアンツ,Wソックス,1,8
368,1703262.csv,パドレス,カブス,3,2
369,1703263.csv,ロイヤルズ,Wソックス,8,2
370,1703264.csv,ロイヤルズ,Wソックス,1,8
371,1703265.csv,エンゼルス,Wソックス,2,4
372,1703266.csv,エンゼルス,Wソックス,9,3
373,1703267.csv,エンゼルス,Wソックス,4,6
374,1703268.csv,エンゼルス,Wソックス,4,5
375,1703269.csv,レイズ,カブス,6,5
376,1703270.csv,レイズ,カブス,3,7
377,1703271.csv,パイレーツ,カブス,1,6
378,1703272.csv,パイレーツ,カブス,4,2
379,1703273.csv,パイレーツ,カブス,14,3
380,1703275.csv,カージナルス,カブス,11,4
381,1703277.csv,ブルージェイズ,オリオールズ,2,3
382,1703279.csv,ブルージェイズ,オリオールズ,1,3
383,1703280.csv,ヤンキース,オリオールズ,5,6
384,1703281.csv,Wソックス,カブス,3,1
385,1703282.csv,ヤンキース,オリオールズ,4,5
386,1703283.csv,ヤンキース,オリオールズ,7,3
387,1703284.csv,Wソックス,カブス,2,7
388,1703285.csv,Rソックス,オリオールズ,0,2
389,1703286.csv,Rソックス,オリオールズ,2,4
390,1703287.csv,Rソックス,オリオールズ,6,2
391,1703288.csv,レイズ,オリオールズ,3,6
392,1703289.csv,Dバックス,カブス,4,16
393,1703291.csv,レイズ,オリオールズ,4,5
394,1703292.csv,Dバックス,カブス,3,0
395,1703293.csv,Wソックス,オリオールズ,2,4
396,1703294.csv,Wソックス,オリオールズ,5,6
397,1703295.csv,Wソックス,オリオールズ,0,4
398,1703296.csv,Dバックス,カブス,10,8
399,1703297.csv,ナショナルズ,オリオールズ,4,6
400,1703298.csv,ナショナルズ,オリオールズ,4,5
401,1703299.csv,ナショナルズ,カブス,4,2
402,1703300.csv,ブルージェイズ,オリオールズ,3,5
403,1703302.csv,ブルージェイズ,オリオールズ,5,7
404,1703303.csv,ナショナルズ,カブス,4,7
405,1703304.csv,ブルージェイズ,オリオールズ,3,1
406,1703305.csv,ツインズ,オリオールズ,14,7
407,1703306.csv,ツインズ,オリオールズ,2,0
408,1703307.csv,ナショナルズ,カブス,9,4
409,1703308.csv,ツインズ,オリオールズ,4,3
410,1703309.csv,ヤンキース,オリオールズ,2,3
411,1703310.csv,ヤンキース,オリオールズ,8,3
412,1703311.csv,レッズ,カブス,5,15
413,1703312.csv,ヤンキース,オリオールズ,4,10
414,1703313.csv,レッズ,カブス,2,1
415,1703314.csv,Rソックス,オリオールズ,5,7
416,1703316.csv,レッズ,カブス,6,6
417,1703317.csv,Rソックス,オリオールズ,5,2
418,1703318.csv,Rソックス,オリオールズ,7,3
419,1703319.csv,パイレーツ,オリオールズ,5,6
420,1703320.csv,レッズ,カブス,13,10
421,1703321.csv,パイレーツ,オリオールズ,6,9
422,1703322.csv,カージナルス,オリオールズ,11,2
423,1703323.csv,ブルージェイズ,カブス,4,7
424,1703326.csv,ブルージェイズ,カブス,3,4
425,1703327.csv,インディアンス,オリオールズ,12,0
426,1703328.csv,インディアンス,オリオールズ,5,6
427,1703330.csv,インディアンス,オリオールズ,5,1
428,1703331.csv,インディアンス,オリオールズ,6,3
429,1703332.csv,パイレーツ,カブス,1,6
430,1703335.csv,パイレーツ,カブス,1,4
431,1703336.csv,レイズ,オリオールズ,10,3
432,1703337.csv,レイズ,オリオールズ,1,7
433,1703340.csv,パイレーツ,カブス,3,17
434,1703341.csv,カブス,オリオールズ,8,0
435,1703342.csv,レンジャーズ,オリオールズ,1,3
436,1703343.csv,ブレーブス,カブス,2,6
437,1703344.csv,レンジャーズ,オリオールズ,1,12
438,1703345.csv,レンジャーズ,オリオールズ,2,10
439,1703346.csv,ブレーブス,カブス,0,2
440,1703347.csv,ブレーブス,カブス,12,14
441,1703348.csv,レンジャーズ,オリオールズ,7,9
442,1703349.csv,アストロズ,オリオールズ,8,7
443,1703351.csv,ブリュワーズ,カブス,2,0
444,1703354.csv,アストロズ,オリオールズ,7,9
445,1703355.csv,ロイヤルズ,オリオールズ,1,2
446,1703356.csv,ブリュワーズ,カブス,3,1
447,1703357.csv,ロイヤルズ,オリオールズ,2,7
448,1703358.csv,ロイヤルズ,オリオールズ,0,6
449,1703359.csv,タイガース,オリオールズ,7,5
450,1703360.csv,タイガース,オリオールズ,5,2
451,1703361.csv,メッツ,カブス,3,8
452,1703362.csv,タイガース,オリオールズ,2,5
453,1703363.csv,タイガース,オリオールズ,3,12
454,1703364.csv,エンゼルス,オリオールズ,7,9
455,1703365.csv,メッツ,カブス,5,17
456,1703366.csv,エンゼルス,オリオールズ,5,1
457,1703368.csv,メッツ,カブス,6,14
458,1703370.csv,アスレチックス,オリオールズ,6,4
459,1703371.csv,カージナルス,カブス,2,8
460,1703372.csv,アスレチックス,オリオールズ,7,8
461,1703373.csv,マリナーズ,オリオールズ,6,7
462,1703374.csv,カージナルス,カブス,1,4
463,1703375.csv,マリナーズ,オリオールズ,0,4
464,1703376.csv,マリナーズ,オリオールズ,7,8
465,1703377.csv,カージナルス,カブス,3,4
466,1703378.csv,ブルージェイズ,オリオールズ,11,8
467,1703379.csv,ブルージェイズ,オリオールズ,0,1
468,1703380.csv,レッズ,カブス,4,5
469,1703381.csv,ブルージェイズ,オリオールズ,7,2
470,1703383.csv,レッズ,カブス,0,9
471,1703385.csv,ヤンキース,オリオールズ,6,7
472,1703388.csv,Rソックス,オリオールズ,10,8
473,1703389.csv,Rソックス,オリオールズ,1,0
474,1703390.csv,Rソックス,オリオールズ,9,0
475,1703393.csv,レイズ,オリオールズ,8,3
476,1703394.csv,レイズ,オリオールズ,9,6
477,1703395.csv,レイズ,オリオールズ,4,9
478,1703396.csv,ブリュワーズ,ブルージェイズ,4,3
479,1703397.csv,ブリュワーズ,ブルージェイズ,2,0
480,1703398.csv,オリオールズ,ブルージェイズ,2,1
481,1703399.csv,オリオールズ,ブルージェイズ,6,4
482,1703400.csv,オリオールズ,ブルージェイズ,1,2
483,1703401.csv,オリオールズ,ブルージェイズ,11,4
484,1703402.csv,Rソックス,ブルージェイズ,8,7
485,1703403.csv,Rソックス,ブルージェイズ,0,3
486,1703404.csv,Rソックス,ブルージェイズ,4,1
487,1703405.csv,レイズ,ブルージェイズ,7,4
488,1703406.csv,レイズ,ブルージェイズ,1,4
489,1703407.csv,レイズ,ブルージェイズ,1,3
490,1703408.csv,インディアンス,ブルージェイズ,2,4
491,1703409.csv,インディアンス,ブルージェイズ,6,0
492,1703411.csv,マリナーズ,ブルージェイズ,2,7
493,1703412.csv,マリナーズ,ブルージェイズ,0,4
494,1703413.csv,マリナーズ,ブルージェイズ,2,7
495,1703414.csv,マリナーズ,ブルージェイズ,2,3
496,1703415.csv,ブレーブス,ブルージェイズ,10,6
497,1703416.csv,ブレーブス,ブルージェイズ,9,5
498,1703417.csv,レンジャーズ,ブルージェイズ,6,7
499,1703418.csv,レンジャーズ,ブルージェイズ,1,3
500,1703420.csv,レンジャーズ,ブルージェイズ,3,1
501,1703421.csv,レッズ,ブルージェイズ,2,17
502,1703422.csv,レッズ,ブルージェイズ,4,6
503,1703423.csv,レッズ,ブルージェイズ,4,5
504,1703424.csv,ヤンキース,ブルージェイズ,12,2
505,1703426.csv,ヤンキース,ブルージェイズ,7,0
506,1703427.csv,ヤンキース,ブルージェイズ,2,3
507,1703430.csv,Wソックス,ブルージェイズ,11,4
508,1703433.csv,オリオールズ,ブルージェイズ,3,1
509,1703434.csv,オリオールズ,ブルージェイズ,0,4
510,1703438.csv,Rソックス,ブルージェイズ,7,1
511,1703439.csv,Rソックス,ブルージェイズ,15,1
512,1703440.csv,アストロズ,ブルージェイズ,4,7
513,1703441.csv,アストロズ,ブルージェイズ,12,2
514,1703442.csv,アストロズ,ブルージェイズ,2,7
515,1703443.csv,アストロズ,ブルージェイズ,19,1
516,1703444.csv,アスレチックス,ブルージェイズ,2,4
517,1703445.csv,アスレチックス,ブルージェイズ,1,4
518,1703446.csv,アスレチックス,ブルージェイズ,2,3
519,1703447.csv,アスレチックス,ブルージェイズ,4,8
520,1703448.csv,エンゼルス,ブルージェイズ,7,2
521,1703449.csv,カブス,カージナルス,3,4
522,1703450.csv,エンゼルス,ブルージェイズ,6,5
523,1703451.csv,エンゼルス,ブルージェイズ,10,11
524,1703452.csv,ヤンキース,ブルージェイズ,2,4
525,1703453.csv,カブス,カージナルス,2,1
526,1703454.csv,ヤンキース,ブルージェイズ,11,5
527,1703455.csv,ヤンキース,ブルージェイズ,0,4
528,1703456.csv,パイレーツ,ブルージェイズ,4,2
529,1703457.csv,パイレーツ,ブルージェイズ,2,7
530,1703458.csv,パイレーツ,ブルージェイズ,1,7
531,1703459.csv,レイズ,ブルージェイズ,1,2
532,1703460.csv,レイズ,ブルージェイズ,6,4
533,1703462.csv,レイズ,ブルージェイズ,2,3
534,1703463.csv,レイズ,ブルージェイズ,3,5
