,試合ID,表チーム,裏チーム,表得点,裏得点
1964,1705198.csv,レッズ,ジャイアンツ,3,2
1965,1705199.csv,レッズ,ジャイアンツ,2,3
1966,1705200.csv,レッズ,ジャイアンツ,1,3
1967,1705201.csv,レッズ,ジャイアンツ,3,8
1968,1705202.csv,ドジャース,ジャイアンツ,4,8
1969,1705203.csv,ドジャース,ジャイアンツ,1,2
1970,1705204.csv,ドジャース,ジャイアンツ,6,1
1971,1705206.csv,ブレーブス,ジャイアンツ,3,6
1972,1705207.csv,ブレーブス,ジャイアンツ,1,7
1973,1705208.csv,ナショナルズ,ジャイアンツ,3,0
1974,1705209.csv,ナショナルズ,ジャイアンツ,6,3
1975,1705210.csv,ナショナルズ,ジャイアンツ,3,1
1976,1705211.csv,ツインズ,ジャイアンツ,4,0
1977,1705212.csv,ツインズ,ジャイアンツ,3,2
1978,1705213.csv,ツインズ,ジャイアンツ,8,13
1979,1705215.csv,ロイヤルズ,ジャイアンツ,7,2
1980,1705216.csv,メッツ,ジャイアンツ,11,4
1981,1705217.csv,メッツ,ジャイアンツ,5,2
1982,1705218.csv,メッツ,ジャイアンツ,8,2
1983,1705220.csv,ロッキーズ,ジャイアンツ,3,4
1984,1705221.csv,ロッキーズ,ジャイアンツ,3,5
1985,1705222.csv,マーリンズ,ジャイアンツ,6,1
1986,1705223.csv,マーリンズ,ジャイアンツ,5,4
1987,1705224.csv,マーリンズ,ジャイアンツ,10,8
1988,1705225.csv,インディアンス,ジャイアンツ,5,3
1989,1705226.csv,インディアンス,ジャイアンツ,1,2
1990,1705227.csv,インディアンス,ジャイアンツ,4,5
1991,1705228.csv,パドレス,ジャイアンツ,5,2
1992,1705229.csv,パドレス,ジャイアンツ,12,9
1993,1705233.csv,パイレーツ,ジャイアンツ,10,3
1994,1705234.csv,パイレーツ,ジャイアンツ,3,11
1995,1705235.csv,パイレーツ,ジャイアンツ,1,2
1996,1705236.csv,アスレチックス,ジャイアンツ,6,1
1997,1705237.csv,アスレチックス,ジャイアンツ,2,11
1998,1705238.csv,Dバックス,ジャイアンツ,2,1
1999,1705239.csv,Dバックス,ジャイアンツ,4,5
