,1,2,3,4,5,6,7,8,9,“ú,1,0,0,0
0,0,0,0,0,ƒI,0,0,0,0,0,0,1,0,0
10,11,12,Œv,ˆÀ,0,0,0,1,5,0,0,1X,2,7
