,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,阪神,小野 泰己,右,2.92,広島,田中 広輔,左,.308,0,4,6,2,遊ゴロ
1,1000,1回表,阪神,小野 泰己,右,2.92,広島,菊池 涼介,右,.256,1,2,3,2,三ゴロ
2,2000,1回表,阪神,小野 泰己,右,2.92,広島,丸 佳浩,左,.448,4,9,13,1,二ゴロ
3,3000,,,,,,,,,,,,,,
4,0000,1回裏,広島,薮田 和樹,右,3.48,阪神,高山 俊,左,.290,0,3,1,0,四球
5,0100,1回裏,広島,薮田 和樹,右,3.48,阪神,西岡 剛,左,.250,0,1,2,0,四球
6,0110,1回裏,広島,薮田 和樹,右,3.48,阪神,糸井 嘉男,左,.321,2,4,9,0,右飛
7,1110,1回裏,広島,薮田 和樹,右,3.48,阪神,ロサリオ,右,.229,1,5,2,0,中飛
8,2110,1回裏,広島,薮田 和樹,右,3.48,阪神,福留 孝介,左,.379,1,3,6,0,見三振
9,3000,,,,,,,,,,,,,,
10,0000,2回表,阪神,小野 泰己,右,2.92,広島,松山 竜平,左,.273,1,6,3,0,中安
11,0100,2回表,阪神,小野 泰己,右,2.92,広島,安部 友裕,左,.281,0,1,4,0,捕犠打
12,1010,2回表,阪神,小野 泰己,右,2.92,広島,エルドレッド,右,.167,3,8,7,0,見三振
13,2010,2回表,阪神,小野 泰己,右,2.92,広島,堂林 翔太,右,.300,0,4,0,0,右安
14,2101,2回表,阪神,小野 泰己,右,2.92,広島,會澤 翼,右,.308,0,2,1,0,左２
15,2011,2回表,阪神,小野 泰己,右,2.92,広島,薮田 和樹,右,.500,0,1,0,0,右安
16,2101,2回表,阪神,小野 泰己,右,2.92,広島,田中 広輔,左,.308,0,4,6,2,遊直
17,3000,,,,,,,,,,,,,,
18,0000,2回裏,広島,薮田 和樹,右,3.48,阪神,大山 悠輔,右,.194,2,8,3,0,一ゴロ
19,1000,2回裏,広島,薮田 和樹,右,3.48,阪神,糸原 健斗,左,.321,0,0,3,0,右安
20,1100,2回裏,広島,薮田 和樹,右,3.48,阪神,梅野 隆太郎,右,.167,1,3,2,0,空三振
21,2100,2回裏,広島,薮田 和樹,右,3.48,阪神,小野 泰己,右,.000,0,0,0,0,見三振
22,3000,,,,,,,,,,,,,,
23,0000,3回表,阪神,小野 泰己,右,2.92,広島,菊池 涼介,右,.256,1,2,3,2,空三振
24,1000,3回表,阪神,小野 泰己,右,2.92,広島,丸 佳浩,左,.448,4,9,13,1,中安
25,1100,3回表,阪神,小野 泰己,右,2.92,広島,松山 竜平,左,.273,1,6,3,0,遊飛
26,2100,3回表,阪神,小野 泰己,右,2.92,広島,安部 友裕,左,.281,0,1,4,0,二ゴロ
27,3000,,,,,,,,,,,,,,
28,0000,3回裏,広島,薮田 和樹,右,3.48,阪神,高山 俊,左,.290,0,3,1,0,三ゴロ
29,1000,3回裏,広島,薮田 和樹,右,3.48,阪神,西岡 剛,左,.250,0,1,2,0,四球
30,1100,3回裏,広島,薮田 和樹,右,3.48,阪神,糸井 嘉男,左,.321,2,4,9,0,四球
