,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,中日,鈴木 翔太,右,5.19,阪神,糸原 健斗,左,.289,1,35,81,6,中２
1,0010,1回表,中日,鈴木 翔太,右,5.19,阪神,大山 悠輔,右,.274,11,43,24,4,中飛
2,1010,1回表,中日,鈴木 翔太,右,5.19,阪神,福留 孝介,左,.288,14,69,66,2,中安
3,1101,1回表,中日,鈴木 翔太,右,5.19,阪神,糸井 嘉男,左,.309,16,68,77,22,右飛
4,2011,1回表,中日,鈴木 翔太,右,5.19,阪神,陽川 尚将,右,.253,6,44,15,4,左飛
5,3000,,,,,,,,,,,,,,
6,0000,1回裏,阪神,小野 泰己,右,4.82,中日,平田 良介,右,.331,9,55,64,8,中安
7,0100,1回裏,阪神,小野 泰己,右,4.82,中日,京田 陽太,左,.240,4,44,19,19,遊ゴロ
8,1100,1回裏,阪神,小野 泰己,右,4.82,中日,大島 洋平,左,.276,7,56,45,21,遊併打
9,3000,,,,,,,,,,,,,,
10,0000,2回表,中日,鈴木 翔太,右,5.19,阪神,梅野 隆太郎,右,.254,8,46,35,4,左２
11,0010,2回表,中日,鈴木 翔太,右,5.19,阪神,中谷 将大,右,.241,4,24,17,0,左飛
12,1010,2回表,中日,鈴木 翔太,右,5.19,阪神,森越 祐人,右,.136,0,1,3,0,中飛
13,2001,2回表,中日,鈴木 翔太,右,5.19,阪神,小野 泰己,右,.029,0,1,1,0,二ゴロ
14,3000,,,,,,,,,,,,,,
15,0000,2回裏,阪神,小野 泰己,右,4.82,中日,ビシエド,右,.352,26,99,51,3,遊ゴロ
16,1000,2回裏,阪神,小野 泰己,右,4.82,中日,アルモンテ,左,.317,14,75,44,1,四球
17,1100,2回裏,阪神,小野 泰己,右,4.82,中日,高橋 周平,左,.254,11,66,30,0,左２
18,1011,2回裏,阪神,小野 泰己,右,4.82,中日,福田 永将,右,.265,12,61,37,0,空三振
19,2011,2回裏,阪神,小野 泰己,右,4.82,中日,松井 雅人,左,.238,2,22,30,0,
20,2111,2回裏,阪神,小野 泰己,右,4.82,中日,鈴木 翔太,右,.000,0,0,0,0,空三振
21,3000,,,,,,,,,,,,,,
22,0000,3回表,中日,鈴木 翔太,右,5.19,阪神,糸原 健斗,左,.289,1,35,81,6,四球
23,0100,3回表,中日,鈴木 翔太,右,5.19,阪神,大山 悠輔,右,.274,11,43,24,4,右安
24,0101,3回表,中日,鈴木 翔太,右,5.19,阪神,福留 孝介,左,.288,14,69,66,2,左犠飛
25,1100,3回表,中日,鈴木 翔太,右,5.19,阪神,糸井 嘉男,左,.309,16,68,77,22,左飛
26,2100,3回表,中日,鈴木 翔太,右,5.19,阪神,陽川 尚将,右,.253,6,44,15,4,空三振
27,3000,,,,,,,,,,,,,,
28,0000,3回裏,阪神,小野 泰己,右,4.82,中日,平田 良介,右,.331,9,55,64,8,右飛
29,1000,3回裏,阪神,小野 泰己,右,4.82,中日,京田 陽太,左,.240,4,44,19,19,三直
30,2000,3回裏,阪神,小野 泰己,右,4.82,中日,大島 洋平,左,.276,7,56,45,21,遊安
31,2100,3回裏,阪神,小野 泰己,右,4.82,中日,ビシエド,右,.352,26,99,51,3,右安
32,2100,3回裏,阪神,小野 泰己,右,4.82,中日,アルモンテ,左,.317,14,75,44,1,投ゴロ
33,3000,,,,,,,,,,,,,,
34,0000,4回表,中日,鈴木 翔太,右,5.19,阪神,梅野 隆太郎,右,.254,8,46,35,4,二飛
35,1000,4回表,中日,鈴木 翔太,右,5.19,阪神,中谷 将大,右,.241,4,24,17,0,左安
36,1100,4回表,中日,鈴木 翔太,右,5.19,阪神,森越 祐人,右,.136,0,1,3,0,左安
37,1110,4回表,中日,鈴木 翔太,右,5.19,阪神,小野 泰己,右,.029,0,1,1,0,投犠打
38,2001,4回表,中日,鈴木 翔太,右,5.19,阪神,糸原 健斗,左,.289,1,35,81,6,四球
39,2101,4回表,中日,鈴木 翔太,右,5.19,阪神,大山 悠輔,右,.274,11,43,24,4,四球
40,2111,4回表,中日,福 敬登,左,0.00,阪神,福留 孝介,左,.288,14,69,66,2,四球
41,2111,4回表,中日,福 敬登,左,0.00,阪神,糸井 嘉男,左,.309,16,68,77,22,三ゴロ
42,3000,,,,,,,,,,,,,,
43,0000,4回裏,阪神,小野 泰己,右,4.82,中日,高橋 周平,左,.254,11,66,30,0,空三振
44,1000,4回裏,阪神,小野 泰己,右,4.82,中日,福田 永将,右,.265,12,61,37,0,三安
45,1100,4回裏,阪神,小野 泰己,右,4.82,中日,松井 雅人,左,.238,2,22,30,0,中安
46,1101,4回裏,阪神,小野 泰己,右,4.82,中日,亀澤 恭平,左,.291,0,8,17,4,二直
