,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,楽天,岸 孝之,右,1.94,日本ハム,杉谷 拳士,左,.271,2,5,4,1,右本
1,0000,1回表,楽天,岸 孝之,右,1.94,日本ハム,大田 泰示,右,.276,12,42,26,2,遊ゴロ
2,1000,1回表,楽天,岸 孝之,右,1.94,日本ハム,近藤 健介,左,.368,8,40,38,4,見三振
3,2000,1回表,楽天,岸 孝之,右,1.94,日本ハム,中田 翔,右,.262,16,54,18,0,中安
4,2100,1回表,楽天,岸 孝之,右,1.94,日本ハム,レアード,右,.230,13,33,20,0,中飛
5,3000,,,,,,,,,,,,,,
6,0000,1回裏,日本ハム,高梨 裕稔,右,3.48,楽天,田中 和基,左,.316,4,12,10,10,遊安
7,0100,1回裏,日本ハム,高梨 裕稔,右,3.48,楽天,茂木 栄五郎,左,.256,5,14,24,7,中安
8,0110,1回裏,日本ハム,高梨 裕稔,右,3.48,楽天,島内 宏明,左,.239,1,7,8,7,左２
9,0011,1回裏,日本ハム,高梨 裕稔,右,3.48,楽天,今江 年晶,右,.306,5,26,13,0,空三振
10,1011,1回裏,日本ハム,高梨 裕稔,右,3.48,楽天,銀次,左,.247,3,23,22,0,二ゴロ
11,2001,1回裏,日本ハム,高梨 裕稔,右,3.48,楽天,アマダー,右,.229,8,19,18,1,見三振
12,3000,,,,,,,,,,,,,,
13,0000,2回表,楽天,岸 孝之,右,1.94,日本ハム,アルシア,左,.259,4,16,11,0,見三振
14,1000,2回表,楽天,岸 孝之,右,1.94,日本ハム,田中 賢介,左,.171,0,0,7,0,中安
15,1100,2回表,楽天,岸 孝之,右,1.94,日本ハム,石井 一成,左,.218,1,4,11,3,右飛
16,2100,2回表,楽天,岸 孝之,右,1.94,日本ハム,清水 優心,右,.167,5,13,10,0,遊ゴロ
17,3000,,,,,,,,,,,,,,
18,0000,2回裏,日本ハム,高梨 裕稔,右,3.48,楽天,岩見 雅紀,右,.000,0,0,0,0,空三振
19,1000,2回裏,日本ハム,高梨 裕稔,右,3.48,楽天,山崎 剛,左,.000,0,0,0,1,遊ゴロ
20,2000,2回裏,日本ハム,高梨 裕稔,右,3.48,楽天,嶋 基宏,右,.190,0,11,13,1,右飛
21,3000,,,,,,,,,,,,,,
22,0000,3回表,楽天,岸 孝之,右,1.94,日本ハム,杉谷 拳士,左,.271,2,5,4,1,左安
23,0100,3回表,楽天,岸 孝之,右,1.94,日本ハム,大田 泰示,右,.276,12,42,26,2,右飛
24,1100,3回表,楽天,岸 孝之,右,1.94,日本ハム,近藤 健介,左,.368,8,40,38,4,左２
25,1010,3回表,楽天,岸 孝之,右,1.94,日本ハム,中田 翔,右,.262,16,54,18,0,中飛
26,2010,3回表,楽天,岸 孝之,右,1.94,日本ハム,レアード,右,.230,13,33,20,0,中飛
27,3000,,,,,,,,,,,,,,
28,0000,3回裏,日本ハム,高梨 裕稔,右,3.48,楽天,田中 和基,左,.316,4,12,10,10,二ゴロ
29,1000,3回裏,日本ハム,高梨 裕稔,右,3.48,楽天,茂木 栄五郎,左,.256,5,14,24,7,二ゴロ
30,2000,3回裏,日本ハム,高梨 裕稔,右,3.48,楽天,島内 宏明,左,.239,1,7,8,7,一ゴロ
31,3000,,,,,,,,,,,,,,
