,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,広島,岡田 明丈,右,4.78,阪神,糸原 健斗,左,.288,1,29,69,4,左飛
1,1000,1回表,広島,岡田 明丈,右,4.78,阪神,北條 史也,右,.329,1,19,18,1,三直
2,2000,1回表,広島,岡田 明丈,右,4.78,阪神,福留 孝介,左,.290,14,64,62,1,三ゴロ
3,3000,,,,,,,,,,,,,,
4,0000,1回裏,阪神,才木 浩人,右,3.72,広島,野間 峻祥,左,.295,4,38,23,16,二ゴロ
5,1000,1回裏,阪神,才木 浩人,右,3.72,広島,菊池 涼介,右,.240,12,51,42,9,投ゴロ
6,2000,1回裏,阪神,才木 浩人,右,3.72,広島,丸 佳浩,左,.321,33,80,107,10,四球
7,2100,1回裏,阪神,才木 浩人,右,3.72,広島,鈴木 誠也,右,.333,28,83,71,4,空三振
8,3000,,,,,,,,,,,,,,
9,0000,2回表,広島,岡田 明丈,右,4.78,阪神,糸井 嘉男,左,.309,15,62,68,18,遊ゴロ
10,1000,2回表,広島,岡田 明丈,右,4.78,阪神,陽川 尚将,右,.242,5,34,13,4,右安
11,1100,2回表,広島,岡田 明丈,右,4.78,阪神,大山 悠輔,右,.245,3,26,21,2,中飛
12,2010,2回表,広島,岡田 明丈,右,4.78,阪神,俊介,右,.238,2,21,9,1,投ゴロ
13,3000,,,,,,,,,,,,,,
14,0000,2回裏,阪神,才木 浩人,右,3.72,広島,松山 竜平,左,.313,11,65,37,2,左飛
15,1000,2回裏,阪神,才木 浩人,右,3.72,広島,西川 龍馬,左,.323,6,40,20,3,左２
16,1010,2回裏,阪神,才木 浩人,右,3.72,広島,田中 広輔,左,.261,9,51,64,21,中飛
17,2010,2回裏,阪神,才木 浩人,右,3.72,広島,磯村 嘉孝,右,.222,1,4,3,0,四球
18,2110,2回裏,阪神,才木 浩人,右,3.72,広島,岡田 明丈,左,.128,0,3,1,0,空三振
19,3000,,,,,,,,,,,,,,
20,0000,3回表,広島,岡田 明丈,右,4.78,阪神,梅野 隆太郎,右,.249,8,35,29,3,中飛
21,1000,3回表,広島,岡田 明丈,右,4.78,阪神,才木 浩人,右,.105,0,1,0,0,空三振
22,2000,3回表,広島,岡田 明丈,右,4.78,阪神,糸原 健斗,左,.288,1,29,69,4,右２
23,2010,3回表,広島,岡田 明丈,右,4.78,阪神,北條 史也,右,.329,1,19,18,1,中安
24,2100,3回表,広島,岡田 明丈,右,4.78,阪神,福留 孝介,左,.290,14,64,62,1,中安
25,2110,3回表,広島,岡田 明丈,右,4.78,阪神,糸井 嘉男,左,.309,15,62,68,18,一ゴロ
26,3000,,,,,,,,,,,,,,
27,0000,3回裏,阪神,才木 浩人,右,3.72,広島,野間 峻祥,左,.295,4,38,23,16,空三振
28,1000,3回裏,阪神,才木 浩人,右,3.72,広島,菊池 涼介,右,.240,12,51,42,9,遊ゴロ
29,2000,3回裏,阪神,才木 浩人,右,3.72,広島,丸 佳浩,左,.321,33,80,107,10,空三振
30,3000,,,,,,,,,,,,,,
31,0000,4回表,広島,岡田 明丈,右,4.78,阪神,陽川 尚将,右,.242,5,34,13,4,投ゴロ
32,1000,4回表,広島,岡田 明丈,右,4.78,阪神,大山 悠輔,右,.245,3,26,21,2,四球
33,1000,4回表,広島,岡田 明丈,右,4.78,阪神,俊介,右,.238,2,21,9,1,四球
34,2100,4回表,広島,岡田 明丈,右,4.78,阪神,梅野 隆太郎,右,.249,8,35,29,3,四球
35,2110,4回表,広島,岡田 明丈,右,4.78,阪神,才木 浩人,右,.105,0,1,0,0,空三振
36,3000,,,,,,,,,,,,,,
37,0000,4回裏,阪神,才木 浩人,右,3.72,広島,鈴木 誠也,右,.333,28,83,71,4,左飛
38,1000,4回裏,阪神,才木 浩人,右,3.72,広島,松山 竜平,左,.313,11,65,37,2,空三振
39,2000,4回裏,阪神,才木 浩人,右,3.72,広島,西川 龍馬,左,.323,6,40,20,3,遊ゴロ
40,3000,,,,,,,,,,,,,,
41,0000,5回表,広島,岡田 明丈,右,4.78,阪神,糸原 健斗,左,.288,1,29,69,4,二安
