,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,オリックス,田嶋 大樹,左,3.86,ＤｅＮＡ,神里 和毅,左,.272,4,14,14,13,四球
1,0100,1回表,オリックス,田嶋 大樹,左,3.86,ＤｅＮＡ,田中 浩康,右,.259,0,3,1,0,二併打
2,2000,1回表,オリックス,田嶋 大樹,左,3.86,ＤｅＮＡ,桑原 将志,右,.250,2,6,8,9,中飛
3,3000,,,,,,,,,,,,,,
4,0000,1回裏,ＤｅＮＡ,今永 昇太,左,8.87,オリックス,西村 凌,右,.235,1,3,1,2,三ゴロ
5,1000,1回裏,ＤｅＮＡ,今永 昇太,左,8.87,オリックス,山足 達也,右,.178,0,4,7,2,空三振
6,2000,1回裏,ＤｅＮＡ,今永 昇太,左,8.87,オリックス,ロメロ,右,.214,9,24,17,3,空三振
7,3000,,,,,,,,,,,,,,
8,0000,2回表,オリックス,田嶋 大樹,左,3.86,ＤｅＮＡ,宮崎 敏郎,右,.326,12,32,15,0,二ゴロ
9,1000,2回表,オリックス,田嶋 大樹,左,3.86,ＤｅＮＡ,中川 大志,右,.333,1,5,3,0,見三振
10,2000,2回表,オリックス,田嶋 大樹,左,3.86,ＤｅＮＡ,大和,右,.216,0,14,14,4,空三振
11,3000,,,,,,,,,,,,,,
12,0000,2回裏,ＤｅＮＡ,今永 昇太,左,8.87,オリックス,吉田 正尚,左,.308,10,38,27,1,四球
13,0010,2回裏,ＤｅＮＡ,今永 昇太,左,8.87,オリックス,中島 宏之,右,.204,1,5,5,0,空三振
14,1010,2回裏,ＤｅＮＡ,今永 昇太,左,8.87,オリックス,安達 了一,右,.242,3,20,14,9,死球
15,1110,2回裏,ＤｅＮＡ,今永 昇太,左,8.87,オリックス,武田 健吾,右,.185,0,7,0,0,左２
16,1010,2回裏,ＤｅＮＡ,今永 昇太,左,8.87,オリックス,大城 滉二,右,.252,4,17,12,2,空三振
17,2010,2回裏,ＤｅＮＡ,今永 昇太,左,8.87,オリックス,若月 健矢,右,.213,0,11,3,1,遊ゴロ
18,3000,,,,,,,,,,,,,,
19,0000,3回表,オリックス,田嶋 大樹,左,3.86,ＤｅＮＡ,飛雄馬,右,.200,0,0,0,0,空三振
20,1000,3回表,オリックス,田嶋 大樹,左,3.86,ＤｅＮＡ,楠本 泰史,左,.171,0,1,5,2,空三振
21,2000,3回表,オリックス,田嶋 大樹,左,3.86,ＤｅＮＡ,高城 俊人,右,.174,0,2,1,1,空三振
22,3000,,,,,,,,,,,,,,
23,0000,3回裏,ＤｅＮＡ,今永 昇太,左,8.87,オリックス,西村 凌,右,.235,1,3,1,2,空三振
24,1000,3回裏,ＤｅＮＡ,今永 昇太,左,8.87,オリックス,山足 達也,右,.178,0,4,7,2,三直
25,2000,3回裏,ＤｅＮＡ,今永 昇太,左,8.87,オリックス,ロメロ,右,.214,9,24,17,3,空三振
26,3000,,,,,,,,,,,,,,
27,0000,4回表,オリックス,田嶋 大樹,左,3.86,ＤｅＮＡ,神里 和毅,左,.272,4,14,14,13,空三振
28,1000,4回表,オリックス,田嶋 大樹,左,3.86,ＤｅＮＡ,田中 浩康,右,.259,0,3,1,0,左飛
29,2000,4回表,オリックス,田嶋 大樹,左,3.86,ＤｅＮＡ,桑原 将志,右,.250,2,6,8,9,右飛
30,3000,,,,,,,,,,,,,,
31,0000,4回裏,ＤｅＮＡ,今永 昇太,左,8.87,オリックス,吉田 正尚,左,.308,10,38,27,1,右安
32,0100,4回裏,ＤｅＮＡ,今永 昇太,左,8.87,オリックス,中島 宏之,右,.204,1,5,5,0,左飛
33,1100,4回裏,ＤｅＮＡ,今永 昇太,左,8.87,オリックス,安達 了一,右,.242,3,20,14,9,右安
34,1101,4回裏,ＤｅＮＡ,今永 昇太,左,8.87,オリックス,武田 健吾,右,.185,0,7,0,0,左犠飛
35,2001,4回裏,ＤｅＮＡ,今永 昇太,左,8.87,オリックス,大城 滉二,右,.252,4,17,12,2,空三振
36,3000,,,,,,,,,,,,,,
37,0000,5回表,オリックス,田嶋 大樹,左,3.86,ＤｅＮＡ,宮崎 敏郎,右,.326,12,32,15,0,左本
38,0000,5回表,オリックス,田嶋 大樹,左,3.86,ＤｅＮＡ,中川 大志,右,.333,1,5,3,0,空三振
39,1000,5回表,オリックス,田嶋 大樹,左,3.86,ＤｅＮＡ,大和,右,.216,0,14,14,4,右飛
40,2000,5回表,オリックス,田嶋 大樹,左,3.86,ＤｅＮＡ,飛雄馬,右,.200,0,0,0,0,右飛
41,3000,,,,,,,,,,,,,,
