,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,巨人,田口 麗斗,左,7.43,ヤクルト,青木 宣親,左,.250,0,9,7,0,左安
1,0100,1回表,巨人,田口 麗斗,左,7.43,ヤクルト,荒木 貴裕,右,.304,1,4,7,1,中飛
2,1100,1回表,巨人,田口 麗斗,左,7.43,ヤクルト,山田 哲人,右,.256,6,14,20,7,四球
3,1110,1回表,巨人,田口 麗斗,左,7.43,ヤクルト,バレンティン,右,.247,5,20,14,0,左本
4,1000,1回表,巨人,田口 麗斗,左,7.43,ヤクルト,雄平,左,.318,0,4,4,1,中安
5,1100,1回表,巨人,田口 麗斗,左,7.43,ヤクルト,坂口 智隆,左,.338,1,7,14,3,空三振
6,2100,1回表,巨人,田口 麗斗,左,7.43,ヤクルト,廣岡 大志,右,.232,1,8,3,0,見三振
7,3000,,,,,,,,,,,,,,
8,0000,1回裏,ヤクルト,石川 雅規,左,5.92,巨人,坂本 勇人,右,.337,2,17,15,2,空三振
9,1000,1回裏,ヤクルト,石川 雅規,左,5.92,巨人,吉川 尚輝,左,.250,0,4,6,3,中飛
10,2000,1回裏,ヤクルト,石川 雅規,左,5.92,巨人,ゲレーロ,右,.299,4,15,16,0,四球
11,2100,1回裏,ヤクルト,石川 雅規,左,5.92,巨人,マギー,右,.295,3,16,9,0,見三振
12,3000,,,,,,,,,,,,,,
13,0000,2回表,巨人,田口 麗斗,左,7.43,ヤクルト,松本 直樹,右,.000,0,0,0,0,三邪飛
14,1000,2回表,巨人,田口 麗斗,左,7.43,ヤクルト,石川 雅規,左,.000,0,0,0,0,三邪飛
15,2000,2回表,巨人,田口 麗斗,左,7.43,ヤクルト,青木 宣親,左,.250,0,9,7,0,投ゴロ
16,3000,,,,,,,,,,,,,,
17,0000,2回裏,ヤクルト,石川 雅規,左,5.92,巨人,岡本 和真,右,.326,5,21,11,1,空三振
18,1000,2回裏,ヤクルト,石川 雅規,左,5.92,巨人,長野 久義,右,.238,1,6,11,0,四球
19,1000,2回裏,ヤクルト,石川 雅規,左,5.92,巨人,中井 大介,右,.244,1,5,3,0,遊ゴロ
20,3000,,,,,,,,,,,,,,
21,0000,3回表,巨人,田口 麗斗,左,7.43,ヤクルト,荒木 貴裕,右,.304,1,4,7,1,二ゴロ
22,1000,3回表,巨人,田口 麗斗,左,7.43,ヤクルト,山田 哲人,右,.256,6,14,20,7,中飛
23,2000,3回表,巨人,田口 麗斗,左,7.43,ヤクルト,バレンティン,右,.247,5,20,14,0,二邪飛
24,3000,,,,,,,,,,,,,,
25,0000,3回裏,ヤクルト,石川 雅規,左,5.92,巨人,小林 誠司,右,.354,1,9,10,0,左飛
26,1000,3回裏,ヤクルト,石川 雅規,左,5.92,巨人,田口 麗斗,左,.000,0,0,1,0,見三振
27,2000,3回裏,ヤクルト,石川 雅規,左,5.92,巨人,坂本 勇人,右,.337,2,17,15,2,左本
28,2000,3回裏,ヤクルト,石川 雅規,左,5.92,巨人,吉川 尚輝,左,.250,0,4,6,3,中２
29,2010,3回裏,ヤクルト,石川 雅規,左,5.92,巨人,ゲレーロ,右,.299,4,15,16,0,四球
30,2110,3回裏,ヤクルト,石川 雅規,左,5.92,巨人,マギー,右,.295,3,16,9,0,左安
31,2011,3回裏,ヤクルト,石川 雅規,左,5.92,巨人,岡本 和真,右,.326,5,21,11,1,四球
32,2111,3回裏,ヤクルト,石川 雅規,左,5.92,巨人,長野 久義,右,.238,1,6,11,0,右安
33,2111,3回裏,ヤクルト,石川 雅規,左,5.92,巨人,中井 大介,右,.244,1,5,3,0,見三振
