,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,ロッテ,二木 康太,右,3.93,ソフトバンク,上林 誠知,左,.271,22,62,29,13,中飛
1,1000,1回表,ロッテ,二木 康太,右,3.93,ソフトバンク,明石 健志,左,.284,1,12,11,2,二ゴロ
2,2000,1回表,ロッテ,二木 康太,右,3.93,ソフトバンク,中村 晃,左,.294,14,57,58,1,遊ゴロ
3,3000,,,,,,,,,,,,,,
4,0000,1回裏,ソフトバンク,ミランダ,左,1.89,ロッテ,岡 大海,右,.182,3,18,18,11,中飛
5,1000,1回裏,ソフトバンク,ミランダ,左,1.89,ロッテ,藤岡 裕大,左,.231,5,41,43,14,遊飛
6,2000,1回裏,ソフトバンク,ミランダ,左,1.89,ロッテ,中村 奨吾,右,.292,8,57,59,38,遊ゴロ
7,3000,,,,,,,,,,,,,,
8,0000,2回表,ロッテ,二木 康太,右,3.93,ソフトバンク,柳田 悠岐,左,.352,36,102,62,21,右安
9,0100,2回表,ロッテ,二木 康太,右,3.93,ソフトバンク,デスパイネ,右,.236,27,69,54,0,左飛
10,1100,2回表,ロッテ,二木 康太,右,3.93,ソフトバンク,松田 宣浩,右,.250,32,82,56,3,四球
11,1110,2回表,ロッテ,二木 康太,右,3.93,ソフトバンク,グラシアル,右,.287,9,30,15,1,四球
12,1111,2回表,ロッテ,二木 康太,右,3.93,ソフトバンク,高田 知季,左,.195,2,15,12,2,中３
13,1001,2回表,ロッテ,二木 康太,右,3.93,ソフトバンク,高谷 裕亮,左,.176,1,4,1,0,投犠打
14,2000,2回表,ロッテ,二木 康太,右,3.93,ソフトバンク,上林 誠知,左,.271,22,62,29,13,空三振
15,3000,,,,,,,,,,,,,,
16,0000,2回裏,ソフトバンク,ミランダ,左,1.89,ロッテ,井上 晴哉,右,.289,22,93,61,1,四球
17,0100,2回裏,ソフトバンク,ミランダ,左,1.89,ロッテ,角中 勝也,左,.266,7,56,47,3,中飛
18,1100,2回裏,ソフトバンク,ミランダ,左,1.89,ロッテ,鈴木 大地,左,.265,8,49,44,8,空三振
19,2100,2回裏,ソフトバンク,ミランダ,左,1.89,ロッテ,根元 俊一,左,.190,0,3,0,0,遊ゴロ
20,3000,,,,,,,,,,,,,,
21,0000,3回表,ロッテ,二木 康太,右,3.93,ソフトバンク,明石 健志,左,.284,1,12,11,2,左飛
22,1000,3回表,ロッテ,二木 康太,右,3.93,ソフトバンク,中村 晃,左,.294,14,57,58,1,中安
23,1100,3回表,ロッテ,二木 康太,右,3.93,ソフトバンク,柳田 悠岐,左,.352,36,102,62,21,左飛
24,2100,3回表,ロッテ,二木 康太,右,3.93,ソフトバンク,デスパイネ,右,.236,27,69,54,0,四球
25,2110,3回表,ロッテ,二木 康太,右,3.93,ソフトバンク,松田 宣浩,右,.250,32,82,56,3,左本
26,2000,3回表,ロッテ,二木 康太,右,3.93,ソフトバンク,グラシアル,右,.287,9,30,15,1,左飛
27,3000,,,,,,,,,,,,,,
28,0000,3回裏,ソフトバンク,ミランダ,左,1.89,ロッテ,平沢 大河,左,.210,5,30,47,7,空三振
29,1000,3回裏,ソフトバンク,ミランダ,左,1.89,ロッテ,江村 直也,右,.067,0,0,1,0,四球
30,1100,3回裏,ソフトバンク,ミランダ,左,1.89,ロッテ,岡 大海,右,.182,3,18,18,11,遊邪飛
31,2100,3回裏,ソフトバンク,ミランダ,左,1.89,ロッテ,藤岡 裕大,左,.231,5,41,43,14,一ゴロ
32,3000,,,,,,,,,,,,,,
33,0000,4回表,ロッテ,二木 康太,右,3.93,ソフトバンク,高田 知季,左,.195,2,15,12,2,遊ゴロ
34,1000,4回表,ロッテ,二木 康太,右,3.93,ソフトバンク,高谷 裕亮,左,.176,1,4,1,0,見三振
