,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,ロッテ,唐川 侑己,右,6.00,オリックス,宗 佑磨,左,.203,0,4,3,1,中飛
1,1000,1回表,ロッテ,唐川 侑己,右,6.00,オリックス,吉田 正尚,左,.293,3,10,7,0,遊ゴロ
2,2000,1回表,ロッテ,唐川 侑己,右,6.00,オリックス,小谷野 栄一,右,.271,0,5,7,0,二ゴロ
3,3000,,,,,,,,,,,,,,
4,0000,1回裏,オリックス,アルバース,左,2.25,ロッテ,荻野 貴司,右,.306,1,5,5,6,遊ゴロ
5,1000,1回裏,オリックス,アルバース,左,2.25,ロッテ,藤岡 裕大,左,.220,2,5,9,0,投ゴロ
6,2000,1回裏,オリックス,アルバース,左,2.25,ロッテ,中村 奨吾,右,.300,1,8,4,6,空三振
7,3000,,,,,,,,,,,,,,
8,0000,2回表,ロッテ,唐川 侑己,右,6.00,オリックス,ロメロ,右,.196,2,6,6,0,三ゴロ
9,1000,2回表,ロッテ,唐川 侑己,右,6.00,オリックス,マレーロ,右,.212,5,15,3,1,空三振
10,2000,2回表,ロッテ,唐川 侑己,右,6.00,オリックス,伏見 寅威,右,.333,0,3,0,0,見三振
11,3000,,,,,,,,,,,,,,
12,0000,2回裏,オリックス,アルバース,左,2.25,ロッテ,井上 晴哉,右,.269,2,12,7,0,空三振
13,1000,2回裏,オリックス,アルバース,左,2.25,ロッテ,鈴木 大地,左,.245,1,7,8,1,三ゴロ
14,2000,2回裏,オリックス,アルバース,左,2.25,ロッテ,清田 育宏,右,.345,1,2,6,0,二失
15,2100,2回裏,オリックス,アルバース,左,2.25,ロッテ,李 杜軒,右,.222,0,3,2,0,ボール
16,3000,,,,,,,,,,,,,,
17,0000,3回表,ロッテ,唐川 侑己,右,6.00,オリックス,大城 滉二,右,.167,0,1,1,0,遊ゴロ
18,1000,3回表,ロッテ,唐川 侑己,右,6.00,オリックス,安達 了一,右,.204,0,2,2,3,見三振
19,2000,3回表,ロッテ,唐川 侑己,右,6.00,オリックス,若月 健矢,右,.273,0,2,2,0,三ゴロ
20,3000,,,,,,,,,,,,,,
21,0000,3回裏,オリックス,アルバース,左,2.25,ロッテ,李 杜軒,右,.222,0,3,2,0,空三振
22,1000,3回裏,オリックス,アルバース,左,2.25,ロッテ,田村 龍弘,右,.267,0,7,5,0,中安
23,1100,3回裏,オリックス,アルバース,左,2.25,ロッテ,菅野 剛士,左,.205,0,8,8,1,二ゴロ
24,2010,3回裏,オリックス,アルバース,左,2.25,ロッテ,荻野 貴司,右,.306,1,5,5,6,中飛
25,3000,,,,,,,,,,,,,,
26,0000,4回表,ロッテ,唐川 侑己,右,6.00,オリックス,宗 佑磨,左,.203,0,4,3,1,見三振
27,1000,4回表,ロッテ,唐川 侑己,右,6.00,オリックス,吉田 正尚,左,.293,3,10,7,0,投ゴロ
28,2000,4回表,ロッテ,唐川 侑己,右,6.00,オリックス,小谷野 栄一,右,.271,0,5,7,0,三ゴロ
29,3000,,,,,,,,,,,,,,
30,0000,4回裏,オリックス,アルバース,左,2.25,ロッテ,藤岡 裕大,左,.220,2,5,9,0,四球
31,0100,4回裏,オリックス,アルバース,左,2.25,ロッテ,中村 奨吾,右,.300,1,8,4,6,二ゴロ
32,1010,4回裏,オリックス,アルバース,左,2.25,ロッテ,井上 晴哉,右,.269,2,12,7,0,左安
33,1101,4回裏,オリックス,アルバース,左,2.25,ロッテ,鈴木 大地,左,.245,1,7,8,1,一ゴロ
34,2110,4回裏,オリックス,アルバース,左,2.25,ロッテ,清田 育宏,右,.345,1,2,6,0,左安
35,2011,4回裏,オリックス,アルバース,左,2.25,ロッテ,李 杜軒,右,.222,0,3,2,0,空三振
36,3000,,,,,,,,,,,,,,
37,0000,5回表,ロッテ,唐川 侑己,右,6.00,オリックス,ロメロ,右,.196,2,6,6,0,一邪飛
38,1000,5回表,ロッテ,唐川 侑己,右,6.00,オリックス,マレーロ,右,.212,5,15,3,1,左飛
39,2000,5回表,ロッテ,唐川 侑己,右,6.00,オリックス,伏見 寅威,右,.333,0,3,0,0,見三振
40,3000,,,,,,,,,,,,,,
41,0000,5回裏,オリックス,アルバース,左,2.25,ロッテ,田村 龍弘,右,.267,0,7,5,0,見三振
42,1000,5回裏,オリックス,アルバース,左,2.25,ロッテ,菅野 剛士,左,.205,0,8,8,1,三邪飛
43,2000,5回裏,オリックス,アルバース,左,2.25,ロッテ,荻野 貴司,右,.306,1,5,5,6,左飛
44,3000,,,,,,,,,,,,,,
45,0000,6回表,ロッテ,唐川 侑己,右,6.00,オリックス,大城 滉二,右,.167,0,1,1,0,遊ゴロ
46,1000,6回表,ロッテ,唐川 侑己,右,6.00,オリックス,安達 了一,右,.204,0,2,2,3,左安
47,1100,6回表,ロッテ,唐川 侑己,右,6.00,オリックス,Ｔ－岡田,左,.238,0,2,6,1,右安
48,1101,6回表,ロッテ,唐川 侑己,右,6.00,オリックス,宗 佑磨,左,.203,0,4,3,1,中安
49,1110,6回表,ロッテ,唐川 侑己,右,6.00,オリックス,吉田 正尚,左,.293,3,10,7,0,右安
50,1111,6回表,ロッテ,唐川 侑己,右,6.00,オリックス,小谷野 栄一,右,.271,0,5,7,0,二飛
51,2111,6回表,ロッテ,唐川 侑己,右,6.00,オリックス,ロメロ,右,.196,2,6,6,0,四球
52,2111,6回表,ロッテ,唐川 侑己,右,6.00,オリックス,マレーロ,右,.212,5,15,3,1,中安
53,2101,6回表,ロッテ,唐川 侑己,右,6.00,オリックス,伏見 寅威,右,.333,0,3,0,0,空三振
54,3000,,,,,,,,,,,,,,
55,0000,6回裏,オリックス,近藤 大亮,右,4.15,ロッテ,藤岡 裕大,左,.220,2,5,9,0,中飛
