,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ドジャー,二ゴロ,1,0,0,1,表,ツインズ
1,1000,2,マウアー,四球,1,0,0,1,表,ツインズ
2,1100,3,サノ,中本塁打,1,0,2,1,表,ツインズ
3,1000,4,ロサリオ,一ゴロ,2,0,2,1,表,ツインズ
4,2000,5,ケプラー,見逃し三振,3,0,2,1,表,ツインズ
5,0000,1,ガードナー,中安打,0,0,2,1,裏,ヤンキース
6,0100,2,ジャッジ,左安打,0,0,2,1,裏,ヤンキース
7,0101,3,グレゴリアス,右安打,0,1,2,1,裏,ヤンキース
8,0110,4,スタントン,空振り三振,1,1,2,1,裏,ヤンキース
9,1110,5,サンチェス,二フライ,2,1,2,1,裏,ヤンキース
10,2110,6,オースティン,空振り三振,3,1,2,1,裏,ヤンキース
11,0000,6,エスコバル,遊フライ,1,1,2,2,表,ツインズ
12,1000,7,モリソン,空振り三振,2,1,2,2,表,ツインズ
13,2000,8,グロスマン,四球,2,1,2,2,表,ツインズ
14,2100,9,カストロ,左フライ,3,1,2,2,表,ツインズ
15,0000,7,アンドゥハー,中フライ,1,1,2,2,裏,ヤンキース
16,1000,8,ロマイン,一ゴロ,2,1,2,2,裏,ヤンキース
17,2000,9,トーリス,投ゴロ,3,1,2,2,裏,ヤンキース
18,0000,1,ドジャー,四球,0,1,2,3,表,ツインズ
19,0100,2,マウアー,右フライ,1,1,2,3,表,ツインズ
20,1000,3,サノ,四球,2,1,2,3,表,ツインズ
21,2100,4,ロサリオ,右ライナー,3,1,2,3,表,ツインズ
22,0000,1,ガードナー,投ゴロ,1,1,2,3,裏,ヤンキース
23,1000,2,ジャッジ,空振り三振,2,1,2,3,裏,ヤンキース
24,2000,3,グレゴリアス,右本塁打,2,2,2,3,裏,ヤンキース
25,2000,4,スタントン,中安打,2,2,2,3,裏,ヤンキース
26,2100,5,サンチェス,四球,2,2,2,3,裏,ヤンキース
27,2110,6,オースティン,左本塁打,2,5,2,3,裏,ヤンキース
28,2000,7,アンドゥハー,二ゴロ,3,5,2,3,裏,ヤンキース
29,0000,5,ケプラー,中安打,0,5,2,4,表,ツインズ
30,0100,6,エスコバル,中安打,0,5,2,4,表,ツインズ
31,0110,7,モリソン,右安打,0,5,2,4,表,ツインズ
32,0111,8,グロスマン,二ゴロ,1,5,3,4,表,ツインズ
33,1101,9,カストロ,空振り三振,2,5,3,4,表,ツインズ
34,2101,1,ドジャー,二フライ,3,5,3,4,表,ツインズ
35,0000,8,ロマイン,四球,0,5,3,4,裏,ヤンキース
36,0100,9,トーリス,左二塁打,0,5,3,4,裏,ヤンキース
37,0011,1,ガードナー,投ゴロ,1,5,3,4,裏,ヤンキース
38,1101,2,ジャッジ,右犠飛,2,6,3,4,裏,ヤンキース
39,2010,3,グレゴリアス,敬遠,2,6,3,4,裏,ヤンキース
40,2110,4,スタントン,中フライ,3,6,3,4,裏,ヤンキース
41,0000,2,マウアー,遊安打,0,6,3,5,表,ツインズ
42,0100,3,サノ,中安打,0,6,3,5,表,ツインズ
43,0110,4,ロサリオ,空振り三振,1,6,3,5,表,ツインズ
44,1110,5,ケプラー,中ライナー,2,6,3,5,表,ツインズ
45,2101,6,エスコバル,四球,2,6,3,5,表,ツインズ
46,2111,7,モリソン,三フライ,3,6,3,5,表,ツインズ
47,0000,5,サンチェス,左フライ,1,6,3,5,裏,ヤンキース
48,1000,6,オースティン,空振り三振,2,6,3,5,裏,ヤンキース
49,2000,7,アンドゥハー,左二塁打,2,6,3,5,裏,ヤンキース
50,2010,8,ロマイン,見逃し三振,3,6,3,5,裏,ヤンキース
51,0000,8,グロスマン,中フライ,1,6,3,6,表,ツインズ
52,1000,9,カストロ,空振り三振,2,6,3,6,表,ツインズ
53,2000,1,ドジャー,中フライ,3,6,3,6,表,ツインズ
54,0000,9,トーリス,三ゴロ,1,6,3,6,裏,ヤンキース
55,1000,1,ガードナー,空振り三振,2,6,3,6,裏,ヤンキース
56,2000,2,ジャッジ,四球,2,6,3,6,裏,ヤンキース
57,2100,3,グレゴリアス,三安打,2,6,3,6,裏,ヤンキース
58,2110,4,スタントン,空振り三振,3,6,3,6,裏,ヤンキース
59,0000,2,マウアー,左二塁打,0,6,3,7,表,ツインズ
60,0010,3,サノ,四球,0,6,3,7,表,ツインズ
61,0110,4,ロサリオ,空振り三振,1,6,3,7,表,ツインズ
62,1110,5,ケプラー,中安打,1,6,4,7,表,ツインズ
63,1110,6,エスコバル,右安打,1,6,4,7,表,ツインズ
64,1111,7,モリソン,空振り三振,2,6,4,7,表,ツインズ
65,2111,8,グロスマン,一邪飛,3,6,4,7,表,ツインズ
66,0000,5,サンチェス,一フライ,1,6,4,7,裏,ヤンキース
67,1000,6,オースティン,左二塁打,1,6,4,7,裏,ヤンキース
68,1010,7,アンドゥハー,空振り三振,2,6,4,7,裏,ヤンキース
69,2010,8,ロマイン,中ライナー,3,6,4,7,裏,ヤンキース
70,0000,9,カストロ,空振り三振,1,6,4,8,表,ツインズ
71,1000,1,ドジャー,二ゴロ,2,6,4,8,表,ツインズ
72,2000,2,マウアー,二ゴロ,3,6,4,8,表,ツインズ
73,0000,9,トーリス,左安打,0,6,4,8,裏,ヤンキース
74,0100,1,ガードナー,投犠打,1,6,4,8,裏,ヤンキース
75,1010,2,ジャッジ,敬遠,1,6,4,8,裏,ヤンキース
76,1110,3,グレゴリアス,四球,1,6,4,8,裏,ヤンキース
77,1111,4,スタントン,右犠飛,2,7,4,8,裏,ヤンキース
78,2110,5,サンチェス,四球,2,7,4,8,裏,ヤンキース
79,2111,6,オースティン,右フライ,3,7,4,8,裏,ヤンキース
80,0000,3,サノ,二邪飛,1,7,4,9,表,ツインズ
81,1000,4,ロサリオ,空振り三振,2,7,4,9,表,ツインズ
82,2000,5,ケプラー,中安打,2,7,4,9,表,ツインズ
83,2100,6,エスコバル,遊ゴロ,3,7,4,9,表,ツインズ
