,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ブラックモン,左フライ,1,0,0,1,表,ロッキーズ
1,1000,2,ルメーヒュー,四球,1,0,0,1,表,ロッキーズ
2,1100,3,アレナド,空振り三振,2,0,0,1,表,ロッキーズ
3,2001,4,ストーリー,見逃し三振,3,0,0,1,表,ロッキーズ
4,0000,1,ペラルタ,四球,0,0,0,1,裏,Dバックス
5,0100,2,マルテ,右フライ,1,0,0,1,裏,Dバックス
6,1100,3,ゴールドシュミット,四球,1,0,0,1,裏,Dバックス
7,1110,4,ポラック,左二塁打,1,2,0,1,裏,Dバックス
8,1001,5,オーイングス,四球,1,2,0,1,裏,Dバックス
9,1101,6,ラム,空振り三振,2,2,0,1,裏,Dバックス
10,2101,7,アーメッド,左本塁打,2,5,0,1,裏,Dバックス
11,2000,8,マーフィー,右フライ,3,5,0,1,裏,Dバックス
12,0000,5,Cゴンザレス,四球,0,5,0,2,表,ロッキーズ
13,0100,6,デスモンド,右本塁打,0,5,2,2,表,ロッキーズ
14,0000,7,パーラ,遊フライ,1,5,2,2,表,ロッキーズ
15,1000,8,アイアネッタ,見逃し三振,2,5,2,2,表,ロッキーズ
16,2000,9,アンダーソン,空振り三振,3,5,2,2,表,ロッキーズ
17,0000,9,レイ,中ライナー,1,5,2,2,裏,Dバックス
18,1000,1,ペラルタ,空振り三振,2,5,2,2,裏,Dバックス
19,2000,2,マルテ,中ライナー,3,5,2,2,裏,Dバックス
20,0000,1,ブラックモン,見逃し三振,1,5,2,3,表,ロッキーズ
21,1000,2,ルメーヒュー,四球,1,5,2,3,表,ロッキーズ
22,1100,3,アレナド,中フライ,2,5,2,3,表,ロッキーズ
23,2010,4,ストーリー,空振り三振,3,5,2,3,表,ロッキーズ
24,0000,3,ゴールドシュミット,空振り三振,1,5,2,3,裏,Dバックス
25,1000,4,ポラック,中三塁打,1,5,2,3,裏,Dバックス
26,1001,5,オーイングス,左安打,1,6,2,3,裏,Dバックス
27,1010,6,ラム,四球,1,6,2,3,裏,Dバックス
28,1101,7,アーメッド,左安打,1,7,2,3,裏,Dバックス
29,1110,8,マーフィー,捕邪飛,2,7,2,3,裏,Dバックス
30,2110,9,レイ,三ゴロ,3,7,2,3,裏,Dバックス
31,0000,5,Cゴンザレス,二ゴロ,1,7,2,4,表,ロッキーズ
32,1000,6,デスモンド,中安打,1,7,2,4,表,ロッキーズ
33,1100,7,パーラ,右本塁打,1,7,4,4,表,ロッキーズ
34,1000,8,アイアネッタ,中安打,1,7,4,4,表,ロッキーズ
35,1100,9,センザテラ,捕失策,1,7,4,4,表,ロッキーズ
36,1101,1,ブラックモン,中本塁打,1,7,7,4,表,ロッキーズ
37,1000,2,ルメーヒュー,見逃し三振,2,7,7,4,表,ロッキーズ
38,2000,3,アレナド,左安打,2,7,7,4,表,ロッキーズ
39,2100,4,ストーリー,中フライ,3,7,7,4,表,ロッキーズ
40,0000,1,ペラルタ,遊ゴロ,1,7,7,4,裏,Dバックス
41,1000,2,マルテ,空振り三振,2,7,7,4,裏,Dバックス
42,2000,3,ゴールドシュミット,死球,2,7,7,4,裏,Dバックス
43,2100,4,ポラック,右フライ,3,7,7,4,裏,Dバックス
44,0000,5,Cゴンザレス,中安打,0,7,7,5,表,ロッキーズ
45,0100,6,デスモンド,二ゴロ併殺,2,7,7,5,表,ロッキーズ
46,2000,7,パーラ,見逃し三振,3,7,7,5,表,ロッキーズ
47,0000,5,オーイングス,中安打,0,7,7,5,裏,Dバックス
48,0100,6,ラム,左安打,0,7,7,5,裏,Dバックス
49,0101,7,アーメッド,右安打,0,8,7,5,裏,Dバックス
50,0101,8,マーフィー,三ゴロ,1,9,7,5,裏,Dバックス
