,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,イートン,三ゴロ,1,0,0,1,表,ナショナルズ
1,1000,2,ターナー,見逃し三振,2,0,0,1,表,ナショナルズ
2,2000,3,レンドン,遊ライナー,3,0,0,1,表,ナショナルズ
3,0000,1,クイン,中安打,0,0,0,1,裏,フィリーズ
4,0010,2,ホスキンス,三ゴロ,1,0,0,1,裏,フィリーズ
5,1010,3,ヘルナンデス,二ゴロ,2,0,0,1,裏,フィリーズ
6,2001,4,ラモス,遊ゴロ,3,0,0,1,裏,フィリーズ
7,0000,4,ソト,見逃し三振,1,0,0,2,表,ナショナルズ
8,1000,5,ジマーマン,四球,1,0,0,2,表,ナショナルズ
9,1100,6,ウィータース,四球,1,0,0,2,表,ナショナルズ
10,1110,7,ディフォ,左フライ,2,0,0,2,表,ナショナルズ
11,2110,8,テイラー,投ゴロ,3,0,0,2,表,ナショナルズ
12,0000,5,サンタナ,右安打,0,0,0,2,裏,フィリーズ
13,0100,6,バティスタ,死球,0,0,0,2,裏,フィリーズ
14,0110,7,フランコ,中フライ,1,0,0,2,裏,フィリーズ
15,1011,8,キンガリー,空振り三振,2,0,0,2,裏,フィリーズ
16,2011,9,アリエッタ,左安打,2,2,0,2,裏,フィリーズ
17,2100,1,クイン,空振り三振,3,2,0,2,裏,フィリーズ
18,0000,9,ゴンザレス,見逃し三振,1,2,0,3,表,ナショナルズ
19,1000,1,イートン,中三塁打,1,2,0,3,表,ナショナルズ
20,1001,2,ターナー,左本塁打,1,2,2,3,表,ナショナルズ
21,1000,3,レンドン,四球,1,2,2,3,表,ナショナルズ
22,1100,4,ソト,左本塁打,1,2,4,3,表,ナショナルズ
23,1000,5,ジマーマン,左安打,1,2,4,3,表,ナショナルズ
24,1100,6,ウィータース,二フライ,2,2,4,3,表,ナショナルズ
25,2100,7,ディフォ,二ゴロ,3,2,4,3,表,ナショナルズ
26,0000,2,ホスキンス,見逃し三振,1,2,4,3,裏,フィリーズ
27,1000,3,ヘルナンデス,見逃し三振,2,2,4,3,裏,フィリーズ
28,2000,4,ラモス,遊ゴロ,3,2,4,3,裏,フィリーズ
29,0000,8,テイラー,右ライナー,1,2,4,4,表,ナショナルズ
30,1000,9,ゴンザレス,空振り三振,2,2,4,4,表,ナショナルズ
31,2000,1,イートン,左二塁打,2,2,4,4,表,ナショナルズ
