,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ディートリッチ,空振り三振,1,0,0,1,表,マーリンズ
1,1000,2,リアルミュート,三ゴロ,2,0,0,1,表,マーリンズ
2,2000,3,カストロ,四球,2,0,0,1,表,マーリンズ
3,2100,4,ボア,三フライ,3,0,0,1,表,マーリンズ
4,0000,1,ペラザ,左二塁打,0,0,0,1,裏,レッズ
5,0001,2,ボランディーノ,四球,0,0,0,1,裏,レッズ
6,0101,3,ボット,空振り三振,1,0,0,1,裏,レッズ
7,1101,4,スアレス,左本塁打,1,3,0,1,裏,レッズ
8,1000,5,デュバル,右本塁打,1,4,0,1,裏,レッズ
9,1000,6,シェブラー,遊フライ,2,4,0,1,裏,レッズ
10,2000,7,バーンハート,左フライ,3,4,0,1,裏,レッズ
11,0000,5,アンダーソン,中安打,0,4,0,2,表,マーリンズ
12,0100,6,プラード,四球,0,4,0,2,表,マーリンズ
13,0110,7,ロハス,遊ゴロ併殺,2,4,0,2,表,マーリンズ
14,2001,8,ブリンソン,中フライ,3,4,0,2,表,マーリンズ
15,0000,8,ロマノ,空振り三振,1,4,0,2,裏,レッズ
16,1000,9,ハミルトン,四球,1,4,0,2,裏,レッズ
17,1100,1,ペラザ,中安打,1,4,0,2,裏,レッズ
18,1110,2,ボランディーノ,三ゴロ併殺,3,4,0,2,裏,レッズ
19,0000,9,チェン,投ゴロ,1,4,0,3,表,マーリンズ
20,1000,1,ディートリッチ,三フライ,2,4,0,3,表,マーリンズ
21,2000,2,リアルミュート,遊ゴロ,3,4,0,3,表,マーリンズ
22,0000,3,ボット,中二塁打,0,4,0,3,裏,レッズ
23,0010,4,スアレス,四球,0,4,0,3,裏,レッズ
24,0110,5,デュバル,中フライ,1,4,0,3,裏,レッズ
25,1110,6,シェブラー,遊フライ,2,4,0,3,裏,レッズ
26,2110,7,バーンハート,四球,2,4,0,3,裏,レッズ
27,2111,8,ロマノ,遊ゴロ,3,4,0,3,裏,レッズ
28,0000,3,カストロ,右邪飛,1,4,0,4,表,マーリンズ
29,1000,4,ボア,中フライ,2,4,0,4,表,マーリンズ
30,2000,5,アンダーソン,見逃し三振,3,4,0,4,表,マーリンズ
31,0000,9,ハミルトン,二フライ,1,4,0,4,裏,レッズ
32,1000,1,ペラザ,右フライ,2,4,0,4,裏,レッズ
33,2000,2,ボランディーノ,二フライ,3,4,0,4,裏,レッズ
34,0000,6,プラード,中フライ,1,4,0,5,表,マーリンズ
35,1000,7,ロハス,三ゴロ,2,4,0,5,表,マーリンズ
36,2000,8,ブリンソン,中本塁打,2,4,1,5,表,マーリンズ
37,2000,9,リベラ,一ゴロ,3,4,1,5,表,マーリンズ
38,0000,3,ボット,右ライナー,1,4,1,5,裏,レッズ
39,1000,4,スアレス,四球,1,4,1,5,裏,レッズ
40,1100,5,デュバル,三ライナー,2,4,1,5,裏,レッズ
41,2100,6,シェブラー,四球,2,4,1,5,裏,レッズ
42,2110,7,バーンハート,中フライ,3,4,1,5,裏,レッズ
43,0000,1,ディートリッチ,死球,0,4,1,6,表,マーリンズ
44,0100,2,リアルミュート,左安打,0,4,1,6,表,マーリンズ
45,0101,3,カストロ,右ライナー,1,4,1,6,表,マーリンズ
46,1101,4,ボア,四球,1,4,1,6,表,マーリンズ
47,1111,5,アンダーソン,左ライナー,2,4,1,6,表,マーリンズ
48,2111,6,プラード,左ライナー,3,4,1,6,表,マーリンズ
49,0000,8,ジェネット,見逃し三振,1,4,1,6,裏,レッズ
50,1000,9,ハミルトン,四球,1,4,1,6,裏,レッズ
51,1100,1,ペラザ,遊ゴロ,2,4,1,6,裏,レッズ
52,2100,2,ボランディーノ,中ライナー,3,4,1,6,裏,レッズ
53,0000,7,ロハス,二ゴロ,1,4,1,7,表,マーリンズ
54,1000,8,ブリンソン,空振り三振,2,4,1,7,表,マーリンズ
55,2000,9,シャック,投ゴロ,3,4,1,7,表,マーリンズ
56,0000,3,ボット,見逃し三振,1,4,1,7,裏,レッズ
57,1000,4,スアレス,見逃し三振,2,4,1,7,裏,レッズ
58,2000,5,デュバル,中フライ,3,4,1,7,裏,レッズ
59,0000,1,ディートリッチ,中安打,0,4,1,8,表,マーリンズ
60,0100,2,リアルミュート,遊ゴロ併殺,2,4,1,8,表,マーリンズ
61,2000,3,カストロ,空振り三振,3,4,1,8,表,マーリンズ
62,0000,6,シェブラー,見逃し三振,1,4,1,8,裏,レッズ
63,1000,7,バーンハート,二ゴロ,2,4,1,8,裏,レッズ
64,2000,8,ウィンカー,右安打,2,4,1,8,裏,レッズ
65,2100,9,ハミルトン,中安打,2,4,1,8,裏,レッズ
66,2110,1,ペラザ,左フライ,3,4,1,8,裏,レッズ
67,0000,4,ボア,三フライ,1,4,1,9,表,マーリンズ
68,1000,5,アンダーソン,中安打,1,4,1,9,表,マーリンズ
69,1100,6,プラード,遊ゴロ併殺,3,4,1,9,表,マーリンズ
