,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ガードナー,右フライ,1,0,0,1,表,ヤンキース
1,1000,2,ジャッジ,二ゴロ,2,0,0,1,表,ヤンキース
2,2000,3,ヒックス,一ゴロ,3,0,0,1,表,ヤンキース
3,0000,1,ベッツ,中安打,0,0,0,1,裏,Rソックス
4,0100,2,ホルト,中安打,0,0,0,1,裏,Rソックス
5,0010,3,マルティネス,中安打,0,1,0,1,裏,Rソックス
6,0101,4,ボガーツ,一邪飛,1,1,0,1,裏,Rソックス
7,1101,5,モアランド,左二塁打,1,2,0,1,裏,Rソックス
8,1011,6,ヌネス,一安打,1,2,0,1,裏,Rソックス
9,1101,7,キンズラー,遊ゴロ,2,4,0,1,裏,Rソックス
10,2100,8,レオン,空振り三振,3,4,0,1,裏,Rソックス
11,0000,4,アンドゥハー,一ゴロ,1,4,0,2,表,ヤンキース
12,1000,5,ボイト,見逃し三振,2,4,0,2,表,ヤンキース
13,2000,6,サンチェス,四球,2,4,0,2,表,ヤンキース
14,2100,7,トーリス,空振り三振,3,4,0,2,表,ヤンキース
15,0000,9,ブラッドリー,中安打,0,4,0,2,裏,Rソックス
16,0100,1,ベッツ,遊フライ,1,4,0,2,裏,Rソックス
17,1100,2,ホルト,左二塁打,1,5,0,2,裏,Rソックス
18,1010,3,マルティネス,空振り三振,2,5,0,2,裏,Rソックス
19,2010,4,ボガーツ,中本塁打,2,7,0,2,裏,Rソックス
20,2000,5,モアランド,投ゴロ,3,7,0,2,裏,Rソックス
21,0000,8,ウォーカー,右安打,0,7,0,3,表,ヤンキース
22,0100,9,エチャバリア,四球,0,7,0,3,表,ヤンキース
23,0110,1,ガードナー,空振り三振,1,7,0,3,表,ヤンキース
24,1110,2,ジャッジ,二ゴロ併殺,3,7,0,3,表,ヤンキース
25,0000,6,ヌネス,右安打,0,7,0,3,裏,Rソックス
26,0100,7,キンズラー,空振り三振,1,7,0,3,裏,Rソックス
27,1100,8,レオン,一ゴロ併殺,3,7,0,3,裏,Rソックス
28,0000,3,ヒックス,投ゴロ,1,7,0,4,表,ヤンキース
29,1000,4,アンドゥハー,左二塁打,1,7,0,4,表,ヤンキース
30,1010,5,ボイト,中本塁打,1,7,2,4,表,ヤンキース
31,1000,6,サンチェス,死球,1,7,2,4,表,ヤンキース
32,1100,7,トーリス,空振り三振,2,7,2,4,表,ヤンキース
33,2100,8,ウォーカー,空振り三振,3,7,2,4,表,ヤンキース
34,0000,9,ブラッドリー,二ゴロ,1,7,2,4,裏,Rソックス
35,1000,1,林,四球,1,7,2,4,裏,Rソックス
36,1100,2,ホルト,四球,1,7,2,4,裏,Rソックス
37,1110,3,マルティネス,中本塁打,1,10,2,4,裏,Rソックス
38,1000,4,ボガーツ,左二塁打,1,10,2,4,裏,Rソックス
39,1001,5,モアランド,三邪飛,2,10,2,4,裏,Rソックス
40,2001,6,ヌネス,一ゴロ,3,10,2,4,裏,Rソックス
41,0000,9,エチャバリア,一邪飛,1,10,2,5,表,ヤンキース
42,1000,1,ガードナー,空振り三振,2,10,2,5,表,ヤンキース
43,2000,2,ジャッジ,見逃し三振,3,10,2,5,表,ヤンキース
44,0000,7,キンズラー,遊ゴロ,1,10,2,5,裏,Rソックス
45,1000,8,レオン,三ゴロ,2,10,2,5,裏,Rソックス
46,2000,9,ブラッドリー,四球,2,10,2,5,裏,Rソックス
47,2100,1,林,空振り三振,3,10,2,5,裏,Rソックス
48,0000,3,ヒックス,空振り三振,1,10,2,6,表,ヤンキース
49,1000,4,アンドゥハー,遊ゴロ,2,10,2,6,表,ヤンキース
50,2000,5,ボイト,左安打,2,10,2,6,表,ヤンキース
51,2010,6,サンチェス,空振り三振,3,10,2,6,表,ヤンキース
52,0000,2,ホルト,空振り三振,1,10,2,6,裏,Rソックス
53,1000,3,フィリップス,空振り三振,2,10,2,6,裏,Rソックス
54,2000,4,スワイハート,振り逃げ,2,10,2,6,裏,Rソックス
55,2100,5,モアランド,四球,2,10,2,6,裏,Rソックス
56,2110,6,ヌネス,四球,2,10,2,6,裏,Rソックス
57,2111,7,キンズラー,中フライ,3,10,2,6,裏,Rソックス
58,0000,7,トーリス,左フライ,1,10,2,7,表,ヤンキース
59,1000,8,ウォーカー,四球,1,10,2,7,表,ヤンキース
60,1100,9,エチャバリア,空振り三振,2,10,2,7,表,ヤンキース
61,2100,1,ガードナー,三ライナー,3,10,2,7,表,ヤンキース
62,0000,8,レオン,右フライ,1,10,2,7,裏,Rソックス
63,1000,9,ブラッドリー,右二塁打,1,10,2,7,裏,Rソックス
64,1010,1,林,空振り三振,2,10,2,7,裏,Rソックス
65,2010,2,ホルト,空振り三振,3,10,2,7,裏,Rソックス
66,0000,2,トレイエス,空振り三振,1,10,2,8,表,ヤンキース
67,1000,3,ウェード,遊ゴロ,2,10,2,8,表,ヤンキース
68,2000,4,アンドゥハー,空振り三振,3,10,2,8,表,ヤンキース
69,0000,3,フィリップス,中フライ,1,10,2,8,裏,Rソックス
70,1000,4,スワイハート,空振り三振,2,10,2,8,裏,Rソックス
71,2000,5,トラビス,左二塁打,2,10,2,8,裏,Rソックス
72,2010,6,デバース,空振り三振,3,10,2,8,裏,Rソックス
73,0000,5,ボイト,見逃し三振,1,10,2,9,表,ヤンキース
74,1000,6,ヒガシオカ,空振り三振,2,10,2,9,表,ヤンキース
75,2000,7,トーリス,空振り三振,3,10,2,9,表,ヤンキース
