,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,リンドア,右安打,0,0,0,1,表,インディアンス
1,0010,2,キプニス,空振り三振,1,0,0,1,表,インディアンス
2,1010,3,Jラミレス,中フライ,2,0,0,1,表,インディアンス
3,2001,4,アロンソ,一ゴロ,3,0,0,1,表,インディアンス
4,0000,1,ゴードン,見逃し三振,1,0,0,1,裏,マリナーズ
5,1000,2,セグラ,一フライ,2,0,0,1,裏,マリナーズ
6,2000,3,カノ,右二塁打,2,0,0,1,裏,マリナーズ
7,2010,4,ハニガー,三ゴロ,3,0,0,1,裏,マリナーズ
8,0000,5,エンカーナシオン,見逃し三振,1,0,0,2,表,インディアンス
9,1000,6,チゼンホール,中安打,1,0,0,2,表,インディアンス
10,1100,7,ペレス,四球,1,0,0,2,表,インディアンス
11,1110,8,ネークイン,左フライ,2,0,0,2,表,インディアンス
12,2110,9,ジマー,左安打,2,0,1,2,表,インディアンス
13,2110,1,リンドア,二ゴロ,3,0,1,2,表,インディアンス
14,0000,5,シーガー,四球,0,0,1,2,裏,マリナーズ
15,0100,6,ボグルバック,中フライ,1,0,1,2,裏,マリナーズ
16,1100,7,ヒーリー,右フライ,2,0,1,2,裏,マリナーズ
17,2100,8,イチロー,遊フライ,3,0,1,2,裏,マリナーズ
18,0000,2,キプニス,中ライナー,1,0,1,3,表,インディアンス
19,1000,3,Jラミレス,二ゴロ,2,0,1,3,表,インディアンス
20,2000,4,アロンソ,中フライ,3,0,1,3,表,インディアンス
21,0000,9,フレイタス,空振り三振,1,0,1,3,裏,マリナーズ
22,1000,1,ゴードン,左フライ,2,0,1,3,裏,マリナーズ
23,2000,2,セグラ,右安打,2,0,1,3,裏,マリナーズ
24,2100,3,カノ,四球,2,0,1,3,裏,マリナーズ
25,2110,4,ハニガー,四球,2,0,1,3,裏,マリナーズ
26,2111,5,シーガー,空振り三振,3,0,1,3,裏,マリナーズ
27,0000,5,エンカーナシオン,左本塁打,0,0,2,4,表,インディアンス
28,0000,6,チゼンホール,一ゴロ,1,0,2,4,表,インディアンス
29,1000,7,ペレス,二ゴロ,2,0,2,4,表,インディアンス
30,2000,8,ネークイン,二ゴロ,3,0,2,4,表,インディアンス
31,0000,6,ボグルバック,見逃し三振,1,0,2,4,裏,マリナーズ
32,1000,7,ヒーリー,二ゴロ,2,0,2,4,裏,マリナーズ
33,2000,8,イチロー,空振り三振,3,0,2,4,裏,マリナーズ
34,0000,9,ジマー,遊ゴロ,1,0,2,5,表,インディアンス
35,1000,1,リンドア,四球,1,0,2,5,表,インディアンス
36,1100,2,キプニス,一ゴロ併殺,3,0,2,5,表,インディアンス
37,0000,9,フレイタス,右二塁打,0,0,2,5,裏,マリナーズ
38,0010,1,ゴードン,三犠打,1,0,2,5,裏,マリナーズ
39,1001,2,セグラ,右二塁打,1,1,2,5,裏,マリナーズ
40,1010,3,カノ,見逃し三振,2,1,2,5,裏,マリナーズ
41,2010,4,ハニガー,死球,2,1,2,5,裏,マリナーズ
42,2110,5,シーガー,右二塁打,2,2,2,5,裏,マリナーズ
43,2011,6,ボグルバック,空振り三振,3,2,2,5,裏,マリナーズ
44,0000,3,Jラミレス,一ゴロ,1,2,2,6,表,インディアンス
45,1000,4,アロンソ,中二塁打,1,2,2,6,表,インディアンス
46,1010,5,エンカーナシオン,三ゴロ,2,2,2,6,表,インディアンス
47,2010,6,チゼンホール,敬遠,2,2,2,6,表,インディアンス
48,2110,7,ペレス,中フライ,3,2,2,6,表,インディアンス
49,0000,7,ヒーリー,三ゴロ,1,2,2,6,裏,マリナーズ
50,1000,8,イチロー,二ゴロ,2,2,2,6,裏,マリナーズ
51,2000,9,フレイタス,空振り三振,3,2,2,6,裏,マリナーズ
52,0000,8,ネークイン,中フライ,1,2,2,7,表,インディアンス
53,1000,9,ジマー,空振り三振,2,2,2,7,表,インディアンス
54,2000,1,リンドア,遊失策,2,2,2,7,表,インディアンス
55,2100,2,キプニス,空振り三振,3,2,2,7,表,インディアンス
56,0000,1,ゴードン,右本塁打,0,3,2,7,裏,マリナーズ
57,0000,2,セグラ,遊ライナー,1,3,2,7,裏,マリナーズ
58,1000,3,カノ,左安打,1,3,2,7,裏,マリナーズ
59,1100,4,ハニガー,左本塁打,1,5,2,7,裏,マリナーズ
60,1000,5,シーガー,二ゴロ,2,5,2,7,裏,マリナーズ
61,2000,6,ボグルバック,三フライ,3,5,2,7,裏,マリナーズ
62,0000,3,Jラミレス,一ゴロ,1,5,2,8,表,インディアンス
63,1000,4,アロンソ,中安打,1,5,2,8,表,インディアンス
64,1100,5,エンカーナシオン,左本塁打,1,5,4,8,表,インディアンス
65,1000,6,チゼンホール,見逃し三振,2,5,4,8,表,インディアンス
66,2000,7,ペレス,右フライ,3,5,4,8,表,インディアンス
67,0000,7,ヒーリー,遊ゴロ,1,5,4,8,裏,マリナーズ
68,1000,8,エレディア,四球,1,5,4,8,裏,マリナーズ
69,1100,9,フレイタス,左フライ,2,5,4,8,裏,マリナーズ
70,2100,1,ゴードン,中フライ,3,5,4,8,裏,マリナーズ
71,0000,8,ネークイン,空振り三振,1,5,4,9,表,インディアンス
72,1000,9,ジマー,空振り三振,2,5,4,9,表,インディアンス
73,2000,1,リンドア,空振り三振,3,5,4,9,表,インディアンス
