,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ピーターソン,二ゴロ,1,0,0,1,表,オリオールズ
1,1000,2,ジョーンズ,四球,1,0,0,1,表,オリオールズ
2,1100,3,マチャド,右フライ,2,0,0,1,表,オリオールズ
3,2100,4,トランボ,空振り三振,3,0,0,1,表,オリオールズ
4,0000,1,イートン,右フライ,1,0,0,1,裏,ナショナルズ
5,1000,2,ソト,右邪飛,2,0,0,1,裏,ナショナルズ
6,2000,3,レンドン,左ライナー,3,0,0,1,裏,ナショナルズ
7,0000,5,スクープ,三ゴロ,1,0,0,2,表,オリオールズ
8,1000,6,バレンシア,空振り三振,2,0,0,2,表,オリオールズ
9,2000,7,マンシーニ,三ゴロ,3,0,0,2,表,オリオールズ
10,0000,4,ハーパー,左フライ,1,0,0,2,裏,ナショナルズ
11,1000,5,マーフィー,中フライ,2,0,0,2,裏,ナショナルズ
12,2000,6,ターナー,左本塁打,2,1,0,2,裏,ナショナルズ
13,2000,7,ディフォ,空振り三振,3,1,0,2,裏,ナショナルズ
14,0000,8,ジョセフ,中二塁打,0,1,0,3,表,オリオールズ
15,0010,9,ヘス,投ゴロ,1,1,0,3,表,オリオールズ
16,1100,1,ピーターソン,中本塁打,1,1,2,3,表,オリオールズ
17,1000,2,ジョーンズ,空振り三振,2,1,2,3,表,オリオールズ
18,2000,3,マチャド,遊ゴロ,3,1,2,3,表,オリオールズ
19,0000,8,キーブーム,中ライナー,1,1,2,3,裏,ナショナルズ
20,1000,9,ロドリゲス,投ゴロ,2,1,2,3,裏,ナショナルズ
21,2000,1,イートン,四球,2,1,2,3,裏,ナショナルズ
22,2100,2,ソト,中フライ,3,1,2,3,裏,ナショナルズ
23,0000,4,トランボ,左安打,0,1,2,4,表,オリオールズ
24,0100,5,スクープ,空振り三振,1,1,2,4,表,オリオールズ
25,1100,6,バレンシア,空振り三振,2,1,2,4,表,オリオールズ
26,2100,7,マンシーニ,左本塁打,2,1,4,4,表,オリオールズ
27,2000,8,ジョセフ,二フライ,3,1,4,4,表,オリオールズ
28,0000,3,レンドン,空振り三振,1,1,4,4,裏,ナショナルズ
29,1000,4,ハーパー,左フライ,2,1,4,4,裏,ナショナルズ
30,2000,5,マーフィー,左ライナー,3,1,4,4,裏,ナショナルズ
31,0000,9,ヘス,四球,0,1,4,5,表,オリオールズ
32,0100,1,ピーターソン,四球,0,1,4,5,表,オリオールズ
33,0110,2,ジョーンズ,死球,0,1,4,5,表,オリオールズ
34,0111,3,マチャド,二ゴロ併殺,2,1,5,5,表,オリオールズ
35,2001,4,トランボ,空振り三振,3,1,5,5,表,オリオールズ
36,0000,6,ターナー,左安打,0,1,5,5,裏,ナショナルズ
37,0100,7,ディフォ,右安打,0,1,5,5,裏,ナショナルズ
38,0101,8,キーブーム,四球,0,1,5,5,裏,ナショナルズ
39,0111,9,グッドウィン,遊フライ,1,1,5,5,裏,ナショナルズ
40,1111,1,イートン,左安打,1,3,5,5,裏,ナショナルズ
41,1110,2,ソト,四球,1,3,5,5,裏,ナショナルズ
42,1111,3,レンドン,中犠飛,2,4,5,5,裏,ナショナルズ
43,2101,4,ハーパー,左二塁打,2,5,5,5,裏,ナショナルズ
44,2011,5,マーフィー,一ゴロ,3,5,5,5,裏,ナショナルズ
45,0000,5,スクープ,右三塁打,0,5,5,6,表,オリオールズ
46,0001,6,バレンシア,四球,0,5,5,6,表,オリオールズ
47,0101,7,マンシーニ,投ゴロ,1,5,5,6,表,オリオールズ
48,1110,8,ジョセフ,四球,1,5,5,6,表,オリオールズ
49,1111,9,ジョセフ,二ゴロ,2,5,6,6,表,オリオールズ
50,2101,1,ピーターソン,盗塁死,3,5,6,6,表,オリオールズ
51,0000,6,ターナー,右安打,0,5,6,6,裏,ナショナルズ
52,0000,7,ディフォ,右フライ,2,5,6,6,裏,ナショナルズ
53,2000,8,キーブーム,中安打,2,5,6,6,裏,ナショナルズ
54,2100,9,レイノルズ,空振り三振,3,5,6,6,裏,ナショナルズ
55,0000,1,ピーターソン,中フライ,1,5,6,7,表,オリオールズ
56,1000,2,ジョーンズ,中安打,1,5,6,7,表,オリオールズ
57,1100,3,マチャド,右フライ,2,5,6,7,表,オリオールズ
58,2100,4,トランボ,二ゴロ,3,5,6,7,表,オリオールズ
59,0000,1,イートン,一安打,0,5,6,7,裏,ナショナルズ
60,0100,2,ソト,中安打,0,5,6,7,裏,ナショナルズ
61,0110,3,レンドン,左二塁打,0,7,6,7,裏,ナショナルズ
62,0001,4,ハーパー,一ゴロ,1,7,6,7,裏,ナショナルズ
63,1001,5,テイラー,左安打,1,8,6,7,裏,ナショナルズ
64,1100,6,ターナー,中二塁打,1,8,6,7,裏,ナショナルズ
65,1011,7,ディフォ,中安打,1,9,6,7,裏,ナショナルズ
66,1101,8,キーブーム,投ゴロ,2,9,6,7,裏,ナショナルズ
67,2000,5,スクープ,二フライ,1,9,6,7,裏,ナショナルズ
68,1000,6,バレンシア,遊ゴロ,2,9,6,7,裏,ナショナルズ
69,2000,7,マンシーニ,右フライ,3,9,6,7,裏,ナショナルズ
70,0000,9,レイノルズ,見逃し三振,1,9,6,8,表,オリオールズ
71,1000,1,イートン,右フライ,2,9,6,8,表,オリオールズ
72,2000,2,ソト,四球,2,9,6,8,表,オリオールズ
73,2100,3,レンドン,中安打,2,9,6,8,表,オリオールズ
74,2110,4,ハーパー,敬遠,2,9,6,8,表,オリオールズ
75,2111,5,セベリーノ,二ライナー,3,9,6,8,表,オリオールズ
76,0000,8,ジョセフ,中フライ,1,9,6,8,裏,ナショナルズ
77,1000,9,リカード,左本塁打,1,9,7,8,裏,ナショナルズ
78,1000,1,ジェントリー,左フライ,2,9,7,8,裏,ナショナルズ
79,2000,2,ジョーンズ,中フライ,3,9,7,8,裏,ナショナルズ
