,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,カーペンター,一ライナー,1,0,0,1,表,カージナルス
1,1000,2,パーム,中本塁打,1,0,1,1,表,カージナルス
2,1000,3,デヨング,空振り三振,2,0,1,1,表,カージナルス
3,2000,4,Jマルティネス,一フライ,3,0,1,1,表,カージナルス
4,0000,1,ゾブリスト,空振り三振,1,0,1,1,裏,カブス
5,1000,2,ブライアント,空振り三振,2,0,1,1,裏,カブス
6,2000,3,リゾ,中フライ,3,0,1,1,裏,カブス
7,0000,5,モリーナ,空振り三振,1,0,1,2,表,カージナルス
8,1000,6,ピスコティ,空振り三振,2,0,1,2,表,カージナルス
9,2000,7,ウォン,遊ゴロ,3,0,1,2,表,カージナルス
10,0000,4,コントレラス,見逃し三振,1,0,1,2,裏,カブス
11,1000,5,シュワバー,空振り三振,2,0,1,2,裏,カブス
12,2000,6,ジェイ,遊ゴロ,3,0,1,2,裏,カブス
13,0000,8,ベーダー,右フライ,1,0,1,3,表,カージナルス
14,1000,9,Cマルティネス,空振り三振,2,0,1,3,表,カージナルス
15,2000,1,カーペンター,三邪飛,3,0,1,3,表,カージナルス
16,0000,7,ヘイワード,遊ゴロ,1,0,1,3,裏,カブス
17,1000,8,バエス,遊ゴロ,2,0,1,3,裏,カブス
18,2000,9,ラッキー,投ゴロ,3,0,1,3,裏,カブス
19,0000,2,パーム,四球,0,0,1,4,表,カージナルス
20,0100,3,デヨング,中フライ,1,0,1,4,表,カージナルス
21,1000,4,Jマルティネス,二ゴロ,3,0,1,4,表,カージナルス
22,0000,1,ゾブリスト,空振り三振,1,0,1,4,裏,カブス
23,1000,2,ブライアント,右本塁打,1,1,1,4,裏,カブス
24,1000,3,リゾ,死球,1,1,1,4,裏,カブス
25,1100,4,コントレラス,右安打,1,1,1,4,裏,カブス
26,1110,5,シュワバー,三フライ,2,1,1,4,裏,カブス
27,2110,6,ジェイ,左安打,2,1,1,4,裏,カブス
28,2000,5,モリーナ,二フライ,1,1,1,4,裏,カブス
29,1000,6,ピスコティ,中安打,1,1,1,4,裏,カブス
30,1100,7,ウォン,一ゴロ,2,1,1,4,裏,カブス
31,2010,8,ベーダー,敬遠,2,1,1,4,裏,カブス
32,2110,9,Cマルティネス,右安打,2,1,2,4,裏,カブス
33,2101,1,カーペンター,空振り三振,3,1,2,4,裏,カブス
34,0000,7,ヘイワード,二失策,0,1,2,5,表,カージナルス
35,0100,8,バエス,一ゴロ,1,1,2,5,表,カージナルス
36,1010,9,ラステラ,四球,1,1,2,5,表,カージナルス
37,1110,1,ゾブリスト,三ゴロ併殺,3,1,2,5,表,カージナルス
38,0000,2,パーム,二フライ,1,1,2,5,裏,カブス
39,1000,3,デヨング,空振り三振,2,1,2,5,裏,カブス
40,2000,4,Jマルティネス,右フライ,3,1,2,5,裏,カブス
41,0000,2,ブライアント,中安打,0,1,2,6,表,カージナルス
42,0100,3,リゾ,四球,0,1,2,6,表,カージナルス
43,0110,4,アビラ,中安打,0,2,2,6,表,カージナルス
44,0101,5,シュワバー,遊フライ,1,2,2,6,表,カージナルス
45,1101,6,ジェイ,中安打,1,3,2,6,表,カージナルス
46,1110,7,ヘイワード,四球,1,3,2,6,表,カージナルス
47,1111,8,バエス,投野選,1,4,2,6,表,カージナルス
48,1111,9,ハップ,右安打,1,6,2,6,表,カージナルス
49,1101,1,ゾブリスト,中犠飛,2,7,2,6,表,カージナルス
50,2010,2,ブライアント,左安打,2,8,2,6,表,カージナルス
51,2100,3,リゾ,右フライ,3,8,2,6,表,カージナルス
52,0000,5,モリーナ,左フライ,1,8,2,6,裏,カブス
53,1000,6,ピスコティ,左安打,1,8,2,6,裏,カブス
54,1000,7,ガルシア,右安打,2,8,2,6,裏,カブス
55,2100,8,ベーダー,二ゴロ,3,8,2,6,裏,カブス
56,0000,4,アビラ,空振り三振,1,8,2,7,表,カージナルス
57,1000,5,シュワバー,空振り三振,2,8,2,7,表,カージナルス
58,2000,6,ジェイ,遊フライ,3,8,2,7,表,カージナルス
59,0000,9,ジャーコ,空振り三振,1,8,2,7,裏,カブス
60,1000,1,カーペンター,二安打,1,8,2,7,裏,カブス
61,1100,2,パーム,見逃し三振,2,8,2,7,裏,カブス
62,2100,3,デヨング,遊安打,2,8,2,7,裏,カブス
63,2110,4,Jマルティネス,四球,2,8,2,7,裏,カブス
64,2111,5,ケリー,中フライ,3,8,2,7,裏,カブス
65,0000,7,ヘイワード,空振り三振,1,8,2,8,表,カージナルス
66,1000,8,バエス,空振り三振,2,8,2,8,表,カージナルス
67,2000,9,ハップ,空振り三振,3,8,2,8,表,カージナルス
68,0000,6,ピスコティ,右フライ,1,8,2,8,裏,カブス
69,1000,7,ガルシア,二ゴロ,2,8,2,8,裏,カブス
70,2000,8,ベーダー,空振り三振,3,8,2,8,裏,カブス
