,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,キンズラー,中安打,0,0,0,1,表,エンゼルス
1,0000,2,トラウト,死球,1,0,0,1,表,エンゼルス
2,1100,3,アップトン,遊ゴロ,2,0,0,1,表,エンゼルス
3,2100,4,プホルス,二ゴロ,3,0,0,1,表,エンゼルス
4,0000,1,セミエン,遊フライ,1,0,0,1,裏,アスレチックス
5,1000,2,ピンダー,空振り三振,2,0,0,1,裏,アスレチックス
6,2000,3,ローリー,一フライ,3,0,0,1,裏,アスレチックス
7,0000,5,フェルナンデス,左ライナー,1,0,0,2,表,エンゼルス
8,1000,6,シモンズ,二ゴロ,2,0,0,2,表,エンゼルス
9,2000,7,バルブエナ,二フライ,3,0,0,2,表,エンゼルス
10,0000,4,デービス,四球,0,0,0,2,裏,アスレチックス
11,0100,5,オルソン,空振り三振,1,0,0,2,裏,アスレチックス
12,1100,6,キャンハ,左本塁打,1,2,0,2,裏,アスレチックス
13,1000,7,ルクロイ,空振り三振,2,2,0,2,裏,アスレチックス
14,2000,8,ピスコティ,空振り三振,3,2,0,2,裏,アスレチックス
15,0000,8,マルドナド,見逃し三振,1,2,0,3,表,エンゼルス
16,1000,9,Cヤング,左本塁打,1,2,1,3,表,エンゼルス
17,1000,1,キンズラー,右フライ,2,2,1,3,表,エンゼルス
18,2000,2,トラウト,四球,2,2,1,3,表,エンゼルス
19,2100,3,アップトン,四球,2,2,1,3,表,エンゼルス
20,2110,4,プホルス,中安打,2,2,2,3,表,エンゼルス
21,2101,5,フェルナンデス,一ライナー,3,2,2,3,表,エンゼルス
22,0000,9,バレート,左安打,0,2,2,3,裏,アスレチックス
23,0100,1,セミエン,中フライ,1,2,2,3,裏,アスレチックス
24,1100,2,ピンダー,三ゴロ併殺,3,2,2,3,裏,アスレチックス
25,0000,6,シモンズ,三ゴロ,1,2,2,4,表,エンゼルス
26,1000,7,バルブエナ,三フライ,2,2,2,4,表,エンゼルス
27,2000,8,マルドナド,遊ゴロ,3,2,2,4,表,エンゼルス
28,0000,3,ローリー,捕邪飛,1,2,2,4,裏,アスレチックス
29,1000,4,デービス,中ライナー,2,2,2,4,裏,アスレチックス
30,2000,5,オルソン,左フライ,3,2,2,4,裏,アスレチックス
31,0000,9,Cヤング,三ゴロ,1,2,2,5,表,エンゼルス
