,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ギャメル,右安打,0,0,0,1,表,マリナーズ
1,0100,2,ハニガー,三ゴロ併殺,2,0,0,1,表,マリナーズ
2,2000,3,カノ,三フライ,3,0,0,1,表,マリナーズ
3,0000,1,カルフーン,遊ライナー,1,0,0,1,裏,エンゼルス
4,1000,2,トラウト,二ライナー,2,0,0,1,裏,エンゼルス
5,2000,3,アップトン,空振り三振,3,0,0,1,裏,エンゼルス
6,0000,4,クルーズ,遊ゴロ,1,0,0,2,表,マリナーズ
7,1000,5,シーガー,二フライ,2,0,0,2,表,マリナーズ
8,2000,6,アロンソ,空振り三振,3,0,0,2,表,マリナーズ
9,0000,4,プホルス,遊ゴロ,1,0,0,2,裏,エンゼルス
10,1000,5,シモンズ,中フライ,2,0,0,2,裏,エンゼルス
11,2000,6,クロン,右フライ,3,0,0,2,裏,エンゼルス
12,0000,7,ベッカム,二フライ,1,0,0,3,表,マリナーズ
13,1000,8,ハンネマン,左フライ,2,0,0,3,表,マリナーズ
14,2000,9,マージャマ,見逃し三振,3,0,0,3,表,マリナーズ
15,0000,7,ペニントン,空振り三振,1,0,0,3,裏,エンゼルス
16,1000,8,カワート,遊安打,1,0,0,3,裏,エンゼルス
17,1100,9,グラタロル,空振り三振,2,0,0,3,裏,エンゼルス
18,2100,1,カルフーン,左フライ,3,0,0,3,裏,エンゼルス
19,0000,1,ギャメル,遊失策,0,0,0,4,表,マリナーズ
20,0000,2,ハニガー,右フライ,2,0,0,4,表,マリナーズ
21,2000,3,カノ,見逃し三振,3,0,0,4,表,マリナーズ
22,0000,2,トラウト,右安打,0,0,0,4,裏,エンゼルス
23,0100,3,アップトン,空振り三振,1,0,0,4,裏,エンゼルス
24,1100,4,プホルス,二フライ,2,0,0,4,裏,エンゼルス
25,2100,5,シモンズ,空振り三振,3,0,0,4,裏,エンゼルス
26,0000,4,クルーズ,右フライ,1,0,0,5,表,マリナーズ
27,1000,5,シーガー,中フライ,2,0,0,5,表,マリナーズ
28,2000,6,アロンソ,四球,2,0,0,5,表,マリナーズ
29,2100,7,ベッカム,二安打,2,0,0,5,表,マリナーズ
30,2110,8,ハンネマン,一ゴロ,3,0,0,5,表,マリナーズ
31,0000,6,クロン,空振り三振,1,0,0,5,裏,エンゼルス
32,1000,7,ペニントン,空振り三振,2,0,0,5,裏,エンゼルス
33,2000,8,カワート,見逃し三振,3,0,0,5,裏,エンゼルス
34,0000,9,マージャマ,遊ゴロ,1,0,0,6,表,マリナーズ
35,1000,1,ギャメル,三ゴロ,2,0,0,6,表,マリナーズ
36,2000,2,ハニガー,遊ゴロ,3,0,0,6,表,マリナーズ
37,0000,9,グラタロル,二ゴロ,1,0,0,6,裏,エンゼルス
38,1000,1,リビア,右安打,1,0,0,6,裏,エンゼルス
39,1100,2,ヤング,三ゴロ,2,0,0,6,裏,エンゼルス
40,2010,3,フォンタナ,空振り三振,3,0,0,6,裏,エンゼルス
41,0000,3,カノ,中フライ,1,0,0,7,表,マリナーズ
42,1000,4,クルーズ,死球,1,0,0,7,表,マリナーズ
43,1100,5,シーガー,遊フライ,2,0,0,7,表,マリナーズ
44,2100,6,ボグルバック,中安打,2,0,0,7,表,マリナーズ
45,2110,7,ベッカム,投ゴロ,3,0,0,7,表,マリナーズ
46,0000,4,バルブエナ,四球,0,0,0,7,裏,エンゼルス
47,0100,5,ロビンソン,中安打,0,0,0,7,裏,エンゼルス
48,0110,6,クロン,三野選,0,0,0,7,裏,エンゼルス
49,0111,7,ペニントン,左犠飛,1,1,0,7,裏,エンゼルス
50,1011,8,カワート,四球,1,1,0,7,裏,エンゼルス
51,1111,9,グラタロル,右犠飛,2,2,0,7,裏,エンゼルス
52,2110,1,リビア,中安打,2,3,0,7,裏,エンゼルス
53,2011,2,ヤング,左本塁打,2,6,0,7,裏,エンゼルス
54,2000,3,フォンタナ,四球,2,6,0,7,裏,エンゼルス
55,2100,4,バルブエナ,遊安打,2,6,0,7,裏,エンゼルス
56,2110,5,ロビンソン,右フライ,3,6,0,7,裏,エンゼルス
57,0000,8,ハンネマン,右ライナー,1,6,0,8,表,マリナーズ
58,1000,9,マージャマ,中本塁打,1,6,1,8,表,マリナーズ
59,1000,1,ギャメル,空振り三振,2,6,1,8,表,マリナーズ
60,2000,2,ハニガー,遊ゴロ,3,6,1,8,表,マリナーズ
61,0000,6,クロン,左安打,0,6,1,8,裏,エンゼルス
62,0100,7,ペニントン,一ゴロ,1,6,1,8,裏,エンゼルス
63,1010,8,カワート,空振り三振,2,6,1,8,裏,エンゼルス
64,2010,9,グラタロル,二ライナー,3,6,1,8,裏,エンゼルス
65,0000,3,モター,中安打,0,6,1,9,表,マリナーズ
66,0100,4,クルーズ,空振り三振,1,6,1,9,表,マリナーズ
67,1100,5,シーガー,一ゴロ,2,6,1,9,表,マリナーズ
68,2010,6,ボグルバック,中二塁打,2,6,2,9,表,マリナーズ
69,2010,7,ベッカム,右フライ,3,6,2,9,表,マリナーズ
