,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,Tターナー,遊ゴロ,1,0,0,1,表,ナショナルズ
1,1000,2,ワース,右フライ,2,0,0,1,表,ナショナルズ
2,2000,3,ハーパー,一ゴロ,3,0,0,1,表,ナショナルズ
3,0000,1,スパン,空振り三振,1,0,0,1,裏,ジャイアンツ
4,1000,2,パニック,左フライ,2,0,0,1,裏,ジャイアンツ
5,2000,3,ベルト,空振り三振,3,0,0,1,裏,ジャイアンツ
6,0000,4,ジマーマン,左本塁打,0,0,1,2,表,ナショナルズ
7,0000,5,マーフィー,三邪飛,1,0,1,2,表,ナショナルズ
8,1000,6,レンドン,三安打,1,0,1,2,表,ナショナルズ
9,1100,7,ウィータース,左安打,1,0,1,2,表,ナショナルズ
10,1110,8,テイラー,遊失策,1,0,1,2,表,ナショナルズ
11,1111,9,ロアーク,空振り三振,2,0,1,2,表,ナショナルズ
12,2111,1,Tターナー,二ゴロ,3,0,1,2,表,ナショナルズ
13,0000,4,ポージー,空振り三振,1,0,1,2,裏,ジャイアンツ
14,1000,5,クロフォード,左フライ,2,0,1,2,裏,ジャイアンツ
15,2000,6,ルジアーノ,中安打,2,0,1,2,裏,ジャイアンツ
16,2100,7,アローヨ,盗塁死,3,0,1,2,裏,ジャイアンツ
17,0000,2,ワース,一邪飛,1,0,1,3,表,ナショナルズ
18,1000,3,ハーパー,左ライナー,2,0,1,3,表,ナショナルズ
19,2000,4,ジマーマン,見逃し三振,3,0,1,3,表,ナショナルズ
20,0000,7,アローヨ,左二塁打,0,0,1,3,裏,ジャイアンツ
21,0010,8,ウィリアムソン,空振り三振,1,0,1,3,裏,ジャイアンツ
22,1010,9,ムーア,三ゴロ,2,0,1,3,裏,ジャイアンツ
23,2010,1,スパン,一フライ,3,0,1,3,裏,ジャイアンツ
24,0000,5,マーフィー,中フライ,1,0,1,4,表,ナショナルズ
25,1000,6,レンドン,左安打,1,0,1,4,表,ナショナルズ
26,1100,7,ウィータース,三フライ,2,0,1,4,表,ナショナルズ
27,2000,2,パニック,二ゴロ,1,0,1,4,表,ナショナルズ
28,1000,3,ベルト,中安打,1,0,1,4,表,ナショナルズ
29,1000,4,ポージー,四球,2,0,1,4,表,ナショナルズ
30,2100,5,クロフォード,左フライ,3,0,1,4,表,ナショナルズ
31,0000,8,テイラー,遊ゴロ,1,0,1,4,裏,ジャイアンツ
32,1000,9,ロアーク,右フライ,2,0,1,4,裏,ジャイアンツ
33,2000,1,Tターナー,投ゴロ,3,0,1,4,裏,ジャイアンツ
34,0000,6,ルジアーノ,左安打,0,0,1,5,表,ナショナルズ
35,0100,7,アローヨ,一邪飛,1,0,1,5,表,ナショナルズ
36,1100,8,ウィリアムソン,空振り三振,2,0,1,5,表,ナショナルズ
37,2100,9,ムーア,左フライ,3,0,1,5,表,ナショナルズ
38,0000,2,ワース,中ライナー,1,0,1,5,裏,ジャイアンツ
39,1000,3,ハーパー,空振り三振,2,0,1,5,裏,ジャイアンツ
40,2000,4,ジマーマン,左安打,2,0,1,5,裏,ジャイアンツ
41,2100,5,マーフィー,右二塁打,2,0,2,5,裏,ジャイアンツ
42,2010,6,レンドン,中ライナー,3,0,2,5,裏,ジャイアンツ
43,0000,1,スパン,右フライ,1,0,2,6,表,ナショナルズ
44,1000,2,パニック,二ゴロ,2,0,2,6,表,ナショナルズ
45,2000,3,ベルト,右安打,2,0,2,6,表,ナショナルズ
46,2100,4,ポージー,左安打,2,0,2,6,表,ナショナルズ
47,2110,5,クロフォード,二ゴロ,3,0,2,6,表,ナショナルズ
48,0000,7,ウィータース,見逃し三振,1,0,2,6,裏,ジャイアンツ
49,1000,8,テイラー,中フライ,2,0,2,6,裏,ジャイアンツ
50,2000,9,ロアーク,空振り三振,3,0,2,6,裏,ジャイアンツ
51,0000,6,ルジアーノ,遊ゴロ,1,0,2,7,表,ナショナルズ
52,1000,7,アローヨ,死球,1,0,2,7,表,ナショナルズ
53,1100,8,モース,空振り三振,2,0,2,7,表,ナショナルズ
54,2100,9,ヒル,二フライ,3,0,2,7,表,ナショナルズ
55,0000,1,Tターナー,中ライナー,1,0,2,7,裏,ジャイアンツ
56,1000,2,ワース,二ゴロ,2,0,2,7,裏,ジャイアンツ
57,2000,3,ハーパー,死球,2,0,2,7,裏,ジャイアンツ
58,2100,4,ジマーマン,中安打,2,0,2,7,裏,ジャイアンツ
59,2110,5,マーフィー,中安打,2,0,3,7,裏,ジャイアンツ
60,2101,6,レンドン,遊フライ,3,0,3,7,裏,ジャイアンツ
61,0000,1,スパン,三ゴロ,1,0,3,8,表,ナショナルズ
62,1000,2,パニック,四球,1,0,3,8,表,ナショナルズ
63,1100,3,ベルト,空振り三振,2,0,3,8,表,ナショナルズ
64,2100,4,ポージー,左安打,2,0,3,8,表,ナショナルズ
65,2110,5,クロフォード,二安打,2,0,3,8,表,ナショナルズ
66,2111,6,ルジアーノ,左フライ,3,0,3,8,表,ナショナルズ
67,0000,7,ウィータース,二ゴロ,1,0,3,8,裏,ジャイアンツ
68,1000,8,テイラー,空振り三振,2,0,3,8,裏,ジャイアンツ
69,2000,9,ドルー,四球,2,0,3,8,裏,ジャイアンツ
70,2100,1,Tターナー,三ゴロ,3,0,3,8,裏,ジャイアンツ
71,0000,7,アローヨ,空振り三振,1,0,3,9,表,ナショナルズ
72,1000,8,モース,遊ゴロ,2,0,3,9,表,ナショナルズ
73,2000,9,ハンドリー,空振り三振,3,0,3,9,表,ナショナルズ
