,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,セミエン,左フライ,1,0,0,1,表,アスレチックス
1,1000,2,チャプマン,四球,1,0,0,1,表,アスレチックス
2,1100,3,ローリー,見逃し三振,2,0,0,1,表,アスレチックス
3,2100,4,デービス,見逃し三振,3,0,0,1,表,アスレチックス
4,0000,1,テイラー,左本塁打,0,1,0,1,裏,ドジャース
5,0000,2,シーガー,右本塁打,0,2,0,1,裏,ドジャース
6,0000,3,プイグ,遊ゴロ,1,2,0,1,裏,ドジャース
7,1000,4,ヘルナンデス,空振り三振,2,2,0,1,裏,ドジャース
8,2000,5,ケンプ,右二塁打,2,2,0,1,裏,ドジャース
9,2010,6,ベリンジャー,見逃し三振,3,2,0,1,裏,ドジャース
10,0000,5,オルソン,見逃し三振,1,2,0,2,表,アスレチックス
11,1000,6,ルクロイ,遊ゴロ,2,2,0,2,表,アスレチックス
12,2000,7,ピスコティ,遊ゴロ,3,2,0,2,表,アスレチックス
13,0000,7,フォーサイス,遊ゴロ,1,2,0,2,裏,ドジャース
14,1000,8,バーンズ,中ライナー,2,2,0,2,裏,ドジャース
15,2000,9,柳,四球,2,2,0,2,裏,ドジャース
16,2100,1,テイラー,見逃し三振,3,2,0,2,裏,ドジャース
17,0000,8,スモリンスキー,空振り三振,1,2,0,3,表,アスレチックス
18,1000,9,マナイア,二ゴロ,2,2,0,3,表,アスレチックス
19,2000,1,セミエン,空振り三振,3,2,0,3,表,アスレチックス
20,0000,2,シーガー,左フライ,1,2,0,3,裏,ドジャース
21,1000,3,プイグ,遊ゴロ,2,2,0,3,裏,ドジャース
22,2000,4,ヘルナンデス,中安打,2,2,0,3,裏,ドジャース
23,2010,5,ケンプ,空振り三振,3,2,0,3,裏,ドジャース
24,0000,2,チャプマン,二フライ,1,2,0,4,表,アスレチックス
25,1000,3,ローリー,三ゴロ,2,2,0,4,表,アスレチックス
26,2000,4,デービス,見逃し三振,3,2,0,4,表,アスレチックス
27,0000,6,ベリンジャー,一ゴロ,1,2,0,4,裏,ドジャース
28,1000,7,フォーサイス,一フライ,2,2,0,4,裏,ドジャース
29,2000,8,バーンズ,中安打,2,2,0,4,裏,ドジャース
30,2100,9,柳,左安打,2,2,0,4,裏,ドジャース
31,2110,1,テイラー,三ゴロ,3,2,0,4,裏,ドジャース
32,0000,5,オルソン,一ゴロ,1,2,0,5,表,アスレチックス
33,1000,6,ルクロイ,遊ゴロ,2,2,0,5,表,アスレチックス
34,2000,7,ピスコティ,中安打,2,2,0,5,表,アスレチックス
35,2100,8,スモリンスキー,二フライ,3,2,0,5,表,アスレチックス
36,0000,2,シーガー,遊ゴロ,1,2,0,5,裏,ドジャース
37,1000,3,プイグ,中安打,1,2,0,5,裏,ドジャース
38,1000,4,ヘルナンデス,空振り三振,3,2,0,5,裏,ドジャース
39,0000,9,トンプソン,空振り三振,1,2,0,6,表,アスレチックス
40,1000,1,セミエン,空振り三振,2,2,0,6,表,アスレチックス
41,2000,2,チャプマン,捕邪飛,3,2,0,6,表,アスレチックス
42,0000,5,ケンプ,中本塁打,0,3,0,6,裏,ドジャース
43,0000,6,ベリンジャー,右安打,0,3,0,6,裏,ドジャース
44,0100,7,フォーサイス,左二塁打,0,4,0,6,裏,ドジャース
45,0010,8,バーンズ,四球,0,4,0,6,裏,ドジャース
46,0110,9,ペダーソン,見逃し三振,1,4,0,6,裏,ドジャース
47,1110,1,テイラー,遊ゴロ併殺,3,4,0,6,裏,ドジャース
48,0000,3,ローリー,遊ゴロ,1,4,0,7,表,アスレチックス
49,1000,4,デービス,左安打,1,4,0,7,表,アスレチックス
50,1100,5,オルソン,空振り三振,2,4,0,7,表,アスレチックス
51,2100,6,ルクロイ,遊ゴロ,3,4,0,7,表,アスレチックス
52,0000,2,シーガー,一ゴロ,1,4,0,7,裏,ドジャース
53,1000,3,プイグ,空振り三振,2,4,0,7,裏,ドジャース
54,2000,4,ヘルナンデス,空振り三振,3,4,0,7,裏,ドジャース
55,0000,7,ピスコティ,四球,0,4,0,8,表,アスレチックス
56,0100,8,ジョイス,見逃し三振,1,4,0,8,表,アスレチックス
57,1100,9,キャンハ,右フライ,2,4,0,8,表,アスレチックス
58,2100,1,セミエン,左二塁打,2,4,0,8,表,アスレチックス
59,2011,2,チャプマン,右ライナー,3,4,0,8,表,アスレチックス
60,0000,5,ケンプ,一邪飛,1,4,0,8,裏,ドジャース
61,1000,6,ベリンジャー,三安打,1,4,0,8,裏,ドジャース
62,1100,7,フォーサイス,中ライナー,2,4,0,8,裏,ドジャース
63,2100,8,バーンズ,見逃し三振,3,4,0,8,裏,ドジャース
64,0000,3,ローリー,右邪飛,1,4,0,9,表,アスレチックス
65,1000,4,デービス,中安打,1,4,0,9,表,アスレチックス
66,1100,5,オルソン,左安打,1,4,0,9,表,アスレチックス
67,1110,6,ルクロイ,空振り三振,2,4,0,9,表,アスレチックス
68,2110,7,ピスコティ,遊ゴロ,3,4,0,9,表,アスレチックス
