,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,ハミルトン,左フライ,1,0,0,1,表,レッズ
1,1000,2,コザート,二ライナー,2,0,0,1,表,レッズ
2,2000,3,ボット,一ゴロ,3,0,0,1,表,レッズ
3,0000,1,アットリー,四球,0,0,0,1,裏,ドジャース
4,0100,2,シーガー,左邪飛,1,0,0,1,裏,ドジャース
5,1010,3,ターナー,二ゴロ,2,0,0,1,裏,ドジャース
6,2001,4,ゴンザレス,右ライナー,3,0,0,1,裏,ドジャース
7,0000,4,デュバル,左本塁打,0,0,1,2,表,レッズ
8,0000,5,スアレス,左安打,0,0,1,2,表,レッズ
9,0100,6,シェブラー,左本塁打,0,0,3,2,表,レッズ
10,0000,7,ペラザ,中安打,0,0,3,2,表,レッズ
11,0100,8,メゾラコ,空振り三振,1,0,3,2,表,レッズ
12,1100,9,エイドルマン,捕ゴロ,2,0,3,2,表,レッズ
13,2100,1,ハミルトン,空振り三振,3,0,3,2,表,レッズ
14,0000,5,テイラー,二失策,0,0,3,2,裏,ドジャース
15,0010,6,ベリンジャー,右本塁打,0,2,3,2,裏,ドジャース
16,0000,7,グランダル,空振り三振,1,2,3,2,裏,ドジャース
17,1000,8,プイグ,空振り三振,2,2,3,2,裏,ドジャース
18,2000,9,柳,空振り三振,3,2,3,2,裏,ドジャース
19,0000,2,コザート,二ゴロ,1,2,3,3,表,レッズ
20,1000,3,ボット,左本塁打,1,2,4,3,表,レッズ
21,1000,4,デュバル,三ゴロ,2,2,4,3,表,レッズ
22,2000,5,スアレス,二ゴロ,3,2,4,3,表,レッズ
23,0000,1,アットリー,四球,0,2,4,3,裏,ドジャース
24,0100,2,シーガー,左フライ,1,2,4,3,裏,ドジャース
25,1100,3,ターナー,左安打,1,2,4,3,裏,ドジャース
26,1110,4,ゴンザレス,中フライ,2,2,4,3,裏,ドジャース
27,2110,5,テイラー,左ライナー,3,2,4,3,裏,ドジャース
28,0000,6,シェブラー,空振り三振,1,2,4,4,表,レッズ
29,1000,7,ペラザ,二安打,1,2,4,4,表,レッズ
30,1100,8,メゾラコ,空振り三振,2,2,4,4,表,レッズ
31,2100,9,エイドルマン,空振り三振,3,2,4,4,表,レッズ
32,0000,6,ベリンジャー,遊フライ,1,2,4,4,裏,ドジャース
